"bpid","mlbid","Name","Age","Season","Team","Games","Innings","Fielded Plays","RDA Outs","Range Out Score","Attempt Range","THR Opps","THR Rate","RDA","THR","CDA","DRP"
150551,694212,"Samuel Basallo",20,2025,"BAL",24,196.7,10,0,-0.3,0,,,0,,-0.6,-0.6
158731,800311,"Didier Fuentes",20,2025,"ATL",4,13,,,,,,,,,0,
170244,805811,"Bryce Eldridge",20,2025,"SF",4,34,4,0,-0.1,-1,,,0,,0,0
147956,691406,"Junior Caminero",21,2025,"TB",148,1259.3,337,-0.7,-0.2,-2,,,-0.5,,0,-0.5
150534,694192,"Jackson Chourio",21,2025,"MIL",129,1138.7,464,-7.2,-2.2,,111,0,-6,0,0,-5.9
150544,694203,"Denzer Guzman",21,2025,"LAA",13,110,39,-0.3,-0.9,0,,,-0.2,,0,-0.2
150547,694208,"Moisés Ballesteros",21,2025,"CHC",2,10,,,,,,,,,0,0
150806,699134,"Bradgley Rodriguez",21,2025,"SD",7,7.7,2,0,0.1,,,,0,,0,0
151195,695600,"Carter Jensen",21,2025,"KC",10,66.7,1,0,-0.2,,,,0,,0.1,0.1
153071,702056,"Trey Yesavage",21,2025,"TOR",3,14,,,,,,,,,0,
153283,702674,"Caden Dana",21,2025,"LAA",7,32.3,2,0,-0.3,,,,0,,0,0
153804,701350,"Roman Anthony",21,2025,"BOS",52,442.3,133,1.5,1.9,,9,-0.007,1.2,-0.1,0,1.2
153843,701398,"Sal Stewart",21,2025,"CIN",17,114,31,0.1,0,0,,,0.1,,0,0.1
157293,702284,"Cole Young",21,2025,"SEA",74,623,190,0.2,0.1,0,,,0.1,,0,0.1
157722,702616,"Jackson Holliday",21,2025,"BAL",145,1259.7,404,-5.2,-1.4,-1.5,1,0,-3.7,0,0,-3.7
111669,682634,"Kevin Alcántara",22,2025,"CHC",7,37,8,0,-0.3,,,,0,,0,0
141799,683357,"Owen Caissie",22,2025,"CHC",8,50.3,22,-0.1,-0.7,,,,-0.1,,0,-0.1
141891,683409,"Angel Chivilli",22,2025,"COL",43,58.7,8,0,-0.6,,,,0,,0,0
147897,691185,"Maximo Acosta",22,2025,"MIA",19,160.3,47,-0.3,-0.7,0.3,,,-0.2,,0,-0.2
147898,691182,"Adael Amador",22,2025,"COL",41,309.3,108,-0.9,-0.8,-8,,,-0.6,,0,-0.6
147900,691176,"Jasson Domínguez",22,2025,"NYY",100,793,305,-6.4,-3.7,,53,-0.002,-5.3,-0.1,0,-5.4
147988,691373,"Jhostynxon Garcia",22,2025,"BOS",4,25,5,0,0.1,,,,0,,0,0
148008,691251,"Andry Lara",22,2025,"WSH",9,14.3,3,0,0,,,,0,,0,0
148109,691441,"Cristian Mena",22,2025,"AZ",3,6.7,1,0,0.8,,,,0,,0,0
148223,691587,"Eury Pérez",22,2025,"MIA",20,95.3,7,0,-0.1,,,,0,,0,0
148246,691594,"Javier Sanoja",22,2025,"MIA",115,785,285,0.8,0.2,1.2,23,0.002,0.5,0,0,0.6
148298,691781,"Brady House",22,2025,"WSH",72,615.3,194,0.2,0.1,0,,,0.1,,0,0.1
148300,691783,"Jordan Lawlar",22,2025,"AZ",18,121,44,-0.1,-0.2,0.5,,,-0.1,,0,-0.1
148304,691785,"Marcelo Mayer",22,2025,"BOS",44,308.7,79,0.1,0.2,-1,,,0.1,,0,0.1
148307,691777,"Max Muncy",22,2025,"ATH",60,491.7,140,-0.7,-0.5,-1.2,2,0,-0.5,0,0,-0.5
148424,692030,"Jose Corniell",22,2025,"TEX",1,1.7,1,0,0.3,,,,0,,0,0
148648,694497,"Evan Carter",22,2025,"TEX",60,460,167,4.5,4.1,,19,-0.001,3.7,0,0,3.7
149874,696030,"Alejandro Osuna",22,2025,"TEX",56,388,137,0.5,0.7,,4,-0.005,0.4,0,0,0.4
150017,700337,"Edgar Quero",22,2025,"CWS",72,579,12,0,-0.3,,,,0,,-9.1,-9.1
150294,692585,"Yanquiel Fernández",22,2025,"COL",22,147,84,-2.4,-4.7,,,,-2,,0,-2
151206,701538,"Jackson Merrill",22,2025,"SD",114,1001.3,431,-2.2,-0.8,,61,0.006,-1.8,0.4,0,-1.5
151225,695578,"James Wood",22,2025,"WSH",123,1067.3,406,4.9,2.1,,72,0.001,4.1,0.1,0,4.1
151426,696149,"Bubba Chandler",22,2025,"PIT",7,31.3,3,0,-0.3,,,,0,,0,0
151486,695670,"Harry Ford",22,2025,"SEA",4,14,1,0,-0.2,,,,0,,-0.1,-0.1
151488,700363,"AJ Smith-Shawver",22,2025,"ATL",9,44.3,6,0,0.1,,,,0,,0,0
151521,695734,"Daylen Lile",22,2025,"WSH",75,624.3,275,-6.5,-4.1,,24,-0.005,-5.4,-0.1,0,-5.5
151544,700246,"Carson Williams",22,2025,"TB",32,255.7,85,-0.2,-0.2,-1,,,-0.1,,0,-0.1
151613,695549,"Jackson Jobe",22,2025,"DET",10,49,6,0,-0.4,,,,0,,0,0
151625,695534,"Chase Petty",22,2025,"CIN",3,6,,,,,,,,,0,
151723,695505,"Chase Burns",22,2025,"CIN",13,43.3,5,0,-0.1,,,,0,,0,0
152771,695506,"Jac Caglianone",22,2025,"KC",54,427.3,181,-2.7,-2.5,0.1,17,0,-2.2,0,0,-2.2
153809,701358,"Cam Smith",22,2025,"HOU",132,1079.3,390,5.5,2.4,,80,-0.004,4.6,-0.3,0,4.2
153974,701762,"Nick Kurtz",22,2025,"ATH",112,970.7,185,-0.8,-0.4,4,,,-0.6,,0,-0.6
156087,691720,"Kyle Karros",22,2025,"COL",42,343.3,108,0.3,0.4,3,,,0.2,,0,0.2
157008,695681,"Christian Moore",22,2025,"LAA",53,411.7,128,-0.4,-0.3,0,,,-0.3,,0,-0.3
160614,696270,"Ryan Johnson",22,2025,"LAA",14,14.7,1,0,0,,,,0,,0,0
161459,801139,"Payton Tolle",22,2025,"BOS",7,16.3,1,0,-0.1,,,,0,,0,0
162781,804636,"Jonah Tong",22,2025,"NYM",5,18.7,2,0,-0.3,,,,0,,0,0
163722,805373,"Nacho Alvarez Jr.",22,2025,"ATL",58,495.3,147,0,0,-4,,,0,,0,0
166694,806960,"Luis Morales",22,2025,"ATH",10,48.7,3,0,-0.1,,,,0,,0,0
170199,807712,"Luke Keaschall",22,2025,"MIN",41,360,131,-0.8,-0.7,1,,,-0.6,,0,-0.6
111462,682668,"Luisangel Acuña",23,2025,"NYM",91,484.3,146,2.2,1.6,9.1,,,1.6,,0,1.6
