"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
111885,682626,"Francisco Alvarez",20,2022,"NYM",5,14,12,3,1,1,0,14.3,28.6,0.333,0.167,0.286,0.5,0.786,101,,-0.1,0
139025,678662,"Ezequiel Tovar",20,2022,"COL",9,35,33,2,1,2,0,5.7,25.7,0.121,0.212,0.257,0.333,0.59,91,,-0.2,0.1
109731,672478,"Jordan Diaz",21,2022,"OAK",15,51,49,3,0,1,0,3.9,13.7,0.061,0.265,0.294,0.327,0.621,103,,0,0.2
111317,677551,"Wander Franco",21,2022,"TB",83,344,314,46,6,33,8,7.6,9.6,0.14,0.277,0.328,0.417,0.745,111,,1.2,1.9
111352,682928,"CJ Abrams",21,2022,,88,302,284,33,2,21,7,1.7,16.6,0.077,0.246,0.28,0.324,0.604,80,,-0.3,0.4
122787,682998,"Corbin Carroll",21,2022,"AZ",32,115,104,13,4,14,2,7,27,0.24,0.26,0.33,0.5,0.83,92,,2.2,0.5
122795,682985,"Riley Greene",21,2022,"DET",93,418,376,46,5,42,1,8.6,28.7,0.109,0.253,0.321,0.362,0.683,89,,0.9,1.4
122896,671739,"Michael Harris II",21,2022,"ATL",114,441,414,75,19,64,20,4.8,24.3,0.217,0.297,0.339,0.514,0.853,110,,-0.1,2.5
123218,683002,"Gunnar Henderson",21,2022,"BAL",34,132,116,12,4,18,1,12.1,25.8,0.181,0.259,0.348,0.44,0.788,112,,0,0.6
132154,678894,"Liover Peguero",21,2022,"PIT",1,4,3,0,0,0,0,25,50,0,0.333,0.5,0.333,0.833,91,,0,0
134822,677594,"Julio Rodríguez",21,2022,"SEA",132,560,511,84,28,75,25,7.1,25.9,0.225,0.284,0.345,0.509,0.854,119,,-2.7,3.2
144145,687093,"Vaughn Grissom",21,2022,"ATL",41,156,141,24,5,18,5,7.1,21.8,0.149,0.291,0.353,0.44,0.793,99,,0,0.6
108518,666703,"Eguy Rosario",22,2022,"SD",6,6,5,0,0,0,0,16.7,33.3,0,0.2,0.333,0.2,0.533,84,,0,0
109139,671277,"Luis García Jr.",22,2022,"WSH",93,377,360,29,7,45,3,2.9,22.3,0.133,0.275,0.295,0.408,0.703,93,,-2.2,0.9
109355,672356,"Gabriel Arias",22,2022,"CLE",16,57,47,9,1,5,1,14,28.1,0.128,0.191,0.321,0.319,0.64,93,,-0.1,0.1
109864,672580,"Maikel Garcia",22,2022,"KC",8,23,22,1,0,2,0,4.3,21.7,0.045,0.318,0.348,0.364,0.712,90,,0,0.1
110017,671056,"Iván Herrera",22,2022,"STL",7,22,18,0,0,1,0,9.1,36.4,0,0.111,0.19,0.111,0.301,72,,-0.1,0
110245,672779,"Tucupita Marcano",22,2022,"PIT",49,177,160,18,2,13,2,5.6,24.9,0.1,0.206,0.256,0.306,0.562,68,,1.2,0.1
110402,672515,"Gabriel Moreno",22,2022,"TOR",24,73,69,10,1,7,0,5.5,11,0.058,0.319,0.356,0.377,0.733,108,,1.2,0.4
110535,672724,"Oswald Peraza",22,2022,"NYY",18,57,49,8,1,2,2,10.5,15.8,0.122,0.306,0.404,0.429,0.833,105,,-0.1,0.3
