"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
147956,691406,"Junior Caminero",19,2023,"TB",7,36,34,8,6,1,0,1,12,4,7,2,8,0,0,0,0,0,2,50
147900,691176,"Jasson Domínguez",20,2023,"NYY",8,33,31,8,3,1,0,4,21,6,7,2,8,0,1,0,0,0,1,66.7
148300,691783,"Jordan Lawlar",20,2023,"AZ",13,34,31,4,4,0,0,0,4,2,0,2,11,1,1,1,0,0,0,50
148648,694497,"Evan Carter",20,2023,"TEX",22,75,62,19,9,4,1,5,40,15,12,12,24,0,3,0,0,1,1,40
111885,682626,"Francisco Alvarez",21,2023,"NYM",121,423,382,80,43,12,0,25,167,51,63,34,110,6,2,0,0,1,14,60.8
117798,682829,"Elly De La Cruz",21,2023,"CIN",98,427,388,91,56,15,7,13,159,67,44,35,144,2,35,8,1,1,7,41.8
127152,682617,"Marco Luciano",21,2023,"SF",13,45,39,9,6,3,0,0,12,4,0,6,17,0,1,0,0,0,0,25
127835,682622,"Noelvi Marte",21,2023,"CIN",33,123,114,36,26,7,0,3,52,15,15,8,25,1,6,2,0,0,1,46.7
128307,682641,"Luis Matos",21,2023,"SF",76,253,228,57,41,13,1,2,78,24,14,20,33,3,3,0,2,0,4,20.8
131840,677347,"Kyren Paris",21,2023,"LAA",15,46,40,4,4,0,0,0,4,4,1,4,17,1,3,0,1,0,0,0
139025,678662,"Ezequiel Tovar",21,2023,"COL",152,615,581,147,91,37,4,15,237,79,73,25,166,4,11,5,2,3,14,26.6
147855,691016,"Tyler Soderstrom",21,2023,"OAK",44,138,125,20,16,1,0,3,30,9,7,11,43,1,0,0,0,1,6,55.6
147867,691023,"Jordan Walker",21,2023,"STL",117,465,420,116,79,19,2,16,187,51,51,37,104,6,7,4,0,2,10,41.2
147872,691026,"Masyn Winn",21,2023,"STL",36,137,122,21,17,2,0,2,29,8,12,10,26,0,2,1,2,3,1,37.5
148154,691718,"Pete Crow-Armstrong",21,2023,"CHC",12,19,14,0,0,0,0,0,0,3,1,3,7,0,2,2,2,0,0,33.3
160132,694384,"Nolan Schanuel",21,2023,"LAA",29,132,109,30,26,3,0,1,36,19,6,20,19,3,0,0,0,0,1,31.6
109731,672478,"Jordan Diaz",22,2023,"OAK",89,293,272,60,41,9,0,10,99,20,27,17,69,3,0,1,0,1,10,75
