"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
148223,691587,"Eury Pérez",20,2023,"MIA",19,19,0,91.3,5,6,0,0,0,3.15,35,32,33,22,2,15,143,31,108,2,374,1534
151488,700363,"AJ Smith-Shawver",20,2023,"ATL",6,5,0,25.3,1,0,0,0,0,4.26,14,12,9,1,0,7,39,11,20,1,105,454
128054,679885,"Justin Martinez",21,2023,"AZ",10,0,0,10,0,0,1,0,0,12.6,14,14,8,2,1,2,23,11,14,2,57,236
141711,683155,"Joey Estes",21,2023,"OAK",2,2,0,10,0,1,0,0,0,7.2,9,8,5,3,0,4,27,2,7,3,47,165
147803,690986,"Kyle Harrison",21,2023,"SF",7,7,0,34.7,1,1,0,0,0,4.15,19,16,15,5,1,8,60,11,35,4,147,587
114206,671737,"Taj Bradley",22,2023,"TB",23,21,0,104.7,5,8,0,0,0,5.59,69,65,55,25,3,23,206,39,129,1,460,1820
126791,681432,"Luke Little",22,2023,"CHC",7,0,0,6.7,0,0,0,0,0,0,0,0,3,2,0,0,7,4,12,1,30,135
133260,682990,"Quinn Priester",22,2023,"PIT",10,8,0,50,3,3,0,0,0,7.74,43,43,29,17,0,12,111,27,36,3,234,866
141257,680573,"Simeon Woods Richardson",22,2023,"MIN",1,0,0,4.7,0,0,0,0,0,9.64,5,5,4,2,0,1,12,3,5,0,24,97
141755,683175,"Connor Phillips",22,2023,"CIN",5,5,0,20.7,1,1,0,0,0,6.97,16,16,12,1,0,5,34,13,26,1,96,381
146336,690829,"Ben Joyce",22,2023,"LAA",12,0,0,10,1,1,0,0,4,5.4,6,6,7,1,0,1,13,9,10,1,48,199
146369,689147,"Orion Kerkering",22,2023,"PHI",3,0,0,3,1,0,0,0,1,3,1,1,2,1,0,0,4,2,6,0,14,60
148204,682989,"Victor Mederos",22,2023,"LAA",3,0,0,3,0,0,0,0,0,9,3,3,5,0,0,0,5,3,3,1,17,66
108552,666619,"Gregory Santos",23,2023,"CWS",60,0,0,66.3,2,2,5,4,6,3.39,29,25,58,8,1,2,85,17,66,5,289,1050
109622,672710,"Roansy Contreras",23,2023,"PIT",19,11,0,68.3,3,7,1,0,0,6.59,50,50,48,16,0,11,124,32,55,1,302,1141
109907,672782,"Yoendrys Gómez",23,2023,"NYY",1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,8,30
110507,672715,"Luis Patiño",23,2023,,9,1,0,21.7,0,1,0,0,0,4.57,12,11,16,2,0,3,32,14,18,0,99,383
110931,672730,"Juan Then",23,2023,"SEA",9,0,0,11,0,0,0,0,0,4.91,6,6,9,2,0,3,25,2,5,0,48,167
111079,672582,"Angel Zerpa",23,2023,"KC",15,3,0,42.7,3,3,0,1,2,4.85,24,23,28,11,0,7,78,8,36,4,182,707
111094,672860,"Prelander Berroa",23,2023,"SEA",2,0,0,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,8,41
111200,668881,"Hunter Greene",23,2023,"CIN",22,22,0,112,4,7,0,0,0,4.82,65,60,55,33,4,19,209,48,152,8,498,2066
114159,671212,"Joe Boyle",23,2023,"OAK",3,3,0,16,2,0,0,0,0,1.69,4,3,4,3,0,1,14,5,15,0,60,240
