Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Martín Maldonado","LAA","C",1146.1,12,3,3,,,3,,,23,,,,,,,21.600000381469727,,5,35.951293151345084,"Martin Maldonado",6887,455117
"Yasmani Grandal","LAD","C",999.1,12,2,4,,,0,,,18,,,,,,,15.899999618530273,,2,26.55258176447839,"Yasmani Grandal",11368,518735
"Byron Buxton","MIN","CF",1143,,,,,0,0,22,,22,-2.346400022506714,,12.52400016784668,-0.14213236374780536,10.035499811172485,11.510409587938097,,26,25,23.85320293994287,"Byron Buxton",14161,621439
"Tyler Flowers","ATL","C",745,20,-3,-3,,,-3,,,11,,,,,,,20.510000228881836,,-3,23.639103788391026,"Tyler Flowers",9134,452095
"Andrelton Simmons","LAA","SS",1369.2,,,,3,,3,35,,41,,1.9488099813461304,11.723600387573242,3.8686598539352417,17.541110396385193,18.459321488659764,,20,20,22.2921607451067,"Andrelton Simmons",10847,592743
"Christian Vázquez","BOS","C",771,15,-5,3,,,-1,,,10,,,,,,,9.970000267028809,,5,21.70761733213814,"Christian Vazquez",9774,543877
"Austin Hedges","SDP","C",933.1,13,2,1,,,4,,,21,,,,,,,12.8100004196167,,1,21.60233514573333,"Austin Hedges",12976,595978
"Roberto Pérez","CLE","C",580.2,8,3,1,,,2,,,15,,,,,,,11.34000015258789,,3,18.963818864395176,"Roberto Perez",2900,547379
"Mike Zunino","SEA","C",994,3,4,1,,,-4,,,4,,,,,,,10.220000267028809,,-1,17.98741219825003,"Mike Zunino",13265,572287
"DJ LeMahieu","COL","2B",1302,,,,1,,2,11,,14,,1.4395300149917603,-1.1703200340270996,4.167931944131851,4.437140107154846,3.798788544164604,,20,17,17.643966704620194,"DJ LeMahieu",9874,518934
"J.T. Realmuto","MIA","C",1095.2,-3,-8,3,,,1,,,1,,,,,,,6.420000076293945,,1,17.25370054757424,"J.T. Realmuto",11739,592663
"Addison Russell","CHC","SS",808.1,,,,0,,-1,11,,10,,-1.0069500207901,5.6623101234436035,0.14209499955177307,4.797449946403503,6.781809636455798,,17,12,16.493547401387513,"Addison Russell",14106,608365
"Ender Inciarte","ATL","CF",1359.2,,,,,0,-2,6,,4,-2.252890110015869,,4.1519598960876465,0.9632930308580399,2.862370014190674,2.7422163110235678,,18,18,15.931552208621941,"Ender Inciarte",4922,542255
"Francisco Lindor","CLE","SS",1377,,,,3,,0,4,,7,,1.9144500494003296,2.247879981994629,2.379790961742401,6.542119860649109,6.863373986704039,,12,12,15.908565047512191,"Francisco Lindor",12916,596019
"Brian Dozier","MIN","2B",1311,,,,-1,,1,-1,,-1,,-2.649930000305176,-4.465129852294922,5.812658026814461,-1.30239999294281,-1.23285126106641,,16,11,14.602757962761324,"Brian Dozier",9810,572821
"Billy Hamilton","CIN","CF",1175.1,,,,,6,3,4,,13,7.006159782409668,,1.1370400190353394,0.5263370051980019,8.66953980922699,11.23078455089106,,11,16,14.489227567881514,"Billy Hamilton",10199,571740
"Alcides Escobar","KCR","SS",1404.1,,,,-1,,1,-11,,-11,,0.5801720023155212,-3.410830020904541,1.9905399680137634,-0.8401179909706116,-0.6806954570481034,,9,8,13.788115937488467,"Alcides Escobar",6310,444876
"Yan Gomes","CLE","C",856,-2,-4,3,,,2,,,-1,,,,,,,1.7400000095367432,,4,13.568630614182133,"Yan Gomes",9627,543228
"Buster Posey","SFG","C",826.1,3,-2,2,,,-1,,,3,,,,,,,3.940000057220459,,2,13.122250153426114,"Buster Posey",9166,457763
"Adam Engel","CHW","CF",799,,,,,-2,0,2,,0,0.25140199065208435,,-0.6261569857597351,1.0097859799861908,0.63503098487854,0.9067856347525215,,21,14,13.039976487522123,"Adam Engel",15082,641553
"Austin Barnes","LAD","C",438.1,6,-1,0,,,1,,,3,,,,,,,10.050000190734863,,-1,12.99725739764183,"Austin Barnes",12158,605131
"Travis Shaw","MIL","3B",1221.1,,,,0,,0,-1,,-1,,0.35230201482772827,-0.037581998854875565,-0.6409029364585876,-0.3261829614639282,-0.682666330997433,,14,11,12.477924251598527,"Travis Shaw",11982,543768
"Brian McCann","HOU","C",827.1,4,-6,-4,,,-2,,,-10,,,,,,,9.739999771118164,,-4,12.456596034370289,"Brian McCann",4810,435263
"Yadier Molina","STL","C",1125.2,4,-1,3,,,1,,,5,,,,,,,1.7899999618530273,,1,12.062101488308677,"Yadier Molina",7007,425877
"Jedd Gyorko","STL","3B",900,,,,0,,-1,8,,8,,-0.04627159982919693,2.3157498836517334,0.6562130153179169,2.9256984815001488,4.031541538394993,,14,11,12.014072829427352,"Jedd Gyorko",10816,576397
"Sandy León","BOS","C",699.1,8,4,3,,,0,,,15,,,,,,,2.2699999809265137,,4,11.94820447960537,"Sandy Leon",5273,506702
"Jeff Mathis","ARI","C",474.2,5,0,1,,,1,,,7,,,,,,,5.710000038146973,,2,11.810605688025738,"Jeff Mathis",3448,425772
"Elvis Andrus","TEX","SS",1365.1,,,,0,,0,12,,12,,0.8492329716682434,-3.672329902648926,3.1040060222148895,0.28090494871139526,0.26826525932734774,,6,7,11.652202931471631,"Elvis Andrus",8709,462101
"Freddy Galvis","PHI","SS",1359.1,,,,0,,0,5,,5,,2.021850109100342,-4.947710037231445,6.381387948989868,3.4555301666259766,3.207666471915486,,6,5,11.53404950739942,"Freddy Galvis",6609,520471
"Trevor Story","COL","SS",1185.1,,,,1,,3,8,,12,,1.005120038986206,-3.845669984817505,4.558134227991104,1.7175840139389038,1.7191358660377047,,7,7,11.458467088062283,"Trevor Story",12564,596115
"Jason Castro","MIN","C",908.2,3,7,0,,,-1,,,11,,,,,,,4.860000133514404,,-2,11.09083086953876,"Jason Castro",8722,488771
"Orlando Arcia","MIL","SS",1240.1,,,,4,,-2,2,,4,,0.23640300333499908,2.766239881515503,-4.224515179172158,-1.221866950392723,-1.8353977618399826,,5,7,10.75041727234452,"Orlando Arcia",13185,606115
"Brandon Crawford","SFG","SS",1201,,,,0,,1,9,,10,,0.14650200307369232,5.791639804840088,2.852831929922104,8.790972217917442,9.605615721060646,,6,5,10.70117716033268,"Brandon Crawford",5343,543063
"Jackie Bradley Jr.","BOS","CF",1204.1,,,,,0,7,7,,14,-1.5171200037002563,,4.539169788360596,0.6901329755783081,3.712180018424988,3.5346533523665533,,13,12,10.401395787091806,"Jackie Bradley Jr.",12984,598265
"Jordy Mercer","PIT","SS",1241.2,,,,1,,1,-14,,-12,,-0.4065589904785156,-1.636139988899231,1.7045000493526459,-0.3382059931755066,-0.4473139922789395,,4,5,10.224406501657528,"Jordy Mercer",6547,474568
"Manuel Margot","SDP","CF",1049.2,,,,,2,-2,8,,8,1.78603994846344,,4.200799942016602,0.038725003600120544,6.025560021400452,7.277696937756149,,10,11,10.090901790764478,"Manuel Margot",14712,622534
"Nolan Arenado","COL","3B",1343.1,,,,1,,3,14,,17,,1.6017800569534302,0.5479990243911743,4.544270932674408,6.694049954414368,5.854582895306205,,10,10,10.005875740486195,"Nolan Arenado",9777,571448
"Juan Lagares","NYM","CF",566.2,,,,,8,1,8,,17,7.278810024261475,,3.3694100379943848,-0.22247400879859924,10.425740003585815,22.75501408273345,,7,11,9.934481534193797,"Juan Lagares",5384,501571
"Jose Iglesias","DET","SS",1116.1,,,,0,,1,-6,,-5,,-0.9772899746894836,3.697390079498291,5.973934233188629,8.694029986858368,10.151867137663254,,5,4,9.88292341196871,"Jose Iglesias",10231,578428
"Ian Kinsler","DET","2B",1137.1,,,,-2,,-3,8,,3,,-1.9320100545883179,7.450170040130615,2.2831369042396545,7.801299691200256,8.334449857093277,,11,7,9.85236649833698,"Ian Kinsler",6195,435079
"Kevin Kiermaier","TBR","CF",829.2,,,,,2,2,16,,20,-0.44725799560546875,,6.444630146026611,-1.0641039907932281,4.933261871337891,8.162791956498348,,12,11,9.782680025254063,"Kevin Kiermaier",11038,595281
"Caleb Joseph","BAL","C",621.2,3,7,-4,,,4,,,11,,,,,,,6.590000152587891,,-2,9.726074519228096,"Caleb Joseph",7087,543376
"Kyle Seager","SEA","3B",1353.1,,,,2,,1,3,,7,,2.297790050506592,2.047830104827881,2.44924595952034,6.794869899749756,7.322231550685695,,10,10,9.523635885110544,"Kyle Seager",9785,572122
"Gary Sánchez","NYY","C",881,1,3,3,,,-5,,,0,,,,,,,-1.940000057220459,,4,9.223675297332031,"Gary Sanchez",11442,596142
"Mookie Betts","BOS","RF",1389.1,,,,,0,4,26,,30,5.274449825286865,,14.77649974822998,1.40140575543046,21.45235013961792,19.01805215868457,,15,15,9.184817357302155,"Mookie Betts",13611,605141
"Michael A. Taylor","WSN","CF",940.1,,,,,5,2,5,,12,5.185919761657715,,6.2292399406433105,-1.0737876817584038,10.341379642486572,16.15115088552333,,9,10,9.1165642848361,"Michael A. Taylor",11489,572191
"Adeiny Hechavarría","- - -","SS",813.1,,,,0,,-1,-5,,-6,,-0.9361580014228821,3.3203601501882076,2.122604660689831,4.50680685043335,8.95522673069381,,5,5,8.794304311042673,"Adeiny Hechavarria",10459,588751
"Brandon Drury","ARI","2B",947,,,,-1,,2,2,,3,,-1.158329963684082,2.347790002822876,-1.6596740186214447,-0.47021496295928955,-0.476155084158693,,9,7,8.790274896668693,"Brandon Drury",11615,592273
"Nick Ahmed","ARI","SS",381.2,,,,1,,0,5,,6,,0.3919689953327179,-0.841090977191925,0.3369449973106384,-0.11217603087425232,-0.5587403525036547,,9,6,8.323236897614176,"Nick Ahmed",12147,605113
"Lorenzo Cain","KCR","CF",1275,,,,,-5,0,11,,6,-3.3149800300598145,,8.177109718322754,-1.5680048991926014,3.2941298484802246,3.6902236675030617,,15,10,8.272539948640784,"Lorenzo Cain",9077,456715
