Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Chris Parmelee","NYY",8,0,0.375,0,0.5,0.5,1.375,1.875,0.875,2.64285714,0.666666666,0.10000000149011612,0,0.0657762810587883,-0.0022438259329646826,3.917166508179151,2.9747305879406563,0.7687489166855812,406.57520111187154,"Chris Parmelee",2554,476633
"Yefri Pérez","MIA",3,0,0.333333333,0,0.666666666,0.666666666,1,1.666666666,0.333333334,6.3264291632145815,1,0.6999999731779099,0.20000000298023224,-0.6603807210922241,-0.021707067033275962,1.3156447539755876,0.9622312838861519,0.7068245609601339,361.1671193623043,"Yefri Perez",12090,570639
"Spencer Kieboom","WSN",1,1,0,1,0,1,0,1,0,2.64285714,0,0.20000000298023224,0,,-0.0022438259329646826,0.4251702935404462,0.30736580351063436,0.6906120181083679,343.53611082935373,"Spencer Kieboom",13300,571851
"John Hicks","DET",2,0,0,0,0.5,0.5,1,1.5,0.5,2.64285714,0.5,-0.20000000298023224,0,-0.06548204272985458,0,0.7354744633861467,0.4998654833265231,0.6210097670555115,305.99625423341126,"John Hicks",12547,543308
"Trey Mancini","BAL",15,0,0.266666666,0,0.357142857,0.4,1.071428571,1.471428571,0.714285714,0.14285714,0.285714285,-0.10000000149011612,0.10000000149011612,-0.016377106308937073,-0.004487651865929365,5.16166237214002,3.394595021692842,0.5923772851626078,286.13779871141037,"Trey Mancini",15149,641820
"Jesús Sucre","SEA",29,0.068965517,0.172413793,0.4,0.48,0.551724137,0.68,1.231724137,0.2,0.9601648275000001,0.578947368,-0.20000000298023224,0,-0.3917369544506073,-0.029169737128540874,8.369313485745014,4.952983274880469,0.5251009484817242,245.2158996123793,"Jesus Sucre",5942,491696
"Hunter Renfroe","SDP",36,0.027777777,0.138888888,0.2,0.371428571,0.388888888,0.8,1.188888888,0.428571429,2.01785714,0.346153846,0.30000001192092896,0,0.04060960188508034,-0.013462955597788095,9.266855937006985,5.0258942959337585,0.4873091084616525,211.9682928567734,"Hunter Renfroe",15464,592669
"Dariel Álvarez","BAL",4,0.25,0,1,0.333333333,0.5,0.666666666,1.166666666,0.333333333,0.14285714,0.333333333,-0.20000000298023224,0,-0.03266041353344917,-0.0022438259329646826,1.0159489592333557,0.5447309991141082,0.4831578880548477,211.07502507680792,"Dariel Alvarez",15580,645848
"Gavin Cecchini","NYM",7,0,0.285714285,0,0.333333333,0.428571428,0.666666666,1.095238094,0.333333333,2.64285714,0.5,-0.20000000298023224,0,-0.0847323089838028,-0.0022438259329646826,1.6317276101712368,0.8070961799625537,0.45784974098205566,195.20968355236616,"Gavin Cecchini",17005,608325
"Matt Davidson","CHW",2,0,0.5,0,0.5,0.5,0.5,1,0,2.64285714,1,-0.10000000149011612,0,-0.0005957172834314406,-0.0022438259329646826,0.4354744928962031,0.1998655128365794,0.43922707438468933,182.7768010836792,"Matt Davidson",7226,571602
