Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ryne Nelson","ARI",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Ryne Nelson",26253,669194
"Tsung-Che Cheng","PIT",0,2,0.25,0.5,0.25,0,0,1,0.5,0,0,0,0.25,0.75,0,0.25,0.75,"Tsung-Che Cheng",28344,691907
"Ildemaro Vargas","ARI",0.35,1.666666666,0.2,0.5,0.3,0.166666666,0.166666666,0,0,0,0,0.42857143,0.42857143,0.14285714,0.0952381,0.33333333,0.57142857,"Ildemaro Vargas",13324,545121
"Blaze Alexander","ARI",0.3125,2.75,0.0625,0.6875,0.25,0,0,0,0,0,0,0.5,0.3125,0.1875,0,0.4375,0.5625,"Blaze Alexander",23789,677942
"Jahmai Jones","DET",0.3125,0.733333333,0.235294117,0.323529411,0.44117647,0.133333333,0.133333333,3,0.272727272,0,0,0.52941176,0.32352941,0.14705882,0.14705882,0.32352941,0.52941176,"Jahmai Jones",18872,663330
"Sergio Alcántara","SFG",0,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,"Sergio Alcantara",16417,642727
"Brett Sullivan","PIT",0.25,0.5,0.25,0.25,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,"Brett Sullivan",18217,664954
"Brewer Hicklen","DET",1,1,0.5,0.5,0,0,0,1,1,0,0,0,1,0,0.5,0,0.5,"Brewer Hicklen",20450,676551
"Anthony Seigler","MIL",0.2,1.666666666,0.2,0.5,0.3,0,0,0,0,0,0,0.6,0.3,0.1,0.1,0.4,0.5,"Anthony Seigler",23802,678011
"Liover Peguero","PIT",0.333333333,2,0,0.666666666,0.333333333,0.5,0,0,0,0,0,0.5,0.33333333,0.16666667,0.16666667,0.33333333,0.5,"Liover Peguero",24273,678894
"Tristin English","ARI",0,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,"Tristin English",26148,663536
"Rece Hinds","CIN",0.15,2,0.045454545,0.636363636,0.318181818,0,0.285714285,2,0.142857142,0,0,0.68181818,0.18181818,0.13636364,0.09090909,0.40909091,0.5,"Rece Hinds",27493,677956
"Nacho Alvarez Jr.","ATL",0.333333333,5,0,0.833333333,0.166666666,0,0,0,0,0,0,0.33333333,0.16666667,0.5,0,0.5,0.5,"Nacho Alvarez Jr.",31765,805373
"Brice Matthews","HOU",0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0.5,0.5,"Brice Matthews",33280,694728
"Riley Adams","WSN",0.222222222,2,0.172413793,0.551724137,0.275862068,0.125,0.25,1,0.03125,0,0,0.53448276,0.25862069,0.20689655,0.0862069,0.44827586,0.46551724,"Riley Adams",19864,656180
