Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",96,429,35,85,81,6,0.16083916,0.254079254,0.377840909,0.424528301,0.355113636,0.461538461,0.732954545,0.4816355322614128,0.4673010762642931,217.17678555988115,-2.7820616853423417,56.53512611648528,-2.925549991428852,6.985231921397041,"Aaron Judge",15640,592450
"Cal Raleigh","SEA",94,417,38,65,82,10,0.148681055,0.251798561,0.374639769,0.251207729,0.259365994,0.3764988,0.634005763,0.41344847561400616,0.38542191415657234,175.63975276510192,-1.145615735091269,36.073653035563034,9.941418873277144,6.167232455570275,"Cal Raleigh",21534,663728
"Bobby Witt Jr.","KCR",97,420,14,57,54,25,0.071428571,0.19047619,0.209973753,0.334470989,0.293963254,0.345238095,0.503937007,0.3568823328916577,0.38790913315340697,127.14407457614232,4.379190504550934,17.83178375317847,14.217148572206497,4.751118696728982,"Bobby Witt Jr.",25764,677951
"Pete Crow-Armstrong","CHC",95,401,25,67,71,27,0.04488778,0.229426433,0.278820375,0.285714285,0.265415549,0.302267002,0.544235924,0.35629987236234345,0.35224213474430144,131.11633751382442,5.660581611096859,20.487880108235707,10.928072482347488,4.574877717432409,"Pete Crow-Armstrong",27769,691718
"Shohei Ohtani","LAD",95,438,32,91,60,12,0.141552511,0.248858447,0.32972973,0.303030303,0.275675675,0.382151029,0.605405405,0.407979364406335,0.4287647689767007,165.22742391315,2.0437974836677313,35.99330838046878,-10.285828039050102,4.11775792679658,"Shohei Ohtani",19755,660271
"Jeremy Peña","HOU",82,350,11,48,40,15,0.057142857,0.157142857,0.167192429,0.359683794,0.321766561,0.378223495,0.48895899,0.374952753384908,0.3503777020428362,143.18297014941007,2.844598569907248,20.679151836713256,6.811783108860254,4.039300594781596,"Jeremy Pena",21636,665161
"Trea Turner","PHI",94,423,11,62,40,24,0.068557919,0.165484633,0.144329897,0.326860841,0.288659793,0.342789598,0.43298969,0.3371464706145192,0.32966581986272503,114.31567426280684,4.764033447485417,11.959871154485572,11.518279855139554,3.8389426249415712,"Trea Turner",16252,607208
"Kyle Tucker","CHC",95,423,17,68,56,22,0.141843971,0.141843971,0.218487395,0.293286219,0.280112044,0.383886255,0.498599439,0.3755786709038608,0.39052419597844046,144.2946900403038,4.0260684275999665,26.290992521326054,-3.419104874599725,3.7770117594701147,"Kyle Tucker",18345,663656
"José Ramírez","CLE",92,391,18,54,50,29,0.089514066,0.112531969,0.210982659,0.290657439,0.294797687,0.363171355,0.505780346,0.3623906298488929,0.3496022384180121,135.2435623540771,4.411423665471375,20.672086242471096,2.7475531878881156,3.7676197312503588,"Jose Ramirez",13510,608070
"Byron Buxton","MIN",78,333,21,64,56,17,0.081081081,0.261261261,0.285234899,0.335051546,0.288590604,0.351351351,0.573825503,0.38773215393285376,0.36496786511728935,150.9160302090569,5.705847905948758,25.712777778582154,-0.5655075055547059,3.740097117539313,"Byron Buxton",14161,621439
"Fernando Tatis Jr.","SDP",94,413,16,65,42,21,0.123486682,0.17433414,0.182072829,0.296296296,0.268907563,0.365617433,0.450980392,0.3516665702970157,0.39329629734380367,129.96258147317968,4.335841002874076,19.040618726254145,2.534948643296957,3.610533435695673,"Fernando Tatis Jr.",19709,665487
"Elly De La Cruz","CIN",97,415,18,72,63,25,0.101204819,0.243373493,0.210810811,0.345238095,0.283783783,0.359036144,0.494594594,0.36170113818944233,0.3549569688067574,128.0969461078907,5.7148897079750896,19.570842648852125,1.0542954024858773,3.520256801397384,"Elly De La Cruz",26668,682829
"Will Smith","LAD",74,301,12,45,46,2,0.149501661,0.182724252,0.217741935,0.365591397,0.322580645,0.425249169,0.54032258,0.4133190589885775,0.40233431948330317,168.87746348573972,-2.2854539568070322,22.350695227699646,0.9521653016563505,3.4055417923855513,"Will Smith",19197,669257
