Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Ryne Nelson","ARI",1,0,0,0,1,1,1,2,0,2.64285714,1,,,,-0.006595764309167862,0.5810223520713611,0.4626384750920101,0.8829480409622192,488.242229815291,"Ryne Nelson",26253,669194
"Richie Palacios","TBR",4,0,0,0,0.75,0.75,1,1.75,0.25,6.4583333312499995,0.75,,,,0.18680847436189651,1.9068807709953868,1.4333452630779826,0.754542738199234,402.79094641685066,"Richie Palacios",24589,680700
"Brewer Hicklen","DET",4,0.25,0.25,1,0.666666666,0.75,0.666666666,1.416666666,0,7.061965247105806,1,,,,0.18021271005272865,1.451880794235149,0.9783452863177449,0.6145063042640686,307.4315517314992,"Brewer Hicklen",20450,676551
"Luke Maile","KCR",10,0.2,0.1,2,0.375,0.5,0.75,1.25,0.375,1.08035714,0.333333333,,,,-0.026383057236671448,2.851542075107437,1.6677033053139265,0.5187078475952148,238.54162896164434,"Luke Maile",13355,571912
"James McCann","ARI",31,0.193548387,0.193548387,1,0.375,0.516129032,0.708333333,1.224462365,0.333333333,1.92170329,0.4375,,,,-0.07914917171001434,8.668286886902376,4.998386700542494,0.5118973985795052,234.604216016576,"James McCann",12859,543510
"Aaron Judge","NYY",429,0.16083916,0.254079254,0.633027522,0.355113636,0.461538461,0.732954545,1.194493006,0.377840909,4.427345235190389,0.424528301,,,,-0.7761520184576511,109.41249875061675,58.625815526475144,0.4816355322614128,217.17678555988115,"Aaron Judge",15640,592450
"José Fermín","STL",20,0.1,0.1,1,0.388888888,0.45,0.666666666,1.116666666,0.277777778,4.073739072641731,0.4,,,,0.16042541712522507,4.958513927012451,2.59083638742543,0.4728762149810791,211.15350618079955,"Jose Fermin",21746,665877
"Luke Keaschall","MIN",26,0.192307692,0.076923076,2.5,0.368421052,0.538461538,0.526315789,1.064777327,0.157894737,6.4583333312499995,0.411764705,,,,0.9274466075003147,6.36507770778597,3.2870969063228426,0.4690413520886348,206.88770958355224,"Luke Keaschall",33321,807712
"Trey Lipscomb","WSN",4,0,0.25,0,0.5,0.5,0.5,1,0,2.64285714,0.666666666,,,,-0.013191528618335724,0.8896722111712033,0.41613670325379915,0.4414740204811096,187.64875011354033,"Trey Lipscomb",31567,702358
"Jonny DeLuca","TBR",25,0.08,0.16,0.5,0.434782608,0.48,0.52173913,1.00173913,0.086956522,8.61198579251974,0.526315789,,,,0.7274466045200825,5.461846993428404,2.502250068944628,0.436618390083313,183.93797428451424,"Jonny DeLuca",26365,676356
