Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ryne Nelson","ARI",21,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"Ryne Nelson",26253,669194
"Richie Palacios","TBR",1,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.75,"Richie Palacios",24589,680700
"Brewer Hicklen","DET",1,3,4,2,2,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0.666666666,"Brewer Hicklen",20450,676551
"Trey Lipscomb","WSN",3,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,"Trey Lipscomb",31567,702358
"Jonny DeLuca","TBR",9,23,25,10,9,0,1,0,4,1,2,0,4,0,0,0,0,4,0,0.434782608,"Jonny DeLuca",26365,676356
"Rob Brantly","MIA",3,7,7,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.428571428,"Rob Brantly",10655,542963
"José Fermín","STL",10,18,20,7,4,2,0,1,2,2,2,0,2,0,0,0,0,1,0,0.388888888,"Jose Fermin",21746,665877
"James McCann","ARI",9,24,31,9,5,2,0,2,7,5,6,0,6,1,0,0,1,0,0,0.375,"James McCann",12859,543510
"Luke Maile","KCR",4,8,10,3,2,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0.375,"Luke Maile",13355,571912
"Luke Keaschall","MIN",7,19,26,7,4,3,0,0,4,2,5,0,2,2,0,0,0,5,0,0.368421052,"Luke Keaschall",33321,807712
"Joey Loperfido","TOR",5,14,15,5,4,0,0,1,1,5,1,0,2,0,0,0,0,0,0,0.357142857,"Joey Loperfido",29630,694388
"Aaron Judge","NYY",96,352,429,125,64,24,2,35,85,81,69,24,109,4,4,0,10,6,3,0.355113636,"Aaron Judge",15640,592450
"Tomás Nido","DET",11,35,37,12,12,0,0,0,4,2,0,0,10,1,0,1,1,0,0,0.342857142,"Tomas Nido",13755,621512
"Hyeseong Kim","LAD",48,112,119,38,29,6,1,2,17,13,6,0,30,1,0,0,0,11,0,0.339285714,"Hyeseong Kim",35322,808975
"Billy Cook","PIT",3,6,6,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333,"Billy Cook",29573,695257
"Jacob Wilson","ATH",87,340,366,112,86,17,0,9,44,42,20,1,28,4,1,1,15,5,2,0.329411764,"Jacob Wilson",33266,805779
"Tyler Heineman","TOR",35,82,94,27,20,5,0,2,18,13,6,0,19,2,2,2,1,2,0,0.329268292,"Tyler Heineman",13897,623168
"Romy Gonzalez","BOS",44,141,154,46,23,15,3,5,26,28,9,1,34,1,3,0,1,4,2,0.326241134,"Romy Gonzalez",21562,663853
"Heriberto Hernández","MIA",30,77,85,25,17,5,0,3,11,12,7,0,24,0,1,0,1,0,0,0.324675324,"Heriberto Hernandez",24878,681715
"Jonathan Aranda","TBR",91,315,358,102,71,20,0,11,48,49,33,2,85,8,2,0,7,0,1,0.323809523,"Jonathan Aranda",21837,666018
"Ronald Acuña Jr.","ATL",45,161,193,52,33,7,0,12,39,22,32,2,52,0,0,0,1,4,0,0.322981366,"Ronald Acuna Jr.",18401,660670
"Tyler Freeman","COL",54,161,188,52,39,11,1,1,23,13,18,0,17,6,3,0,6,12,4,0.322981366,"Tyler Freeman",22532,671289
"Will Smith","LAD",74,248,301,80,51,16,1,12,45,46,45,0,55,3,5,0,5,2,3,0.322580645,"Will Smith",19197,669257
"Jeremy Peña","HOU",82,317,350,102,72,18,1,11,48,40,20,1,55,10,2,1,6,15,2,0.321766561,"Jeremy Pena",21636,665161
"Iván Herrera","STL",43,153,175,49,33,8,0,8,22,36,17,0,32,3,2,0,7,3,0,0.320261437,"Ivan Herrera",20599,671056
"Dominic Canzone","SEA",30,94,97,30,19,5,0,6,11,10,3,0,17,0,0,0,2,1,1,0.319148936,"Dominic Canzone",26438,686527
"Manuel Margot","DET",6,19,20,6,6,0,0,0,1,3,0,0,6,0,1,0,0,0,0,0.315789473,"Manuel Margot",14712,622534
"Yohel Pozo","STL",38,93,97,29,19,6,0,4,11,14,3,0,9,0,1,0,1,0,0,0.311827956,"Yohel Pozo",18848,650968
"Jake Mangum","TBR",61,216,230,67,54,10,1,2,23,28,12,0,28,1,0,1,3,13,3,0.310185185,"Jake Mangum",26202,663968
"Chandler Simpson","TBR",53,185,200,57,50,6,1,0,23,14,10,0,18,0,2,1,3,26,6,0.308108108,"Chandler Simpson",31912,802415
"Jake Meyers","HOU",89,289,322,89,69,15,2,3,47,21,27,0,58,2,2,2,8,14,5,0.307958477,"Jake Meyers",20308,676694
"Alejandro Kirk","TOR",81,287,319,87,71,9,0,7,25,45,27,2,30,1,4,0,8,0,0,0.303135888,"Alejandro Kirk",22581,672386
"Alex Bregman","BOS",53,205,234,61,32,18,0,11,32,35,22,1,43,6,1,0,3,1,1,0.297560975,"Alex Bregman",17678,608324
"Maikel Garcia","KCR",95,350,386,104,68,25,3,8,40,40,31,0,52,1,2,2,7,18,9,0.297142857,"Maikel Garcia",22715,672580
"Freddie Freeman","LAD",84,317,356,94,58,25,1,10,46,49,33,5,80,3,3,0,8,1,1,0.296529968,"Freddie Freeman",5361,518692
"Brendan Donovan","STL",89,344,388,102,72,22,0,8,51,36,34,3,52,6,3,1,4,3,1,0.296511627,"Brendan Donovan",24679,680977
"Yanquiel Fernández","COL",10,27,28,8,6,2,0,0,3,2,1,0,7,0,0,0,0,0,0,0.296296296,"Yanquiel Fernandez",28552,692585
"José Ramírez","CLE",92,346,391,102,66,17,1,18,54,50,35,12,44,5,5,0,2,29,5,0.294797687,"Jose Ramirez",13510,608070
"Bobby Witt Jr.","KCR",97,381,420,112,63,32,3,14,57,54,30,6,80,3,6,0,3,25,7,0.293963254,"Bobby Witt Jr.",25764,677951
"Sal Frelick","MIL",93,344,385,101,80,11,3,7,46,39,26,0,49,7,2,3,1,17,4,0.293604651,"Sal Frelick",29622,686217
"Josh Naylor","ARI",87,327,369,96,66,18,1,11,46,58,35,4,46,2,4,0,12,11,2,0.293577981,"Josh Naylor",18839,647304
"Alec Burleson","STL",85,290,316,85,57,17,0,11,31,43,22,1,42,0,3,0,8,4,0,0.293103448,"Alec Burleson",27615,676475
"Kyle Stowers","MIA",91,304,346,89,54,13,3,19,46,54,34,1,97,4,3,1,6,4,1,0.292763157,"Kyle Stowers",26151,669065
"Jahmai Jones","DET",25,41,48,12,5,5,0,2,5,5,6,0,7,1,0,0,1,0,0,0.292682926,"Jahmai Jones",18872,663330
"Austin Wynns","- - -",36,89,96,26,14,6,0,6,11,21,5,0,26,0,1,1,2,0,0,0.292134831,"Austin Wynns",15271,642851
"Manny Machado","SDP",96,367,408,107,68,22,0,17,57,56,36,2,69,0,5,0,11,8,2,0.291553133,"Manny Machado",11493,592518
"Michael Busch","CHC",90,300,341,87,50,15,3,19,45,59,35,1,77,6,0,0,1,4,0,0.29,"Michael Busch",26319,683737
"J.P. Crawford","SEA",93,345,409,100,79,14,0,7,44,37,55,1,69,3,1,5,3,5,1,0.289855072,"J.P. Crawford",15491,641487
"Ketel Marte","ARI",68,252,297,73,41,13,0,19,52,40,40,4,45,4,1,0,7,2,1,0.289682539,"Ketel Marte",13613,606466
"Trea Turner","PHI",94,388,423,112,80,19,2,11,62,40,29,1,70,4,2,0,5,24,6,0.288659793,"Trea Turner",16252,607208
"Byron Buxton","MIN",78,298,333,86,47,14,4,21,64,56,27,2,87,4,4,0,0,17,0,0.288590604,"Byron Buxton",14161,621439
"Ernie Clement","TOR",94,313,342,90,67,19,0,4,44,25,20,1,35,1,4,4,8,3,3,0.287539936,"Ernie Clement",20352,676391
"Xavier Edwards","MIA",79,320,357,92,76,14,1,1,40,24,32,1,52,1,2,2,2,16,6,0.2875,"Xavier Edwards",22266,669364
"CJ Abrams","WSN",82,327,364,94,58,20,4,12,61,33,24,1,59,10,2,1,3,20,2,0.287461773,"CJ Abrams",25768,682928
"Paul Goldschmidt","NYY",91,334,367,96,65,22,1,8,55,36,28,5,61,2,1,0,7,5,1,0.287425149,"Paul Goldschmidt",9218,502671
"Miguel Andujar","ATH",49,181,193,52,41,7,1,3,19,20,10,1,23,0,2,0,5,1,0,0.287292817,"Miguel Andujar",15878,609280
"Austin Hays","CIN",47,178,192,51,30,9,4,8,30,37,10,1,51,1,3,0,4,2,0,0.286516853,"Austin Hays",19363,669720
"Ildemaro Vargas","ARI",10,28,29,8,5,2,0,1,5,4,0,0,7,1,0,0,0,0,0,0.285714285,"Ildemaro Vargas",13324,545121
"Omar Narváez","CHW",4,7,10,2,2,0,0,0,1,3,2,0,1,0,1,0,0,0,0,0.285714285,"Omar Narvaez",13338,553882
"Dom Nuñez","CLE",2,7,7,2,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0.285714285,"Dom Nunez",15055,624513
"Ryan O'Hearn","BAL",82,273,319,78,53,14,0,11,38,34,39,3,52,5,2,0,8,3,1,0.285714285,"Ryan O'Hearn",16442,656811
"Alex Jackson","BAL",4,7,7,2,0,2,0,0,2,1,0,0,3,0,0,0,0,0,0,0.285714285,"Alex Jackson",17276,656577
"Zack Short","HOU",10,21,23,6,3,2,0,1,3,5,2,0,9,0,0,0,0,0,0,0.285714285,"Zack Short",19562,670097
"Nacho Alvarez Jr.","ATL",2,7,8,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.285714285,"Nacho Alvarez Jr.",31765,805373
"Masataka Yoshida","BOS",4,14,15,4,2,2,0,0,1,1,0,0,0,1,0,0,1,1,0,0.285714285,"Masataka Yoshida",31837,807799
"Yandy Díaz","TBR",91,368,404,105,72,18,1,14,43,53,29,3,55,3,4,0,10,3,0,0.285326086,"Yandy Diaz",16578,650490
"Steven Kwan","CLE",92,361,404,103,76,20,1,6,43,32,33,1,34,3,6,1,2,11,2,0.285318559,"Steven Kwan",24610,680757
"Andy Pages","LAD",93,351,378,100,67,15,1,17,45,59,18,0,78,5,4,0,4,8,4,0.284900284,"Andy Pages",24816,681624
"Zach McKinstry","DET",88,288,331,82,52,14,8,8,49,31,34,1,72,4,4,1,3,15,3,0.284722222,"Zach McKinstry",19392,656716
"Thairo Estrada","COL",29,116,125,33,24,7,0,2,11,18,4,0,16,2,3,0,4,1,3,0.284482758,"Thairo Estrada",16426,642731
"Ramón Laureano","BAL",68,211,237,60,33,16,0,11,35,35,20,1,61,3,3,0,5,4,2,0.284360189,"Ramon Laureano",17128,657656
"Noelvi Marte","CIN",28,95,104,27,15,5,1,6,14,23,8,0,17,0,1,0,2,5,1,0.284210526,"Noelvi Marte",26517,682622
"Riley Greene","DET",95,366,397,104,58,21,1,24,53,78,27,1,125,2,2,0,6,1,1,0.284153005,"Riley Greene",25976,682985
"Elly De La Cruz","CIN",97,370,415,105,66,18,3,18,72,63,42,8,101,2,1,0,6,25,6,0.283783783,"Elly De La Cruz",26668,682829
"Leo Rivas","SEA",30,60,73,17,16,1,0,0,14,4,12,0,15,1,0,0,1,4,0,0.283333333,"Leo Rivas",21009,660844
"Mike Tauchman","CHW",45,159,184,45,30,10,1,4,22,19,23,0,42,1,1,0,1,0,0,0.283018867,"Mike Tauchman",15274,643565
"Nico Hoerner","CHC",92,350,378,99,75,18,3,3,52,39,21,0,28,5,2,0,1,16,3,0.282857142,"Nico Hoerner",21479,663538
"Bo Bichette","TOR",93,393,420,111,73,25,1,12,44,53,23,2,68,2,2,0,7,4,3,0.282442748,"Bo Bichette",19612,666182
"Cody Bellinger","NYY",88,340,375,96,59,18,3,16,54,54,29,1,54,1,5,0,4,9,2,0.282352941,"Cody Bellinger",15998,641355
"Dane Myers","MIA",66,202,218,57,45,8,0,4,22,23,13,0,47,2,1,0,8,14,5,0.282178217,"Dane Myers",22054,667472
"Griffin Conine","MIA",20,64,71,18,10,7,0,1,10,7,7,0,19,0,0,0,0,0,1,0.28125,"Griffin Conine",21626,665052
"Gleyber Torres","DET",84,299,359,84,59,16,0,9,51,45,51,0,46,4,5,0,7,4,1,0.280936454,"Gleyber Torres",16997,650402
"Alec Bohm","PHI",91,349,379,98,76,12,2,8,39,42,22,0,62,4,4,0,13,2,0,0.280802292,"Alec Bohm",21618,664761
"Kyle Tucker","CHC",95,357,423,100,60,19,4,17,68,56,60,7,60,2,3,0,5,22,1,0.280112044,"Kyle Tucker",18345,663656
"Pete Alonso","NYM",97,361,423,101,53,26,1,21,53,77,46,4,96,12,4,0,14,1,2,0.279778393,"Pete Alonso",19251,624413
"Gunnar Henderson","BAL",88,336,371,94,60,20,3,11,49,31,33,4,89,2,0,0,6,10,3,0.279761904,"Gunnar Henderson",26289,683002
"Miguel Amaya","CHC",27,93,100,26,13,9,0,4,14,25,4,0,22,1,1,1,0,0,0,0.279569892,"Miguel Amaya",21693,665804
"Luis Arraez","SDP",90,365,393,102,76,17,4,5,39,35,18,0,11,2,3,5,5,4,1,0.279452054,"Luis Arraez",18568,650333
"Alex Call","WSN",65,179,217,50,37,9,2,2,28,21,24,0,32,6,3,5,5,1,0,0.279329608,"Alex Call",19296,669743
"Brent Rooker","ATH",98,380,426,106,62,22,2,20,60,54,43,2,92,2,0,0,9,3,1,0.278947368,"Brent Rooker",19627,667670
"Drake Baldwin","ATL",65,190,211,53,37,5,0,11,21,32,19,0,34,2,0,0,5,0,0,0.278947368,"Drake Baldwin",31539,686948
"Zach Neto","LAA",77,305,328,85,51,18,1,15,61,33,16,2,87,6,1,0,5,17,7,0.278688524,"Zach Neto",31347,687263
"Edmundo Sosa","PHI",49,133,144,37,25,8,1,3,15,21,7,0,29,2,1,1,3,0,0,0.278195488,"Edmundo Sosa",17022,624641
"James Wood","WSN",95,356,420,99,56,19,0,24,59,69,59,8,116,2,3,0,5,12,4,0.278089887,"James Wood",29518,695578
"Jose Trevino","CIN",58,173,186,48,27,17,0,4,22,14,10,0,23,0,2,1,5,0,0,0.277456647,"Jose Trevino",16725,624431
