Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Kodai Senga","SP","MLB",2023,"29.9583333","Japan","New York Mets",,0,"6' 0""","178","R","R","50","Med","After starting his career as a reliever, Senga moved into the Fukuoka Hawks rotation in 2017 and has spent the last half decade as one of the better starters (and hardest-throwing pitchers) in all of NPB. While the 29-year-old righty struggled with walks early in his tenure as a starter (he walked 75 hitters in 180 innings in 2019 and 57 hitters in 121 innings in ‘20), free passes have become less of an issue during the last two seasons. Senga’s walk rate fell from the 10-11% range to the 8-8.5% range during that stretch, and his WHIP was a measly 1.05. Senga has added four ticks to his fastball since debuting in NPB. This wasn't a gradual increase, either – it happened all at once in 2019. He now sits 96 mph and will touch as high as 102, though he typically tops out at 99 in any given start. Even though premium velocity is rare in Japan, Senga’s fastball doesn't play like a premium pitch due to its shape and angle. In fact, his dastardly mid-80s splitter, which falls off the table and finishes below the strike zone, is easily his best offering, garnering twice as many swings and misses as his fastball in 2022, and about as many whiffs as the rest of his many pitches combined. Those pitches (in order of usage) are a cutter, slider, and the occasional curveball, all bending in anywhere between 94 and 75 mph, with the slider’s shape and velo sometimes bleeding into the other two. While his breaking ball command is inconsistent, Senga’s velocity, splitter, repertoire depth, and demonstrated durability make him a fit as no. 3 or 4 starter on a contender like the Mets, who signed him to a five-year, $75 million deal.","thrygel4xzs",
"Masataka Yoshida","LF","MLB",2023,"29.5","Japan","Boston Red Sox",,0,"5' 8""","176","L","L","45+","Med","Yoshida has been on The Board for over a year now, and he was originally evaluated in a way that pegged him as a fun part-time weapon (we compared him to Lenny Harris) rather than the $100 million player the Boston Red Sox believe him to be. Shortly before publication, the Red Sox signed Yoshida to a five-year, $90 million contract and paid an additional $15.4 million posting fee to the Orix Buffaloes. That's the kind of contract you give to a 2-WAR player, a hitter who exists in the middle third of MLB's corner outfield talent hierarchy. Is it possible that the little Yoshida, all 5-foot-8, 176 pounds of him, can thump with that contingent? In his own way, yes. While Yoshida's skill set is shaped in an extreme hit-over-power style atypical of a big league corner outfielder, there are others who have had success with similarly tailored talent, most especially Steven Kwan and Jeff McNeil, with the likes of Tony Kemp and Jurickson Profar providing a look at the bottom of what an acceptable range of performance outcomes for Yoshida would be. 
This guy can hit. Yoshida is a career .327/.421/.539 hitter in NPB with more career walks than strikeouts, and the last two seasons, he's actually walked twice as often as he's K'd. He has been almost impossible to strike out in Japan, and his feel for contact is superlative enough that even though he's not very physical and is a left field-only guy, he's arguably elite at the game's most important skill. His ability to maneuver the barrel around the zone by altering not only his hands but also the overall posture of his body is very special, and there isn't a spot in the strike zone where Yoshida can't make contact with the baseball. He can drop the bat head to golf out middle-in mistakes and get extended on fastballs up and away from him to do doubles damage the opposite way. While Yoshida is such an explosive rotator for his size that his bat often strikes the ground behind him at the end of his follow through, he hits the ball on the ground a lot, and his GB% has been in the 47-51% range for the last six seasons. Opposing pitchers can limit his ability to do damage by working him with soft stuff down and away, but Yoshida is still going to find a way to put the ball in play. His measly 5% swinging strike rate was seventh-best among qualified NPB hitters in 2022 and only one of the hitters ahead of him could muster more than three homers, while Yoshida yanked out 21. Among the best contact hitters in NPB, Yoshida is separating himself with how much power he's getting to. 
Will some version of this hold up against MLB pitching? When you isolate Yoshida's performance against hard fastballs, you start to get a better idea of how things might look over here. Versus fastballs 93 mph and above (202 pitches), Yoshida hit .273/.333/.455; against 94 mph and up (153 pitches), he hit .279/.340/.395; and against 95 mph (88 pitches) and above, his line was .296/.345/.370 (all of this is from Synergy Sports). Anything more than that and the sample gets too small to be meaningful, and it's possible 88 pitches already is. You can see the dip in his SLG within that sample but the good news is Yoshida maintains about a 5-to-1 ball-in-play to whiff ratio within all three of those velo bands. The hit tool is going to translate and Yoshida's plate discipline probably will, too. His 23% O-Swing% would put him among the majors' 10 most selective outfielders. The contact/OBP combo should enable him to produce in the 1.5 to 2 WAR range, similar to the last couple seasons of Andrew Benintendi or a more patient Alex Verdugo. It's possible that the amount and quality of contact Yoshida makes gives him a higher power ceiling than we anticipate.","Y1EvJHg9mxc",
"Ethan Salas","C","Int'l Amateur",2023,"16.6222222","Venezuela",,"SDP",5600000,"5' 11""","165","L","R","45+","High","The brother of Marlins prospect Jose Salas, Ethan has been seen and known about for about as long as it's possible for a player this age to be known, having competed in half a dozen Perfect Game events dating back to 2017. He's one of the best players from what will now be the 2023 signing class. Salas is a sweet-swinging, lefty-hitting catcher with baby soft defensive hands, and an ultra-quick release behind the dish. His swing is very balanced and rhythmic, and he can shorten up to hit stuff toward the top of the zone. Initially Salas looked like a hit-over-power prospect, but as he's maturing, he's becoming more explosive. The risk on teenage catching is extreme, but Salas is very gifted and has star-level ceiling. He's expected to get one of the class' biggest bonuses, close to $4 million.",,
"Brandon Mayea","CF","Int'l Amateur",2023,"17.3416666","Cuba",,"NYY",4350000,"5' 11""","170","R","R","45","High","Mayea derives his power from precise, flush contact. Though somewhat more physically mature than most prospects his age, he isn't especially big and strong, nor projectable. He simply has great feel for contact and swings with rotational verve, and the combination is enough to punish the baseball. Short levers and prodigious bat control help drive impact hit tool projection, while his posture through contact creates natural swing loft that indicates he'll get to whatever power he ends up growing into. Additionally, Mayea looks poised to stay up the middle of the diamond due to his speed, defensive instincts, and medium build. This makes him an exceptional, well-rounded prospect for his age. Industry sources indicate Mayea and the Yankees have a verbal agreement for just shy of $5 million.",,
"Felnin Celesten","SS","Int'l Amateur",2023,"17.3333333","Dominican Republic",,"SEA",4900000,"6' 0""","160","S","R","45","High","A well-rounded switch hitter with a gorgeous swing and some pull pop, Celesten is an exciting shortstop prospect whose actions make him likely to stay at the position. He's been at or near the top of his age group for a couple of years and is likely to receive a bonus in the $4.5 million range when eligible to sign.",,
"Joendry Vargas","3B","Int'l Amateur",2023,"17.1861111","Dominican Republic",,"LAD",2080000,"6' 2""","160","S","R","45","High","Vargas' combination of physical projection and switch-hitting ability is the most exciting since amateur Ronny Mauricio, and Vargas is similarly built and surprisingly deft with the barrel from both sides of the plate. Where he deviates from Mauricio is on defense, where Vargas tends to play high, and at his size, he is likely to move off of short and perhaps off the infield altogether. He is a rare and exceptional offensive prospect with a cathedral's ceiling.",,
"Welbyn Francisca","2B","Int'l Amateur",2023,"16.6611111","Dominican Republic",,"CLE",1375000,"5' 9""","165","S","R","45","High","Perhaps the most entertaining hitter on this list, Francisca is a switch-hitting bat control savant. He can alter his footwork and bat path to put the barrel on just about anything. Arm strength may limit him to second base, but the bat is the carrying tool here. He's not getting as much money as lots of the other players in the class, but Francisca's switch-hitting and up-the-middle fit make him one of its better all-around profiles.",,
"Luis Guanipa","CF","Int'l Amateur",2023,"17.0833333","Venezuela",,"ATL",2500000,"5' 10""","175","R","R","45","High","Guanipa's combination of bat and foot speed is very exciting, as he has a chance to both hit for power and be an impact center field defender. Rhythmic and explosive, the ball comes off Guanipa's bat with shocking force for an athlete his size. Because he's quite compact, he lacks traditional power projection but visual evaluations of his hitting hands still generate optimism in this regard. He could be a very dangerous big league leadoff hitter. Rival clubs indicate the Braves and Guanipa have a verbal agreement just south of $3 million.",,
"Hendry Chivilli","SS","Int'l Amateur",2023,"17.3361111","Dominican Republic",,"MIN",2100000,"6' 3""","165","R","R","45","High","The scintillating Chivilli has a long-levered, projectable frame, runs a 6.5 60-yard dash, has a 70-grade arm, and also has exciting bat speed. He's also shown a relatively mature two-strike approach in games, and tracks pitches well. As well-rounded as he is exciting, Chivilli is said to have a verbal deal with Minnesota at just over $2 million.",,
"Alfredo Duno","C","Int'l Amateur",2023,"17.0222222","Venezuela",,"CIN",3100000,"6' 2""","170","R","R","40+","High","Duno has perhaps the best bat speed on this entire list, and he has a Gary Sánchez-ish present toolset. Not a slam dunk to stay at catcher, Duno projects to be a 40- or 45-grade receiver and has a plus-plus arm. He had some issues hitting in games while some of our notes on him were being collected, and recent reports are arguably less useful because Duno is now much more physical than the players he competes against at workouts. He has gigantic, 30-homer ceiling, which would make him an impact big league catcher if he can stay back there. The rate of attrition for teenage catchers and for players with hit tool risk is high; Duno is both.",,
