Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Drew Maggi","PIT","AA",34,141,0.23,0.976190476,0.135416666,0.427083333,0.4375,0.357142857,0,0.46534653,0.20792079,0.32673267,0.12635379,198,356,554,"11381"
"Jorge Bonifacio","KCR","AA",30,508,0.29283489,0.458563535,0.223529411,0.244117647,0.532352941,0.287292817,0.121546961,0.49565217,0.26956522,0.23478261,0.11843362,802,1292,2094,"12174"
"Jose Briceno","KCR","AA",30,67,0.326530612,1.166666666,0.204081632,0.428571428,0.367346938,0.333333333,0,0.59183673,0.14285714,0.26530612,0.15918367,68,177,245,"13151"
"Jack Reinheimer","KCR","AA",30,82,0.212765957,1.571428571,0.217391304,0.478260869,0.304347826,0.214285714,0,0.5,0.27083333,0.22916667,0.14696486,104,209,313,"14938"
"Domingo Leyba","PIT","AA",27,114,0.367816091,0.825,0.188888888,0.366666666,0.444444444,0.25,0.075,0.42222222,0.3,0.27777778,0.09725159,176,297,473,"16404"
"Chris Shaw","CHW","AA",29,225,0.268817204,0.517857142,0.166666666,0.284313725,0.549019607,0.267857142,0.214285714,0.44761905,0.26666667,0.28571429,0.14909478,412,527,939,"17738"
"Lucius Fox","WSN","AA",25,71,0.225,1.384615384,0.225,0.45,0.325,0.153846153,0.076923076,0.33333333,0.33333333,0.33333333,0.11721612,97,176,273,"18899"
"Yusniel Diaz","LAD","AA",26,406,0.3125,1.06060606,0.233082706,0.394736842,0.372180451,0.141414141,0.161616161,0.41911765,0.29779412,0.28308824,0.10028986,714,1011,1725,"18905"
"Donovan Walton","SFG","AA",29,76,0.326923076,0.571428571,0.185185185,0.296296296,0.518518518,0.178571428,0.071428571,0.27777778,0.2962963,0.42592593,0.08955224,109,159,268,"19314"
"Daniel Johnson","SDP","AA",27,412,0.294964028,0.858267716,0.177700348,0.37979094,0.44250871,0.259842519,0.102362204,0.4109589,0.26712329,0.32191781,0.12275064,553,1003,1556,"19643"
"Carlos Narvaez","NYY","AA",24,60,0.3125,1.25,0.205882352,0.44117647,0.352941176,0.25,0.166666666,0.47058824,0.23529412,0.29411765,0.13765182,88,159,247,"19722"
"Greg Deichmann","OAK","AA",28,225,0.291666666,1.244897959,0.147286821,0.472868217,0.379844961,0.204081632,0.204081632,0.5,0.25384615,0.24615385,0.14381271,336,561,897,"19872"
"Aaron Whitefield","LAA","AA",26,118,0.309090909,1.470588235,0.222222222,0.462962962,0.314814814,0.117647058,0.176470588,0.37288136,0.18644068,0.44067797,0.19153226,180,316,496,"19938"
"Blake Rutherford","WSN","AA",26,141,0.37755102,1.678571428,0.278846153,0.451923076,0.269230769,0.25,0.25,0.44761905,0.26666667,0.28571429,0.116,180,320,500,"19957"
"Ryan Aguilar","LAA","AA",28,80,0.294117647,2.75,0.09090909,0.666666666,0.242424242,0.375,0.125,0.47058824,0.23529412,0.29411765,0.18313953,139,205,344,"19967"
"Jorge Ona","SDP","AA",26,123,0.318181818,0.964285714,0.166666666,0.409090909,0.424242424,0.107142857,0.107142857,0.57971014,0.20289855,0.2173913,0.19381443,179,306,485,"20040"
"Mario Feliciano","DET","AA",24,154,0.256198347,1.152173913,0.161016949,0.449152542,0.389830508,0.239130434,0,0.38842975,0.16528926,0.44628099,0.0940499,173,348,521,"20263"
"Irving Lopez","STL","AA",28,277,0.289772727,1.242424242,0.19125683,0.448087431,0.360655737,0.257575757,0.106060606,0.46808511,0.25531915,0.27659574,0.10239852,395,689,1084,"20463"
"Seth Beer","ARI","AA",26,359,0.353488372,0.728260869,0.293333333,0.297777777,0.408888888,0.163043478,0.141304347,0.42982456,0.28947368,0.28070175,0.12061404,503,865,1368,"20493"
"Jose Devers","MIA","AA",23,420,0.314754098,1.058333333,0.200647249,0.411003236,0.388349514,0.233333333,0.058333333,0.42356688,0.21019108,0.36624204,0.09974587,554,1020,1574,"20540"
"Leo Rivas","SEA","AA",25,436,0.323770491,1.492957746,0.274590163,0.434426229,0.290983606,0.126760563,0.070422535,0.46692607,0.27626459,0.25680934,0.07061267,844,1082,1926,"21009"
"Tyler Payne","LAA","AA",30,157,0.379629629,0.902439024,0.29090909,0.336363636,0.372727272,0.31707317,0.097560975,0.33928571,0.26785714,0.39285714,0.11615245,178,373,551,"21139"
"Hayden Senger","NYM","AA",26,309,0.26993865,0.984615384,0.222891566,0.385542168,0.391566265,0.23076923,0.076923076,0.38690476,0.2202381,0.39285714,0.15878107,446,801,1247,"21489"
"Brandon Lockridge","NYY","AA",26,114,0.373333333,1.363636363,0.324675324,0.389610389,0.285714285,0.136363636,0.09090909,0.31168831,0.4025974,0.28571429,0.14617169,163,268,431,"21496"
"Griffin Conine","MIA","AA",25,353,0.356687898,1.171875,0.205714285,0.428571428,0.365714285,0.0625,0.28125,0.44571429,0.25714286,0.29714286,0.18015482,561,860,1421,"21626"
"Luis De Los Santos","TOR","AA",25,85,0.372549019,1.75,0.153846153,0.538461538,0.307692307,0.25,0.0625,0.36538462,0.25,0.38461538,0.17701863,96,226,322,"21682"
"Miguel Amaya","CHC","AA",24,56,0.333333333,0.642857142,0.178571428,0.321428571,0.5,0.142857142,0.285714285,0.46428571,0.35714286,0.17857143,0.0877193,95,133,228,"21693"
"Sebastian Rivero","CHW","AA",24,54,0.205128205,0.523809523,0.179487179,0.282051282,0.538461538,0.333333333,0,0.56410256,0.17948718,0.25641026,0.0974359,63,132,195,"21735"
"Dane Myers","MIA","AA",27,215,0.330935251,1.95,0.174825174,0.545454545,0.279720279,0.2,0.175,0.43150685,0.30136986,0.26712329,0.07251462,341,514,855,"22054"
