Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Delino DeShields","WSN","AA",32,127,0.125984251,0.275590551,0.457142857,0.262135922,0.371900826,0.320388349,0.692289175,0.058252427,6.360949785004334,0.397058823,-0.2668345645070076,16.065364974363426,1.5516819234925303,0.3334882476113059,114.18722378213005,"11379"
"Isan Diaz","KCR","AA",29,70,0.157142857,0.114285714,1.375,0.315789473,0.428571428,0.561403508,0.989974936,0.245614035,2.3038350368576985,0.304347826,-0.6681090071797371,14.808818926349142,6.3035706479697025,0.4463702210358211,172.7237893205218,"17922"
"David Fletcher","ATL","AA",31,63,0.126984126,0.158730158,0.8,0.2,0.301587301,0.218181818,0.519769119,0.018181818,2.614234965223731,0.244444444,-0.3821671549230814,4.463560383827058,-2.444347899346979,0.26574136908092194,64.6736707471126,"17992"
"Travis Blankenhorn","LAA","AA",28,251,0.107569721,0.274900398,0.391304347,0.188073394,0.288,0.353211009,0.641211009,0.165137615,1.5595238025,0.232394366,-0.5792915234342217,25.702583396075077,-1.8194003987929128,0.30991551542282103,95.89882613625926,"18395"
"Yonny Hernandez","NYM","AA",27,56,0.053571428,0.071428571,0.75,0.173076923,0.218181818,0.173076923,0.391258741,0,3.9701553110031185,0.1875,-0.5392351932823658,1.069858472818198,-5.3298757858335355,0.19065703478726473,20.53832606721972,"19432"
"Drew Ellis","SFG","AA",29,61,0.163934426,0.278688524,0.588235294,0.137254901,0.278688524,0.235294117,0.513982641,0.098039216,1.08035714,0.181818181,-0.16355993039906025,4.241950177627386,-2.7291889255468234,0.2577347989942207,62.19612560272516,"19873"
"Tres Barrera","TBR","AA",30,113,0.150442477,0.21238938,0.708333333,0.163043478,0.300884955,0.206521739,0.507406694,0.043478261,2.8136105706496206,0.20289855,-0.1497609168291092,7.993012986447077,-4.3973621881349265,0.26557960552451887,64.31394172065583,"19977"
"Seth Beer","PHI","AA",28,120,0.091666666,0.225,0.407407407,0.19047619,0.283333333,0.314285714,0.597619047,0.123809524,2.1964285649999997,0.22368421,-0.31543700862675905,10.680139405130555,-3.033576863408874,0.283617336054643,72.46184793033747,"20493"
"Mark Kolozsvary","BOS","AA",29,83,0.108433734,0.301204819,0.36,0.191780821,0.289156626,0.424657534,0.71381416,0.232876713,3.2397054186734184,0.227272727,0.024757220409810543,10.132211258357776,0.6468908392846716,0.32760432470275697,104.69733091718619,"21304"
"Cal Mitchell","SFG","AA",26,156,0.089743589,0.294871794,0.304347826,0.169014084,0.243589743,0.267605633,0.511195376,0.098591549,2.7973153183834514,0.225806451,-1.748567508533597,9.215311255040382,-8.612519894060876,0.24381312804344374,53.02403414500352,"22169"
"Jeremiah Jackson","BAL","AA",25,189,0.047619047,0.164021164,0.29032258,0.254237288,0.291005291,0.412429378,0.703434669,0.15819209,2.5382999739016894,0.284722222,-1.2074612798169255,21.831255049038884,0.2321519260892825,0.3188723429800972,93.82796043077138,"22239"
"Chandler Seagle","ATL","AA",29,122,0.049180327,0.344262295,0.142857142,0.144144144,0.213114754,0.198198198,0.411312952,0.054054054,2.1255635623259073,0.228571428,-0.40402721241116524,3.4871633416267738,-9.890055873408665,0.2065632734142366,26.091503539032267,"23552"
"Jordan Groshans","KCR","AA",25,250,0.088,0.14,0.628571428,0.29147982,0.36,0.367713004,0.727713004,0.076233184,2.0945020433183426,0.331550802,-1.1354722389951348,32.591992174273884,2.2161054657758785,0.3420910045325038,105.84858043878032,"23794"
"Jose Rodriguez","PHI","AA",24,108,0.055555555,0.12037037,0.461538461,0.303030303,0.342592592,0.383838383,0.726430975,0.08080808,3.9963527539976544,0.333333333,-0.560729862190783,13.708030062220566,1.3656854205350786,0.3340565004834422,105.6929615536764,"24388"
"Travis Swaggerty","NYM","AA",27,76,0.105263157,0.315789473,0.333333333,0.176470588,0.263157894,0.25,0.513157894,0.073529412,4.2214409847866845,0.272727272,-0.17476326320320368,4.732836578671238,-3.9525170580704003,0.24807123604573703,58.36484177619466,"24491"
"Bryan Lavastida","HOU","AA",26,163,0.073619631,0.202453987,0.363636363,0.253424657,0.327160493,0.404109589,0.731270082,0.150684932,5.874052983453785,0.296296296,1.1792924934998155,21.060600446187287,1.2555223122465888,0.3405987035345148,109.13401725160175,"24765"
"Cam Eden","NYY","AA",27,81,0.074074074,0.382716049,0.193548387,0.175675675,0.24691358,0.27027027,0.51718385,0.094594595,7.6785444926376325,0.285714285,-0.1854870766401291,4.904327349940545,-4.352431131323569,0.24577449206952695,56.96084675111487,"25476"
"C.J. Stubbs","WSN","AA",28,156,0.121794871,0.397435897,0.306451612,0.141791044,0.262820512,0.21641791,0.479238422,0.074626866,4.477339633985525,0.242857142,-0.39673745445907116,8.533102720604644,-9.294728428496613,0.23799699467997398,51.274193557857636,"25814"
"Alejandro Osuna","TEX","AA",22,169,0.076923076,0.147928994,0.52,0.267123287,0.351190476,0.376712328,0.727902804,0.109589041,8.290077698771892,0.305785123,0.7074814150109887,22.12233715069715,1.5882377357524968,0.3427761686699731,106.10984376796782,"27915"
