Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Delino DeShields","WSN","AA",32,37,103,127,27,22,4,1,0,19,6,16,0,35,2,0,6,3,3,1,0.262135922,"11379"
"Isan Diaz","KCR","AA",29,16,57,70,18,12,2,0,4,8,12,11,0,8,1,1,0,1,2,2,0.315789473,"17922"
"David Fletcher","ATL","AA",31,16,55,63,11,10,1,0,0,5,5,8,0,10,0,0,0,3,1,1,0.2,"17992"
"Travis Blankenhorn","LAA","AA",28,62,218,251,41,22,10,1,8,18,23,27,0,69,4,1,1,4,0,0,0.188073394,"18395"
"Yonny Hernandez","NYM","AA",27,17,52,56,9,9,0,0,0,4,5,3,0,4,0,0,1,2,2,2,0.173076923,"19432"
"Drew Ellis","SFG","AA",29,16,51,61,7,4,2,0,1,5,3,10,0,17,0,0,0,1,0,0,0.137254901,"19873"
"Tres Barrera","TBR","AA",30,29,92,113,15,13,1,0,1,8,7,17,0,24,2,2,0,1,1,0,0.163043478,"19977"
"Seth Beer","PHI","AA",28,30,105,120,20,13,4,0,3,15,10,11,0,27,3,1,0,2,0,0,0.19047619,"20493"
"Mark Kolozsvary","BOS","AA",29,23,73,83,14,5,5,0,4,8,9,9,0,25,1,0,0,2,1,0,0.191780821,"21304"
"Cal Mitchell","SFG","AA",26,40,142,156,24,16,5,0,3,14,7,14,0,46,0,0,0,0,1,4,0.169014084,"22169"
"Jeremiah Jackson","BAL","AA",25,45,177,189,45,25,16,0,4,18,19,9,0,31,1,2,0,4,2,3,0.254237288,"22239"
"Chandler Seagle","ATL","AA",29,34,111,122,16,10,6,0,0,4,14,6,0,42,4,1,0,2,1,1,0.144144144,"23552"
"Jordan Groshans","KCR","AA",25,59,223,250,65,55,6,1,3,24,34,22,1,35,3,2,0,11,0,1,0.29147982,"23794"
"Jose Rodriguez","PHI","AA",24,26,99,108,30,24,5,0,1,11,16,6,0,13,1,2,0,1,5,3,0.303030303,"24388"
"Travis Swaggerty","NYM","AA",27,24,68,76,12,7,5,0,0,7,3,8,0,24,0,0,0,1,2,1,0.176470588,"24491"
"Bryan Lavastida","HOU","AA",26,42,146,163,37,25,7,0,5,21,15,12,0,33,4,0,0,2,12,2,0.253424657,"24765"
"Cam Eden","NYY","AA",27,26,74,81,13,9,2,1,1,7,2,6,0,31,1,0,0,0,6,3,0.175675675,"25476"
"C.J. Stubbs","WSN","AA",28,42,134,156,19,13,4,0,2,20,10,19,1,62,3,0,0,2,2,1,0.141791044,"25814"
"Alejandro Osuna","TEX","AA",22,37,146,169,39,29,6,2,2,28,16,13,0,25,7,2,1,3,10,2,0.267123287,"27915"
"Jhostynxon Garcia","BOS","AA",22,33,117,138,30,21,5,1,3,19,17,18,0,29,1,2,0,3,4,1,0.256410256,"28142"
"Denzer Guzman","LAA","AA",21,93,335,386,81,46,23,1,11,39,53,41,0,92,7,3,0,7,8,3,0.241791044,"28816"
"Carter Jensen","KCR","AA",21,68,274,308,80,61,9,4,6,40,37,30,0,70,1,3,0,4,7,1,0.291970802,"29478"
"Daylen Lile","WSN","AA",22,21,91,94,29,19,5,3,2,17,14,3,0,13,0,0,0,1,6,1,0.318681318,"29995"
"Oscar Colas","LAA","AA",26,93,336,372,73,48,7,3,15,32,52,32,0,90,1,3,0,7,3,1,0.217261904,"30162"
"Nathan Church","STL","AA",24,29,119,129,40,26,7,1,6,21,19,8,0,10,1,1,0,0,6,0,0.336134453,"31357"
"Sal Stewart","CIN","AA",21,80,294,329,90,61,19,0,10,51,44,27,0,51,7,1,0,6,13,2,0.306122448,"31505"
"Zach Cole","HOU","AA",24,82,307,355,82,43,19,6,14,54,49,42,2,129,5,1,0,3,15,6,0.267100977,"31583"
"Rafael Flores Jr.","NYY","AA",24,87,335,370,96,57,23,1,15,48,56,30,0,94,2,3,0,3,6,0,0.286567164,"31991"
"Kyle Karros","COL","AA",22,55,197,234,58,35,17,2,4,40,21,32,2,45,3,1,0,7,7,0,0.294416243,"33252"
"Bryce Eldridge","SFG","AA",20,34,125,140,35,20,8,0,7,14,20,13,1,39,1,1,0,1,0,1,0.28,"33390"
"CJ Kayfus","CLE","AA",23,18,66,80,24,15,4,4,1,12,11,11,0,14,3,0,0,1,2,1,0.363636363,"33704"
"Christian Moore","LAA","AA",22,34,124,146,29,22,4,2,1,15,14,21,0,40,0,1,0,1,5,3,0.233870967,"34979"
"Jac Caglianone","KCR","AA",22,38,152,175,49,32,8,0,9,32,43,19,1,37,1,3,0,5,2,1,0.322368421,"35041"
"Marcus Smith","TEX","AA",24,53,143,162,20,13,2,1,4,16,16,16,0,71,1,1,1,0,3,0,0.139860139,"sa1169620"
"Cody Milligan","ATL","AA",26,53,183,225,34,26,6,0,2,25,7,34,0,66,4,2,2,3,10,3,0.185792349,"sa1169818"
"Matt O'Neill","NYM","AA",27,31,84,102,21,15,4,0,2,12,8,16,0,26,1,1,0,2,2,1,0.25,"sa1170279"
"Dylan Shockley","ATL","AA",28,24,76,87,12,10,2,0,0,3,2,11,0,34,0,0,0,4,0,0,0.157894736,"sa1170874"
"Freuddy Batista","SEA","AA",25,14,56,58,15,10,4,0,1,6,10,1,0,17,1,0,0,0,0,0,0.267857142,"sa3002866"
"Eliezer Alfonzo","DET","AA",25,57,195,217,49,35,13,0,1,20,31,16,1,28,1,2,1,4,0,0,0.251282051,"sa3003262"
"Luis Mieses","TEX","AA",25,109,394,428,92,61,15,2,14,45,54,31,1,85,1,2,0,8,1,2,0.233502538,"sa3003274"
"Francisco Acuna","SDP","AA",25,109,407,477,102,76,17,1,8,59,42,54,1,106,10,3,2,9,23,7,0.25061425,"sa3003291"
"Je'Von Ward","TOR","AA",25,51,178,198,41,25,9,1,6,26,30,19,0,60,0,1,0,1,3,0,0.230337078,"sa3004969"
"Imanol Vargas","PIT","AA",27,36,98,121,20,16,3,0,1,8,12,20,0,34,0,3,0,2,0,0,0.204081632,"sa3004972"
"Adam Hall","MIL","AA",26,32,102,123,25,20,5,0,0,15,10,13,0,30,4,1,0,2,13,1,0.245098039,"sa3005077"
"Tyler Dearden","MIN","AA",26,36,119,134,33,26,4,1,2,10,16,12,0,24,2,1,0,4,2,0,0.277310924,"sa3005103"
"Keyber Rodriguez","TEX","AA",24,116,434,481,109,87,18,2,2,47,42,37,2,91,3,6,1,9,14,5,0.251152073,"sa3005488"
"Jesus Valdez","ARI","AA",27,23,67,77,19,12,4,0,3,12,10,5,0,18,4,1,0,1,0,2,0.283582089,"sa3005492"
"Julio Carreras","COL","AA",25,33,109,126,24,15,4,2,3,11,19,12,0,38,2,0,3,2,8,0,0.220183486,"sa3005598"
"Darlin Moquete","STL","AA",25,78,261,290,64,48,9,1,6,37,36,22,1,66,5,1,1,4,18,7,0.245210727,"sa3005617"
"Ronaiker Palma","COL","AA",25,23,78,82,14,12,1,0,1,6,4,4,0,12,0,0,0,1,1,0,0.179487179,"sa3005624"
"Dalvy Rosario","MIA","AA",24,39,120,134,23,17,3,0,3,15,12,11,0,43,0,1,2,1,6,2,0.191666666,"sa3005712"
"Brandon Valenzuela","SDP","AA",24,87,328,374,75,48,14,1,12,42,46,40,0,83,2,4,0,10,6,2,0.228658536,"sa3005729"
"Junior Perez","OAK","AA",23,95,339,405,68,34,15,5,14,50,53,57,0,116,3,3,3,3,16,3,0.20058997,"sa3005744"
"Diego Hernandez","KCR","AA",24,30,109,115,24,18,3,2,1,11,11,4,0,34,0,0,2,2,2,3,0.220183486,"sa3005759"
"Viandel Pena","WSN","AA",24,53,159,173,32,19,5,2,6,22,26,13,0,46,0,0,1,3,6,2,0.201257861,"sa3005775"
"Yoyner Fajardo","SEA","AA",26,49,149,165,37,29,8,0,0,20,10,13,0,32,1,0,1,3,11,6,0.248322147,"sa3005938"
"Pablo Aliendo","CHC","AA",24,96,353,390,72,45,14,0,13,40,49,24,0,136,9,4,0,11,0,3,0.203966005,"sa3006220"
"Jose Cordova","COL","AA",25,84,276,330,67,46,14,1,6,42,27,45,0,65,4,1,1,12,5,0,0.242753623,"sa3006548"
"Bladimir Restituyo","MIL","AA",23,101,324,351,64,47,10,2,5,36,19,10,0,74,4,5,8,2,18,8,0.197530864,"sa3006621"
"Eduardo Valencia","DET","AA",25,53,194,218,59,43,5,0,11,29,40,16,0,45,3,4,0,4,0,0,0.304123711,"sa3006622"
"Orlando Martinez","HOU","AA",27,60,237,269,64,47,12,2,3,35,25,28,0,46,1,1,1,3,4,2,0.270042194,"sa3006664"
"Nick Podkul","CHW","AA",28,25,76,92,12,11,1,0,0,6,6,14,0,32,2,0,0,2,0,0,0.157894736,"sa3006720"
"Kendall Simmons","LAD","AA",25,31,110,120,24,16,5,1,2,11,15,8,0,35,2,0,0,0,0,1,0.218181818,"sa3006867"
"Devin Mann","SFG","AA",28,16,60,68,9,5,2,0,2,6,5,6,0,20,1,0,0,2,0,0,0.15,"sa3006869"
"Kristian Robinson","ARI","AA",24,75,280,334,70,43,13,3,11,52,38,46,1,101,4,4,0,4,24,8,0.25,"sa3006884"
"Luis Verdugo","PHI","AA",24,46,147,170,26,15,8,0,3,13,19,18,0,47,2,2,1,3,1,3,0.176870748,"sa3006888"
"Reivaj Garcia","CHC","AA",23,67,241,266,65,53,10,2,0,28,19,19,1,45,2,2,2,5,5,2,0.269709543,"sa3006900"
"Carlos De La Cruz","WSN","AA",25,114,429,470,95,56,19,7,13,46,55,35,0,155,4,2,0,11,12,4,0.221445221,"sa3006903"
"Frainyer Chavez","TEX","AA",26,98,342,395,87,70,12,0,5,51,32,46,1,86,3,3,1,7,6,9,0.254385964,"sa3007019"
"P.J. Hilson","PIT","AA",24,22,66,74,18,15,2,1,0,9,6,7,0,14,0,1,0,0,0,2,0.272727272,"sa3007048"
"Ramon Mendoza","STL","AA",24,105,334,404,92,63,13,2,14,59,62,60,0,80,5,4,1,5,3,4,0.275449101,"sa3007513"
"Max Burt","NYY","AA",28,64,190,215,42,29,13,0,0,25,22,13,0,56,7,2,3,10,11,1,0.221052631,"sa3007631"
"Nick Schnell","WSN","AA",25,37,149,160,43,29,6,6,2,26,16,8,0,39,0,3,0,2,6,1,0.288590604,"sa3007639"
"Elih Marrero","TEX","AA",28,18,60,63,14,10,4,0,0,7,7,3,0,18,0,0,0,0,1,2,0.233333333,"sa3007822"
"Ezequiel Pagan","LAD","AA",24,77,281,306,70,46,14,4,6,28,38,15,0,53,5,3,1,7,5,6,0.24911032,"sa3007975"
"Hunter Stovall","TBR","AA",28,62,213,235,45,35,3,1,6,20,28,17,0,40,2,3,0,5,3,2,0.211267605,"sa3008181"
"Korey Holland","LAA","AA",25,42,144,160,28,17,7,0,4,10,8,15,0,50,0,1,0,2,3,2,0.194444444,"sa3008249"
"Jax Biggers","TEX","AA",28,67,201,253,46,38,6,1,1,37,23,50,0,56,0,1,1,1,11,3,0.228855721,"sa3008251"
