Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Daniel Camarena","SDP","AA",30,69.2,0.34934498,1.166666666,0.228813559,0.415254237,0.355932203,0.202380952,0.107142857,0.48319328,0.2394958,0.27731092,0.11380753,404,791,1195,"14467"
"Scott Blewett","ATL","AA",27,72.2,0.26943005,1.077922077,0.179487179,0.425641025,0.394871794,0.285714285,0.09090909,0.45728643,0.20603015,0.33668342,0.12446352,422,743,1165,"16427"
"Lake Bachar","SDP","AA",28,60.1,0.31788079,1,0.202614379,0.39869281,0.39869281,0.262295081,0.06557377,0.39102564,0.28205128,0.32692308,0.16380182,359,630,989,"19222"
"Alan Rangel","ATL","AA",25,112,0.29931973,0.768656716,0.225490196,0.336601307,0.437908496,0.231343283,0.119402985,0.48867314,0.23624595,0.27508091,0.14787234,679,1201,1880,"19524"
"Sterling Sharp","BOS","AA",28,85.2,0.31439394,1.134615384,0.186813186,0.432234432,0.38095238,0.23076923,0.115384615,0.42391304,0.28623188,0.28985507,0.10541516,515,870,1385,"19671"
"Parker Dunshee","SFG","AA",28,45.2,0.27678571,0.865384615,0.14159292,0.398230088,0.460176991,0.307692307,0.076923076,0.45299145,0.21367521,0.33333333,0.13027295,314,492,806,"20018"
"Ty Tice","ATL","AA",26,31,0.4125,1.666666666,0.3,0.4375,0.2625,0.142857142,0.095238095,0.40243902,0.2804878,0.31707317,0.1708126,231,372,603,"20177"
"Isaac Mattson","MIN","AA",27,32.1,0.18181818,0.741935483,0.19402985,0.343283582,0.462686567,0.129032258,0.096774193,0.20289855,0.47826087,0.31884058,0.10684474,237,362,599,"20385"
"Peter Solomon","ARI","AA",26,36.2,0.3,0.744186046,0.27184466,0.310679611,0.417475728,0.279069767,0.139534883,0.40566038,0.3490566,0.24528302,0.09984152,220,411,631,"20476"
"Tyler Phillips","PHI","AA",25,82.1,0.32,1.90625,0.205128205,0.521367521,0.273504273,0.15625,0.1875,0.51464435,0.17573222,0.30962343,0.10946052,483,796,1279,"20629"
"Jose Espada","SDP","AA",26,64,0.3,1.163636363,0.167832167,0.447552447,0.384615384,0.236363636,0.09090909,0.54482759,0.25517241,0.2,0.18672986,380,675,1055,"21131"
"Jonathan Bermudez","MIA","AA",27,94.1,0.32083333,0.623931623,0.24,0.292,0.468,0.23076923,0.119658119,0.38039216,0.30980392,0.30980392,0.12287105,648,996,1644,"21241"
"Grant Wolfram","TEX","AA",26,49,0.23,1.073170731,0.15,0.44,0.41,0.121951219,0.097560975,0.45192308,0.25961538,0.28846154,0.16862745,275,490,765,"21623"
"Kyle Tyler","SEA","AA",26,135,0.35148515,1.45,0.277641277,0.427518427,0.294840294,0.166666666,0.125,0.45323741,0.28297362,0.26378897,0.12324692,855,1498,2353,"22092"
"Ryan Miller","BOS","AA",27,60.1,0.33950617,0.769230769,0.183431952,0.355029585,0.461538461,0.179487179,0.102564102,0.48823529,0.25294118,0.25882353,0.13782991,363,660,1023,"22187"
"Tobias Myers","MIL","AA",24,137.2,0.29289941,0.906040268,0.195467422,0.38243626,0.422096317,0.208053691,0.201342281,0.45108696,0.2201087,0.32880435,0.13990321,822,1451,2273,"22191"
"Sean Reynolds","MIA","AA",25,30.2,0.27027027,1,0.315068493,0.342465753,0.342465753,0.2,0.04,0.30666667,0.32,0.37333333,0.14176245,197,325,522,"22253"
"Owen White","TEX","AA",23,56.1,0.23972603,1.31372549,0.202702702,0.452702702,0.344594594,0.31372549,0.098039215,0.45695364,0.26490066,0.2781457,0.11136891,317,545,862,"22273"
"Matt Sauer","NYY","AA",24,68.1,0.24358974,0.90140845,0.181818181,0.387878787,0.43030303,0.225352112,0.154929577,0.45508982,0.23353293,0.31137725,0.12477876,422,708,1130,"22284"
"Angel De Jesus","DET","AA",26,36.1,0.27586207,0.783783783,0.282608695,0.315217391,0.402173913,0.216216216,0.189189189,0.40425532,0.29787234,0.29787234,0.16113744,229,404,633,"22323"
"Raymond Burgos","SFG","AA",24,37.1,0.26804124,1.545454545,0.125,0.53125,0.34375,0.181818181,0.06060606,0.35353535,0.28282828,0.36363636,0.10921502,212,374,586,"22370"
"Michel Otanez","ARI","AA",25,33,0.4,1.272727272,0.275362318,0.405797101,0.318840579,0.227272727,0.09090909,0.41428571,0.27142857,0.31428571,0.16890882,256,413,669,"22533"
"Keider Montero","DET","AA",22,69.1,0.37288136,0.986666666,0.17679558,0.408839779,0.41436464,0.146666666,0.093333333,0.3989071,0.24043716,0.36065574,0.12914189,395,782,1177,"22630"
"Yoendrys Gomez","NYY","AA",23,65.1,0.26973684,0.887096774,0.25,0.352564102,0.397435897,0.177419354,0.096774193,0.46835443,0.22151899,0.31012658,0.12034632,455,700,1155,"22872"
"Prelander Berroa","SEA","AA",23,65.1,0.32575758,0.945454545,0.189393939,0.393939393,0.416666666,0.327272727,0.036363636,0.51492537,0.20895522,0.2761194,0.1907563,446,744,1190,"22932"
"Robinson Pina","LAA","AA",24,63,0.26875,3.692307692,0.217948717,0.615384615,0.166666666,0.115384615,0.076923076,0.49382716,0.20987654,0.2962963,0.13925328,414,577,991,"23091"
"Jake Wong","CIN","AA",26,47,0.27868852,1.81081081,0.174603174,0.531746031,0.293650793,0.081081081,0.243243243,0.39694656,0.2519084,0.35114504,0.13013699,248,482,730,"23095"
"Steven Cruz","KCR","AA",24,32.2,0.26388889,1.727272727,0.154929577,0.535211267,0.309859154,0.409090909,0.045454545,0.45205479,0.20547945,0.34246575,0.15068493,233,351,584,"23165"
"Nolan Hoffman","BAL","AA",25,41.1,0.30952381,1.857142857,0.193548387,0.524193548,0.282258064,0.114285714,0.028571428,0.41732283,0.23622047,0.34645669,0.08845577,227,440,667,"23381"
"Brett de Geus","KCR","AA",25,35.1,0.31,2.714285714,0.227722772,0.564356435,0.207920792,0.19047619,0.142857142,0.46601942,0.19417476,0.33980583,0.0967118,168,349,517,"23592"
"Omar Cruz","PIT","AA",24,48,0.27819549,0.966666666,0.119402985,0.43283582,0.447761194,0.366666666,0.033333333,0.48888889,0.23703704,0.27407407,0.11455847,357,481,838,"23875"
"Randy Rodriguez","SFG","AA",23,30.1,0.26865672,0.65625,0.196969696,0.318181818,0.484848484,0.34375,0.03125,0.47058824,0.23529412,0.29411765,0.13114754,222,327,549,"23974"
