Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Daniel Camarena","SDP","AA",30,1,7,6.20095784324505,25,17,0,0,3,0,,69.2,313,89,54,48,9,16,0,5,4,2,54,"14467"
"Scott Blewett","ATL","AA",27,3,4,4.211009763806511,17,13,0,0,0,0,,72.2,308,59,37,34,7,29,0,3,8,0,76,"16427"
"Lake Bachar","SDP","AA",28,5,1,2.685083099287937,42,0,0,0,5,1,,60.1,251,52,22,18,4,25,0,2,4,1,69,"19222"
"Alan Rangel","ATL","AA",25,3,15,4.660714285714286,23,23,0,0,0,0,,112,482,104,62,58,16,41,0,3,5,3,128,"19524"
"Sterling Sharp","BOS","AA",28,3,5,5.35797728993187,20,18,0,0,0,0,,85.2,382,95,51,51,12,37,0,4,4,0,65,"19671"
"Parker Dunshee","SFG","AA",28,4,1,2.5620435102650987,23,1,0,0,0,1,,45.2,202,35,19,13,4,22,0,9,2,1,55,"20018"
"Ty Tice","ATL","AA",26,0,2,5.225806451612903,25,1,0,0,3,0,,31,145,35,18,18,2,14,0,1,6,0,48,"20177"
"Isaac Mattson","MIN","AA",27,3,1,3.6185572702556916,21,1,0,0,0,3,,32.1,139,15,15,13,3,24,0,4,3,0,42,"20385"
"Peter Solomon","ARI","AA",26,0,2,4.172726693902214,7,7,0,0,0,0,,36.2,155,36,22,17,6,10,0,1,10,0,38,"20476"
"Tyler Phillips","PHI","AA",25,4,5,5.028340391604799,17,16,0,0,0,0,,82.1,349,84,48,46,12,30,0,2,4,1,80,"20629"
"Jose Espada","SDP","AA",26,3,2,2.8125,26,7,0,0,0,0,,64,263,47,26,20,5,33,0,0,1,1,85,"21131"
"Jonathan Bermudez","MIA","AA",27,5,5,4.579505547271057,19,18,0,0,0,0,,94.1,410,91,50,48,14,39,0,8,6,3,109,"21241"
"Grant Wolfram","TEX","AA",26,10,0,2.020408163265306,29,1,0,0,1,1,,49,187,27,12,11,4,14,0,2,7,0,67,"21623"
