Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Grant Green","SFG","AAA",28,364,0.362369337,1.604651162,0.227586206,0.475862068,0.296551724,0.081395348,0.081395348,0.46621622,0.22635135,0.30743243,0.11464435,360,835,1195,"10053"
"Max Stassi","HOU","AAA",25,266,0.286549707,1.310344827,0.238636363,0.431818181,0.329545454,0.24137931,0.120689655,0.46629213,0.23595506,0.29775281,0.13562753,358,630,988,"10059"
"Tomas Telis","MIA","AAA",25,368,0.337931034,2.077922077,0.18275862,0.551724137,0.265517241,0.22077922,0.077922077,0.4006734,0.25925926,0.34006734,0.05689278,485,886,1371,"10067"
"Donald Lutz","CIN","AAA",27,70,0.27027027,1.833333333,0.105263157,0.578947368,0.315789473,0.166666666,0.083333333,0.55263158,0.21052632,0.23684211,0.16479401,82,185,267,"10154"
"Nick Franklin","TBR","AAA",25,270,0.306010928,1.114285714,0.212765957,0.414893617,0.372340425,0.142857142,0.071428571,0.4893617,0.28723404,0.22340426,0.12746114,370,595,965,"10166"
"Randal Grichuk","STL","AAA",24,86,0.258064516,0.685714285,0.132352941,0.352941176,0.514705882,0.171428571,0.171428571,0.60294118,0.14705882,0.25,0.07167235,102,191,293,"10243"
"Francisco Arcia","MIA","AAA",26,66,0.276595744,1.733333333,0.127659574,0.553191489,0.319148936,0.266666666,0,0.4375,0.27083333,0.29166667,0.07327586,74,158,232,"10286"
"Hector Sanchez","SDP","AAA",26,230,0.317241379,0.878787878,0.220125786,0.364779874,0.415094339,0.181818181,0.227272727,0.53125,0.23125,0.2375,0.11374408,321,523,844,"10289"
"Adrian Nieto","MIA","AAA",26,129,0.28,2.052631578,0.216216216,0.527027027,0.256756756,0.157894736,0.052631578,0.35526316,0.25,0.39473684,0.09380531,224,341,565,"10294"
"Eury Perez","TBR","AAA",26,245,0.308988764,2.085106382,0.166666666,0.56321839,0.270114942,0.255319148,0.042553191,0.40641711,0.25668449,0.3368984,0.10149942,278,589,867,"10299"
"Danny Ortiz","PIT","AAA",26,470,0.256716417,0.839743589,0.182336182,0.373219373,0.444444444,0.275641025,0.108974358,0.50991501,0.24645892,0.24362606,0.10308678,565,1152,1717,"10317"
"Rafael Ortega","LAA","AAA",25,341,0.35,1.959459459,0.220640569,0.516014234,0.263345195,0.243243243,0.054054054,0.38675958,0.22648084,0.38675958,0.05111294,379,834,1213,"10323"
"Ramon Cabrera","CIN","AAA",26,56,0.285714285,2,0.142857142,0.571428571,0.285714285,0.428571428,0,0.44897959,0.20408163,0.34693878,0.08982036,51,116,167,"10327"
"Rey Fuentes","KCR","AAA",25,272,0.335164835,1.918367346,0.205555555,0.522222222,0.272222222,0.061224489,0,0.40437158,0.27868852,0.31693989,0.11976048,363,639,1002,"10329"
"Slade Heathcott","NYY","AAA",25,216,0.347107438,1.255813953,0.198347107,0.446280991,0.3553719,0.162790697,0.046511627,0.376,0.296,0.328,0.13160987,325,526,851,"10336"
"Gift Ngoepe","PIT","AAA",26,373,0.328205128,1.164556962,0.131979695,0.467005076,0.401015228,0.227848101,0.101265822,0.4,0.27142857,0.32857143,0.1151594,580,957,1537,"10340"
"John Ryan Murphy","MIN","AAA",25,290,0.274418604,0.913043478,0.19266055,0.3853211,0.422018348,0.25,0.032608695,0.3853211,0.28440367,0.33027523,0.10607434,399,704,1103,"10346"
"Mike Ohlman","STL","AAA",25,186,0.366071428,1.022222222,0.215517241,0.396551724,0.387931034,0.022222222,0.133333333,0.40336134,0.35294118,0.24369748,0.11492734,290,467,757,"10347"
"Tommy Joseph","PHI","AAA",24,100,0.346153846,1.125,0.19047619,0.428571428,0.38095238,0.125,0.1875,0.58333333,0.23809524,0.17857143,0.09717868,100,219,319,"10349"
"Daniel Fields","CHW","AAA",25,169,0.385542168,2.333333333,0.268292682,0.512195121,0.219512195,0.111111111,0.055555555,0.5952381,0.27380952,0.13095238,0.18093923,291,433,724,"10390"
"Wilfredo Tovar","MIN","AAA",24,494,0.281725888,1.277372262,0.189610389,0.454545454,0.355844155,0.299270072,0.00729927,0.4125,0.2175,0.37,0.05578947,663,1237,1900,"10416"
"Jon Singleton","HOU","AAA",24,501,0.232472324,0.669064748,0.19163763,0.324041811,0.484320557,0.215827338,0.143884892,0.38566553,0.3105802,0.30375427,0.09887006,933,1191,2124,"10441"
"Cheslor Cuthbert","KCR","AAA",23,107,0.324324324,0.805555555,0.197530864,0.358024691,0.444444444,0.166666666,0.194444444,0.49382716,0.22222222,0.28395062,0.0787037,187,245,432,"10473"
"Rocky Gale","SDP","AAA",28,159,0.296,1.815789473,0.1640625,0.5390625,0.296875,0.184210526,0.078947368,0.43846154,0.19230769,0.36923077,0.06213592,160,355,515,"10533"
"Rico Noel","LAD","AAA",27,136,0.305263157,1,0.161290322,0.419354838,0.419354838,0.076923076,0,0.32989691,0.28865979,0.3814433,0.10136452,172,341,513,"10585"
"Joey Terdoslavich","BAL","AAA",27,70,0.177777777,1.125,0.244444444,0.4,0.355555555,0.25,0,0.53333333,0.15555556,0.31111111,0.12371134,127,164,291,"10593"
"Bryce Brentz","BOS","AAA",27,212,0.317567567,1.738095238,0.238410596,0.483443708,0.278145695,0.428571428,0.095238095,0.44444444,0.19607843,0.35947712,0.13867684,257,529,786,"10607"
"David Freitas","CHC","AAA",27,95,0.384615384,1.285714285,0.261538461,0.415384615,0.323076923,0.047619047,0.095238095,0.23529412,0.29411765,0.47058824,0.11051213,136,235,371,"10619"
"Zach Walters","LAD","AAA",26,366,0.309433962,0.816666666,0.201465201,0.358974358,0.439560439,0.216666666,0.083333333,0.45126354,0.26714801,0.28158845,0.13943028,459,875,1334,"10622"
"Rob Brantly","SEA","AAA",26,315,0.253164556,0.906542056,0.177419354,0.391129032,0.431451612,0.205607476,0.130841121,0.46825397,0.22619048,0.30555556,0.09809524,324,726,1050,"10655"
"Gio Urshela","CLE","AAA",24,491,0.294117647,1.049079754,0.187347931,0.416058394,0.396593673,0.202453987,0.049079754,0.45083933,0.22541966,0.32374101,0.08096677,481,1174,1655,"10681"
"Ryan LaMarre","BOS","AAA",27,358,0.370689655,1.474358974,0.192468619,0.481171548,0.326359832,0.192307692,0.128205128,0.42561983,0.26446281,0.30991736,0.09823848,561,915,1476,"10700"
"Arismendy Alcantara","OAK","AAA",24,433,0.363970588,1.106796116,0.227758007,0.40569395,0.366548042,0.116504854,0.106796116,0.41901408,0.26408451,0.31690141,0.14165666,557,1109,1666,"10711"
"Lane Adams","CHC","AAA",26,58,0.325,1.416666666,0.256410256,0.435897435,0.307692307,0.333333333,0.083333333,0.56097561,0.24390244,0.19512195,0.13809524,78,132,210,"10767"
"Jurickson Profar","TEX","AAA",23,189,0.311594202,1.265306122,0.195652173,0.449275362,0.355072463,0.102040816,0.102040816,0.52083333,0.21527778,0.26388889,0.06317204,289,455,744,"10815"
"Todd Cunningham","LAA","AAA",27,417,0.313793103,1.115044247,0.184300341,0.430034129,0.385665529,0.21238938,0.053097345,0.4205298,0.2781457,0.3013245,0.05363748,645,977,1622,"10822"
"Rangel Ravelo","OAK","AAA",24,416,0.293333333,1.356435643,0.214521452,0.452145214,0.333333333,0.188118811,0.07920792,0.49838188,0.22977346,0.27184466,0.09238452,596,1006,1602,"10839"
"Jared Hoying","TEX","AAA",27,435,0.296666666,0.863013698,0.133757961,0.401273885,0.464968152,0.150684931,0.109589041,0.47619048,0.24761905,0.27619048,0.09747292,604,1058,1662,"10882"
"Darren Ford","SFG","AAA",30,171,0.286821705,2.566666666,0.15079365,0.611111111,0.238095238,0.2,0.033333333,0.41044776,0.26865672,0.32089552,0.08421053,235,430,665,"109"
"Ryan Strausborger","SEA","AAA",28,305,0.294416243,1,0.177664974,0.411167512,0.411167512,0.308641975,0.074074074,0.46305419,0.23152709,0.30541872,0.08905852,425,754,1179,"10937"
"Greg Garcia","STL","AAA",26,120,0.333333333,1.703703703,0.13095238,0.547619047,0.321428571,0.148148148,0,0.36470588,0.24705882,0.38823529,0.04166667,185,271,456,"10951"
"Colin Walsh","OAK","AAA",26,245,0.352941176,0.905660377,0.273381294,0.345323741,0.381294964,0.188679245,0.075471698,0.45714286,0.21428571,0.32857143,0.11665099,454,609,1063,"10961"
"Christian Colon","KCR","AAA",27,85,0.307692307,1.523809523,0.196969696,0.484848484,0.318181818,0.19047619,0.047619047,0.33333333,0.31818182,0.34848485,0.07936508,120,195,315,"11145"
"Elliot Soto","MIA","AAA",26,190,0.305785123,2.8,0.201680672,0.588235294,0.210084033,0.24,0.04,0.456,0.184,0.36,0.06459948,305,469,774,"11155"
"Brett Nicholas","TEX","AAA",27,447,0.337748344,1.346534653,0.233009708,0.440129449,0.326860841,0.128712871,0.128712871,0.41640379,0.2555205,0.32807571,0.1253012,557,1103,1660,"11192"
"Stephen Cardullo","COL","AAA",28,452,0.321428571,0.861111111,0.223188405,0.359420289,0.417391304,0.173611111,0.118055555,0.4056338,0.25915493,0.33521127,0.10465785,585,1154,1739,"11204"
"Mike Freeman","ARI","AAA",28,503,0.388571428,1.663157894,0.272988505,0.454022988,0.272988505,0.084210526,0.042105263,0.36723164,0.27683616,0.3559322,0.07741935,784,1231,2015,"11241"
"Jabari Blash","SDP","AAA",26,229,0.339805825,0.692307692,0.214285714,0.321428571,0.464285714,0.211538461,0.211538461,0.5,0.28070175,0.21929825,0.14068826,429,559,988,"11247"
"Andy Wilkins","MIL","AAA",27,374,0.285087719,0.620967741,0.155462184,0.323529411,0.521008403,0.225806451,0.096774193,0.425,0.25833333,0.31666667,0.09760705,640,948,1588,"11251"
"Whit Merrifield","KCR","AAA",27,304,0.302325581,0.90625,0.171945701,0.393665158,0.43438914,0.145833333,0.083333333,0.41150442,0.24778761,0.34070796,0.08499566,386,767,1153,"11281"
"Adrian Sanchez","WSN","AAA",25,52,0.25,1.142857142,0.318181818,0.363636363,0.318181818,0.214285714,0,0.40909091,0.34090909,0.25,0.06598985,67,130,197,"11338"
"Jesus Aguilar","CLE","AAA",26,578,0.255263157,0.847058823,0.224691358,0.355555555,0.419753086,0.152941176,0.176470588,0.51581509,0.25304136,0.23114355,0.10460993,887,1369,2256,"11342"
"Carlos Rivero","ARI","AAA",28,446,0.302839116,0.692307692,0.209580838,0.323353293,0.467065868,0.205128205,0.121794871,0.42857143,0.25595238,0.31547619,0.09601449,571,1085,1656,"1136"
"Brett Eibner","KCR","AAA",27,237,0.335820895,1.265306122,0.234482758,0.427586206,0.337931034,0.122448979,0.244897959,0.44897959,0.26530612,0.28571429,0.08998989,405,584,989,"11369"
"Michael Choice","CLE","AAA",26,276,0.301886792,1.059701492,0.183431952,0.420118343,0.396449704,0.223880597,0.208955223,0.49710983,0.26011561,0.24277457,0.15643564,346,664,1010,"11376"
"Delino DeShields","TEX","AAA",23,249,0.349315068,1.530612244,0.156462585,0.510204081,0.333333333,0.244897959,0.061224489,0.49668874,0.1986755,0.30463576,0.1003937,428,588,1016,"11379"
"Drew Maggi","LAD","AAA",27,162,0.333333333,1.818181818,0.169642857,0.535714285,0.294642857,0.212121212,0.06060606,0.47368421,0.25438596,0.27192982,0.06570513,237,387,624,"11381"
"Matthew den Dekker","WSN","AAA",28,421,0.26848249,1.326086956,0.176923076,0.469230769,0.353846153,0.25,0.086956521,0.45660377,0.25283019,0.29056604,0.12336555,672,1087,1759,"11385"
"Kyle Waldrop","CIN","AAA",24,355,0.289473684,1.344444444,0.218518518,0.448148148,0.333333333,0.3,0.055555555,0.46494465,0.21402214,0.32103321,0.09726962,378,794,1172,"11402"
"Gary Sanchez","NYY","AAA",23,313,0.301724137,1.021052631,0.186440677,0.411016949,0.402542372,0.27368421,0.105263157,0.55785124,0.2107438,0.23140496,0.09014322,451,736,1187,"11442"
