Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chris Owings","PIT","AAA",31,86,316,371,76,43,15,3,15,50,41,51,1,106,2,1,1,2,4,5,0.240506329,"10030"
"Billy Hamilton","CHW","AAA",32,36,95,113,17,12,3,1,1,19,4,14,0,35,1,1,2,0,8,0,0.178947368,"10199"
"Jose Iglesias","SDP","AAA",33,28,123,135,39,21,13,1,4,22,27,9,0,22,0,3,0,2,0,1,0.31707317,"10231"
"Rafael Ortega","NYM","AAA",32,74,281,339,64,37,18,0,9,51,41,54,0,57,1,2,1,4,14,8,0.227758007,"10323"
"Jon Singleton","MIL","AAA",31,82,298,364,86,48,15,1,22,50,57,63,1,75,0,3,0,5,1,1,0.288590604,"10441"
"Adeiny Hechavarria","KCR","AAA",34,36,127,141,28,14,8,0,6,18,24,12,1,32,1,1,0,3,0,0,0.22047244,"10459"
"Cesar Hernandez","SEA","AAA",33,43,125,164,34,26,8,0,0,27,14,37,0,34,0,1,1,5,7,2,0.272,"10556"
"David Freitas","LAD","AAA",34,29,112,129,33,21,7,0,5,17,26,12,0,24,2,3,0,2,0,0,0.294642857,"10619"
"Rob Brantly","TOR","AAA",33,46,144,177,39,28,10,0,1,22,16,18,0,21,12,3,0,3,0,0,0.270833333,"10655"
"Ryan LaMarre","MIN","AAA",34,28,93,108,19,10,6,0,3,12,12,12,0,33,3,0,0,1,7,1,0.204301075,"10700"
"Rangel Ravelo","SDP","AAA",31,59,203,258,63,46,9,0,8,47,35,42,0,36,5,7,0,10,0,0,0.310344827,"10839"
"Elliot Soto","MIN","AAA",33,53,164,184,35,25,7,2,1,23,13,14,0,59,2,1,3,6,9,0,0.213414634,"11155"
"Kole Calhoun","LAD","AAA",35,58,232,266,69,38,17,5,9,46,46,27,0,48,4,3,0,3,0,0,0.297413793,"11200"
"Jake Marisnick","CHW","AAA",32,41,120,145,32,19,9,2,2,14,17,19,0,33,5,1,0,3,9,1,0.266666666,"11339"
"Jesus Aguilar","ATL","AAA",33,56,203,241,55,43,7,0,5,26,34,34,2,49,1,3,0,4,0,0,0.27093596,"11342"
"Delino DeShields","SEA","AAA",30,12,45,50,10,10,0,0,0,7,2,5,0,8,0,0,0,0,3,2,0.222222222,"11379"
"Gary Sanchez","NYM","AAA",30,24,81,106,17,13,3,0,1,9,13,20,0,29,4,1,0,2,1,0,0.209876543,"11442"
"Tony Wolters","MIN","AAA",31,57,172,215,42,31,8,0,3,25,21,36,0,46,5,2,0,5,0,1,0.244186046,"11470"
"Dixon Machado","HOU","AAA",31,74,239,293,55,40,7,1,7,35,33,51,0,48,2,1,0,12,1,0,0.230125523,"11472"
"Henry Ramos","CIN","AAA",31,76,280,327,89,55,18,3,13,52,55,41,1,65,4,1,1,5,6,4,0.317857142,"11481"
"Yolmer Sanchez","ATL","AAA",31,117,377,481,89,64,15,2,8,55,62,89,0,106,5,9,1,1,4,3,0.23607427,"11602"
"Nick Martini","CIN","AAA",33,93,345,417,95,57,20,3,15,64,65,60,0,87,9,3,0,5,0,1,0.275362318,"12005"
"Niko Goodrum","BOS","AAA",31,65,218,286,61,43,9,1,8,49,36,66,2,60,1,1,0,1,7,3,0.279816513,"12092"
"Juniel Querecuto","STL","AAA",30,106,390,440,105,75,15,2,13,53,57,40,0,101,5,2,3,6,12,1,0.269230769,"12140"
"Ben Gamel","SDP","AAA",31,77,273,332,78,47,17,1,13,51,44,53,1,73,2,3,1,5,6,4,0.285714285,"12160"
"Jorge Alfaro","COL","AAA",30,64,254,278,74,48,17,2,7,27,39,14,0,65,7,3,0,4,5,0,0.291338582,"12180"
"Jake Hager","ARI","AAA",30,56,188,209,46,25,13,5,3,29,30,14,0,47,2,2,3,10,1,3,0.244680851,"12198"
"Taylor Motter","STL","AAA",33,56,208,236,53,32,12,1,8,31,26,27,1,59,1,0,0,3,8,1,0.254807692,"12399"
"John Hicks","PHI","AAA",33,54,180,206,38,23,12,0,3,26,23,19,0,56,2,4,1,5,11,1,0.211111111,"12547"
"Phillip Evans","ARI","AAA",30,128,481,590,150,113,24,2,11,107,88,92,4,75,8,9,0,18,2,2,0.311850311,"12950"
