Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Christian Bethancourt","TOR","AAA",33,214,0.051401869,0.261682242,0.196428571,0.173469387,0.219047619,0.331632653,0.550680272,0.158163266,3.310310194713973,0.2,-0.30303632002323866,10.862343975263421,-17.143175832075293,0.2438830106031327,42.47990511493734,"10028"
"Max Stassi","SFG","AAA",34,84,0.154761904,0.214285714,0.722222222,0.264705882,0.404761904,0.382352941,0.787114845,0.117647059,3.1334776313943,0.346938775,-0.009400689974427223,13.426501971416544,1.0900263606835112,0.37390851477781933,118.78858958417553,"10059"
"Tucker Barnhart","TEX","AAA",34,125,0.136,0.192,0.708333333,0.213592233,0.338709677,0.330097087,0.668806764,0.116504854,2.2123934458569017,0.256410256,-0.7719073174521327,13.580068188447553,-4.777782422762315,0.31790762707110376,78.31627804193027,"10200"
"Jon Singleton","HOU","AAA",33,472,0.163135593,0.266949152,0.611111111,0.201530612,0.334745762,0.37755102,0.712296782,0.176020408,2.397633262493036,0.244979919,-1.1112883142195642,56.600694498428666,-9.135470071426072,0.3296121029277979,91.59976710710414,"10441"
"Carlos Perez","CHC","AAA",34,465,0.109677419,0.165591397,0.662337662,0.286069651,0.37204301,0.572139303,0.944182313,0.286069652,2.7629040561131,0.290429042,-1.213598652742803,87.76869772144272,26.915582252225423,0.4080568853244987,138.15310040560578,"10642"
"Jurickson Profar","ATL","AAA",32,59,0.13559322,0.101694915,1.333333333,0.333333333,0.406779661,0.583333333,0.990112994,0.25,0.7083333274999999,0.309523809,-0.15226335637271404,11.816360078206417,4.095212093940136,0.42177150815220205,155.81515679930843,"10815"
"Yasmani Grandal","BOS","AAA",36,94,0.138297872,0.159574468,0.866666666,0.256410256,0.372340425,0.397435897,0.769776322,0.141025641,0.72753455875,0.29032258,-0.23685410991311073,13.555722183488403,1.2542321746573795,0.3550657287557074,109.36866438834242,"11368"
"Gary Sanchez","BAL","AAA",32,57,0.087719298,0.192982456,0.454545454,0.367346938,0.45614035,0.75510204,1.21124239,0.387755102,1.35609243375,0.375,-0.1607224317267537,15.88365143201638,8.424237277725227,0.51502728985067,216.06373528706195,"11442"
"Dixon Machado","CHC","AAA",33,331,0.151057401,0.178247734,0.847457627,0.220588235,0.344512195,0.301470588,0.645982783,0.080882353,3.021812006585055,0.264150943,-0.9528947295621037,35.42304391254894,-7.8939049483347725,0.3108174152127126,75.67415437376982,"11472"
"Yolmer Sanchez","LAA","AAA",33,492,0.136178861,0.231707317,0.587719298,0.246376811,0.356557377,0.328502415,0.685059792,0.082125604,5.037976375532279,0.32885906,-0.882173138204962,57.72243730535963,-14.534062700362417,0.3274033773140829,75.42620420466334,"11602"
"Brandon Drury","LAA","AAA",32,201,0.124378109,0.208955223,0.595238095,0.220930232,0.333333333,0.331395348,0.664728681,0.110465116,3.0626000282596535,0.275590551,-0.9417040664702654,21.499821851730296,-7.267795105695773,0.31449312535091417,69.30695169755133,"11615"
"Nick Martini","OAK","AAA",35,360,0.138888888,0.183333333,0.757575757,0.258620689,0.383333333,0.434482758,0.817816091,0.175862069,3.3928571400000003,0.294117647,-0.7927311947569251,56.07549630490901,3.2048865446245856,0.3694523534628266,97.12025816974472,"12005"
"Eddie Rosario","MIL","AAA",33,152,0.125,0.217105263,0.575757575,0.3125,0.388157894,0.4921875,0.880345394,0.1796875,5.253900844958628,0.375,0.48700929898768663,25.524894556002373,4.529407074646705,0.3820245091120402,125.12608501570674,"12155"
"Ben Gamel","LAA","AAA",33,199,0.16080402,0.256281407,0.62745098,0.274390243,0.40201005,0.512195121,0.914205171,0.237804878,3.4968350566901143,0.352380952,-1.030687302350998,37.59438891996324,9.520394819869395,0.4046766203851556,131.88061172721712,"12160"
"Jorge Alfaro","MIL","AAA",32,326,0.033742331,0.365030674,0.092436974,0.244299674,0.285276073,0.429967426,0.715243499,0.185667752,7.027530510714871,0.344827586,1.833241987042129,36.12630795718989,-6.536306328756005,0.31533680828802424,87.59401001764394,"12180"
"James McCann","ATL","AAA",35,160,0.05625,0.25625,0.219512195,0.297297297,0.33125,0.493243243,0.824493243,0.195945946,1.24658054,0.365384615,-0.3045267127454281,23.59736356273053,2.658657164720275,0.358960597962141,115.45747628681804,"12859"
"Michael Perez","ARI","AAA",32,74,0.081081081,0.256756756,0.315789473,0.272727272,0.351351351,0.424242424,0.775593775,0.151515152,0.14285714,0.355555555,-0.14957192353904247,10.283754289461514,-0.5840932723747296,0.35108141480265437,86.47926389442814,"12977"
"Ildemaro Vargas","ARI","AAA",33,241,0.087136929,0.091286307,0.954545454,0.254629629,0.327800829,0.388888888,0.716689717,0.134259259,5.8502140443567585,0.263157894,-0.18878659466281533,27.789648424737894,-7.604287553674733,0.32520235524632624,70.36095247474245,"13324"
"Jake Lamb","SFG","AAA",34,176,0.119318181,0.25,0.477272727,0.24,0.352272727,0.353333333,0.70560606,0.113333333,1.79058440875,0.326923076,-0.36645121267065406,21.53083480790481,-4.317018852678684,0.3328857577659867,93.23829586613633,"13329"
"Omar Narvaez","CHW","AAA",33,295,0.145762711,0.169491525,0.86,0.25409836,0.376271186,0.352459016,0.728730202,0.098360656,1.08035714,0.298429319,-0.7420919751748443,40.132547950621756,-2.184238428000298,0.3467145398511725,98.59915885264188,"13338"
"Luke Maile","KCR","AAA",34,101,0.178217821,0.217821782,0.818181818,0.280487804,0.415841584,0.353658536,0.76950012,0.073170732,4.0210849027118405,0.372881355,0.07855514250695705,15.717683310152097,2.5001248964081255,0.36864164501133534,115.53790669163931,"13355"
"Jeimer Candelario","NYY","AAA",31,322,0.096273291,0.291925465,0.329787234,0.204225352,0.295031055,0.352112676,0.647143731,0.147887324,2.0626120123395286,0.273224043,-1.04139934014529,30.75067330698456,-11.38847331901108,0.29711246231327887,73.63702364411743,"13621"
"Jack Lopez","SEA","AAA",32,396,0.05050505,0.28030303,0.18018018,0.232492997,0.275324675,0.347338935,0.62266361,0.114845938,6.190540188959588,0.305785123,1.9792765560559928,28.98567551349294,-29.171995222819927,0.27913876911262414,53.47313417650539,"13663"
"Tomas Nido","DET","AAA",31,189,0.058201058,0.243386243,0.239130434,0.209302325,0.267379679,0.331395348,0.598775027,0.122093023,1.60119047125,0.25409836,-0.3299039388075471,14.154936213059917,-10.578910719589697,0.27259767852365013,62.95263105704437,"13755"
"Travis Jankowski","NYM","AAA",34,75,0.133333333,0.16,0.833333333,0.23076923,0.333333333,0.338461538,0.671794871,0.107692308,5.790146452057568,0.25490196,0.1561772134155035,8.296504597744775,-1.5185140263225323,0.3151026264826457,80.01069691117759,"13768"
"Albert Almora Jr.","MIA","AAA",31,325,0.083076923,0.172307692,0.482142857,0.271477663,0.334365325,0.395189003,0.729554328,0.12371134,6.108582040106347,0.317596566,-1.3477883976884186,40.03067816946185,-5.156386925247549,0.32959569220203366,85.39560490998856,"14109"
"Eric Haase","MIL","AAA",32,77,0.142857142,0.259740259,0.55,0.203125,0.311688311,0.3125,0.624188311,0.109375,0.8765527900000001,0.266666666,-0.1607224317267537,7.047948376477809,-3.028804077564626,0.2923925356431441,72.85170454568681,"14111"
"Andrew Velazquez","NYY","AAA",30,368,0.076086956,0.252717391,0.301075268,0.242424242,0.303867403,0.345454545,0.649321948,0.103030303,6.174202957003292,0.32051282,2.4416270311921835,35.27253863333056,-12.886486082093016,0.2975292337533519,73.83259934703591,"14196"
"Joey Meneses","NYM","AAA",33,419,0.06921241,0.14797136,0.467741935,0.264935064,0.322195704,0.446753246,0.76894895,0.181818182,2.752667176548085,0.290734824,-0.33593954984098673,55.29938667899535,0.4661492992059965,0.3405147591276032,97.94222439146971,"14366"
"Joe Hudson","HOU","AAA",34,80,0.1,0.45,0.222222222,0.114285714,0.215189873,0.257142857,0.47233273,0.142857143,1.4409340587500001,0.161290322,-0.09722175030037761,1.5906092199578148,-10.158415171216502,0.22082475770877885,23.896459650622678,"14412"
"Franchy Cordero","WSN","AAA",30,166,0.090361445,0.259036144,0.348837209,0.213333333,0.289156626,0.333333333,0.622489959,0.12,0.53529899625,0.27184466,-0.3214448634535074,14.427417391835883,-7.296490496099755,0.2868963555399194,66.47859500466376,"14567"
