Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Keyvius Sampson","CIN","AAA",25,62.1,8.951872388207125,3.032085808908865,2.95238095,0.4331551155584093,0.25619835,0.08677686,0.16942149,0.17272727,0.946524141405413,0.22580645,0.82437276,1.877005500753107,2.864418746433127,-0.98741324568002,3.205473929859749,"10039"
"Ryan Weber","ATL","AAA",25,62,5.951612903225806,2.032258064516129,2.92857143,0.14516129032258066,0.15298507,0.05223881,0.10074627,0.26,1.2741935483870968,0.30769231,0.75980392,2.7580645161290325,2.9272961216588174,-0.1692316055297849,3.4678735429240812,"10160"
"Edgar Olmos","BAL","AAA",26,68.2,9.96116652422659,3.669903456294007,2.71428571,0.5242719223277152,0.26760563,0.09859155,0.16901408,0.2480315,1.325242914772836,0.33908046,0.76659039,2.883495572802434,3.0236005159943087,-0.14010494319187483,3.020712454821935,"10174"
"Jacob Turner","CHW","AAA",25,107,7.149532710280374,2.439252336448598,2.93103448,0.8411214953271028,0.18358531,0.06263499,0.12095032,0.2900232,1.439252336448598,0.3422619,0.67832168,4.710280373831775,3.692596091511094,1.0176842823206815,3.465658965734678,"10185"
"Shelby Miller","ARI","AAA",25,50.2,9.769735861353034,1.7763156111550973,5.5,0.7105262444620389,0.26315789,0.04784689,0.21531101,0.27777778,1.2828946080564592,0.36690647,0.69536424,3.907894344541214,3.227460172896235,0.6804341716449791,3.079979520720802,"10197"
"Aaron Northcraft","SDP","AAA",26,50,8.28,3.78,2.19047619,0.9,0.20264317,0.09251101,0.11013216,0.30049261,1.64,0.36842105,0.66666667,5.04,4.620881175994874,0.41911882400512646,4.548400071412325,"10218"
"Andy Oliver","BAL","AAA",28,86.2,8.723077946950818,3.7384619772646364,2.33333333,0.6230769962107727,0.22641509,0.09703504,0.12938005,0.25525526,1.3961540100278427,0.32510288,0.76788831,3.42692347915925,3.446154714956795,-0.019231235797545043,3.619596276509466,"10257"
"Justin Marks","TBR","AAA",28,140,8.164285714285715,3.407142857142857,2.39622642,0.9,0.21709402,0.09059829,0.12649573,0.23674242,1.2714285714285714,0.28682171,0.68965517,3.857142857142857,3.8763744626726426,-0.019231605529785423,3.678859335609845,"10265"
"Josh Smoker","NYM","AAA",27,57,12.789473684210526,2.8421052631578947,4.5,0.7894736842105263,0.3201581,0.07114625,0.24901186,0.28085106,1.4736842105263157,0.40939597,0.67532468,4.105263157894737,2.9664952110825924,1.1387679468121448,2.6706705777268662,"10285"
"Chad Bell","TEX","AAA",27,98.1,8.054237704738693,3.9355934239064063,2.04651163,0.3661017138517587,0.21307506,0.10411622,0.10895884,0.24661247,1.3627119348926575,0.31407942,0.7496136,3.2949154246658288,3.351567468537715,-0.05665204387188627,3.600946933388533,"10297"
"Chris Heston","SFG","AAA",28,81.1,5.864754465119063,3.540983827996415,1.65625,0.8852459569991038,0.14971751,0.09039548,0.05932203,0.25786164,1.4016394319152476,0.28793774,0.71161049,4.536885529620407,5.0241599460213315,-0.4872744164009246,5.151140366988434,"10302"
"Jarred Cosart","MIA","AAA",26,50.2,5.328946833465292,4.440789027887743,1.2,1.4210524889240779,0.13392857,0.11160714,0.02232143,0.27638191,1.578947209915642,0.29192547,0.72674419,4.0855259056567235,6.06956515074439,-1.9840392450876667,5.133291794358853,"10304"
"Roman Mendez","BOS","AAA",25,64,8.296875,3.796875,2.18518519,0.84375,0.22180451,0.10150376,0.12030075,0.20851064,1.1875,0.25294118,0.75418994,3.375,3.9973566055297853,-0.6223566055297853,4.017486225161702,"10307"
"Edwin Escobar","BOS","AAA",24,98,5.969387755102041,3.3979591836734695,1.75675676,0.7346938775510204,0.15258216,0.08685446,0.0657277,0.27272727,1.4489795918367347,0.31089744,0.71958457,3.9489795918367347,4.671273553614713,-0.7222939617779787,4.930669138915076,"10337"
"Juan Minaya","HOU","AAA",25,52,8.134615384615385,3.4615384615384617,2.35,0.5192307692307693,0.21076233,0.0896861,0.12107623,0.23880597,1.3076923076923077,0.29801325,0.66869301,3.6346153846153846,3.6495223881862366,-0.014907003570852062,3.9807365050724948,"10341"
"Brooks Pounders","KCR","AAA",25,80.1,10.082988190266349,4.14522847822061,2.43243243,0.5601660105703526,0.26315789,0.10818713,0.15497076,0.22333333,1.2946058910959262,0.30243902,0.78431373,3.136929659193975,3.857810645245404,-0.7208809860514291,4.456868239547872,"10387"
"Drew Hayes","CIN","AAA",28,59,6.254237288135593,4.11864406779661,1.51851852,0.4576271186440678,0.15708812,0.10344828,0.05363985,0.26293103,1.4915254237288136,0.30851064,0.61771562,4.11864406779661,3.914994317394192,0.20364975040241795,4.364909420377117,"10528"
"Donn Roach","DET","AAA",26,137.2,5.426149995768041,1.5690072276919638,3.45833333,0.5230024092306546,0.14561404,0.04210526,0.10350877,0.26802218,1.2276028772219532,0.30444444,0.65110565,3.8571427680760775,3.783600745896875,0.07354202217920269,3.964005174209828,"10620"
"Scott Copeland","TOR","AAA",28,50.1,5.900662847926951,3.0397354065078237,1.94117647,0.5364238952660866,0.15865385,0.08173077,0.07692308,0.23684211,1.2317882039443468,0.27272727,0.74829932,3.0397354065078237,3.705655500795872,-0.6659200942880483,3.70795137898506,"10706"
"Drew Hutchison","TOR","AAA",25,138,9,3.260869565217391,2.76,1.0434782608695652,0.23916811,0.08665511,0.152513,0.22157996,1.1956521739130435,0.27123288,0.73041169,3.5869565217391304,3.9373475475587707,-0.3503910258196403,3.5562247902154924,"10732"
"Tyler Cravy","MIL","AAA",26,56.1,10.384616322228815,4.4733731849601055,2.32142857,0.7988166401714474,0.26,0.112,0.148,0.25339367,1.491124394986702,0.33774834,0.57692308,5.911243137268711,4.111413755634247,1.7998293816344635,4.175259515641658,"10770"
"Jake Dunning","SFG","AAA",27,59.1,6.522472469241751,4.398876781581645,1.48275862,0.6067416250457442,0.16165414,0.10902256,0.05263158,0.26293103,1.5168540626143605,0.30810811,0.64876957,4.853933000365954,4.866948689970168,-0.013015689604213954,5.349496087465534,"10803"
"Asher Wojciechowski","HOU","AAA",27,75,6.479999835205082,4.439999887084964,1.45945946,1.319999966430665,0.1529745,0.10481586,0.04815864,0.29032258,1.6933332902696407,0.32244898,0.68877551,5.27999986572266,5.9075477870517314,-0.6275479213290716,5.733848977156504,"10836"
"Christian Bergman","COL","AAA",28,51.2,5.748386530881177,2.090322374865883,2.75,1.3935482499105885,0.15348837,0.05581395,0.09767442,0.25870647,1.2387095554760785,0.275,0.76642336,3.6580641560152944,5.269268120339971,-1.6112039643246767,4.910138014795415,"10925"
"Jake Buchanan","CHC","AAA",26,141,6.702127659574468,2.425531914893617,2.76315789,0.3829787234042553,0.17269737,0.0625,0.11019737,0.2745098,1.3617021276595744,0.32888889,0.6490135,4.340425531914893,3.7847109632289158,0.5557145686859775,4.067959828135815,"10962"
"Tim Adleman","CIN","AAA",28,56.2,6.0352935759336965,1.588235151561499,3.8,0.6352940606245996,0.16740088,0.04405286,0.12334802,0.24186047,1.0941175488534771,0.27745665,0.78767123,2.3823527273422487,3.3809962924046517,-0.998643565062403,3.5267451857736964,"10968"
"Ben Rowen","MIL","AAA",27,58,6.982758850319923,2.172413864543976,3.21428571,0.15517241889599828,0.19067797,0.05932203,0.13135593,0.25675676,1.2241379712906533,0.31818182,0.8045977,2.3275862834399743,2.667236137963015,-0.33964985452304086,3.0956080736172176,"10983"
"Casey Lawrence","TOR","AAA",28,87,6,2.4827586206896552,2.41666667,0.5172413793103449,0.15675676,0.06486486,0.09189189,0.25364431,1.2758620689655173,0.29285714,0.62616822,3.8275862068965516,3.514059191736682,0.31352701515986947,3.726898326887482,"11121"
"Mike Bolsinger","LAD","AAA",28,54.1,10.104295069705932,3.4785278108823703,2.9047619,0.9938650888235343,0.25630252,0.08823529,0.16806723,0.28240741,1.5092025422875892,0.36912752,0.69705094,4.638037081176494,3.868578349701276,0.7694587314752179,3.3261920831096234,"11137"
"Eric Jokisch","MIA","AAA",26,59,5.6440677966101696,3.6610169491525424,1.54166667,0.7627118644067796,0.14068441,0.09125475,0.04942966,0.29535865,1.5932203389830508,0.33333333,0.70786517,4.271186440677966,4.8903727014186025,-0.6191862607406362,4.890140404186006,"11157"
"David Buchanan","PHI","AAA",27,167.1,5.1095614423676485,2.1513942915232205,2.375,0.8067728593212077,0.13848397,0.05830904,0.08017493,0.25310559,1.2131473366089272,0.27715356,0.67391304,3.9800794393179575,3.9521000838340683,0.02797935548388919,3.8544683739078445,"11176"
"Kevin Chapman","HOU","AAA",28,61,11.21311475409836,3.9836065573770494,2.81481481,0.7377049180327869,0.26388889,0.09375,0.17013889,0.26771654,1.5573770491803278,0.36416185,0.69473684,4.868852459016393,3.9667828153391356,0.9020696436772577,3.946829447565509,"11240"
"Logan Darnell","MIN","AAA",27,109.2,4.349544476405968,2.954407568879525,1.47222222,0.5744681383932411,0.11751663,0.07982262,0.03769401,0.25301205,1.2857144049753488,0.27605634,0.71646341,3.5288757072727663,4.01725600030076,-0.4883802930279937,4.373178266232625,"11261"
"Lisalverto Bonilla","LAD","AAA",26,73.2,9.651585043180997,3.298642989441607,2.92592593,0.4886878502876455,0.2476489,0.0846395,0.1630094,0.26116838,1.3981902383229856,0.34615385,0.66056911,4.2760186900168975,3.4222386008190897,0.8537800891978078,3.82723313223512,"11266"
"Zach Neal","OAK","AAA",27,61.2,4.670269885066686,1.1675674712666715,4,0.7297296695416697,0.12598425,0.03149606,0.09448819,0.25306122,1.135135041509264,0.27403846,0.6875,3.210810545983347,4.1749351925985785,-0.9641246466152316,4.369866962001014,"11294"
"Pat Dean","MIN","AAA",27,87.1,5.049618614698723,1.9580153812097087,2.57894737,1.0305344111630046,0.12564103,0.04871795,0.07692308,0.30623306,1.51145046970574,0.33225806,0.63333333,5.5648858202802245,4.257017928424068,1.3078678918561568,4.245288472792247,"11350"
"Jerome Williams","STL","AAA",34,57,5.368421052631579,2.3684210526315788,2.26666667,1.736842105263158,0.1399177,0.0617284,0.0781893,0.28318584,1.3859649122807018,0.29281768,0.76219512,4.894736842105263,5.931407491784347,-1.0366706496790838,4.794990708195327,"1137"
"Tyrell Jenkins","ATL","AAA",23,83.2,5.9163353806861645,3.764940696800286,1.57142857,0.32270920258288166,0.15406162,0.09803922,0.05602241,0.26791277,1.4462153152788402,0.31558935,0.78098472,2.4741038864687597,3.6114627349952158,-1.137358848526456,4.156174140269675,"11378"
"Anthony Ranaudo","TEX","AAA",26,110,6.790909915167538,1.2272728762350973,5.53333333,1.2272728762350973,0.18993135,0.03432494,0.15560641,0.23501199,1.027272851959748,0.26018809,0.77319588,3.190909478211253,4.045189219601152,-0.8542797413898993,3.487097203206249,"11424"
"A.J. Cole","WSN","AAA",24,124.2,7.868984599311102,2.526738174090721,3.11428571,1.1550803081557581,0.20488722,0.06578947,0.13909775,0.2641129,1.3315509107906656,0.30997305,0.71230982,4.259358636324358,3.9553279263580094,0.30403070996634884,3.465603083856953,"11467"
"Zach Lee","LAD","AAA",24,148,6.506757427602967,2.3716218661356607,2.74358974,1.3378379757688343,0.16114458,0.05873494,0.10240964,0.31078905,1.5675677291836847,0.34756098,0.60916179,6.141892525120557,5.078989424123842,1.0629031009967154,4.21177268990521,"11468"
"Dayan Diaz","CIN","AAA",27,56,7.392857142857143,2.5714285714285716,2.875,0.32142857142857145,0.2,0.06956522,0.13043478,0.24299065,1.2142857142857142,0.30120482,0.73619632,3.0535714285714284,2.8478030341012137,0.20576839447021467,3.497329092132194,"11543"
"Deck McGuire","STL","AAA",27,134,7.455223880597015,3.3582089552238807,2.22,1.4776119402985075,0.19507909,0.08787346,0.10720562,0.26070039,1.373134328358209,0.29396325,0.69532238,5.104477611940299,5.42983639987547,-0.3253587879351718,4.840234775730034,"11596"
"Toru Murata","CLE","AAA",31,102.1,5.452769000660104,2.110749290578105,2.58333333,0.6156352097519473,0.14691943,0.05687204,0.09004739,0.25822785,1.2312704195038946,0.29141104,0.68791946,3.7817591456191044,3.638287003436031,0.14347214218307336,4.07136869845,"11652"
"Jameson Taillon","PIT","AAA",24,61.2,8.90270196840837,0.8756756034500037,10.16666667,0.29189186781666787,0.25847458,0.02542373,0.23305085,0.19213974,0.8108107439351886,0.25301205,0.76763485,2.0432430747166754,1.9530154896270024,0.09022758508967299,2.5428553207024787,"11674"
"Nick Tepesch","KCR","AAA",27,116,4.810345381250343,2.172414043145316,2.21428571,0.543103510786329,0.12704918,0.05737705,0.06967213,0.26710817,1.2844829064629053,0.296875,0.68399453,3.9568970071575404,4.34157090260782,-0.38467389545027997,5.102898875776532,"11716"
"Justin Nicolino","MIA","AAA",24,85,5.188235294117647,1.3764705882352941,3.76923077,1.0588235294117647,0.14202899,0.03768116,0.10434783,0.26204819,1.1764705882352942,0.28205128,0.6627907,4.129411764705883,4.556175293641932,-0.42676352893604896,4.046156383261962,"11754"
"James Paxton","SEA","AAA",27,50.2,9.414472739122015,2.664473416732646,3.53333333,1.0657893666930582,0.25980392,0.07352941,0.18627451,0.22751323,1.1447367271888405,0.28461538,0.68548387,3.730262783425704,4.056407458101948,-0.32614467467624353,3.4195212609274366,"11828"
"Scott McGough","BAL","AAA",26,50.1,6.615892922008997,3.933774169843187,1.68181818,0.8940395840552698,0.16517857,0.09821429,0.06696429,0.28140704,1.5496686123624677,0.32484076,0.67567568,5.185429587520565,4.509716161969614,0.6757134255509509,4.280125888025908,"12056"
"Parker Markel","TBR","AAA",25,60.2,6.972526887954302,3.560439261934112,1.95833333,0.1483516359139213,0.18076923,0.09230769,0.08846154,0.24454148,1.3186812081237451,0.3038674,0.79439252,2.5219778105366624,3.367033786748347,-0.8450559762116847,3.936917981725567,"12106"
"Kendry Flores","MIA","AAA",24,91.1,7.291971209002374,3.843065907447197,1.8974359,0.7883212117840405,0.1809291,0.09535452,0.08557457,0.28296703,1.5547446121296353,0.33687943,0.70906433,4.532846967758233,4.7172315964441465,-0.18438462868591365,5.041132402280672,"12118"
"David Goforth","MIL","AAA",27,51.1,6.6623383224624355,6.136364244373296,1.08571429,0.5259740780891397,0.15966387,0.14705882,0.01260504,0.27860697,1.7727274483745077,0.33125,0.70945946,4.909091395498637,5.16243976038733,-0.2533483648886934,5.692110157558523,"12166"
"Cody Martin","SEA","AAA",26,114.1,8.973761332153735,2.5976677540445023,3.45454545,0.4723032280080913,0.24307036,0.07036247,0.17270789,0.24593968,1.215743494317124,0.32154341,0.7079646,3.6209914147287003,3.4060123573228123,0.21497905740588807,3.976366940701904,"12182"
"Ryan Sherriff","STL","AAA",26,66.2,7.425001132965261,3.1050004737854726,2.39130435,0.5400000823974735,0.19097222,0.07986111,0.11111111,0.2490566,1.3350002037048652,0.30097087,0.74340528,2.8350004325867357,3.885881201171879,-1.0508807685851433,3.9362616381123057,"12249"
"Leonel Campos","SDP","AAA",28,50,11.16,5.4,2.06666667,0.36,0.28440367,0.13761468,0.14678899,0.25,1.54,0.36290323,0.70080863,4.32,3.560881175994873,0.7591188240051272,3.8592271062731744,"12277"
"Seth Lugo","NYM","AAA",26,73.1,7.609091436843278,2.454545624788154,3.1,1.227272812394077,0.18181818,0.05865103,0.12316716,0.321875,1.6772728436052387,0.375,0.55454545,6.504545905688609,4.661790332163665,1.8427555735249435,4.2511495058167235,"12447"
"Chasen Bradford","NYM","AAA",26,65.2,7.401016374929418,1.78172616433486,4.15384615,0.6852792939749461,0.18493151,0.04452055,0.14041096,0.30215827,1.4771575892348838,0.36073059,0.64835165,4.796955057824623,3.7056527472398746,1.0913023105847484,3.7237706844741405,"12452"
"Drew Rucinski","CHC","AAA",27,155,6.735483870967742,2.496774193548387,2.69767442,0.9290322580645162,0.17008798,0.06304985,0.10703812,0.29495268,1.4838709677419355,0.34063745,0.59736595,5.922580645161291,4.49507472438197,1.4275059207793204,4.814676518305656,"12499"
"Taylor Hill","WSN","AAA",27,154.2,5.64439692295975,2.211207041984232,2.55263158,1.105603520992116,0.14719272,0.05766313,0.08952959,0.27184466,1.3318966393238356,0.29681275,0.69078947,4.5969830609672195,4.3071627148550045,0.2898203461122151,4.0293731329374864,"12515"
"Drew Gagnon","MIL","AAA",26,55,7.8545454545454545,3.4363636363636365,2.28571429,0.6545454545454545,0.20168067,0.08823529,0.11344538,0.27777778,1.4727272727272727,0.34146341,0.57591623,5.5636363636363635,4.120881175994874,1.44275518764149,4.510161971368573,"12545"
"Adam Morgan","PHI","AAA",26,50.1,9.298014184612166,1.7880796508869552,5.2,0.715231860354782,0.25870647,0.04975124,0.20895522,0.22751323,1.0529802388556513,0.29323308,0.72874494,3.0397354065078237,2.851350778705438,0.18838462780238574,2.9314248715100213,"12580"
"Mike Wright Jr.","BAL","AAA",26,76.1,5.659389023386128,1.650655131820954,3.42857143,0.9432315038976881,0.15686275,0.04575163,0.11111111,0.24742268,1.1266376296555718,0.27234043,0.75197889,3.065502387667486,3.8635547958989167,-0.7980524082314306,3.609068080691307,"12586"
"Roenis Elias","BOS","AAA",27,125,8.136,4.104,1.98245614,0.72,0.2120075,0.10694184,0.10506567,0.24468085,1.376,0.30259366,0.74390244,3.6,3.913231605529785,-0.313231605529785,3.8796643717288974,"12673"
"Phil Klein","TEX","AAA",27,78,10.153846402140065,2.076923127710468,4.88888889,0.6923077092368226,0.28571429,0.05844156,0.22727273,0.20350877,0.9743589981851577,0.27225131,0.84022039,1.9615385095043307,2.8870208675972675,-0.9254823580929368,2.941469805063294,"12675"
"Ryan Carpenter","COL","AAA",25,68.2,8.91262267957116,3.2766995145482207,2.72,2.097087689310861,0.20858896,0.07668712,0.13190184,0.34113712,1.8495148371005512,0.4,0.65666041,7.470874893169943,5.9490368458876635,1.5218380472822792,4.44466974554558,"12699"
"Nick Martinez","TEX","AAA",25,99,6.090909090909091,1.5454545454545454,3.94117647,0.6363636363636364,0.16144578,0.04096386,0.12048193,0.27806122,1.2727272727272727,0.32075472,0.69558101,3.909090909090909,3.9835074386211358,-0.0744165295302266,4.243453297756537,"12730"
"Rafael Montero","NYM","AAA",25,80,7.65,4.5,1.7,1.35,0.17662338,0.1038961,0.07272727,0.32173913,1.8875,0.37358491,0.60357675,7.2,5.470881175994873,1.729118824005127,4.919891681801528,"12760"
"Sam Gaviglio","SEA","AAA",26,63,7.142857142857143,2,3.57142857,1,0.19305019,0.05405405,0.13899614,0.24180328,1.1587301587301588,0.27807487,0.70093458,3.7142857142857144,4.292309747423444,-0.57802403313773,3.974905683147529,"12778"
"Sean Gilmartin","NYM","AAA",26,107.1,7.8819879511478,2.5993790051657637,3.03225806,1.0062112278061022,0.20042644,0.06609808,0.13432836,0.27853881,1.4254659060586445,0.3313253,0.66079295,4.863354267729494,4.289204184292764,0.5741500834367299,4.013075965314709,"12781"
"Chris Reed","MIA","AAA",26,66.2,7.290001112365893,3.6450005561829464,2,1.2150001853943153,0.19148936,0.09574468,0.09574468,0.21686747,1.2150001853943153,0.24193548,0.75268817,3.7800005767823146,5.340881423187294,-1.560880846404979,4.903658994200004,"12801"
"Mike Clevinger","CLE","AAA",25,93,9.387096774193548,3.3870967741935485,2.77142857,0.7741935483870968,0.25526316,0.09210526,0.16315789,0.22674419,1.2150537634408602,0.29288703,0.79766537,3,3.3627799926265594,-0.36277999262655936,3.36988268366424,"12808"
"Joel De La Cruz","ATL","AAA",27,57.2,6.8670514174399475,3.7456644095126985,1.83333333,0.7803467519818122,0.17670683,0.09638554,0.08032129,0.28181818,1.4913293482319079,0.33333333,0.70238095,4.682080511890874,4.279058097237252,0.40302241465362165,4.160180942659768,"12825"
"Gabriel Ynoa","NYM","AAA",23,154.1,4.548595812500803,2.332613237179899,1.95,0.8747299639424622,0.11890244,0.06097561,0.05792683,0.27868852,1.3606910550216078,0.29980658,0.71282051,3.9654425032058285,4.867749350941657,-0.9023068477358285,4.805101088613646,"12938"
"Joe Musgrove","HOU","AAA",23,59,8.694915254237289,1.0677966101694916,8.14285714,1.2203389830508475,0.24050633,0.02953586,0.21097047,0.26200873,1.1355932203389831,0.31707317,0.73943662,3.8135593220338984,3.9581693115880934,-0.14460998955419502,3.235727697535087,"12970"
"Robby Scott","BOS","AAA",26,78,8.423076923076923,1.6153846153846154,5.21428571,1.0384615384615385,0.24333333,0.04666667,0.19666667,0.20212766,0.9102564102564102,0.24,0.84935897,2.5384615384615383,3.489744426042606,-0.9512828875810677,3.3586534621623847,"13042"
"Jason Wheeler","MIN","AAA",25,145.1,6.997705932217804,2.291284243292555,3.05405405,0.8050458152108978,0.18616145,0.06095552,0.12520593,0.24162257,1.197247622621335,0.28117914,0.73677582,3.5298162666939366,3.6027178137202687,-0.07290154702633211,3.8146891639355305,"13128"
"Henry Owens","BOS","AAA",23,137.2,8.825666511714207,5.295399907028524,1.66666667,0.849878997424331,0.22689076,0.13613445,0.0907563,0.21357285,1.3656175343228567,0.26628895,0.77133479,3.5302666046856825,4.48400167846828,-0.9537350737825974,4.492758638019689,"13143"
"Frank Garces","SDP","AAA",26,114.1,7.7142860574654915,3.0699709820525936,2.51282051,1.2594752746882436,0.19253438,0.07662083,0.11591356,0.27564103,1.4693878204696176,0.31920904,0.72493225,4.4081634614088525,4.901639246015101,-0.4934757846062485,4.461277155594015,"13144"
"Adalberto Mejia","SFG","AAA",23,67,9.134328098173908,1.8805969613887457,4.85714286,1.0746268350792831,0.24285714,0.05,0.19285714,0.26415094,1.2537313075924972,0.32804233,0.74525745,4.029850631547312,3.6980935606943266,0.33175707085298534,3.5265439020743155,"13188"
"Warwick Saupold","DET","AAA",26,74.1,6.053812073425298,2.663677312307131,2.27272727,0.3632287244055179,0.16835017,0.07407407,0.09427609,0.23443223,1.156950751810168,0.27727273,0.81145585,2.3004485879016134,3.317213678435737,-1.0167650905341237,3.6032106222054963,"13211"
"Jesse Hahn","OAK","AAA",26,66.2,6.210000947570945,4.590000700378525,1.35294118,0.5400000823974735,0.15282392,0.11295681,0.03986711,0.27272727,1.590000242614783,0.31775701,0.70599613,4.320000659179788,4.785881338501001,-0.4658806793212129,4.926520531523928,"13287"
"Pedro Beato","BAL","AAA",29,68,8.205882352941176,3.176470588235294,2.58333333,0.7941176470588235,0.21830986,0.08450704,0.13380282,0.22868217,1.2205882352941178,0.27894737,0.7310705,2.6470588235294117,3.639819840823903,-0.9927610172944914,3.4877513941596536,"1330"
"Jordan Jankowski","HOU","AAA",27,71.2,12.934885556936653,3.8930238083984103,3.32258065,0.7534884790448536,0.34448161,0.10367893,0.24080268,0.20377358,1.1860466799780103,0.30769231,0.70351759,3.767442395224268,3.3580904268251284,0.40935196839913957,3.3612194040426466,"13313"
"Curtis Partch","PIT","AAA",29,60.1,8.950276997626457,4.475138498813228,2,0.1491712832937743,0.24691358,0.12345679,0.12345679,0.19339623,1.1767956793175527,0.26490066,0.77903683,2.237569249406614,2.937187387072803,-0.6996181376661887,3.5978315936668137,"1333"
"William Cuevas","BOS","AAA",25,131,5.8396946564885495,3.0916030534351147,1.88888889,1.2366412213740459,0.14991182,0.07936508,0.07054674,0.25918762,1.366412213740458,0.28019324,0.7115869,4.190839694656488,4.802819391789328,-0.6119796971328393,4.469169846563849,"13331"
"Adrian Sampson","SEA","AAA",24,80.1,6.834025328958303,1.3443984253688464,5.08333333,0.5601660105703526,0.1882716,0.03703704,0.15123457,0.26045016,1.1576764218453954,0.31020408,0.73563218,3.2489628613080455,3.496814771766732,-0.2478519104586865,3.7962582647420895,"13339"
"Luis Cessa","NYY","AAA",24,77.1,8.030172941942737,2.6767243139809125,3,0.9310345439933608,0.22330097,0.07443366,0.14886731,0.23076923,1.15086214465846,0.27751196,0.71979434,3.0258622679784226,3.6218178421932246,-0.5959555742148019,3.3842923003937506,"13345"
"Brady Rodgers","HOU","AAA",25,132,7.909090909090909,1.5681818181818181,5.04347826,0.4772727272727273,0.21886792,0.04339623,0.1754717,0.25494071,1.1515151515151516,0.31853786,0.7472067,2.8636363636363638,3.1981539032676007,-0.334517539631237,3.6028053252082883,"13393"
"Dylan Floro","TBR","AAA",25,50,7.2,1.62,4.44444444,1.08,0.19323671,0.04347826,0.14975845,0.26903553,1.24,0.31125828,0.76923077,2.88,3.7292316055297854,-0.8492316055297855,2.90925569832325,"13394"
"Damien Magnifico","MIL","AAA",25,62,8.85483870967742,4.790322580645161,1.84848485,0.2903225806451613,0.22426471,0.12132353,0.10294118,0.2394958,1.4516129032258065,0.31428571,0.66893424,4.064516129032258,3.8176553695432602,0.24686075948899777,4.232951266174355,"13395"
"Felix Pena","CHC","AAA",26,63.1,11.510527240193195,3.268421315116586,3.52173913,0.5684210982811455,0.31640625,0.08984375,0.2265625,0.1991342,1.0894737717055287,0.28767123,0.71865443,3.4105265896868726,3.1682495526659817,0.24227703702089087,3.677325796014329,"13403"
"Chris Beck","CHW","AAA",25,66.1,6.783920118162845,3.3919600590814225,2,0.6783920118162845,0.17241379,0.0862069,0.0862069,0.29389313,1.5376885601169115,0.34782609,0.74489796,4.206030473260964,3.9079251295075172,0.29810534375344666,3.9002037289241045,"13418"
"Pierce Johnson","CHC","AAA",25,63,10.714285714285714,6.142857142857143,1.74418605,1.1428571428571428,0.26041667,0.14930556,0.11111111,0.25,1.6349206349206349,0.33121019,0.66115702,6.142857142857143,5.276436731550429,0.8664204113067147,4.599864426326184,"13435"
"Eddie Butler","COL","AAA",25,89,3.539325842696629,2.6292134831460676,1.34615385,0.9101123595505618,0.09210526,0.06842105,0.02368421,0.26271186,1.3370786516853932,0.27096774,0.67669173,4.449438202247191,5.125375558017345,-0.675937355770154,5.298178802079029,"13453"
"Lucas Sims","ATL","AAA",22,50,10.44,6.66,1.56756757,2.16,0.2406639,0.15352697,0.08713693,0.27722772,1.86,0.33333333,0.65217391,7.56,6.309231605529785,1.2507683944702146,4.4789878815412525,"13470"
"Daniel Norris","DET","AAA",23,73.1,9.450000655434394,3.436363874703416,2.75,0.24545456247881542,0.240625,0.0875,0.153125,0.26804124,1.4454546457085797,0.35849057,0.64299424,4.540909405858085,2.6101406576613724,1.9307687481967126,2.990813971060267,"13475"
"Blake Snell","TBR","AAA",23,63,12.857142857142858,4,3.21428571,0.5714285714285714,0.33333333,0.1037037,0.22962963,0.23333333,1.3333333333333333,0.35616438,0.78358209,3.2857142857142856,2.566057002355182,0.7196572833591035,2.378322660544562,"13543"
"Richard Rodriguez","BAL","AAA",26,81.2,8.926531724147466,2.7551023839961317,3.24,0.5510204767992263,0.24324324,0.07507508,0.16816817,0.21452145,1.1020409535984526,0.2764977,0.81818182,2.534694193276441,3.083517309138794,-0.5488231158623531,3.46559652485138,"13549"
"Justin Haley","BOS","AAA",25,85.1,7.066406671190659,2.7421876634471216,2.57692308,0.843750050291422,0.19822485,0.07692308,0.12130178,0.22580645,1.1250000670552294,0.26382979,0.73732719,3.5859377137385438,3.802044143248352,-0.21610642950980807,3.6487306069936007,"13572"
"Robert Stephenson","CIN","AAA",23,136.2,7.902439612593459,4.675610104117797,1.69014085,1.11951227845074,0.20304569,0.12013536,0.08291032,0.22243714,1.3609757110577625,0.25789474,0.70823245,4.412195450364681,4.654597569748741,-0.2424021193840602,4.290666215474216,"13594"
"Shawn Morimando","CLE","AAA",23,59,7.016949152542373,3.2033898305084745,2.19047619,0.7627118644067796,0.18181818,0.08300395,0.09881423,0.27826087,1.4406779661016949,0.32960894,0.7625,3.5084745762711864,3.8810960123094462,-0.3726214360382598,4.015760961528552,"13606"
"Jharel Cotton","OAK","AAA",24,135.2,10.282556053559478,2.5872237812181913,3.97435897,1.3267814262657391,0.28181818,0.07090909,0.21090909,0.21135029,1.083538164783687,0.26190476,0.63865546,4.312039635363652,4.2147387068826765,0.09730092848097538,3.611131178762755,"13654"
