Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Caleb Thielbar","ATL","AAA",32,78.1,0.34,0.930232558,0.190243902,0.390243902,0.419512195,0.244186046,0.081395348,0.42512077,0.23671498,0.33816425,0.13322368,403,813,1216,"10078"
"Ryan Weber","BOS","AAA",28,78,0.32489451,1.954545454,0.190871369,0.535269709,0.273858921,0.151515151,0.136363636,0.45121951,0.21138211,0.33739837,0.07338017,459,822,1281,"10160"
"Erasmo Ramirez","BOS","AAA",29,125.1,0.28457447,1.440944881,0.201030927,0.471649484,0.327319587,0.228346456,0.141732283,0.47461929,0.2284264,0.29695431,0.09625127,741,1233,1974,"10314"
"Brooks Pounders","CLE","AAA",28,56.1,0.29411765,0.708333333,0.139860139,0.356643356,0.503496503,0.208333333,0.111111111,0.41958042,0.25874126,0.32167832,0.1125,365,595,960,"10387"
"Hunter Cervenka","STL","AAA",29,54.2,0.29032258,1.538461538,0.181818181,0.495867768,0.322314049,0.307692307,0.051282051,0.48818898,0.22047244,0.29133858,0.13406593,345,565,910,"10510"
"Donn Roach","CHW","AAA",29,79.1,0.38947368,2.34375,0.274576271,0.508474576,0.216949152,0.078125,0.25,0.48172757,0.24584718,0.27242525,0.07675277,484,871,1355,"10620"
"Scott Copeland","WSN","AAA",31,114.1,0.31736527,2.635135135,0.218023255,0.566860465,0.215116279,0.148648648,0.27027027,0.51274788,0.21246459,0.27478754,0.09920635,786,1230,2016,"10706"
"Drew Hutchison","NYY","AAA",28,131.1,0.32972973,1.284615384,0.214285714,0.441798941,0.343915343,0.176923076,0.153846153,0.4629156,0.24040921,0.29667519,0.125,864,1456,2320,"10732"
"Mike Foltynewicz","ATL","AAA",27,51.1,0.31578947,1.09090909,0.238410596,0.397350993,0.36423841,0.309090909,0.018181818,0.39215686,0.21568627,0.39215686,0.11029412,296,520,816,"10811"
"Asher Wojciechowski","CLE","AAA",30,84.2,0.22641509,0.529411764,0.198237885,0.277533039,0.524229074,0.226890756,0.159663865,0.46521739,0.21304348,0.32173913,0.10612536,513,891,1404,"10836"
"Chasen Shreve","STL","AAA",28,60,0.27464789,0.643835616,0.183673469,0.319727891,0.496598639,0.232876712,0.08219178,0.41610738,0.26845638,0.31543624,0.15261044,347,649,996,"10855"
"Josh A. Smith","BOS","AAA",31,67.1,0.37628866,1,0.226130653,0.386934673,0.386934673,0.181818181,0.116883116,0.43627451,0.21078431,0.35294118,0.13480176,398,737,1135,"10946"
"Jake Buchanan","OAK","AAA",29,104,0.33130699,1.542056074,0.222857142,0.471428571,0.305714285,0.140186915,0.224299065,0.42492918,0.2776204,0.29745042,0.08854167,652,1076,1728,"10962"
"Tim Adleman","DET","AAA",31,103,0.27131783,0.946902654,0.176029962,0.400749063,0.423220973,0.221238938,0.123893805,0.48897059,0.27573529,0.23529412,0.1324228,615,1069,1684,"10968"
"Ryan O'Rourke","MIN","AAA",31,56,0.29787234,1.428571428,0.156028368,0.4964539,0.34751773,0.387755102,0.081632653,0.48275862,0.24827586,0.26896552,0.11758691,398,580,978,"10976"
"Ben Rowen","ATL","AAA",30,77.2,0.29059829,1.215189873,0.258474576,0.406779661,0.334745762,0.164556962,0.050632911,0.41176471,0.2605042,0.32773109,0.07651715,362,775,1137,"10983"
"Tyler Lyons","PIT","AAA",31,50.1,0.29411765,1.0625,0.18852459,0.418032786,0.393442622,0.291666666,0.083333333,0.5203252,0.25203252,0.22764228,0.12911084,294,527,821,"11334"
"Sean Nolin","SEA","AAA",29,79.1,0.29545455,0.87755102,0.2,0.373913043,0.426086956,0.142857142,0.132653061,0.44871795,0.23931624,0.31196581,0.10189573,445,821,1266,"11341"
"Pat Dean","COL","AAA",30,90.2,0.35423197,1.122137404,0.189504373,0.428571428,0.381924198,0.129770992,0.259541984,0.41260745,0.33237822,0.25501433,0.08513342,539,1035,1574,"11350"
"Zach Lee","NYM","AAA",27,74.2,0.40316206,1.927536231,0.204724409,0.523622047,0.271653543,0.159420289,0.115942028,0.41538462,0.24230769,0.34230769,0.08238851,490,833,1323,"11468"
"Parker Bridwell","LAA","AAA",27,88.2,0.38327526,0.956521739,0.25,0.366666666,0.383333333,0.217391304,0.156521739,0.37377049,0.29180328,0.33442623,0.1060699,607,1024,1631,"11502"
"Dovydas Neverauskas","PIT","AAA",26,52,0.3553719,1.02173913,0.267716535,0.37007874,0.362204724,0.217391304,0.173913043,0.42635659,0.29457364,0.27906977,0.14317181,329,579,908,"11604"
"Mike Kickham","MIA","AAA",30,86.1,0.31726908,1.34939759,0.22,0.448,0.332,0.096385542,0.120481927,0.43461538,0.26153846,0.30384615,0.13159698,528,931,1459,"11618"
"Justin Grimm","LAD","AAA",30,65.1,0.35849057,0.880597014,0.207547169,0.371069182,0.421383647,0.268656716,0.089552238,0.38787879,0.32121212,0.29090909,0.15771812,482,710,1192,"11720"
"Justin Nicolino","CHW","AAA",27,135.1,0.28985507,1,0.232505643,0.383747178,0.383747178,0.152941176,0.211764705,0.44866071,0.25223214,0.29910714,0.10924772,708,1379,2087,"11754"
"Enderson Franco","SFG","AAA",26,113,0.33625731,0.917808219,0.215686274,0.37535014,0.408963585,0.198630136,0.164383561,0.45776567,0.23160763,0.3106267,0.12298387,670,1314,1984,"11896"
"Domingo Tapia","BOS","AAA",27,66,0.32195122,1.612903225,0.213592233,0.485436893,0.300970873,0.225806451,0.129032258,0.43192488,0.21596244,0.35211268,0.10294118,410,678,1088,"12178"
"Seth Maness","TEX","AAA",30,117,0.33746898,1.239726027,0.210144927,0.437198067,0.352657004,0.232876712,0.130136986,0.4478673,0.25592417,0.29620853,0.07563025,558,1227,1785,"12235"
"Colin Rea","CHC","AAA",28,148,0.29274005,1.342465753,0.21559633,0.449541284,0.334862385,0.239726027,0.116438356,0.46966292,0.19775281,0.33258427,0.08210784,928,1520,2448,"12317"
"Kevin Quackenbush","LAD","AAA",30,58.2,0.35714286,0.894736842,0.260273972,0.349315068,0.390410958,0.175438596,0.157894736,0.32885906,0.33557047,0.33557047,0.13434248,358,699,1057,"12360"
