Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Michael Mariot","SEA","AAA",36,4,4,5.739130434782608,23,8,0,0,0,0,,69,323,93,47,44,11,25,0,5,2,0,52,"10835"
"Casey Lawrence","SEA","AAA",37,9,3,5.31,20,19,1,0,0,0,,100,430,113,64,59,16,19,0,3,2,2,54,"11121"
"Vince Velasquez","CLE","AAA",33,5,4,3.416326956155203,18,18,0,0,0,0,,81.2,355,71,35,31,8,50,0,3,7,1,95,"11189"
"Aaron Brooks","OAK","AAA",35,3,6,5.777292961373339,16,12,0,0,0,1,,76.1,344,88,60,49,16,29,0,3,1,0,55,"12272"
"Mike Clevinger","CHW","AAA",34,7,3,4.201987179584345,22,22,0,0,0,0,,100.2,425,98,51,47,17,36,0,2,1,0,93,"12808"
"Michael Fulmer","SEA","AAA",32,1,3,3.391959961549,45,4,0,0,5,1,,66.1,277,53,30,25,7,29,1,3,1,0,86,"13218"
"Adrian Sampson","WSN","AAA",33,5,5,4.4103591019660495,16,16,0,0,0,0,,83.2,358,79,44,41,11,30,0,5,1,3,45,"13339"
"Carl Edwards Jr.","TEX","AAA",33,2,1,4.440789195061408,15,8,0,0,2,0,,50.2,221,58,31,25,7,16,0,2,1,1,57,"13607"
"John Gant","KCR","AAA",32,5,5,6,19,19,0,0,0,0,,81,375,93,57,54,12,45,0,2,8,1,69,"13684"
"Joey Krehbiel","KCR","AAA",32,5,2,5.337209775810222,45,0,0,0,4,3,,57.1,264,70,39,34,5,19,1,1,2,0,51,"13707"
"Dietrich Enns","DET","AAA",34,2,2,2.8877007703893955,14,14,0,0,0,0,,62.1,266,61,26,20,4,15,0,3,1,0,71,"13932"
"Ty Blach","TEX","AAA",34,3,0,3.8823529411764706,11,11,0,0,0,0,,51,224,61,29,22,5,13,0,2,1,0,40,"14361"
"Zack Weiss","STL","AAA",33,3,2,5.427136094530276,43,0,0,0,2,2,,66.1,288,65,44,40,17,36,1,1,6,1,77,"15444"
"Jose De Leon","BOS","AAA",32,0,9,6.929204007660453,22,13,0,0,0,0,,75.1,362,78,59,58,16,52,0,10,4,0,89,"15463"
"Adam Plutko","CIN","AAA",33,8,7,4.7432437322713215,21,20,1,0,0,0,,98.2,419,95,54,52,17,30,0,3,1,0,61,"15846"
"Aaron Wilkerson","STL","AAA",36,7,3,3.8908295646957476,29,29,0,0,0,0,,152.2,608,135,67,66,27,30,0,3,1,0,118,"16904"
"Touki Toussaint","LAA","AAA",29,3,3,7.339806912588014,24,4,0,0,2,1,,68.2,329,78,61,56,11,52,0,5,3,1,72,"16929"
"Nabil Crismatt","PHI","AAA",30,5,6,3.9576549198339466,20,20,0,0,0,0,,102.1,426,100,49,45,15,25,0,3,1,0,70,"17732"
"Carson Fulmer","PIT","AAA",31,2,3,3.975459517953162,22,6,0,0,0,0,,54.1,238,57,25,24,5,22,1,1,2,0,50,"18311"
