Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"David Freitas 프레이타스","Heroes (KBO)",32,148,0.047297297,0.195945945,0.24137931,0.258992805,0.297297297,0.374100719,0.671398016,0.115107914,1.1946864025000001,0.311926605,-0.03911644592881203,14.428696789579874,-3.7516433812804175,0.3119922566252786,79.3642839131602,"David Freitas","10619",
"Jared Hoying 호잉","Wiz (KBO)",32,297,0.087542087,0.181818181,0.481481481,0.236641221,0.309764309,0.41221374,0.721978049,0.175572519,4.099986843160858,0.252475247,0.042854087078012526,33.2544812117775,-3.229039266232673,0.330265828916582,91.14932105255872,"Jared Hoying","10882",
"Aaron Altherr 알테어","Dinos (KBO)",30,565,0.100884955,0.276106194,0.365384615,0.272357723,0.357522123,0.514227642,0.871749765,0.241869919,5.512321220283612,0.330097087,1.6321942132199183,92.26741026778105,22.862733264158997,0.39506722978757924,132.94119971621777,"Aaron Altherr","11270",
"Dixon Machado 마차도","Giants (KBO)",29,539,0.107606679,0.120593692,0.892307692,0.278969957,0.358878504,0.360515021,0.719393525,0.081545064,4.326183018351202,0.310173697,-0.7885864344425499,65.84316479982373,-0.36766866026882555,0.343128428142169,99.44470014791398,"Dixon Machado","11472",
"Preston Tucker 터커","Tigers (KBO)",30,539,0.113172541,0.122448979,0.924242424,0.237179487,0.333951762,0.35042735,0.684379112,0.113247863,1.28319455875,0.258227848,-0.1772463956149295,59.36763107653918,-6.843202383553361,0.3279635468601737,89.66452765214324,"Preston Tucker","13633",
"Ryon Healy 힐리","Eagles (KBO)",29,268,0.059701492,0.21641791,0.275862068,0.257028112,0.305970149,0.393574297,0.699544446,0.136546185,3.3551404542318144,0.308108108,-0.11463343154173344,28.886431020929383,-4.034725504682494,0.32498605727259794,87.74427775177467,"Ryon Healy","15447",
"ByungHo Park 박병호","Heroes (KBO)",34,477,0.098532494,0.295597484,0.333333333,0.227383863,0.322851153,0.430317848,0.753169001,0.202933985,0.97619047125,0.286274509,-0.1320180050097406,59.23270130523637,0.6379562950988107,0.3456776650143072,101.08876025484612,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",33,595,0.129411764,0.070588235,1.833333333,0.28458498,0.376470588,0.434782608,0.811253196,0.150197628,2.407155983679417,0.278508771,0.18241477548144758,88.04682997870644,14.95694888639648,0.3757200594675743,120.46377509837016,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",39,465,0.073118279,0.107526881,0.68,0.285714285,0.341935483,0.447619047,0.78955453,0.161904762,0.443783065,0.282913165,-0.15402100584469736,63.471228577675035,6.350565203012628,0.36122844448853364,111.11780716088396,"Dae-Ho Lee","18722",
"José Miguel Fernández 페르난데스","Bears (KBO)",33,617,0.10534846,0.056726094,1.857142857,0.314814814,0.390599675,0.442592592,0.833192267,0.127777778,1.3834960346615037,0.3125,-1.1185012672794983,97.45892989616321,21.666565805482136,0.38831531719975054,128.58673966094972,"Jose Miguel Fernandez","19254",
