Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Danny Dorn 대니돈","Heroes (KBO)",32,20,50,57,7,4,2,0,1,5,2,7,0,16,0,0,0,3,0,0,0.14,"Danny Dorn","1050",
"Michael Choice 초이스","Heroes (KBO)",27,46,176,201,54,28,8,1,17,37,42,17,0,49,7,1,0,5,0,0,0.306818181,"Michael Choice","11376",
"Andy Burns 번즈","Giants (KBO)",26,116,423,468,128,75,38,0,15,71,57,29,0,100,11,3,2,18,10,7,0.302600472,"Andy Burns","12779",
"Dae-Ho Lee 이대호","Giants (KBO)",35,142,540,608,173,126,13,0,34,73,111,50,8,84,15,3,0,22,1,1,0.32037037,"Dae-Ho Lee","18722",
"Ha-Seong Kim 김하성","Heroes (KBO)",21,141,526,601,159,97,36,3,23,90,114,58,2,65,8,7,2,8,16,8,0.302281368,"Ha-Seong Kim","27506",
"Johnny Monell 모넬","Wiz (KBO)",31,28,85,105,14,8,4,0,2,10,9,17,1,28,1,2,0,2,2,1,0.164705882,"Johnny Monell","2783",
"Jung Hoo Lee 이정후","Heroes (KBO)",18,144,552,622,179,140,29,8,2,111,47,60,2,67,6,2,2,9,12,4,0.324275362,"Jung Hoo Lee","33824",
"James Loney 로니","Twins (KBO)",33,23,79,93,22,14,5,0,3,7,12,11,1,14,1,2,0,1,0,0,0.278481012,"James Loney","4556",
"Jamie Romak 로맥","Wyverns (KBO)",31,102,359,416,87,37,19,0,31,58,64,50,2,116,6,1,0,6,1,1,0.242339832,"Jamie Romak","5552",
"Luis Jimenez 히메네스","Twins (KBO)",29,51,181,198,50,36,6,1,7,29,30,13,0,19,3,1,0,8,3,5,0.276243093,"Luis Jimenez","6341",
"Roger Bernadina 버나디나","Tigers (KBO)",33,139,557,621,178,117,26,8,27,118,111,41,2,112,11,9,3,9,32,7,0.31956912,"Roger Bernadina","6421",
"Xavier Scruggs 스크럭스","Dinos (KBO)",29,115,437,518,131,72,24,0,35,91,111,65,2,134,12,4,0,9,4,0,0.299771167,"Xavier Scruggs","7409",
"Nick Evans 에반스","Bears (KBO)",31,138,514,581,152,106,19,0,27,82,90,61,0,114,3,3,0,15,2,0,0.295719844,"Nick Evans","7595",
"Wilin Rosario 로사리오","Eagles (KBO)",28,119,445,510,151,83,30,1,37,100,111,50,4,61,10,5,0,12,10,5,0.339325842,"Wilin Rosario","8002",
"Darin Ruf 러프","Lions (KBO)",30,134,515,591,162,93,38,0,31,90,124,60,4,107,12,4,0,14,2,2,0.314563106,"Darin Ruf","9929",
"Hun Gon Kim 김헌곤","Lions (KBO)",28,123,356,404,94,70,13,2,9,51,47,29,0,45,8,3,8,11,11,2,0.264044943,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Giants (KBO)",28,128,325,381,77,61,11,0,5,49,47,25,1,76,13,5,13,8,5,2,0.236923076,"Bon Ki Shin","sa3011910",
"Dea-Ryu Kim 김대륙","Giants (KBO)",25,50,53,58,8,6,2,0,0,4,2,2,0,17,2,0,1,0,0,0,0.150943396,"Dea-Ryu Kim","sa3011925",
"Ki Hyuk Park 박기혁","Wiz (KBO)",36,97,235,263,56,42,11,1,2,22,18,16,0,51,2,3,7,9,2,1,0.238297872,"Ki Hyuk Park","sa3011943",
"Bum Ho Lee 이범호","Tigers (KBO)",35,115,382,447,104,65,14,0,25,57,89,52,3,81,7,6,0,9,0,0,0.272251308,"Bum Ho Lee","sa3011949",
"Joon-Suk Choi 최준석","Giants (KBO)",34,125,409,464,119,90,15,0,14,43,82,49,0,89,1,5,0,24,0,0,0.290953545,"Joon-Suk Choi","sa3011965",
"Seung-Hwa Lee 이우민","Giants (KBO)",35,104,185,215,47,37,5,1,4,35,21,15,2,38,10,0,5,6,2,4,0.254054054,"Seung-Hwa Lee","sa3011966",
"Taekyun Kim 김태균","Eagles (KBO)",35,94,356,407,121,82,22,0,17,51,76,43,7,56,4,4,0,13,0,0,0.33988764,"Taekyun Kim","sa3011978",
"Yong Taik Park 박용택","Twins (KBO)",38,138,509,596,175,136,23,2,14,83,90,72,6,88,6,9,0,13,4,2,0.343811394,"Yong Taik Park","sa3011983",
"Kyu-Hyun Moon 문규현","Giants (KBO)",33,110,304,337,82,59,15,2,6,38,42,10,1,42,2,3,18,10,2,1,0.269736842,"Kyu-Hyun Moon","sa3011990",
"Sihyun Son 손시헌","Dinos (KBO)",36,124,349,391,122,99,17,1,5,32,45,16,1,44,8,5,13,5,1,0,0.3495702,"Sihyun Son","sa3012001",
"Jong Wook Lee 이종욱","Dinos (KBO)",37,107,318,355,98,78,15,0,5,52,34,28,0,30,5,2,2,5,9,2,0.3081761,"Jong Wook Lee","sa3012004",
"Taek-Keun Lee 이택근","Heroes (KBO)",36,100,241,269,67,48,15,1,3,27,29,25,1,58,1,1,1,9,0,0,0.278008298,"Taek-Keun Lee","sa3012005",
