Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Eric Jokisch 요키시","Heroes (KBO)",33,65.2,6.989847986438112,1.9187818001986974,3.64285714,0.41116752861400657,0.17832168,0.04895105,0.12937063,0.30111524,1.446700563641875,0.3627907,0.65031983,4.3857869718827365,3.217913144436323,1.1678738274464133,"Eric Jokisch","11157",
"David Buchanan 뷰캐넌","Lions (KBO)",34,188,6.654255319148936,2.0585106382978724,3.23255814,0.19148936170212766,0.17729592,0.05484694,0.12244898,0.23673469,1.1542553191489362,0.28716216,0.69917203,2.5372340425531914,2.9804415023073236,-0.4432074597541322,"David Buchanan","11176",
"Roenis Elías 엘리아스","Landers (KBO)",34,131.1,6.373096693517102,2.261421407377036,2.81818182,0.8223350572280131,0.16970803,0.06021898,0.10948905,0.27504912,1.3172589342633914,0.31683168,0.7459926,3.700507757526059,4.063090842142892,-0.362583084616833,"Roenis Elias","12673",
"Raúl Alcántara 알칸타라","Bears (KBO)",30,192,7.59375,1.640625,4.62857143,0.75,0.20849421,0.04504505,0.16344916,0.23202171,1.0729166666666667,0.27728086,0.76352068,2.671875,3.4214876015981046,-0.7496126015981046,"Raul Alcantara","12790",
"William Cuevas 쿠에바스","Wiz (KBO)",32,114.1,7.871720466801523,1.8892129120323653,4.16666667,0.3148688186720609,0.2173913,0.05217391,0.16521739,0.21889401,1.0408163728326458,0.27575758,0.76256499,2.5976677540445023,2.788409343069097,-0.19074158902459448,"William Cuevas","13331",
"Félix Peña 페냐","Eagles (KBO)",33,177.1,7.460526529771806,2.994360988139704,2.49152542,0.7105263361687434,0.19573901,0.07856192,0.1171771,0.22106825,1.1729323644690368,0.26315789,0.69767442,3.603383561998627,4.071706919090806,-0.46832335709217876,"Felix Pena","13403",
"Adam Plutko 플럿코","Twins (KBO)",31,123.1,7.370270574220011,2.2621622554536667,3.25806452,0.3648648799118817,0.19803922,0.06078431,0.1372549,0.24159664,1.1837838326029941,0.2972973,0.78873239,2.4081082074184192,3.1168704727777516,-0.7087622653593324,"Adam Plutko","15846",
"Aaron Wilkerson 윌커슨","Giants (KBO)",34,79.2,9.150627907170504,2.2594142980667913,4.05,0.3389121447100187,0.24770642,0.06116208,0.18654434,0.21967213,1.0920502440656157,0.28959276,0.71933962,2.2594142980667913,2.685173073876954,-0.42575877581016286,"Aaron Wilkerson","16904",
"Ariel Jurado ","Heroes (KBO)",,183.2,7.203267186617548,2.0090745214375474,3.58536585,0.3430127231722642,0.19266055,0.05373526,0.1389253,0.23001403,1.1161525119097486,0.28085868,0.73457395,2.646098150186038,3.112088009088104,-0.4659898589020659,"Ariel Jurado","17030",
"Thomas Pannone 파노니","Tigers (KBO)",29,82.1,7.214575344476451,2.5141701958023996,2.86956522,0.6558704858614955,0.18803419,0.06552707,0.12250712,0.26380368,1.323886721461167,0.31496063,0.68226121,4.263158158099721,3.6557150127664637,0.6074431453332569,"Thomas Pannone","17281",
"Erick Fedde 페디","Dinos (KBO)",30,180.1,10.430684212864344,1.7467652988050337,5.97142857,0.44916821969272297,0.29519774,0.04943503,0.24576271,0.20478326,0.9537893060141771,0.28381375,0.79559364,1.9963031986343243,2.380321522296116,-0.3840183236617918,"Erick Fedde","17425",
"Ricardo Sánchez 산체스","Eagles (KBO)",26,126,7.071428571428571,2,3.53571429,0.9285714285714286,0.18333333,0.05185185,0.13148148,0.2687747,1.3015873015873016,0.31218274,0.71146245,3.7857142857142856,3.98001934762985,-0.19430506191556463,"Ricardo Sanchez","17581",
"Brandon Waddell 브랜든","Bears (KBO)",29,104.2,8.598726323576674,2.5796178970730024,3.33333333,0.34394905294306694,0.23419204,0.07025761,0.16393443,0.20779221,1.05095543954826,0.27046263,0.75601375,2.4936306338372356,3.1904631803551187,-0.6968325465178831,"Brandon Waddell","18347",
"Seunghwan Oh 오승환","Lions (KBO)",40,62.2,6.319149961942301,2.1542556688439665,2.93333333,1.2925534013063797,0.16666667,0.05681818,0.10984849,0.23076923,1.148936356716782,0.24742268,0.78175896,3.446809070150346,4.677250220172306,-1.23044115002196,"Seunghwan Oh","18719",
"Wes Benjamin 벤자민","Wiz (KBO)",29,159.2,8.793319975680228,2.4801671726277568,3.54545455,0.6764092288984791,0.228739,0.06451613,0.16422287,0.23464567,1.208768344235245,0.29336188,0.65290179,3.5511484517170153,3.306708542028871,0.24443990968814422,"Wes Benjamin","19243",
"Taylor Widener 와이드너","- - -",28,115,7.747826343961843,3.1304348864492297,2.475,0.5478261051286152,0.2,0.08080808,0.11919192,0.24944321,1.3217391742785636,0.30612245,0.62753036,4.539130585351383,3.670219494597899,0.8689110907534836,"Taylor Widener","19266",
"Shaun Anderson 앤더슨","Tigers (KBO)",28,79,7.291139240506329,2.962025316455696,2.46153846,0.6835443037974683,0.19047619,0.07738095,0.11309524,0.24675325,1.2911392405063291,0.29411765,0.64853556,3.759493670886076,3.831034015100214,-0.0715403442141378,"Shaun Anderson","19453",
"Tanner Tully 태너","Dinos (KBO)",28,64.2,6.541237370647838,1.809278421668551,3.61538462,0.835051579231639,0.17735849,0.0490566,0.12830189,0.2310757,1.097938187508266,0.26262626,0.72327044,2.922680527310736,3.802716139746671,-0.8800356124359348,"Tanner Tully","19518",
"Charlie Barnes 반즈","Giants (KBO)",27,170.1,7.767123519602543,2.9589041979438258,2.625,0.3170254497796956,0.20027248,0.07629428,0.1239782,0.25791855,1.332681057407239,0.32352941,0.74486301,3.2759296477235216,3.3830417432770097,-0.10711209555348811,"Charlie Barnes","19865",
"Adonis Medina 메디나","Tigers (KBO)",26,58,5.586206896551724,4.5,1.24137931,0.9310344827586207,0.133829,0.10780669,0.02602231,0.27705628,1.603448275862069,0.30687831,0.64102564,6.051724137931035,5.469619785506151,0.5821043524248841,"Adonis Medina","19903",
"Kirk McCarty 맥카티","Landers (KBO)",27,130,8.03076923076923,3.1153846153846154,2.57777778,0.6923076923076923,0.21362799,0.08287293,0.13075506,0.24949698,1.3,0.30727763,0.71794872,3.3923076923076922,3.6775773451878475,-0.28526965288015527,"Kirk McCarty","20555",
"Kwang Hyun Kim 김광현","Landers (KBO)",34,168.1,6.362376429865663,3.742574370509214,1.7,0.5881188296514479,0.16690042,0.09817672,0.0687237,0.25429017,1.3841584576645187,0.29745597,0.72859745,3.528712977908687,4.119466171172096,-0.5907531932634091,"Kwang Hyun Kim","27458",
"Hyeon-Jong Yang 양현종","Tigers (KBO)",35,171,7,2.526315789473684,2.77083333,0.6842105263157895,0.1824417,0.06584362,0.11659808,0.26617647,1.3391812865497077,0.31460674,0.71765817,3.6842105263157894,3.693051929083484,-0.008841402767694628,"Hyeon-Jong Yang","27513",
"Albert Suárez 수아레즈","Lions (KBO)",33,108,7.333333333333333,2.6666666666666665,2.75,0.25,0.18371608,0.06680585,0.11691023,0.28988764,1.4907407407407407,0.3559322,0.68639798,3.9166666666666665,3.0765801941906967,0.8400864724759698,"Albert Suarez","6175",
"Casey Kelly 켈리","Twins (KBO)",33,178.2,6.498134698334577,1.9645523506592908,3.30769231,0.5037313719639207,0.17292225,0.05227882,0.12064343,0.26105563,1.242537384177671,0.30782918,0.6588785,3.8283584269257975,3.439833374973076,0.3885250519527217,"Casey Kelly","9174",
"Dan Straily 스트레일리","Giants (KBO)",34,80.1,7.842324147984938,4.14522847822061,1.89189189,0.6721992126844232,0.19230769,0.10164835,0.09065934,0.25867508,1.481327894619377,0.3153527,0.71310116,4.3692948824487505,4.384056820154945,-0.014761937706194495,"Dan Straily","9460",
"Yongchan Lee 이용찬","Dinos (KBO)",34,61,7.524590634492382,2.8032788638304953,2.68421053,0.7377049641659198,0.2007874,0.07480315,0.12598425,0.22844828,1.1803279426654718,0.27272727,0.69117647,4.131147799329151,3.8760641340605857,0.2550836652685651,"Yongchan Lee","sa3012046",
"Seung-hyun Lee 이승현","Lions (KBO)",31,60,6.300001602173259,2.250000572204735,2.8,0.7500001907349118,0.15909091,0.05681818,0.10227273,0.27309237,1.3833336851332818,0.31188119,0.71052632,3.6000009155275765,3.8339877118004977,-0.23398679627292118,"Seung-hyun Lee","sa3012166",
"Jae-hak Lee 이재학","Dinos (KBO)",32,67.1,5.747525186635022,4.410891422301296,1.3030303,0.8019802586002356,0.14675768,0.11262799,0.03412969,0.21568627,1.3069307917929767,0.23786408,0.67375887,4.544554798734668,4.974911812924493,-0.4303570141898243,"Jae-hak Lee","sa3012173",
"Tae-yang Lee 이태양","Eagles (KBO)",32,100.1,6.458472088200875,1.883721025725255,3.42857143,0.6279070085750851,0.17061611,0.04976303,0.12085308,0.25125628,1.205980127580719,0.29153605,0.70052539,3.2292360441004373,3.590023048628685,-0.36078700452824775,"Tae-yang Lee","sa3012211",
"Jong-hun Park 박종훈","Landers (KBO)",31,80,6.3,6.75,0.93333333,0.9,0.14659686,0.15706806,-0.0104712,0.25412541,1.7125,0.28870293,0.68370166,6.1875,6.2631542682647705,-0.07565426826477051,"Jong-hun Park","sa3012213",
"Chan-kyu Im 임찬규","Twins (KBO)",30,144.2,6.407834551962193,3.3594472408345477,1.90740741,0.6221198594138051,0.16297468,0.08544304,0.07753165,0.2478185,1.35483880494562,0.28695652,0.73796791,3.421659226775928,4.098810999384708,-0.6771517726087799,"Chan-kyu Im","sa3012220",
