Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Chad Bell 채드벨","Eagles (KBO)",31,2,8,5.961038961038961,16,16,0,0,0,0,0,77,346,85,54,51,10,35,1,5,3,0,61,"Chad Bell","10297",
"Eric Jokisch 요키시","Heroes (KBO)",30,12,7,2.141962558178517,27,27,0,0,0,0,0,159.2,640,144,53,38,6,25,0,6,3,1,115,"Eric Jokisch","11157",
"David Buchanan 뷰캐넌","Lions (KBO)",31,15,7,3.4522902773960653,27,27,1,0,0,0,0,174.2,728,172,71,67,16,50,0,7,2,0,121,"David Buchanan","11176",
"Aaron Brooks 브룩스","Tigers (KBO)",30,11,4,2.4977974407783354,23,23,1,1,0,0,0,151.1,586,131,43,42,4,24,0,3,3,1,130,"Aaron Brooks","12272",
"Drew Rucinski 루친스키","Dinos (KBO)",31,19,5,3.0491803278688523,30,30,0,0,0,0,0,183,770,173,67,62,14,57,0,11,11,0,167,"Drew Rucinski","12499",
"Drew Gagnon 가뇽","Tigers (KBO)",30,11,8,4.340292552098574,28,28,0,0,0,0,0,159.2,703,162,86,77,7,65,0,9,14,0,141,"Drew Gagnon","12545",
"Mike Wright Jr. 라이트","Dinos (KBO)",30,11,9,4.680761401364697,29,29,0,0,0,0,0,157.2,696,164,87,82,12,63,0,10,5,2,125,"Mike Wright Jr.","12586",
"Tyler Wilson 윌슨","Twins (KBO)",30,10,8,4.417051001838016,25,25,0,0,0,0,0,144.2,628,161,81,71,13,39,0,8,4,1,109,"Tyler Wilson","12691",
"Raúl Alcántara 알칸타라","Bears (KBO)",27,20,2,2.536912686727826,31,31,1,0,0,0,0,198.2,795,174,58,56,12,30,0,9,3,1,182,"Raul Alcantara","12790",
"Warwick Saupold 서폴드","Eagles (KBO)",30,10,13,4.909090909090909,28,28,1,1,0,0,0,165,734,203,107,90,19,42,0,13,10,0,97,"Warwick Saupold","13211",
"William Cuevas 쿠에바스","Wiz (KBO)",29,10,8,4.10126582278481,27,27,0,0,0,0,0,158,668,152,80,72,16,46,0,9,4,0,110,"William Cuevas","13331",
"Adrian Sampson 샘슨","Giants (KBO)",28,9,12,5.4,25,25,0,0,0,0,0,130,590,167,87,78,14,36,0,6,8,2,87,"Adrian Sampson","13339",
"Chris Flexen 플렉센","Bears (KBO)",25,8,4,3.008571494153083,21,21,0,0,0,0,0,116.2,472,97,43,39,6,30,2,2,5,0,132,"Chris Flexen","13896",
"Ben Lively 라이블리","Lions (KBO)",28,7,7,4.258928571428571,21,21,0,0,0,0,0,112,478,98,54,53,11,39,0,12,2,0,95,"Ben Lively","14932",
"Odrisamer Despaigne 데스파이네","Wiz (KBO)",33,15,8,4.333868591106217,35,34,0,0,0,0,0,207.2,906,233,105,100,18,68,1,8,17,0,152,"Odrisamer Despaigne","16017",
"Ricardo Pinto 핀토","Wyverns (KBO)",26,6,15,6.166666666666667,30,30,0,0,0,0,0,162,766,198,121,111,19,90,3,11,11,2,112,"Ricardo Pinto","16318",
"Hyeon-Jong Yang 양현종","Tigers (KBO)",32,11,10,4.700193562319656,31,31,0,0,0,0,0,172.1,746,180,99,90,13,64,0,5,7,0,149,"Hyeon-Jong Yang","27513",
"Jake Brigham 브리검","Heroes (KBO)",32,9,5,3.616822429906542,21,21,0,0,0,0,0,107,456,98,45,43,6,42,1,5,8,0,105,"Jake Brigham","2851",
"Casey Kelly 켈리","Twins (KBO)",30,15,7,3.323077020588714,28,28,1,1,0,0,0,173.1,705,160,67,64,16,40,0,11,4,0,134,"Casey Kelly","9174",
"Dan Straily 스트레일리","Giants (KBO)",31,15,4,2.4965754729271183,31,31,0,0,0,0,0,194.2,777,148,61,54,10,51,0,7,4,0,205,"Dan Straily","9460",
"Jong-hyun Won 원종현","Dinos (KBO)",32,3,5,4.263158750666317,58,0,0,0,30,6,0,57,245,56,30,27,4,20,1,2,3,0,41,"Jong-hyun Won","sa3012035",
"Woo-chan Cha 차우찬","Twins (KBO)",33,5,5,5.34375,13,13,0,0,0,0,0,64,287,71,39,38,8,28,1,2,1,0,51,"Woo-chan Cha","sa3012041",
"Si Hwan Chang 장시환","Eagles (KBO)",32,4,14,5.020100887440505,26,26,0,0,0,0,0,132.2,603,139,81,74,15,74,0,8,10,0,115,"Si Hwan Chang","sa3012048",
"Seung-hyun Lee 이승현","Lions (KBO)",28,1,2,3.478528665668339,65,0,0,0,0,3,14,54.1,226,45,22,21,11,25,1,0,2,0,52,"Seung-hyun Lee","sa3012166",
"Jae-hak Lee 이재학","Dinos (KBO)",29,5,6,6.5514707719991,19,19,0,0,0,0,0,90.2,410,105,66,66,14,43,0,5,4,1,61,"Jae-hak Lee","sa3012173",
"Tae-yang Lee 이태양","- - -",29,2,1,5.464286737904448,53,0,0,0,0,0,5,56,250,68,35,34,8,16,2,1,3,0,45,"Tae-yang Lee","sa3012211",
"Jong-hun Park 박종훈","Wyverns (KBO)",28,13,11,4.805084901101222,29,28,0,0,0,0,0,157.1,691,146,90,84,14,78,1,22,5,0,134,"Jong-hun Park","sa3012213",
"Chan-kyu Im 임찬규","Twins (KBO)",27,10,9,4.083521726002694,27,26,0,0,0,0,0,147.2,641,143,76,67,14,65,0,5,3,0,138,"Chan-kyu Im","sa3012220",
"Hyun Yang 양현","Heroes (KBO)",27,8,3,3.3000006294251687,58,1,0,0,2,3,10,60,246,58,23,22,4,18,0,3,1,0,33,"Hyun Yang","sa3012238",
"Dae-woo Kim 김대우","Lions (KBO)",31,3,7,5.098712613305108,28,9,0,0,0,0,1,77.2,350,95,49,44,9,26,0,6,1,1,37,"Dae-woo Kim","sa3012247",
"Geon-hui Hong 홍건희","- - -",27,3,4,4.980583400458592,60,0,0,0,1,3,10,68.2,299,74,39,38,8,22,0,5,3,0,60,"Geon-hui Hong","sa3012262",
"Jin-yong Seo 서진용","Wyverns (KBO)",27,2,7,4.131148316020337,63,0,0,0,8,5,12,61,264,52,33,28,11,34,1,1,6,0,56,"Jin-yong Seo","sa3012277",
"Tae-hoon Kim 김태훈","Heroes (KBO)",28,6,0,4.21875075437142,53,2,0,0,0,2,8,64,281,70,34,30,1,22,1,5,3,0,40,"Tae-hoon Kim","sa3012298",
"Hyun-hee Han 한현희","Heroes (KBO)",27,7,9,4.975430348496522,25,25,0,0,0,0,0,135.2,587,141,77,75,10,37,2,14,3,2,109,"Hyun-hee Han","sa3012299",
"Won-jung Kim 김원중","Giants (KBO)",27,5,4,3.9438205627973373,58,0,0,0,25,8,0,59.1,249,52,29,26,8,23,5,0,1,0,57,"Won-jung Kim","sa3012308",
"Gi-yeong Im 임기영","Tigers (KBO)",27,9,10,5.146214201729761,25,25,0,0,0,0,0,127.2,559,152,80,73,12,33,0,9,2,1,106,"Gi-yeong Im","sa3012323",
"Seung-won Moon 문승원","Wyverns (KBO)",30,6,8,3.6453091790526493,25,25,1,0,0,0,0,145.2,610,136,64,59,13,45,0,6,2,0,117,"Seung-won Moon","sa3012330",
"Deok-ju Ham 함덕주","Bears (KBO)",25,5,1,3.9036150857696903,36,6,0,0,10,3,2,55.1,240,55,25,24,2,21,2,0,7,0,55,"Deok-ju Ham","sa3012366",
"Sang-woo Cho 조상우","Heroes (KBO)",25,5,3,2.1533744347109587,53,0,0,0,33,3,0,54.1,232,50,15,13,3,18,2,2,1,0,64,"Sang-woo Cho","sa3012372",
"Seung-min Koo 구승민","Giants (KBO)",30,5,2,3.580111251770199,57,0,0,0,0,5,22,60.1,238,40,25,24,8,26,2,0,1,0,58,"Seung-min Koo","sa3012379",
"Young-chang Koh 고영창","Tigers (KBO)",31,1,1,6.8275875540610125,48,0,0,0,1,0,2,58,275,88,46,44,3,17,2,5,6,2,23,"Young-chang Koh","sa3012388",
"Jun-pyo Park 박준표","Tigers (KBO)",28,7,1,1.56774224415288,50,0,0,0,4,5,13,51.2,205,41,16,9,3,8,2,0,2,0,44,"Jun-pyo Park","sa3012391",
"Se-woong Park 박세웅","Giants (KBO)",24,8,10,4.714285714285714,28,28,0,0,0,0,0,147,658,177,85,77,20,47,0,8,13,0,108,"Se-woong Park","sa3012427",
"Yeong-u Jo 조영우","Wyverns (KBO)",25,2,4,5.961039551676916,35,7,0,0,0,0,0,77,340,96,52,51,12,25,0,2,4,0,38,"Yeong-u Jo","sa3012483",
