Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Domingo Santana ","Swallows (NPB)",31,122,419,484,132,86,29,0,17,57,70,57,1,101,4,4,0,8,2,1,0.315035799,"Domingo Santana","10348",
"Tyler Austin ","BayStars (NPB)",32,106,396,445,125,64,34,2,25,66,69,45,2,88,0,4,0,12,0,1,0.315656565,"Tyler Austin","11850",
"Orlando Calixte ","Dragons (NPB)",32,114,372,393,97,78,11,1,7,30,36,15,3,67,0,3,3,9,2,2,0.260752688,"Orlando Calixte","11905",
"Gregory Polanco ","Marines (NPB)",32,118,416,468,101,57,21,0,23,47,60,46,2,86,2,4,0,5,0,0,0.242788461,"Gregory Polanco","12907",
"José Osuna ","Swallows (NPB)",31,141,539,585,144,99,28,0,17,54,72,40,3,91,3,3,0,24,0,3,0.26716141,"Jose Osuna","12937",
"Shogo Akiyama ","Carp (NPB)",36,138,547,587,158,133,20,1,4,60,30,29,3,96,5,4,2,6,6,5,0.288848263,"Shogo Akiyama","27461",
"Neftali Soto ","Marines (NPB)",35,132,491,542,132,87,22,2,21,43,88,42,2,136,5,4,0,19,0,0,0.268839103,"Neftali Soto","5663",
"Tomoya Mori ","Buffaloes (NPB)",28,117,395,457,111,77,24,1,9,46,46,50,2,61,7,5,0,4,6,1,0.281012658,"Tomoya Mori","sa3063014",
"Hideto Asamura ","Golden Eagles (NPB)",33,143,471,552,119,86,19,0,14,51,60,68,4,101,4,9,0,12,1,2,0.252653927,"Hideto Asamura","sa3063022",
"Sosuke Genda ","Lions (NPB)",31,143,522,577,138,113,15,7,3,41,21,32,2,75,1,2,20,4,12,4,0.264367816,"Sosuke Genda","sa3063023",
"Shuta Tonosaki ","Lions (NPB)",31,127,436,500,99,66,25,1,7,41,41,45,4,88,10,3,6,15,11,3,0.22706422,"Shuta Tonosaki","sa3063038",
"Hotaka Yamakawa ","Hawks (NPB)",32,143,550,611,136,75,26,1,34,66,99,48,3,158,10,3,0,17,0,0,0.247272727,"Hotaka Yamakawa","sa3063051",
"Kensuke Kondoh ","Hawks (NPB)",30,129,436,535,137,87,29,2,19,66,72,92,11,76,6,1,0,11,11,1,0.314220183,"Kensuke Kondoh","sa3063115",
"Go Matsumoto ","Fighters (NPB)",30,127,437,486,103,83,18,1,1,46,19,24,2,52,4,4,17,17,20,8,0.23569794,"Go Matsumoto","sa3063132",
