Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Alberto Baldonado ","Giants (NPB)",31,51.2,10.974194898813913,4.877419955028405,2.25,0.17419356982244305,0.28636364,0.12727273,0.15909091,0.20833333,1.316129194214014,0.3046875,0.7957958,2.4387099775142027,2.136446539197074,0.30226343831712876,"Alberto Baldonado","11812",
"Andrés Machado ","Buffaloes (NPB)",31,53.1,9.78750023335219,3.037500072419645,3.22222222,0.1687500040233136,0.27488152,0.08530806,0.18957346,0.1875,1.0125000241398816,0.26315789,0.78358209,2.025000048279763,1.835236910283565,0.18976313799619815,"Andres Machado","14681",
"Cy Sneed ","Swallows (NPB)",31,120,6.675,2.325,2.87096774,1.2,0.16604478,0.05783582,0.10820896,0.296,1.4916666666666667,0.33417722,0.71163366,5.025,3.847736930847168,1.1772630691528323,"Cy Sneed","16106",
"Foster Griffin ","Giants (NPB)",28,116.2,9.72000021187919,1.7742857529620744,5.47826087,0.6942857294199422,0.26923077,0.0491453,0.22008547,0.2244898,1.0457143085090486,0.29411765,0.75837743,3.008571494153083,2.23487977790054,0.773691716252543,"Foster Griffin","16432",
"Javy Guerra ","Tigers (NPB)",28,58,7.448276351946887,1.7068966639878282,4.36363636,0.4655172719966804,0.21238938,0.04867257,0.16371681,0.21860465,1.000000065770647,0.26829268,0.89219331,1.5517242399889348,2.283943800183452,-0.7322195601945174,"Javy Guerra","17292",
"Cody Ponce ","Golden Eagles (NPB)",30,67,7.522388059701493,2.1492537313432836,3.5,0.8059701492537313,0.18181818,0.05194805,0.12987013,0.32055749,1.6119402985074627,0.38222222,0.55449331,6.7164179104477615,3.1305727517426907,3.585845158705071,"Cody Ponce","17920",
"Anderson Espinoza ","Buffaloes (NPB)",26,133.2,7.608479382025846,3.231920445462306,2.35416667,0.13466335189426276,0.20545455,0.08727273,0.11818182,0.24596774,1.2718205456680372,0.31496063,0.76789838,2.6259353619381236,2.4134476324037246,0.21248772953439898,"Anderson Espinoza","18593",
"Jeremy Beasley ","Tigers (NPB)",28,76.2,8.804348118138458,2.8173913978043066,3.125,0.7043478494510766,0.24590164,0.07868852,0.16721312,0.19202899,1.004347859402461,0.24102564,0.80163043,2.465217473078768,2.893389111250245,-0.42817163817147685,"Jeremy Beasley","20205",
"Anthony Kay ","BayStars (NPB)",29,136.2,7.836585949155181,3.4902441622287776,2.24528302,0.39512198062967296,0.20169492,0.08983051,0.11186441,0.24528302,1.3390244899116694,0.30617284,0.71035242,3.424390498790499,2.8440784051544545,0.5803120936360444,"Anthony Kay","20387",
"Luis F. Castillo ","Buffaloes (NPB)",29,94.1,7.06007105204288,1.7173145802266465,4.11111111,0.4770318278407351,0.1957672,0.04761905,0.14814815,0.20949721,0.9858657775375193,0.25089606,0.65909091,2.9575973326125578,2.453920663284126,0.5036766693284318,"Luis F. Castillo","20638",
"Humberto Mejía ","Dragons (NPB)",27,75.2,6.0660794990331,2.854625646603812,2.125,0.8325991469261118,0.15789474,0.07430341,0.08359133,0.24745763,1.2819383690767119,0.27848101,0.64692982,4.876652146281512,3.662494672523456,1.214157473758056,"Humberto Mejia","20739",
"Miguel Yajure ","Swallows (NPB)",26,129.1,5.845361054621472,2.992268158913373,1.95348837,0.5567010528210926,0.15272727,0.07818182,0.07454545,0.25896414,1.3376289185840142,0.29756098,0.76738609,3.340206316926556,3.316293656203938,0.023912660722618106,"Miguel Yajure","21111",
"Andre Jackson ","BayStars (NPB)",28,143,7.615384615384615,3.2097902097902096,2.37254902,0.5034965034965035,0.20613288,0.08688245,0.11925043,0.20566038,1.118881118881119,0.25187032,0.72997416,2.895104895104895,2.928506161616399,-0.03340126651150399,"Andre Jackson","21298",
"Kohei Arihara ","Hawks (NPB)",31,182.2,6.749999812049593,1.8229926499695979,3.7027027,0.5912408594495994,0.1908078,0.05153203,0.13927577,0.21099554,0.9799269800136878,0.2480916,0.76968273,2.3649634377983975,2.7908026216864568,-0.4258391838880593,"Kohei Arihara","27505",
"Tomoyuki Sugano ","Giants (NPB)",34,156.2,6.376596158719726,0.9191489958514921,6.9375,0.34468087344430953,0.18256579,0.02631579,0.15625,0.2244898,0.9446809124029224,0.26751592,0.84261838,1.6659575549808294,2.161566683267131,-0.49560912828630155,"Tomoyuki Sugano","35321",
"Roki Sasaki ","Marines (NPB)",22,111,10.45945945945946,2.5945945945945947,4.03125,0.16216216216216217,0.28666667,0.07111111,0.21555556,0.20243902,1.0360360360360361,0.29032258,0.74043261,2.3513513513513513,1.6887279218381597,0.6626234295131916,"Roki Sasaki","35323",
"Shinnosuke Ogasawara ","Dragons (NPB)",26,144.1,5.1131641524727325,1.3718245287121966,3.72727273,0.5612009435640805,0.13621262,0.03654485,0.09966777,0.26215278,1.198614360945505,0.29278351,0.71776156,3.117783019800447,2.9125175388778657,0.20526548092258112,"Shinnosuke Ogasawara","35324",
"Tatsuya Imai ","Lions (NPB)",26,173.1,9.70961566953265,3.634615491268906,2.67142857,0.41538462757358924,0.26264045,0.09831461,0.16432584,0.20722135,1.1653846495814588,0.28054299,0.79162411,2.3365385301014396,2.4381215386136748,-0.10158300851223512,"Tatsuya Imai","sa3062955",
"Koyo Aoyagi ","Tigers (NPB)",30,122,5.163934426229508,3.098360655737705,1.66666667,0.29508196721311475,0.13011152,0.07806691,0.05204461,0.27272727,1.4262295081967213,0.31219512,0.68736142,3.6885245901639343,3.3042943078963485,0.3842302822675858,"Koyo Aoyagi","sa3062961",
"Kona Takahashi ","Lions (NPB)",27,81.1,6.750000422118166,2.6557378709973114,2.54166667,0.5532787231244398,0.16850829,0.06629834,0.10220995,0.28313253,1.4508197628596424,0.33458647,0.72649573,3.872951061871079,3.1034746611384243,0.7694764007326547,"Kona Takahashi","sa3062992",
"Tatsuya Shimizu ","Dragons (NPB)",24,58,8.06896604794246,2.7931036319800824,2.88888889,0.15517242399889347,0.22707424,0.07860262,0.14847162,0.1952381,1.0172414462149684,0.25477707,0.81911263,1.3965518159900412,2.1115299957402374,-0.7149781797501962,"Tatsuya Shimizu","sa3062995",
"Yuya Yanagi ","Dragons (NPB)",30,67,4.567164179104478,2.6865671641791047,1.7,0.6716417910447762,0.11888112,0.06993007,0.04895105,0.28195489,1.4179104477611941,0.30837004,0.75,3.7611940298507465,3.5484831995038846,0.2127108303468619,"Yuya Yanagi","sa3063008",
