Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Trevor Bauer ","BayStars (NPB)",34,4,10,4.511221773476854,21,21,2,1,0,0,0,133.2,570,135,67,67,15,48,5,4,2,0,119,"Trevor Bauer","12703",
"Andrés Machado ","Buffaloes (NPB)",32,3,6,2.2771086430477134,58,0,0,0,28,5,0,55.1,233,50,16,14,0,16,2,3,0,0,68,"Andres Machado","14681",
"Austin Voth ","Marines (NPB)",33,3,9,3.96,22,22,0,0,0,0,0,125,530,129,57,55,8,28,0,7,5,0,92,"Austin Voth","15047",
"Foster Griffin ","Giants (NPB)",29,6,1,1.6153846153846154,14,13,0,0,0,0,0,78,307,56,15,14,1,18,2,5,1,0,77,"Foster Griffin","16432",
"Peter Lambert ","Swallows (NPB)",28,3,11,4.2550145126830055,21,21,0,0,0,0,0,116.1,508,123,57,55,11,52,1,3,5,0,104,"Peter Lambert","17969",
"Taylor Hearn ","Carp (NPB)",30,1,2,3.3529414272638527,55,0,0,0,8,4,14,51,222,54,20,19,3,17,3,3,4,0,54,"Taylor Hearn","18325",
"Anderson Espinoza ","Buffaloes (NPB)",27,5,8,2.984576069619623,23,23,1,0,0,0,0,129.2,566,131,48,43,3,47,0,5,5,0,119,"Anderson Espinoza","18593",
"Pedro Avila ","Swallows (NPB)",28,7,8,4.044534662812556,15,14,0,0,0,0,0,82.1,343,70,41,37,4,30,1,4,6,0,61,"Pedro Avila","18864",
"Jon Duplantier ","Tigers (NPB)",30,6,3,1.3897059213331424,15,15,2,2,0,0,0,90.2,349,53,19,14,1,20,1,6,2,0,113,"Jon Duplantier","19546",
"Kyle Muller ","Dragons (NPB)",27,4,9,3.540983695132989,18,18,0,0,0,0,0,101.2,436,102,44,40,7,28,1,3,5,0,86,"Kyle Muller","20167",
"Anthony Kay ","BayStars (NPB)",30,9,6,1.7419354838709677,24,24,1,1,0,0,0,155,604,111,31,30,8,41,2,3,1,0,130,"Anthony Kay","20387",
"Bryan Sammons ","Marines (NPB)",30,5,5,3.7821012795919953,16,15,0,0,0,0,0,85.2,373,75,41,36,12,40,0,6,3,0,73,"Bryan Sammons","20462",
"Miguel Yajure ","Golden Eagles (NPB)",27,2,6,4.476684291755344,14,14,0,0,0,0,0,64.1,293,80,38,32,1,23,0,4,2,0,30,"Miguel Yajure","21111",
"Andre Jackson ","BayStars (NPB)",29,10,7,2.3296459390540356,25,25,0,0,0,0,0,150.2,636,134,46,39,9,55,4,9,7,0,109,"Andre Jackson","21298",
"Kohei Arihara ","Hawks (NPB)",32,14,9,3.0342857142857143,26,26,1,1,0,0,0,175,724,167,67,59,10,41,1,6,2,0,121,"Kohei Arihara","27505",
"Naoyuki Uwasawa ","Hawks (NPB)",31,12,6,2.7373270926997773,23,23,1,0,0,0,0,144.2,577,113,52,44,12,36,1,5,0,0,115,"Naoyuki Uwasawa","33828",
"Tatsuya Imai ","Lions (NPB)",27,10,5,1.9246435247093083,24,24,5,3,0,0,0,163.2,641,101,38,35,6,45,0,10,3,0,178,"Tatsuya Imai","sa3062955",
"Kento Fujishima ","Dragons (NPB)",27,1,4,3.2468358349903728,60,0,0,0,1,2,17,52.2,221,48,21,19,3,16,3,0,1,0,34,"Kento Fujishima","sa3062964",
"Yudai Ohno ","Dragons (NPB)",36,11,4,2.1,20,20,1,0,0,0,0,120,477,95,34,28,6,26,0,4,0,0,72,"Yudai Ohno","sa3062988",
"Kaima Taira ","Lions (NPB)",25,4,2,1.7088608420099594,54,0,0,0,31,4,0,52.2,220,43,12,10,0,21,1,3,2,0,53,"Kaima Taira","sa3062990",
"Kona Takahashi ","Lions (NPB)",28,8,9,3.0405405405405403,24,24,0,0,0,0,0,148,616,141,56,50,10,41,0,6,7,1,88,"Kona Takahashi","sa3062992",
"Tatsuya Shimizu ","Dragons (NPB)",25,4,1,2.235669007093005,55,0,0,0,4,6,20,52.1,222,49,15,13,0,21,5,1,2,0,47,"Tatsuya Shimizu","sa3062995",
"Yuya Yanagi ","Dragons (NPB)",31,3,5,3.289915860924092,14,14,0,0,0,0,0,79.1,339,75,30,29,2,28,0,5,3,0,66,"Yuya Yanagi","sa3063008",
"Kaito Yoza ","Lions (NPB)",29,6,5,2.4982207083982613,16,16,1,0,0,0,0,93.2,377,74,30,26,10,16,0,9,0,0,44,"Kaito Yoza","sa3063010",
"Raidel Martinez ","Giants (NPB)",28,3,2,1.1117647557770114,58,0,0,0,46,3,0,56.2,211,32,7,7,3,11,3,0,1,0,65,"Raidel Martinez","sa3063073",
"Takayuki Katoh ","Fighters (NPB)",33,9,6,3.403361344537815,20,20,3,0,0,0,0,119,486,125,47,45,15,13,2,2,0,0,56,"Takayuki Katoh","sa3063076",
"Hirotoshi Takanashi ","Swallows (NPB)",34,3,6,3.104529699253247,17,16,0,0,0,0,0,95.2,402,95,40,33,7,25,1,4,4,1,77,"Hirotoshi Takanashi","sa3063091",
"Kota Nakagawa ","Giants (NPB)",31,2,4,2.235669333019216,63,0,0,0,0,1,21,52.1,225,55,16,13,4,12,2,3,0,0,57,"Kota Nakagawa","sa3063096",
"Eito Tanaka ","Giants (NPB)",25,1,3,2.1315795358199794,62,0,0,0,0,1,22,50.2,208,45,13,12,3,20,9,2,0,0,38,"Eito Tanaka","sa3063097",
