Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ehire Adrianza","MIN",0,0.5,0.25,0.25,0.5,0,0.5,2,18,6,12,18,0.5,0.25,0.25,0,0.25,0.75,"Ehire Adrianza",8418,501303
"Rex Brothers","CHC",0,0.5,0.25,0.25,0.5,0,1,0,0,35,41,76,0.75,0.25,0,0,0.25,0.75,"Rex Brothers",9794,571521
"Joel Payamps","ARI",0.25,0.5,0.625,0.125,0.25,0,0,0,0,31,28,59,0.375,0.375,0.25,0,0.25,0.75,"Joel Payamps",14332,606303
"Drew Butera","COL",0.42857142857142855,1.333333333,0,0.571428571,0.428571428,0,0,3,16.199967942301292,9,22,31,0.14285714,0.57142857,0.28571429,0.28571429,0,0.71428571,"Drew Butera",3411,460077
"Tzu-Wei Lin","BOS",0.5,0.333333333,0.428571428,0.142857142,0.428571428,0,0.333333333,0,0,7,15,22,0.28571429,0.28571429,0.42857143,0,0.28571429,0.71428571,"Tzu-Wei Lin",14678,624407
"Chad Sobotka","ATL",0.375,0.428571428,0.375,0.1875,0.4375,0,0,0,0,33,48,81,0.3125,0.5625,0.125,0.0625,0.25,0.6875,"Chad Sobotka",17470,656977
"John Ryan Murphy","PIT",0,2,0,0.666666666,0.333333333,0,0,0,0,3,5,8,0.66666667,0.33333333,0,0,0.33333333,0.66666667,"John Ryan Murphy",10346,571974
"Matt Grace","ARI",0.8,0.666666666,0,0.4,0.6,0.333333333,0.333333333,0,0,15,21,36,0.5,0.33333333,0.16666667,0.16666667,0.16666667,0.66666667,"Matt Grace",11449,594840
"Albert Abreu","NYY",0.6,1,0.333333333,0.333333333,0.333333333,0,0.5,0,0,19,24,43,0.66666667,0.33333333,0,0.16666667,0.16666667,0.66666667,"Albert Abreu",17485,656061
"José Suarez","LAA",0.6428571428571429,4,0.333333333,0.533333333,0.133333333,0,0.5,1,3.8571481120901274,39,49,88,0.66666667,0.26666667,0.06666667,0.2,0.13333333,0.66666667,"Jose Suarez",19911,660761
"Santiago Espinal","TOR",0.25,0.142857142,0.111111111,0.111111111,0.777777777,0.142857142,0.142857142,3,13.5,16,24,40,0.44444444,0.22222222,0.33333333,0.22222222,0.11111111,0.66666667,"Santiago Espinal",19997,669289
"James Pazos","COL",0.35,0.777777777,0.304347826,0.304347826,0.391304347,0,0.333333333,4,6.750001609325793,55,76,131,0.47826087,0.26086957,0.26086957,0.04347826,0.30434783,0.65217391,"James Pazos",13323,572021
"Humberto Mejía","MIA",0.35714285714285715,0.5625,0.193548387,0.29032258,0.516129032,0,0.1875,7,6.3,71,134,205,0.32258065,0.4516129,0.22580645,0.03225806,0.32258065,0.64516129,"Humberto Mejia",20739,650668
"Brian Moran","- - -",0.4166666666666667,2,0.307692307,0.461538461,0.23076923,0,0.333333333,1,1.9285734155977052,52,58,110,0.61538462,0.15384615,0.23076923,0.15384615,0.23076923,0.61538462,"Brian Moran",9646,572383
"Zack Burdi","CHW",0.3684210526315789,1.125,0.260869565,0.391304347,0.347826086,0.125,0.5,6,7.363636682841418,62,106,168,0.52173913,0.43478261,0.04347826,0.08695652,0.30434783,0.60869565,"Zack Burdi",19159,641420
"Jorge Guzmán","MIA",0,0.5,0.4,0.2,0.4,0,1,0,0,9,10,19,0.4,0.2,0.4,0,0.4,0.6,"Jorge Guzman",17505,660422
"Matt Davidson","CIN",0.2727272727272727,0.6,0.333333333,0.25,0.416666666,0.2,0.2,1,2.70000025749209,15,31,46,0.33333333,0.33333333,0.33333333,0.16666667,0.25,0.58333333,"Matt Davidson",7226,571602
