Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","NYM",0.3971223,0.76082005,0.53791887,0.45652174,0.71556886,0.59836066,0.38712522,0.60447761,0.21585903,0.13039648,0.34625551,"Jacob deGrom",10954,594798
"Scott Barlow","KCR",0.35897436,0.64102564,0.46745562,0.44642857,0.816,0.64135021,0.38461538,0.6,0.16765286,0.17554241,0.34319527,"Scott Barlow",14993,605130
"Tejay Antone","CIN",0.30346821,0.55918367,0.40947547,0.53333333,0.79562044,0.68181818,0.41455161,0.65248227,0.12984823,0.21079258,0.34064081,"Tejay Antone",16233,622088
"Dylan Bundy","LAA",0.32399299,0.59955257,0.44499018,0.54054054,0.82462687,0.70860927,0.43909627,0.56928839,0.12966601,0.21021611,0.33988212,"Dylan Bundy",12917,605164
"Shane Bieber","CLE",0.36964504,0.65558195,0.46688207,0.44039735,0.8442029,0.63321799,0.34006462,0.62962963,0.17124394,0.16720517,0.33844911,"Shane Bieber",19427,669456
"Yu Darvish","CHC",0.33889816,0.65884477,0.49262793,0.53694581,0.80273973,0.70774648,0.48048569,0.62962963,0.14397225,0.1934085,0.33738075,"Yu Darvish",13074,506433
"Joe Musgrove","PIT",0.33333333,0.64310954,0.46359584,0.47692308,0.84065934,0.68910256,0.4205052,0.68674699,0.14413076,0.19167905,0.33580981,"Joe Musgrove",12970,605397
"Dinelson Lamet","SDP",0.32409012,0.65458422,0.47227533,0.48663102,0.82410423,0.69635628,0.44837476,0.65543071,0.14340344,0.19024857,0.33365201,"Dinelson Lamet",17186,659275
"Aaron Nola","PHI",0.38121547,0.62264151,0.47038328,0.59057971,0.84090909,0.71296296,0.36933798,0.64359862,0.13501742,0.19337979,0.32839721,"Aaron Nola",16149,605400
"Kenta Maeda","MIN",0.40833333,0.70466321,0.52434077,0.48163265,0.84191176,0.67117988,0.39148073,0.64516129,0.17241379,0.15517241,0.32758621,"Kenta Maeda",18498,628317
"Frankie Montas","OAK",0.30902111,0.63104326,0.44748359,0.59627329,0.83064516,0.73838631,0.42997812,0.61603376,0.11706783,0.20897155,0.32603939,"Frankie Montas",14309,593423
"Mike Mayers","LAA",0.29773463,0.67980296,0.44921875,0.47826087,0.77536232,0.65652174,0.39648438,0.61983471,0.15429688,0.16992188,0.32421875,"Mike Mayers",15451,594577
"Brady Singer","KCR",0.29430894,0.58333333,0.41736695,0.59668508,0.89097744,0.77181208,0.42577031,0.60456274,0.0952381,0.22782446,0.32306256,"Brady Singer",25377,663903
"Jack Flaherty","STL",0.29039813,0.67808219,0.44784423,0.43548387,0.83333333,0.68012422,0.40611961,0.61764706,0.14325452,0.17941586,0.32267038,"Jack Flaherty",17479,656427
"Lance McCullers Jr.","HOU",0.3,0.55932203,0.40384615,0.52201258,0.87373737,0.71708683,0.40045249,0.5814978,0.11425339,0.2081448,0.32239819,"Lance McCullers Jr.",14120,621121
"Sonny Gray","CIN",0.27457627,0.58994709,0.39772727,0.54938272,0.84304933,0.71948052,0.39049587,0.54893617,0.11157025,0.2107438,0.32231405,"Sonny Gray",12768,543243
"Zack Greinke","HOU",0.28854962,0.6,0.40754717,0.5978836,0.85185185,0.74074074,0.38207547,0.61904762,0.10566038,0.21415094,0.31981132,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",0.31956522,0.68691589,0.49662162,0.54421769,0.84353741,0.74376417,0.48198198,0.69683258,0.12725225,0.19031532,0.31756757,"Clayton Kershaw",2036,477132
"Lucas Giolito","CHW",0.31222386,0.75140187,0.50576606,0.49056604,0.74626866,0.65798046,0.44069193,0.59375,0.17298188,0.14415157,0.31713344,"Lucas Giolito",15474,608337
"Zac Gallen","ARI",0.32618026,0.60047847,0.42882722,0.5745614,0.84860558,0.71816284,0.37421665,0.64948454,0.12085944,0.19516562,0.31602507,"Zac Gallen",19291,668678
"Tyler Glasnow","TBR",0.30093458,0.66200466,0.46161826,0.49689441,0.80985915,0.69662921,0.44502075,0.60084034,0.14004149,0.1753112,0.3153527,"Tyler Glasnow",14374,607192
"Gerrit Cole","NYY",0.35207101,0.67931689,0.4954281,0.53361345,0.79608939,0.69127517,0.43807149,0.63541667,0.15295096,0.16209476,0.31504572,"Gerrit Cole",13125,543037
"Chris Stratton","PIT",0.31137725,0.69483568,0.4606947,0.47115385,0.81081081,0.67063492,0.38939671,0.63358779,0.15173675,0.16270567,0.31444241,"Chris Stratton",13761,608717
"Jonathan Hernández","TEX",0.32258065,0.63636364,0.44064386,0.52,0.82352941,0.68493151,0.37625755,0.552,0.138833,0.17303823,0.31187123,"Jonathan Hernandez",17464,642546
"Seth Lugo","NYM",0.33704735,0.66932271,0.47377049,0.56198347,0.82142857,0.71280277,0.41147541,0.6,0.13606557,0.17377049,0.30983607,"Seth Lugo",12447,607625
"Kevin Gausman","SFG",0.31758034,0.7309417,0.50666667,0.47619048,0.81595092,0.70040486,0.4574359,0.60816327,0.15179487,0.15794872,0.30974359,"Kevin Gausman",14107,592332
"Adam Wainwright","STL",0.32282004,0.64194373,0.45698925,0.61494253,0.86454183,0.76235294,0.42043011,0.67557252,0.10860215,0.20107527,0.30967742,"Adam Wainwright",2233,425794
"Tyler Mahle","CIN",0.33017078,0.65846154,0.45539906,0.56321839,0.80373832,0.69587629,0.3814554,0.62189055,0.13849765,0.17018779,0.30868545,"Tyler Mahle",16358,641816
"Kyle Hendricks","CHC",0.34775641,0.66914498,0.49655766,0.64976959,0.83611111,0.7660312,0.46299484,0.66349206,0.116179,0.19018933,0.30636833,"Kyle Hendricks",12049,543294
"Corbin Burnes","MIL",0.3338438,0.66106443,0.44950495,0.54587156,0.80084746,0.6784141,0.35346535,0.52916667,0.14455446,0.16039604,0.3049505,"Corbin Burnes",19361,669203
"Carlos Carrasco","CLE",0.3323217,0.71493213,0.48592189,0.48401826,0.83227848,0.68971963,0.40145322,0.63928571,0.15077203,0.15258856,0.30336058,"Carlos Carrasco",6632,471911
"Jesús Luzardo","OAK",0.28520499,0.68865435,0.44787234,0.5375,0.82758621,0.71733967,0.40319149,0.625,0.12659574,0.17659574,0.30319149,"Jesus Luzardo",19959,666200
"Brandon Woodruff","MIL",0.31166913,0.69662921,0.48142031,0.63981043,0.77956989,0.72898799,0.44095789,0.66552901,0.13047069,0.17258464,0.30305533,"Brandon Woodruff",16162,605540
"Ian Anderson","ATL",0.27639752,0.62650602,0.4290718,0.56179775,0.81410256,0.72244898,0.43607706,0.60869565,0.11908932,0.18388792,0.30297723,"Ian Anderson",19951,666120
"Gio González","CHW",0.29425837,0.6,0.39320388,0.53658537,0.85833333,0.69547325,0.3236246,0.62091503,0.1197411,0.1828479,0.302589,"Gio Gonzalez",7448,461829
"Brent Suter","MIL",0.31649832,0.68493151,0.47286822,0.5106383,0.84,0.71311475,0.4244186,0.56589147,0.13565891,0.16666667,0.30232558,"Brent Suter",13942,608718
"Walker Buehler","LAD",0.30654762,0.66287879,0.46333333,0.61165049,0.80571429,0.73381295,0.44,0.58503401,0.12333333,0.17833333,0.30166667,"Walker Buehler",19374,621111
