Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Shane Bieber","CLE",2.974428176879883,-3.3447518348693848,6.319180011749268,27.753400802612305,2.6467254161834717,0.9890918731689453,0.9895820617675781,0.8741666674613953,1.2474000453948975,12,2.479677200317383,0.5275542385075371,0,0,"Shane Bieber",19427,669456
"Kenta Maeda","MIN",1.911702036857605,-2.2407360076904297,4.152438163757324,17.11400032043457,1.6519638299942017,0.7675944566726685,0.9146608710289001,0.8537818193435669,1.061327338218689,11,2.461221694946289,0.029288782610256803,0,0,"Kenta Maeda",18498,628317
"Kyle Hendricks","CHC",2.089047908782959,-3.9316959381103516,6.0207438468933105,20.084800720214844,1.974236011505127,0.9338087439537048,1.0050047636032104,0.8774999976158142,1.312181830406189,11,2.3343405723571777,-0.09721447741612721,0,0,"Kyle Hendricks",12049,543294
"Yu Darvish","CHC",2.3444740772247314,-3.931702136993408,6.2761759757995605,22.816699981689453,2.2188949584960938,1.0217738151550293,0.9463791847229004,0.8799999952316284,0.941100001335144,12,2.1840813159942627,0.11043244277632658,0,0,"Yu Darvish",13074,506433
"Dinelson Lamet","SDP",1.3904099464416504,-3.682990074157715,5.073400020599365,16.33300018310547,1.641369104385376,0.9877934455871582,0.9853945374488831,0.8700000047683716,1.0846666097640991,12,1.872122049331665,-0.4645302570869094,0,0,"Dinelson Lamet",17186,659275
"Dallas Keuchel","CHW",2.182058334350586,-2.4982659816741943,4.680324077606201,19.76799964904785,1.9152095317840576,0.9094772338867188,0.8827484846115112,0.8736363649368286,0.9179454445838928,11,1.8229117393493652,0.5763328519917472,0,0,"Dallas Keuchel",9434,572971
"Trevor Bauer","CIN",1.6053059101104736,-3.5983941555023193,5.203700065612793,21.90799903869629,2.0808022022247314,0.899839460849762,0.9532789587974548,0.8965636491775513,1.1941334009170532,9,1.8076872825622559,-0.023695826359050987,0,0,"Trevor Bauer",12703,545333
"Zach Plesac","CLE",1.5290558338165283,-2.4392340183258057,3.968289852142334,16.547800064086914,1.578199028968811,0.8900818824768066,0.9909785985946655,0.8738000392913818,0.9402000308036804,8,1.6899549961090088,0.0279272166618727,0,0,"Zach Plesac",19979,668676
"Brandon Woodruff","MIL",0.8656357526779175,-5.158294200897217,6.023929595947266,12.637800216674805,1.24099600315094,1.076818823814392,1.0275921821594238,0.8700000047683716,1.1223833560943604,12,1.635627031326294,-0.8317445828271168,0,0,"Brandon Woodruff",16162,605540
"Tony Gonsolin","LAD",1.1213599741458893,-2.253089874982834,3.374449849128723,11.614600270986557,1.1403649263083935,1.0089791751169896,0.9745319434937011,0.9033333328035142,1.4594249725341797,8,1.6255435142666101,-0.5141628219784178,0,1,"Tony Gonsolin",19388,664062
"Corbin Burnes","MIL",1.2665820196270943,-3.184845805168152,4.451427698135376,18.93640112876892,1.8106697797775269,0.9608910895507159,0.8592339064925909,0.9328833520412445,1.1064400017261504,10,1.6134280264377594,-0.29529527091464347,1,0,"Corbin Burnes",19361,669203
"Lucas Giolito","CHW",0.49912023544311523,-4.444697856903076,4.943818092346191,9.369999885559082,0.9034488201141357,0.9581301212310791,0.8645540475845337,0.8733333349227905,1.3122727870941162,11,1.4934234619140625,-0.9724918844767441,0,0,"Lucas Giolito",15474,608337
"Brad Keller","KCR",0.9125699400901794,-2.125296115875244,3.0378658771514893,14.824000358581543,1.3888113498687744,0.7354925870895386,0.7339999675750732,0.8755555748939514,0.5886749625205994,8,1.4511560201644897,-0.21039580570554572,0,0,"Brad Keller",15734,641745
"Clayton Kershaw","LAD",1.3280441761016846,-3.0684118270874023,4.396456241607666,14.514200210571289,1.3711005449295044,0.9665874242782593,0.9814966917037964,0.9038400053977966,0.861519992351532,10,1.4034473896026611,-0.029495957228790504,0,0,"Clayton Kershaw",2036,477132
"Zach Davies","SDP",0.6466699242591858,-3.411936044692993,4.058606147766113,12.378999710083008,1.2531596422195435,0.7798814177513123,0.7947916984558105,0.8700000047683716,0.735883355140686,12,1.3291943073272705,-0.5000042413249604,0,0,"Zach Davies",13183,605200
"Zac Gallen","ARI",1.3756741285324097,-4.189633846282959,5.5653076171875,14.327199935913086,1.3494309186935425,0.990096390247345,0.9778000116348267,0.8700000047683716,1.296049952507019,12,1.2213664054870605,0.16806814056631914,0,0,"Zac Gallen",19291,668678
"Jacob deGrom","NYM",1.0817601680755615,-3.7730355262756348,4.854795932769775,13.967199325561523,1.4369046688079834,0.927669882774353,0.9316434860229492,0.8799999952316284,0.9735833406448364,12,1.1559348106384277,0.010169843789261002,0,0,"Jacob deGrom",10954,594798
"Gerrit Cole","NYY",1.1697280406951904,-3.1168739795684814,4.286602020263672,11.769400596618652,1.1396217346191406,0.7225932478904724,0.7882720232009888,0.9000000357627869,0.37077999114990234,10,1.1397225856781006,0.4790692368445655,0,0,"Gerrit Cole",13125,543037
"Carlos Carrasco","CLE",1.3613262176513672,-4.249351978302002,5.610678195953369,15.110200881958008,1.4463485479354858,1.0116673707962036,0.9567239284515381,0.8741666674613953,1.0540499687194824,12,1.0750099420547485,0.27061635463995914,0,0,"Carlos Carrasco",6632,471911
"Marco Gonzales","SEA",1.2892301082611084,-4.528248310089111,5.817478179931641,9.1943998336792,0.9355083107948303,1.090527057647705,1.054822564125061,0.8756182193756104,1.3356200456619263,10,1.0696649551391602,0.11254331674178797,0,0,"Marco Gonzales",15467,594835
"Adam Wainwright","STL",0.6856659650802612,-4.279760360717773,4.965425968170166,7.95959997177124,0.79547518491745,1.010520100593567,0.9834298491477966,0.8834400177001953,1.247499942779541,8,1.0489110946655273,-0.3703833101340671,0,0,"Adam Wainwright",2233,425794
"Lance Lynn","TEX",1.8770480155944824,-4.759466171264648,6.636514186859131,11.267199516296387,1.0272446870803833,0.9701535105705261,1.0004658699035645,0.8676922917366028,0.9719833135604858,12,1.0373523235321045,0.8974425260898191,0,0,"Lance Lynn",2520,458681
"Dylan Bundy","LAA",0.835202157497406,-3.5714497566223145,4.406651973724365,9.385600090026855,0.9549281597137451,0.8637035489082336,0.8343617916107178,0.8674908876419067,0.9422000050544739,10,1.0180425643920898,-0.05104160838913596,0,0,"Dylan Bundy",12917,605164
"Max Fried","ATL",1.5305558443069458,-3.114312171936035,4.644867897033691,16.396400451660156,1.6011989116668701,1.0264196395874023,0.9890596270561218,0.8902363777160645,1.1997454166412354,11,1.0135163068771362,0.47764362934757876,0,0,"Max Fried",13743,608331
"Zack Wheeler","PHI",1.2518079280853271,-4.526485919952393,5.778293609619141,10.972199440002441,1.0526548624038696,1.0426758527755737,0.9777621626853943,0.8851091265678406,1.0366545915603638,11,1.0009843111038208,0.19958816283719338,0,0,"Zack Wheeler",10310,554430
"Hyun Jin Ryu","TOR",1.4235399961471558,-4.333491802215576,5.7570319175720215,13.743799209594727,1.3340673446655273,1.0840978622436523,0.9950147271156311,0.8700000047683716,1.0332666635513306,12,0.9998078346252441,0.3133023980625991,0,0,"Hyun Jin Ryu",14444,547943
"Brady Singer","KCR",0.390087753534317,-4.357330322265625,4.74741792678833,6.508999824523926,0.6087765097618103,0.9658065438270569,0.9387757778167725,0.8849999904632568,0.9554666876792908,12,0.9131749868392944,-0.5092765497997453,0,0,"Brady Singer",25377,663903
