Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Andrew Saalfrank","ARI",0,36.00003862385125,0,0,0,0.5,-0.5,0.5,6.000006437308542,0.5,0.33333333,863.8365358312155,381.27352101949475,404.8375690787872,36.00003862385125,15.166492652906879,20.833545970944375,16.678502681339516,16.676729084014895,"Andrew Saalfrank",26203,685314
"Mike Yastrzemski","SFG",0,27,0,0,0,0.375,-0.375,0.4,5,0.4,0.6,447.7873301693844,307.4338177931788,332.34004796525414,18,12.166479778289794,5.833520221710206,13.67848818451166,12.375791584014891,"Mike Yastrzemski",14854,573262
"Aaron Hicks","LAA",0,9,0,9,0,0.16666667,-0.16666667,0.4,3,0.25,0.625,442.4522410265818,469.23522801431517,302.02193821367325,18,19.166479778289794,-1.1664797782897942,12.21451340317726,11.391617958142671,"Aaron Hicks",5297,543305
"Josh Rojas","SEA",0,9,0,4.5,0,0.25,-0.25,0.16666666666666666,1.5,0,0.625,239.31110653490146,326.7716577035219,226.79174951669006,9,12.666479778289794,-3.666479778289794,9.190496590733527,10.903666584014893,"Josh Rojas",19734,668942
"Garrett Hampson","KCR",0,0,0,0,0,0,0,0,0,0,1,0,152.03030507506628,264.40684386518166,0,6.166479778289795,-6.166479778289795,10.702504996955394,10.525729084014893,"Garrett Hampson",19262,641658
"Kody Clemens","PHI",0,9,0,9,0,0.16666667,-0.16666667,0.4,3,0.25,1,214.2376751058148,456.24933480707057,260.4232608292218,9,19.166479778289794,-10.166479778289794,10.702504996955394,10.178229074148891,"Kody Clemens",20572,665019
"Tejay Antone","CIN",9,18,0.5,0,0.18181818,0.36363636,-0.18181818,0.2857142857142857,3,0.4,0.66666667,103.825386140562,166.3555143541859,211.51142998659057,4.5,7.166479778289795,-2.666479778289795,8.67848818451166,9.735258004078513,"Tejay Antone",16233,622088
"Isiah Kiner-Falefa","TOR",0,9,0,0,0,0.22222222,-0.22222222,0.14285714285714285,1.5,0.14285714285714285,0.66666667,112.42742810286074,149.39830969542564,226.79174951669006,4.5,6.166479778289795,-1.666479778289795,9.190496590733527,9.733642659296423,"Isiah Kiner-Falefa",16512,643396
"Jake Bauers","MIL",2.25,9,0.25,0,0.05,0.2,-0.15,0.3125,2.25,0.3333333333333333,0.77777778,110.01397932770519,138.41926344991094,239.20570472655993,4.5,5.666479778289795,-1.166479778289795,9.824502895399927,9.487086584014893,"Jake Bauers",15194,641343
"Pablo Reyes","BOS",0,9,0,0,0,0.2,-0.2,0.25,2,0.25,1,0,150.9221671445999,226.79174951669006,0,6.166479778289795,-6.166479778289795,9.190496590733527,9.249769084014893,"Pablo Reyes",16357,622569
"Pavin Smith","ARI",0,9,0,0,0,0.2,-0.2,0,1,0,1,0,231.1708628797258,296.381654397238,0,9.166479778289794,-9.166479778289794,12.190496590733527,9.249769084014893,"Pavin Smith",19892,656976
"Seth Johnson","PHI",0,11.571430147910819,0,3.8571433826369397,0,0.16666667,-0.16666667,0.5333333333333333,4.71428635655626,0.5,0.20833333,826.345430845916,300.4215437308538,296.7962439144921,34.71429044373246,12.595052491402313,22.119237952330145,12.207652688526824,9.093621695071285,"Seth Johnson",26020,686751
"Connor Brogdon","- - -",9.000003218651969,18.000006437303938,0.5,12.000004291535959,0.15789474,0.31578947,-0.15789474,0.38461538461538464,3.6666679779693205,0.16666666666666666,0.37037037,574.7918727141423,580.5214039946899,248.05026790970916,24.000008583071917,24.499820741020386,-0.4998121579484689,10.190499102718588,8.99275400989718,"Connor Brogdon",21205,641401
"Zach McKinstry","DET",0,4.500002413989408,0,4.500002413989408,0,0.125,-0.125,0.14285714285714285,1.0000005364420907,0,0,223.61474970936683,276.2721719884202,208.28301276777273,9.000004827978817,11.16648406982652,-2.1664792418477035,8.446503626269974,8.851135334014891,"Zach McKinstry",19392,656716
"David Bote","CHC",0,9,0,0,0,0.2,-0.2,0.25,2,0.25,1,0,153.53344190664572,223.8844836100398,0,6.166479778289795,-6.166479778289795,9.190496590733527,8.775209084014893,"David Bote",14593,623520
"Brandon Crawford","STL",0,13.500003218651585,0,0,0,0.2,-0.2,0.42857142857142855,3.750000894069885,0.42857142857142855,0.33333333,668.6040342485716,246.57605375451763,296.2366104422569,27.00000643730317,9.916481387615587,17.083525049687584,12.18449453768486,8.587129084014892,"Brandon Crawford",5343,543063
"Dominic Smith","BOS",0,3,0,0,0,0.09090909,-0.09090909,0.2,1,0.2,1,0,101.3769302690895,177.03661033398893,0,4.166479778289796,-4.166479778289796,7.190496590733529,8.365704276613865,"Dominic Smith",15653,642086
"Hurston Waldrep","ATL",3.8571433826369397,10.28571568703184,0.375,3.8571433826369397,0.08333333,0.22222222,-0.13888889,0.3333333333333333,2.428571759438073,0.2857142857142857,0.36231884,403.2074460102965,291.5283841008066,203.0051993303415,16.71428799142674,11.737909517482995,4.976378473943745,8.326492490174118,8.239478363834507,"Hurston Waldrep",33527,694462
"Austin Hedges","CLE",0,4.5,0,0,0,0.16666667,-0.16666667,0,0.5,0,1,0,115.5440391457253,151.8603007811726,0,4.666479778289795,-4.666479778289795,6.178488184511662,8.178062405966893,"Austin Hedges",12976,595978
"Vidal Bruján","MIA",5.400002059937309,16.20000617981193,0.33333333,10.800004119874618,0.0625,0.1875,-0.125,0.5833333333333334,6.000002288819233,0.5555555555555556,0.36585366,1032.9969896320151,599.658233136065,354.8438034372957,43.20001647949847,24.76648801803903,18.433528461459442,14.6097144059361,8.151611896514893,"Vidal Brujan",20536,660644
"Eric Orze","NYM",5.400002059937309,10.800004119874618,0.5,5.400002059937309,0.09090909,0.18181818,-0.09090909,0.375,3.0000011444096164,0.3333333333333333,0.43478261,541.3204693922044,370.381754367513,289.4222096771101,21.600008239749236,15.166484355928262,6.433523883820975,11.90250832948582,8.055919165769266,"Eric Orze",27626,679358
"Leo Rivas","SEA",0,0,0,0,0,0,0,0.2222222222222222,1,0.2222222222222222,0.5,0,80.2455022672513,189.7741350911299,0,3.166479778289795,-3.166479778289795,7.702504996955395,8.02791426623504,"Leo Rivas",21009,660844
"Andrew Knizner","TEX",0,6.000001907349239,0,0,0,0.18181818,-0.18181818,0.1111111111111111,1.0000003178915398,0.1111111111111111,1,0,125.6412958190681,151.7607445824354,0,5.166480414072875,-5.166480414072875,6.174486338657239,8.012348906122511,"Andrew Knizner",19514,668800
"James Meeker","MIL",0,9,0,0,0,0.25,-0.25,0.3333333333333333,2,0.3333333333333333,1,0,150.4755768358281,150.80692917167588,0,6.166479778289795,-6.166479778289795,6.166479778289795,7.965479084014892,"James Meeker",29891,703231
"Jose Trevino","NYY",0,9,0,0,0,0.15384615,-0.15384615,0.45454545454545453,3.5,0.45454545454545453,0.57142857,339.2640319567217,148.83057227791375,226.79174951669006,13.5,6.166479778289795,7.333520221710205,9.190496590733527,7.81126161637481,"Jose Trevino",16725,624431
"James McCann","BAL",0,0,0,9,0,0,0,0.4,2,0.25,0,454.15306854224696,402.2616235594419,189.7741350911299,18,16.166479778289794,1.8335202217102058,7.702504996955395,7.741129084014893,"James McCann",12859,543510
"Donovan Walton","SFG",0,0,0,0,0,0,0,0.4,2,0.4,1,0,81.38933254032028,187.92609004202365,0,3.166479778289795,-3.166479778289795,7.702504996955395,7.741129084014893,"Donovan Walton",19314,622268
"Michael Stefanic","LAA",0,0,0,0,0,0,0,0.25,1,0.25,1,0,149.73162244793124,226.79174951669006,0,6.166479778289795,-6.166479778289795,9.190496590733527,7.741129084014893,"Michael Stefanic",25353,683021
"David Hensley","MIA",0,4.5,0,0,0,0.1,-0.1,0.25,1.5,0.25,0.5,215.20762407811165,150.6483181189688,223.8844836100398,9,6.166479778289795,2.833520221710205,9.190496590733527,7.717729084014892,"David Hensley",25111,682073
"Zach Plesac","LAA",3.7500002980232474,5.250000417232546,0.71428571,3.000000238418598,0.09259259,0.12962963,-0.03703704,0.2553191489361702,1.5833334591653712,0.21052631578947367,0.59701493,202.79062658686766,205.0303336657517,181.23267021544763,8.250000655651144,8.416480195522341,-0.16647953987119735,7.3591649916418564,7.497679730101096,"Zach Plesac",19979,668676
"David Buchanan","CIN",2.70000025749209,5.40000051498418,0.5,0,0.07142857,0.14285714,-0.07142857,0.16666666666666666,1.200000114440929,0.18181818181818182,0.75,62.29523762527401,102.02384182290969,184.0400689428673,2.70000025749209,4.366479892730725,-1.6664796352386348,7.541697848609026,7.450412749289292,"David Buchanan",11176,571527
"Owen Miller","MIL",0,4.5,0,4.5,0,0.08333333,-0.08333333,0.45454545454545453,3,0.4,0.43478261,440.05591731082075,271.0387106949993,205.90528682603173,18,11.166479778289794,6.833520221710206,8.44650079384446,7.387423522052448,"Owen Miller",24655,680911
"Ryan Loutos","STL",0,3.8571433826369397,0,0,0,0.1,-0.1,0.2222222222222222,1.28571446087898,0.2222222222222222,1,0,111.71212655963936,187.67736909167851,0,4.452194239168775,-4.452194239168775,7.69221269391883,7.385789084014892,"Ryan Loutos",29521,702795
"Miguel Díaz","HOU",0,0,0,0,0,0,0,0,0,0,1,0,77.29987931750287,152.1590407426383,0,3.166479778289795,-3.166479778289795,6.190496590733528,7.347395748822226,"Miguel Diaz",18815,622766
"Adam Kloffenstein","STL",0,0,0,0,0,0,0,0,0,0,1,0,79.97944181325451,151.3873128228417,0,3.166479778289795,-3.166479778289795,6.190496590733528,7.347395748822226,"Adam Kloffenstein",24493,680572
"Grae Kessinger","HOU",0,0,0,0,0,0,0,0,0,0,1,0,77.29987931750287,152.1590407426383,0,3.166479778289795,-3.166479778289795,6.190496590733528,7.347395748822226,"Grae Kessinger",25813,666197
"Garrett Stubbs","PHI",0,4.5,0,4.5,0,0.10526316,-0.10526316,0.35294117647058826,2,0.26666666666666666,0.19230769,374.9159314351758,266.5458998931327,187.63589821644072,15.75,11.166479778289794,4.583520221710206,7.690496590733528,7.334457601372516,"Garrett Stubbs",18067,596117
"Rowdy Tellez","PIT",0,3.3750008046628963,0,0,0,0.06666667,-0.06666667,0.4166666666666667,2.250000536441931,0.4166666666666667,0.75,160.95921677356085,160.63761209803917,228.37931858541313,6.750001609325793,6.541480582952691,0.20852102637310121,9.376497020539283,7.319369076609292,"Rowdy Tellez",15679,642133
"Cristian Mena","ARI",6,9,0.66666667,6,0.13333333,0.2,-0.06666667,0.3333333333333333,2.3333333333333335,0.25,0.71428571,287.94520301171934,339.5781055859358,179.48392640933557,12,13.49981311162313,-1.49981311162313,7.35316045532624,7.196742421186559,"Cristian Mena",27974,691441
"Nick Nastrini","CHW",6.560747955926019,9.084112554359104,0.72222222,1.766355218903159,0.14942529,0.20689655,-0.05747126,0.23357664233576642,1.9065421410383305,0.2403846153846154,0.60810811,174.97160803342942,176.2983672914122,181.3592006284612,7.065420875612636,7.372087442344936,-0.3066665667323001,7.3642511160138096,7.182650357570814,"Nick Nastrini",29833,680897
"Jairo Iriarte","CHW",9.000001430511702,12.000001907348937,0.75,0,0.2,0.26666667,-0.06666667,0.13636363636363635,1.8333336247338652,0.1875,0.72727273,37.14675436710987,123.01664426708265,170.56828285184986,1.500000238418617,5.166480096181284,-3.666479857762667,6.930490183821981,7.177677958717536,"Jairo Iriarte",26907,683568
"Austin Pruitt","TEX",2.076923686371931,6.230771059115794,0.33333333,6.230771059115794,0.04166667,0.125,-0.08333333,0.38095238095238093,2.538462283343472,0.29411764705882354,0.73529412,313.5512532826636,338.20708049803835,186.55897850626312,12.461542118231588,13.781867508635223,-1.3203253904036352,7.573265821357446,7.125123191840254,"Austin Pruitt",15290,643493
"Luis Guillorme","- - -",0,6,0,3,0,0.13333333,-0.13333333,0.3076923076923077,2,0.25,0.43478261,289.48222949164,233.5343116292778,175.86836172412836,12,9.499813111623128,2.500186888376872,7.182490986585618,7.101902411916092,"Luis Guillorme",16451,641645
"Tyler Fitzgerald","SFG",0,0,0,0,0,0,0,0.42857142857142855,2,0.42857142857142855,0.5,223.8936650846922,81.38933254032028,163.56690522923566,9,3.1664797782897955,5.833520221710204,6.694499392807485,7.092933161997954,"Tyler Fitzgerald",26208,666149
"Enrique Hernández","LAD",0,0,0,0,0,0,0,0.2777777777777778,1.1538462384918093,0.2777777777777778,0.6,101.2959191593539,76.11200655673792,137.3339412992984,4.153846458570514,3.166479778289795,0.9873666802807186,5.60895507521173,7.052692043064596,"Enrique Hernandez",10472,571771
"Ky Bush","CHW",5.6037737865726465,8.150943689560213,0.6875,1.0188679611950267,0.12643678,0.18390805,-0.05747126,0.2857142857142857,2.0377359223900533,0.3157894736842105,0.76023392,138.7746501948021,149.9088312793324,173.12368406654056,5.6037737865726465,6.279687437496821,-0.6759136509241745,7.033209269997471,6.990353829099568,"Ky Bush",29823,681066
"Mike Burrows","PIT",5.40000051498418,8.10000077247627,0.66666667,2.70000025749209,0.14285714,0.21428571,-0.07142857,0.18181818181818182,1.5000001430511611,0.125,0.83333333,64.3836774992632,209.80843680683674,158.4048840795616,2.70000025749209,8.566480293273976,-5.866480035781886,6.4808901818428435,6.894565825110728,"Mike Burrows",24728,681347
"Germán Márquez","COL",6.75,9,0.75,2.25,0.15,0.2,-0.05,0.3125,2.25,0.3333333333333333,0.78947368,143.90161333945542,183.36795627923976,160.23181530205426,6.75,7.916479778289795,-1.166479778289795,6.556490286067128,6.856136584014894,"German Marquez",15038,608566
"Luke Maile","CIN",0,0,0,2.454545880152248,0,0,0,0.3333333333333333,1.6363639201014988,0.29411764705882354,0,339.79223174204367,155.91207471894631,177.96098626130433,14.727275280913489,6.7119349385097085,8.01534034240378,7.290139783009184,6.78835871264793,"Luke Maile",13355,571912
"Paolo Espino","TOR",3.1153848439278855,5.192308073213143,0.6,3.1153848439278855,0.06818182,0.11363636,-0.04545455,0.3684210526315789,2.1923078531344378,0.34375,0.75949367,207.55834403167074,220.13627195140816,180.8179763598473,8.307692917141027,9.051095594598024,-0.7434026774569968,7.342495603819321,6.692410708466326,"Paolo Espino",8246,502179
"Emmanuel Rivera","MIA",0,0,0,2.25,0,0,0,0.3684210526315789,1.75,0.3333333333333333,0.60606061,215.20762407811165,174.78862543655038,178.64629982443668,9,7.166479778289795,1.833520221710205,7.318498692288995,6.691129084014892,"Emmanuel Rivera",19890,656896
"Luke Williams","ATL",0,2.25,0,0,0,0.05263158,-0.05263158,0.29411764705882354,1.5,0.29411764705882354,0.71428571,108.55583605936499,116.99998351303644,169.36650960684975,4.5,4.666479778289795,-0.1664797782897951,6.934492387622595,6.681875885491934,"Luke Williams",19931,663897
"Gerardo Reyes","OAK",4.5,6.75,0.66666667,0,0.11111111,0.16666667,-0.05555556,0.26666666666666666,1.75,0.3076923076923077,0.57142857,116.16732937384857,111.89759989074317,164.44845555758076,4.5,4.416479778289795,0.0835202217102049,6.684492387622595,6.660259938874583,"Gerardo Reyes",16306,622103
"Matt Foster","CHW",5.40000051498418,6.750000643730225,0.8,1.350000128746045,0.13333333,0.16666667,-0.03333333,0.2,1.5000001430511611,0.2,0.93023256,66.8641536096887,147.17403629936084,170.75747889205326,2.70000025749209,6.166480064392118,-3.466479806900028,6.938095269178438,6.659402422359314,"Matt Foster",19647,641582
"Wade Miley","MIL",2.5714285714285716,5.142857142857143,0.5,1.2857142857142858,0.06666667,0.13333333,-0.06666667,0.24,1.4285714285714286,0.22727272727272727,0.625,157.16282761100743,160.80955973804276,147.60341879421367,6.428571428571429,6.595051206861223,-0.1664797782897942,6.033915555051395,6.6129490900334265,"Wade Miley",8779,489119
"Zach Penrod","BOS",6.7500036209841126,9.000004827978817,0.75,0,0.15,0.2,-0.05,0.2,1.7500009387736588,0.25,0.75,53.660661291208896,132.34273321670278,179.92230681180303,2.250001206994704,5.416480985284499,-3.166479778289795,7.30649250694302,6.575291584014893,"Zach Penrod",25368,683068
"Matt Wallner","MIN",0,0,0,0,0,0,0,0.3333333333333333,1.500000357627954,0.3333333333333333,1,0,77.09376726241584,133.35150702060176,0,3.166479778289795,-3.166479778289795,5.4344929283590675,6.554395748056225,"Matt Wallner",26466,670242
"Sam Aldegheri","LAA",6.923076923076923,6.923076923076923,1,1.3846153846153846,0.14925373,0.14925373,0,0.2727272727272727,1.9230769230769231,0.3023255813953488,0.61983471,119.12175719946434,155.40328408520435,182.77758793199288,4.846153846153846,6.397249009059026,-1.5510951629051801,7.421265821502759,6.536751583020674,"Sam Aldegheri",26443,691951
"Brandon Eisert","TOR",2.70000025749209,5.40000051498418,0.5,0,0.07692308,0.15384615,-0.07692308,0.22727272727272727,1.350000128746045,0.25,0.66666667,101.18469494229916,105.25783065984753,146.27779123482222,4.050000386238135,4.366479892730725,-0.31647950649259027,5.9540888706698745,6.47462257607748,"Brandon Eisert",27668,685126
"John Curtiss","COL",3.8571433826369397,0,1,7.714286765273879,0.08333333,0,0.08333333,0.5,2.57142892175796,0.4444444444444444,0.625,328.91801815885043,310.40243834779517,151.5531467017945,15.428573530547759,13.452195465321633,1.9763780652261254,6.197358950070541,6.437749918749811,"John Curtiss",16128,595928
"Victor Mederos","LAA",8.43750050291422,10.125000603497064,0.83333333,1.687500100582844,0.18518519,0.22222222,-0.03703704,0.3333333333333333,2.4375001452863305,0.4,0.51724138,290.3593004804573,172.7727536174575,149.5093617105274,11.812500704079909,7.103980012983098,4.708520691096811,6.083987833019826,6.4266879298454525,"Victor Mederos",31533,682989
"Joey Lucchesi","NYM",6.096774381107649,6.9677421498373135,0.875,0.8709677687296642,0.15217391,0.17391304,-0.02173913,0.21052631578947367,1.548387144408292,0.23333333333333334,0.68493151,130.9645837615744,132.84516759742243,144.12807291776056,5.225806612377985,5.392286298376715,-0.16647968599872964,5.890102527368384,6.387316768422538,"Joey Lucchesi",19320,664192
"Caleb Boushley","MIN",2.25,4.5,0.5,0,0.05,0.1,-0.05,0.3333333333333333,2,0.35294117647058826,0.75,111.38372682197357,102.02466781702067,167.632836746866,4.5,4.166479778289795,0.3335202217102049,6.812494489178062,6.379034084014893,"Caleb Boushley",19736,676961
"Diego Castillo","MIN",5.40000051498418,7.2000006866455735,0.75,0,0.13953488,0.18604651,-0.04651163,0.22857142857142856,1.600000152587905,0.27586206896551724,0.8125,66.83024246661272,107.01085078105703,151.92005592518427,2.70000025749209,4.366479892730724,-1.666479635238634,6.18089015323261,6.351319673193259,"Diego Castillo",17496,650895
"Jose E. Hernandez","PIT",6.750002816320641,6.750002816320641,1,1.6875007040801602,0.16,0.16,0,0.23809523809523808,1.6875007040801602,0.25,0.92105263,80.47962277766185,156.08477006150386,164.94429451398872,3.3750014081603203,6.353981108218987,-2.9789797000586664,6.751497035741556,6.307871484014893,"Jose E. Hernandez",22318,669796
"Matt Sauer","KCR",4.959184059546651,6.061224961668128,0.81818182,1.653061353182217,0.10714286,0.13095238,-0.02380952,0.3194444444444444,2.081632815118347,0.3333333333333333,0.68181818,186.21839437776012,164.2529290280688,180.34280088088997,7.714286314850345,6.656275968341141,1.058010346509204,7.323395045092614,6.282178191961712,"Matt Sauer",22284,669422
"Jacob Lopez","TBR",6.9677421498373135,6.096774381107649,1.14285714,1.7419355374593284,0.17391304,0.15217391,0.02173913,0.13513513513513514,1.161290358306219,0.1111111111111111,0.625,135.013543555328,170.7973483539374,176.21483759760866,5.225806612377985,6.74712504973397,-1.5213184373559852,7.157463913109507,6.256285165972448,"Jacob Lopez",25098,682052
