Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",10,3,0,19,19,121,11.380165558338138,1.190082672767387,0.6694215034316552,0.2717391304347826,0.80962801,0.419014084,0.08490566,97.78876313709077,2.231405011438851,2.488810579263695,2.074176153873829,2.4527901781491597,4.7722979636236635,"Tarik Skubal",22267,669373
"Garrett Crochet","BOS",10,4,0,20,20,129.1,11.134020810122701,2.365979422151074,0.6958763006326688,0.2912621359223301,0.825,0.485623003,0.09009009,96.34103106508161,2.22680416202454,2.898083039561885,2.459879498720448,2.7729629149079256,4.329465084059143,"Garrett Crochet",27463,676979
"Paul Skenes","PIT",4,8,0,20,20,121,9.743801806486173,2.2314049938517955,0.4462809987703591,0.2550335570469799,0.79925651,0.468646864,0.057142857,98.38145932284269,2.008264494466616,2.5503006679942692,2.462605920465549,3.1508400701479196,4.012075553660631,"Paul Skenes",33677,694973
"Zack Wheeler","PHI",9,3,0,19,19,122,11.360655915317471,1.9180328168717808,0.9590164084358904,0.24444444444444444,0.82599119,0.39716312,0.12037037,96.07636816896985,2.3606557746114225,2.417861053743276,2.7386525310197527,2.713113399182328,3.6951597951766297,"Zack Wheeler",10310,554430
"Logan Webb","SFG",9,6,0,20,20,125.2,9.954907287715377,2.005305065151299,0.6445623423700604,0.3283582089552239,0.76246334,0.517751479,0.107142857,93.01554024624987,2.9363395596858304,3.482535298589095,2.5753051370146833,2.6709634775277045,3.456941628486893,"Logan Webb",17995,657277
"Cristopher Sánchez","PHI",8,2,0,19,19,115,9.54782632449174,2.504347888391276,0.5478261005855917,0.30363036303630364,0.81761006,0.57980456,0.09589041,,2.504347888391276,3.0483265407821176,2.8011614383416275,2.984860999708237,3.254897198070319,"Cristopher Sanchez",20778,650911
"Kris Bubic","KCR",7,6,0,18,18,108.2,9.358895924548188,2.8159509861472425,0.49693252696716045,0.3006993006993007,0.78772803,0.458904109,0.06,92.53560553928823,2.4846626348358023,3.1504908083590757,2.799801076046744,3.495474456033709,3.2044352480591702,"Kris Bubic",21455,663460
"Jesús Luzardo","PHI",8,5,0,19,19,104.1,10.523961885798803,3.1054313761373513,0.6038338786933739,0.3701067615658363,0.69464544,0.429577464,0.07,96.32997273632185,4.140575168183135,3.5677945199762635,2.7377359624323634,3.3377024818361734,3.1383349638208182,"Jesus Luzardo",19959,666200
"MacKenzie Gore","WSN",4,8,0,19,19,110.1,11.256797810112486,2.854984951840123,0.8972809848640387,0.3233082706766917,0.81103679,0.357664233,0.094827586,95.47216509343215,3.01812694908813,3.484970571629923,2.9680864400217164,3.286865416901392,3.126681360822028,"MacKenzie Gore",22201,669022
"Sonny Gray","STL",9,3,0,19,19,108,9.833333506996253,1.5833333612960068,0.8333333480505298,0.3120567375886525,0.71698113,0.413793103,0.101010101,91.71966212600377,3.500000061812225,3.6408416567980026,2.7699215046499335,2.9741857718453395,3.0677335426322863,"Sonny Gray",12768,543243
"Nathan Eovaldi","TEX",7,3,0,16,16,91,9.29670349156104,1.3846154136367508,0.4945055048702681,0.25217391304347825,0.84,0.517391304,0.075757575,94.45688468531559,1.582417615584858,3.269387991512923,2.415017141084886,2.8147280686386065,2.9972493357496734,"Nathan Eovaldi",9132,543135
"Max Fried","NYY",11,3,0,20,20,122,8.336065769259635,1.9918033253983198,0.66393444179944,0.26126126126126126,0.76660988,0.513274336,0.084112149,95.61585672492654,2.4344262865979465,3.5118532573600647,3.082914831035402,3.4710153393934626,2.9836297223309023,"Max Fried",13743,608331
"Framber Valdez","HOU",10,4,0,19,19,121,9.297520661157025,3.049586776859504,0.5950413223140496,0.27884615384615385,0.79352851,0.60062893,0.114285714,95.38583374023438,2.7520661157024793,3.6833933544506614,3.074176179081941,3.1032468721886315,2.9627672278385293,"Framber Valdez",17295,664285
"Hunter Brown","HOU",9,4,0,19,19,115,10.721739219348237,2.6608695872835044,0.9391304425706486,0.25098039215686274,0.84199584,0.468164794,0.130434782,96.86651480351395,2.426086976640842,3.0210613306708263,3.079422315839108,2.9516726198310916,2.9134861154172977,"Hunter Brown",25880,686613
"Matthew Boyd","CHC",10,3,0,19,19,111.2,8.22089556919437,1.853731353837946,0.8059701538425853,0.2733333333333333,0.81132075,0.37012987,0.0729927,93.35785903543385,2.3373134461434972,3.39251209956088,3.229844120877123,3.9500878196000118,2.7307044485537557,"Matthew Boyd",15440,571510
"Nick Pivetta","SDP",9,2,0,19,19,109.1,10.042683131226045,2.3871951705373387,0.9878048981533815,0.25925925925925924,0.77731092,0.329749103,0.089552238,93.95487664972694,2.8810976196140294,3.8678346217912485,3.158584564860416,3.614249062553267,2.703282299914921,"Nick Pivetta",15454,601713
"Jacob deGrom","TEX",9,2,0,19,19,112.1,9.053412565388808,1.92284868645426,1.0415430384960576,0.23297491039426524,0.87412587,0.420689655,0.115044247,97.46869621176204,2.3234421627988975,3.0675461808916,3.327235503855444,3.3678650405825574,2.700803024351078,"Jacob deGrom",10954,594798
"Chris Sale","ATL",5,4,0,15,15,89.1,11.485075035560488,2.619403078285725,0.7052239056923106,0.3287037037037037,0.83003953,0.389140271,0.078651685,94.93230614295372,2.5186568060439667,2.97111388872089,2.7149187320960757,3.226495876217208,2.6170105170928246,"Chris Sale",10603,519242
"Mitch Keller","PIT",3,10,0,20,20,119,6.957983360562606,2.0420168558172866,0.6806722852724288,0.2777777777777778,0.70093458,0.448087431,0.067164179,94.10193544983488,3.478991680281303,3.8975565679879303,3.3839893664119023,4.130370202847769,2.614654037389735,"Mitch Keller",17594,656605
"Yoshinobu Yamamoto","LAD",8,7,0,19,19,104.1,10.006389995492466,3.105431377911455,0.8626198271976264,0.25,0.78350515,0.528735632,0.121951219,95.2436071395874,2.5878594815928793,2.9679926051183676,3.255307858520963,3.216481671044207,2.5833533665590958,"Yoshinobu Yamamoto",33825,808967
"Joe Ryan","MIN",9,4,0,19,18,109.1,9.960365882618735,1.8932926884316603,0.9878048809208663,0.2480916030534351,0.81545064,0.375,0.090225563,93.46900245415367,2.7164634225323825,3.232399415972544,3.2591943209313836,3.7008103497632208,2.578184709281189,"Joe Ryan",21390,657746
"José Soriano","LAA",6,7,0,20,20,113,7.8053099980079175,4.380531121330974,0.3185840815513436,0.3211009174311927,0.68773234,0.661538461,0.076923076,97.87288935044232,3.9026549990039587,4.140013397866172,3.405778616187399,3.652417410989796,2.44729365163621,"Jose Soriano",22100,667755
"Freddy Peralta","MIL",11,4,0,20,20,111.2,9.510447896565223,2.9820895946857053,0.9671641928710396,0.24468085106382978,0.84103512,0.368965517,0.088235294,94.8913108867835,2.659701530395359,3.4211091536893057,3.6059635299806687,4.079616499506888,2.4156098643250647,"Freddy Peralta",18679,642547
"Spencer Schwellenbach","ATL",7,4,0,17,17,110.2,8.783132656268796,1.4638554427114658,1.0572289308471698,0.2593856655290102,0.71585903,0.468852459,0.141304347,97.02559106143904,3.0903614901686502,3.5413561817268353,3.2577617627665205,3.0075399376146486,2.3939598300037215,"Spencer Schwellenbach",31846,680885
"Ranger Suárez","PHI",7,3,0,13,13,83.2,8.390438502047672,2.3665339364749842,0.6454183463113594,0.27111111111111114,0.84558824,0.502183406,0.075949367,91.75668801700368,2.1513944877045312,2.859999551430728,3.0327221571760523,3.5507449541524094,2.3743647288498666,"Ranger Suarez",17277,624133
"Bryan Woo","SEA",8,4,0,18,18,114.2,8.55523267672828,1.6482558368008613,1.0988372245339075,0.23920265780730898,0.80752212,0.396166134,0.102941176,95.64946820525086,2.747093061334769,3.2021414781923285,3.4542453742852532,3.688762070945116,2.3529502153527107,"Bryan Woo",30279,693433
"Carlos Rodón","NYY",10,6,0,20,20,119.2,10.15320347747701,3.0835655005670923,1.128133719719668,0.22614840989399293,0.76699029,0.402730375,0.1171875,94.42303085327148,3.0835655005670923,3.173098834307844,3.641684645881132,3.6550845937116927,2.203130122772162,"Carlos Rodon",16137,607074
"Merrill Kelly","ARI",8,5,0,20,20,116,8.767241523467122,2.5603448696850886,1.0086207062395804,0.2508250825082508,0.70610687,0.434504792,0.110169491,91.99379086143092,3.336206951407843,4.008625597727905,3.5282229224226564,3.63377358378594,2.200845804486835,"Merrill Kelly",11156,518876
"Andrew Abbott","CIN",8,1,0,16,16,91.1,8.178832316056921,2.364963561269471,0.9854014838622795,0.2589641434262948,0.86046512,0.307392996,0.08,92.44043641021287,2.069343116110787,3.2974673643880923,3.567299191234934,4.246083498686043,2.177540047255937,"Andrew Abbott",29911,671096
"David Peterson","NYM",6,4,0,18,18,109,7.678899351308957,3.0550459784777573,0.5779816716039,0.2916666666666667,0.76036866,0.558730158,0.09090909,92.63916608354864,3.0550459784777573,4.242299949646806,3.424695561239389,3.6748727191004043,2.152583533147852,"David Peterson",20302,656849
"Chad Patrick","MIL",3,7,0,19,18,94.2,9.031690565443938,2.8521128101401914,0.9507042700467304,0.31800766283524906,0.79646018,0.294776119,0.083333333,94.06056439909949,3.5176057991729026,4.120076872996328,3.5839538742497536,4.157712421933992,2.0648285256738337,"Chad Patrick",30113,694477
"Michael Wacha","KCR",4,9,0,19,19,106,7.132075664198417,2.801886868077949,0.9339622893593165,0.2852664576802508,0.76672104,0.385093167,0.08029197,93.56088223300138,3.735849157437266,4.135351272862831,3.9233107706201005,4.559416566714917,1.9248936698675612,"Michael Wacha",14078,608379
"Robbie Ray","SFG",9,3,0,20,20,119,9.680672346489148,3.3277311191056445,0.983193285190304,0.2465753424657534,0.82289803,0.390728476,0.093525179,93.751874929599,2.6470588447431265,3.1795316174616968,3.5436532293316607,3.917595607762006,1.9199058976463674,"Robbie Ray",11486,592662
"Yusei Kikuchi","LAA",4,6,0,20,20,113,9.159292344601129,3.9026549990039587,1.1150442854297025,0.30363036303630364,0.80645161,0.391719745,0.108527131,94.96158319729477,3.1061947951256,4.393042400650051,4.042946779290086,4.185774148043734,1.885645206620479,"Yusei Kikuchi",20633,579328
"Will Warren","NYY",6,5,0,20,20,95.1,10.573427137544385,4.153846375463866,0.8496503949812453,0.3241106719367589,0.69131833,0.445736434,0.108433734,93.19993229116817,4.625874372675669,4.086899875606198,3.465466724084966,3.57545029202136,1.8523122399168064,"Will Warren",30182,701542
"Dylan Cease","SDP",3,9,0,19,19,103.1,11.235484320306151,3.3967743293948827,1.306451665151878,0.3204633204633205,0.68067227,0.354243542,0.132743362,96.991840852649,4.8774195499003445,3.7330228919451987,3.7499693252988227,3.5425246515897815,1.8293776093727352,"Dylan Cease",18525,656302
"Kodai Senga","NYM",7,3,0,14,14,77.2,8.575107576922226,3.8240344599788307,0.46351932848228256,0.2562814070351759,0.88729017,0.475247524,0.050632911,94.9190247853597,1.3905579854468475,3.272087626772627,3.2175451029749933,4.1103507892429425,1.8095178712676103,"Kodai Senga",31838,673540
"Chris Bassitt","TOR",9,4,0,20,19,107,8.747663863268125,2.439252423411304,1.0934579829085156,0.3300970873786408,0.75667656,0.457943925,0.119266055,91.49332032786856,4.12149547403979,3.8934544138802623,3.8412264859898153,3.8264619155547788,1.79063728514454,"Chris Bassitt",12304,605135
"Aroldis Chapman","BOS",3,2,17,41,0,38,13.7368432364719,2.3684212476675692,0.4736842495335138,0.2328767123287671,0.8778626,0.391891891,0.066666666,98.7509751695815,1.1842106238337846,1.9968285029348682,1.5613443831162335,2.0897378912817737,1.7848159444207308,"Aroldis Chapman",10233,547973
"Matthew Liberatore","STL",6,7,0,18,18,100.1,7.176079825164691,1.97342195192029,0.8970099781455864,0.30194805194805197,0.69911504,0.405750798,0.082644628,94.30360997138332,4.126245899469698,4.216842679693811,3.5588965380292197,4.115558721321579,1.749032406765073,"Matthew Liberatore",22294,669461
"Kyle Freeland","COL",1,10,0,17,17,89.1,6.7500002401978305,2.216417989318691,0.906716450175828,0.35906040268456374,0.58084772,0.448844884,0.09375,92.06223780447276,5.440298701054968,4.957861158122727,3.7559635452609155,4.09685137793411,1.7296931729950487,"Kyle Freeland",16256,607536
"Robert Suarez","SDP",2,4,28,43,0,40.2,9.516394086558595,2.6557378846210034,0.2213114903850836,0.27884615384615385,0.625,0.339805825,0.023809523,98.51852611785239,3.5409838461613377,3.732201474903438,2.3042262512176306,3.5708787710140397,1.7116867375909235,"Robert Suarez",30115,663158
"Kevin Gausman","TOR",6,7,0,19,19,109.2,8.534954679438412,2.7902736452010197,1.1489362068474787,0.2668918918918919,0.69746377,0.337704918,0.101449275,94.46579708505688,4.185410467801529,4.02169649478037,3.915367894117119,4.188588367461467,1.7098768122208812,"Kevin Gausman",14107,592332
