Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Geoff Hartlieb","NYY",1,1,0.2,0.4,0.4,0,0.5,0,0,30,35,65,0.4,0.6,0,0,0,1,"Geoff Hartlieb",19558,664129
"Logan Porter","SFG",0.25,3,0.2,0.6,0.2,0,1,5,45,6,9,15,0.8,0.2,0,0,0.2,0.8,"Logan Porter",20626,682515
"Jon Berti","CHC",0.375,0.25,0.375,0.125,0.5,0,0,1,5.400002253056512,16,14,30,0.25,0.625,0.125,0,0.25,0.75,"Jon Berti",12037,542932
"Nate Eaton","BOS",0.5,2,0.25,0.5,0.25,0,0,0,0,6,8,14,0.5,0.5,0,0,0.25,0.75,"Nate Eaton",25055,681987
"Will Wilson","CLE",0.14285714285714285,0.25,0.375,0.125,0.5,0,0.25,0,0,11,15,26,0.625,0.25,0.125,0,0.25,0.75,"Will Wilson",25434,669717
"Corbin Martin","BAL",0.3333333333333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0,8,16,24,0.66666667,0.33333333,0,0,0.33333333,0.66666667,"Corbin Martin",19884,656686
"Nathan Wiles","ATL",0.6666666666666666,1,0.666666666,0.166666666,0.166666666,0,0,0,0,8,16,24,0.33333333,0,0.66666667,0,0.33333333,0.66666667,"Nathan Wiles",25474,686249
"Andrew Saalfrank","ARI",0.3333333333333333,2,0,0.666666666,0.333333333,0,0,2,9,6,21,27,0.66666667,0.16666667,0.16666667,0,0.33333333,0.66666667,"Andrew Saalfrank",26203,685314
"Alec Burleson","STL",0.3333333333333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0,3,4,7,0.33333333,0.66666667,0,0,0.33333333,0.66666667,"Alec Burleson",27615,676475
"Yilber Díaz","ARI",0.36363636363636365,1,0.272727272,0.363636363,0.363636363,0,0,1,3,30,30,60,0.54545455,0.27272727,0.18181818,0,0.36363636,0.63636364,"Yilber Diaz",29271,700270
"Anthony Misiewicz","MIN",0.14285714285714285,0.75,0.125,0.375,0.5,0,0.25,2,5.40000051498418,29,40,69,0.75,0.125,0.125,0,0.375,0.625,"Anthony Misiewicz",18152,664948
"Gary Sánchez","BAL",0.25,0.333333333,0.2,0.2,0.6,0,0.333333333,0,0,11,8,19,0.6,0.4,0,0.2,0.2,0.6,"Gary Sanchez",11442,596142
"Leo Rivas","SEA",0.6,2,0.4,0.4,0.2,0,0,0,0,8,10,18,1,0,0,0,0.4,0.6,"Leo Rivas",21009,660844
"Jacob Stallings","COL",0.2857142857142857,1,0.142857142,0.428571428,0.428571428,0,0,0,0,9,17,26,0.57142857,0.28571429,0.14285714,0.14285714,0.28571429,0.57142857,"Jacob Stallings",13723,607732
"Jake Rogers","DET",0.2857142857142857,0.333333333,0.428571428,0.142857142,0.428571428,0,0,0,0,11,13,24,0.71428571,0.14285714,0.14285714,0,0.42857143,0.57142857,"Jake Rogers",19452,668670
"Joe Rock","TBR",0.5,5,0.142857142,0.714285714,0.142857142,0,1,0,0,17,28,45,0.28571429,0.57142857,0.14285714,0.14285714,0.28571429,0.57142857,"Joe Rock",30016,697812
"Nestor Cortes","MIL",0.1111111111111111,0.428571428,0.09090909,0.272727272,0.636363636,0.071428571,0.357142857,4,4.5,62,88,150,0.52173913,0.26086957,0.2173913,0.08695652,0.34782609,0.56521739,"Nestor Cortes",17874,641482
"Tommy Henry","ARI",0.23076923076923078,2.25,0.133333333,0.6,0.266666666,0,0.75,4,5.40000051498418,37,70,107,0.4375,0.4375,0.125,0.125,0.3125,0.5625,"Tommy Henry",26285,674072
"Victor Mederos","LAA",0.2222222222222222,3,0.111111111,0.666666666,0.222222222,0,0,3,6.75,38,41,79,0.66666667,0.22222222,0.11111111,0,0.44444444,0.55555556,"Victor Mederos",31533,682989
