Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Garrett Crochet","BOS",10,4,2.22680416202454,20,20,12,1,1,0,0,0,129.1,513,100,35,32,10,34,0,0,4,3,160,"Garrett Crochet",27463,676979
"Zack Wheeler","PHI",9,3,2.3606557746114225,19,19,14,1,0,0,0,0,122,467,79,34,32,13,26,0,4,1,0,154,"Zack Wheeler",10310,554430
"Tarik Skubal","DET",10,3,2.231405011438851,19,19,11,1,1,0,0,0,121,458,84,30,30,9,16,0,4,1,1,153,"Tarik Skubal",22267,669373
"Logan Webb","SFG",9,6,2.9363395596858304,20,20,15,0,0,0,0,0,125.2,513,119,45,41,9,28,0,2,2,0,139,"Logan Webb",17995,657277
"MacKenzie Gore","WSN",4,8,3.01812694908813,19,19,12,0,0,0,0,0,110.1,453,97,38,37,11,35,0,3,6,0,138,"MacKenzie Gore",22201,669022
"Hunter Brown","HOU",9,4,2.426086976640842,19,19,13,1,0,0,0,0,115,441,76,32,31,12,34,1,3,0,0,137,"Hunter Brown",25880,686613
"Carlos Rodón","NYY",10,6,3.0835655005670923,20,20,10,0,0,0,0,0,119.2,478,79,45,41,15,41,0,4,4,0,135,"Carlos Rodon",16137,607074
"Paul Skenes","PIT",4,8,2.008264494466616,20,20,12,1,0,0,0,0,121,469,82,30,27,6,30,0,4,2,0,131,"Paul Skenes",33677,694973
"Dylan Cease","SDP",3,9,4.8774195499003445,19,19,6,0,0,0,0,0,103.1,445,98,59,56,15,39,1,3,2,0,129,"Dylan Cease",18525,656302
"Robbie Ray","SFG",9,3,2.6470588447431265,20,20,13,1,0,0,0,0,119,478,85,38,35,13,44,0,1,4,0,128,"Robbie Ray",11486,592662
"Framber Valdez","HOU",10,4,2.7520661157024793,19,19,14,2,0,0,0,0,121,491,95,38,37,8,41,0,5,6,0,125,"Framber Valdez",17295,664285
"Jack Flaherty","DET",5,9,4.64900687209223,19,19,7,0,0,0,0,0,100.2,420,85,53,52,19,40,0,3,1,0,124,"Jack Flaherty",17479,656427
"Nick Pivetta","SDP",9,2,2.8810976196140294,19,19,11,0,0,0,0,0,109.1,434,82,38,35,12,29,1,1,0,0,122,"Nick Pivetta",15454,601713
"Jesús Luzardo","PHI",8,5,4.140575168183135,19,19,10,0,0,0,0,0,104.1,447,111,52,48,7,36,0,1,2,1,122,"Jesus Luzardo",19959,666200
"Cristopher Sánchez","PHI",8,2,2.504347888391276,19,19,13,0,0,0,0,0,115,470,99,33,32,7,32,0,6,5,0,122,"Cristopher Sanchez",20778,650911
"Joe Ryan","MIN",9,4,2.7164634225323825,19,18,10,0,0,0,0,0,109.1,428,77,34,33,12,23,0,10,0,2,121,"Joe Ryan",21390,657746
"Grant Holmes","ATL",4,8,3.771428742700701,20,19,8,0,0,0,0,0,105,443,87,45,44,15,50,0,5,4,0,119,"Grant Holmes",16944,656550
"Sonny Gray","STL",9,3,3.500000061812225,19,19,9,1,1,0,0,0,108,432,98,44,42,10,19,0,3,1,0,118,"Sonny Gray",12768,543243
