Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Griffin Jax","MIN",0.43298969,0.6350365,0.51661631,0.38690476,0.82183908,0.60818713,0.41389728,0.70689655,0.20241692,0.17824773,0.38066465,"Griffin Jax",20253,643377
"Fernando Cruz","NYY",0.32947977,0.62433862,0.43364486,0.28947368,0.75423729,0.52586207,0.35327103,0.54198473,0.20522388,0.1641791,0.36940299,"Fernando Cruz",7048,518585
"Brendon Little","TOR",0.34336283,0.55416667,0.40621118,0.34536082,0.84962406,0.55045872,0.29813665,0.56149733,0.1826087,0.17267081,0.3552795,"Brendon Little",21574,663893
"Garrett Cleavinger","TBR",0.31060606,0.65322581,0.4765625,0.43902439,0.78395062,0.66803279,0.484375,0.67142857,0.15789474,0.19103314,0.34892788,"Garrett Cleavinger",17897,664076
"Jake Bird","COL",0.31934732,0.58974359,0.44810745,0.54014599,0.83913043,0.72752044,0.47619048,0.60930233,0.1216545,0.22506083,0.34671533,"Jake Bird",21267,656234
"Josh Hader","HOU",0.42416452,0.73611111,0.55686854,0.42424242,0.76886792,0.61803714,0.4254062,0.73493976,0.2127031,0.12998523,0.34268833,"Josh Hader",14212,623352
"Bryan Abreu","HOU",0.33409091,0.64150943,0.44964539,0.43537415,0.74117647,0.59936909,0.37588652,0.57471264,0.17963225,0.16265912,0.34229137,"Bryan Abreu",16609,650556
"Mason Miller","ATH",0.38108883,0.71028037,0.5062167,0.37593985,0.79605263,0.6,0.38010657,0.59859155,0.20248668,0.13676732,0.339254,"Mason Miller",31757,695243
"Phil Maton","STL",0.32544379,0.62977099,0.45833333,0.54545455,0.77575758,0.68363636,0.43666667,0.59459459,0.145,0.19166667,0.33666667,"Phil Maton",18064,664208
"Raisel Iglesias","ATL",0.35369775,0.68907563,0.49908925,0.54545455,0.79878049,0.69708029,0.43351548,0.64052288,0.15090909,0.18545455,0.33636364,"Raisel Iglesias",17130,628452
"Gabe Speier","SEA",0.39799331,0.65490196,0.51624549,0.56302521,0.80838323,0.70629371,0.46028881,0.71917808,0.15162455,0.18411552,0.33574007,"Gabe Speier",17170,642100
"Abner Uribe","MIL",0.28497409,0.62756598,0.44566713,0.53636364,0.79439252,0.70679012,0.46905089,0.5828877,0.13049451,0.2032967,0.33379121,"Abner Uribe",25327,682842
"Andrés Muñoz","SEA",0.33333333,0.66519824,0.46166951,0.45,0.79470199,0.64206642,0.3867121,0.53521127,0.16524702,0.1669506,0.33219761,"Andres Munoz",20373,662253
"Bennett Sousa","HOU",0.40217391,0.69957082,0.53831041,0.42342342,0.81595092,0.65693431,0.45776031,0.59859155,0.18467583,0.1453831,0.33005894,"Bennett Sousa",21345,656986
"Shelby Miller","ARI",0.36054422,0.66532258,0.5,0.53773585,0.80606061,0.70110701,0.45756458,0.67832168,0.14917127,0.18047882,0.32965009,"Shelby Miller",10197,571946
"Aroldis Chapman","BOS",0.37931034,0.78113208,0.57117117,0.49090909,0.71014493,0.6340694,0.47747748,0.71328671,0.20863309,0.11870504,0.32733813,"Aroldis Chapman",10233,547973
"Tarik Skubal","DET",0.37214612,0.72337963,0.54655172,0.53374233,0.7664,0.68664564,0.49655172,0.70524017,0.17126437,0.15517241,0.32643678,"Tarik Skubal",22267,669373
"Jeff Hoffman","TOR",0.40625,0.68794326,0.53154574,0.5034965,0.84536082,0.70029674,0.44479495,0.7345679,0.15930599,0.16561514,0.32492114,"Jeff Hoffman",17432,656546
"Ronny Henriquez","MIA",0.39051919,0.65591398,0.49307479,0.48554913,0.81420765,0.65449438,0.38642659,0.62765957,0.1698895,0.15469613,0.32458564,"Ronny Henriquez",24094,678692
"Dylan Lee","ATL",0.37430168,0.68581081,0.51529052,0.52985075,0.78817734,0.68545994,0.45259939,0.69135802,0.16183206,0.16183206,0.32366412,"Dylan Lee",19996,669276
