Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",2.5840602489188313,-5.23201195243746,7.816072195768356,28.864199310541153,3.0183485001325607,0.8671201756583774,0.8888959363708652,0.8742105333428634,1.2527777971699834,18,3.6056125386967324,-0.6255639578217287,0,0,"Tarik Skubal",22267,669373
"Garrett Crochet","BOS",4.0532879633829,-6.47923006862402,10.532518059015274,33.51590037345886,3.3838315904140472,1.0172510332730205,1.0123348597324255,0.8619800060987473,1.190421052669224,19,3.217755924910307,0.7667944277606407,0,0,"Garrett Crochet",27463,676979
"Zack Wheeler","PHI",3.1847123354673386,-5.6083557568490505,8.793068051338196,28.053899884223938,2.86527531594038,0.9249148999122863,0.9861500123816151,0.875263163917943,1.246988909939925,18,3.0390638671815395,0.4041851666153633,0,0,"Zack Wheeler",10310,554430
"Paul Skenes","PIT",3.1884321849793196,-6.248115800321102,9.436547964811325,31.498800039291382,3.2557549700140953,1.005424789395653,0.9949225807382215,0.8727100044488907,1.0562315844979726,19,3.0311152301728725,0.1401137057039148,0,0,"Paul Skenes",33677,694973
"Nathan Eovaldi","TEX",2.619978152215481,-4.061860106885433,6.681838154792786,23.921199902892113,2.413686933927238,0.9645614475844293,0.952647312354016,0.8762500062584877,0.7638399923841158,15,2.627359469886869,0.08887821385712158,0,0,"Nathan Eovaldi",9132,543135
"Nick Pivetta","SDP",2.017264176160097,-5.6259598061442375,7.643223941326141,16.33260015398264,1.801359761506319,0.9487626999951481,0.9507097433098649,0.8745579029384413,1.2355052742518877,19,2.4139124043285847,-0.2877072150115789,0,0,"Nick Pivetta",15454,601713
"Jacob deGrom","TEX",2.7682223450392485,-5.070739961229265,7.838962331414223,25.385999590158463,2.6360981669276953,0.920397744356375,0.9537775876193211,0.8812105373332375,1.1381263092748428,19,2.3972176001407206,0.6104194372305942,0,0,"Jacob deGrom",10954,594798
"Max Fried","NYY",1.8692501783370972,-6.400875985622406,8.270126178860664,21.663000017404556,2.173248945735395,0.8961338667953551,0.8574793648625177,0.8820100098848342,0.9930100065656007,20,1.9693874111399055,0.11651766130388275,0,0,"Max Fried",13743,608331
"Hunter Brown","HOU",2.3803961547091603,-5.8826058600097895,8.263002067804337,22.962200045585632,2.3745144344866276,0.9340930776549624,0.9231396630920213,0.8765579022859272,1.141566668688837,18,1.9683242067694664,0.5800258577499462,0,0,"Hunter Brown",25880,686613
"Robbie Ray","SFG",1.9468544302508235,-7.165570050477982,9.11242438852787,19.782800167798996,2.1018393132835627,0.9893310806784497,0.9645400126775105,0.85348000228405,1.2535263260728435,19,1.9097057194449008,0.05814353574653319,0,0,"Robbie Ray",11486,592662
"Bryan Woo","SEA",1.22134231030941,-6.121829870156944,7.343172177672386,17.1918997913599,1.9020821321755648,0.8818743381880026,0.8468187970992846,0.8780666722191705,0.7954333414220147,18,1.8979397742077708,-0.5130006083636709,0,0,"Bryan Woo",30279,693433
"Yoshinobu Yamamoto","LAD",2.0137303387746215,-5.643732290714979,7.657462693750858,15.3116996884346,1.5411179214715958,0.9769522396965384,0.9482245287805233,0.8755894773884824,1.0151052804369676,19,1.8929406125098467,0.16829662811527113,0,0,"Yoshinobu Yamamoto",33825,808967
"Carlos Rodón","NYY",1.239782264456153,-6.630353586748242,7.870135761797428,13.879700347781181,1.4058163911104202,0.8906734246027639,0.8663777855653612,0.8559000045061111,1.0518099892884494,20,1.8901646938174963,-0.49820415001987506,0,0,"Carlos Rodon",16137,607074
"Ranger Suárez","PHI",2.1572141274809837,-4.710529923439026,6.867744028568268,21.29099988937378,2.131034754216671,1.0589941498820732,1.055027917374012,0.87384615953152,1.2542461661192088,13,1.8885724493302405,0.14846819694831126,0,0,"Ranger Suarez",17277,624133
"Andrew Abbott","CIN",2.180830143392086,-5.276535823941231,7.457365781068802,21.211699962615967,2.15962453186512,1.0128299224720851,0.9378795751961329,0.8787375092506409,0.8522666697700818,15,1.8783841140102595,0.27482058008999033,0,0,"Andrew Abbott",29911,671096
"Freddy Peralta","MIL",2.218369928188622,-6.181923747062683,8.40029376745224,20.648099780082703,2.1088236747309566,0.9863163492861827,0.9434752219762558,0.8827600091695785,1.2391899980604648,20,1.8427555356174707,0.4063909271721826,0,0,"Freddy Peralta",18679,642547
"Matthew Boyd","CHC",1.3473084578290582,-6.697709895670414,8.04501836001873,18.7958997040987,1.9877969222143292,0.9693669605885308,0.9132955897170886,0.8782315850257874,0.8944842132102502,19,1.7930603632703424,-0.4031755078889827,0,0,"Matthew Boyd",15440,571510
"Cristopher Sánchez","PHI",2.5292480411008,-6.902779910713434,9.432027786970139,24.931600034236908,2.5741384737193584,1.049619368794038,0.9748550156752268,0.8543579013724076,1.3846210511891466,19,1.7924254573881626,0.6172557244737762,0,0,"Cristopher Sanchez",20778,650911
"Tyler Rogers","SFG",1.5866121225990355,-2.983353899908252,4.569965993519872,14.564999639987946,1.5020288825035095,1.29471045897104,1.248343754094094,1.3318166675356526,1.5089499985799193,40,1.7911560032516718,-0.5656989046352123,19,3,"Tyler Rogers",15541,643511
"Kris Bubic","KCR",1.7786801680922508,-6.435927510261536,8.214607790112495,20.298200219869614,2.0815451238304377,0.9442964257406337,0.8892500091876302,0.8685444460974799,0.9932777681905363,18,1.774011792615056,0.10959182972968651,0,0,"Kris Bubic",21455,663460
"Joe Ryan","MIN",2.5642845202237368,-6.065009795129299,8.629294320940971,21.188599601387978,2.181193619966507,0.9906623828991324,0.9837946043358193,0.889589482232144,1.2218736970895214,19,1.688848728314042,0.8996057890760949,1,0,"Joe Ryan",21390,657746
"Kodai Senga","NYM",2.3138580936938524,-4.650343894958496,6.964202061295509,23.118799924850464,2.399913754314184,1.0496387662337376,0.915082509815693,0.8700000047683716,1.2228571474552155,14,1.6215536082163453,0.5828791624942151,0,0,"Kodai Senga",31838,673540
"Merrill Kelly","ARI",1.0623580049723387,-7.759784139692783,8.822142213582993,8.24609949439764,0.8573191557079554,0.9859798773029815,1.006327874347812,0.8723300069570541,1.2519299943000077,20,1.5920590478926897,-0.51459486284433,0,0,"Merrill Kelly",11156,518876
"Ryne Nelson","ARI",0.6668360957410187,-4.262194169976283,4.929030187893659,8.468599766492844,0.8846251163631678,0.82883280053535,0.7845819313303534,0.7300800070166588,1.0183999899309129,16,1.5826033353805542,-0.7780549447880202,1,3,"Ryne Nelson",26253,669194
"Sonny Gray","STL",1.0510282702744007,-6.510507745668292,7.561536073684692,10.909799173474312,1.158855153247714,0.9540009150677676,0.9020482173987797,0.87264210926859,1.0460333414375782,18,1.557405719999224,-0.45569999448664333,0,0,"Sonny Gray",12768,543243
"Tyler Mahle","TEX",1.9643100639805198,-4.162118285894394,6.1264283657073975,18.242100059986115,1.9098372422158718,1.0351621860112898,0.9462202840213534,0.8779142882142749,1.407328569463321,14,1.5406442154198885,0.35694254975112627,0,0,"Tyler Mahle",16358,641816
"Aroldis Chapman","BOS",2.631995929405093,-3.5254458280978724,6.157441835850477,16.32700015604496,1.6369188465178013,2.0574550224630626,1.7286585503961982,1.7767122089862823,2.6871999467120453,17,1.501223023980856,-0.22197468043542834,26,3,"Aroldis Chapman",10233,547973
