Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Sandy Alcantara","MIA",6.886823969308804,3.6942565663179674,1.86419753,1.0489864324112748,0.18019093,0.09665871,0.08353222,0.2389853137516689,1.3175674996470117,0.271304347826087,0.73791349,92.52256080968614,105.75038379619734,116.80670139891237,3.876688989346015,4.551847244580358,-0.6751582552343431,5.173696774892721,5.279815952582028,"Sandy Alcantara",18684,645261
"Brad Keller","KCR",6.64112923656369,3.810483988192281,1.74285714,0.8165322831840602,0.17207334,0.09873061,0.07334274,0.24444444444444444,1.3548387513572555,0.281947261663286,0.72169811,88.84377490549396,96.77965629414933,107.89309203661401,4.1915323870115095,4.351106284882848,-0.15957389787133813,4.9402994359549295,5.230410314127644,"Brad Keller",15734,641745
"Mike Fiers","OAK",6.140793547284669,2.5830322063975193,2.37735849,1.4620937017344449,0.16710875,0.07029178,0.09681698,0.2398843930635838,1.185920446962383,0.2537313432835821,0.78494624,87.68023867702557,111.23440020260875,113.39044240433918,3.89891653795852,4.968521917789342,-1.0696053798308225,5.194104978047576,5.190000042734583,"Mike Fiers",7754,571666
"Brett Anderson","OAK",4.602273126279061,2.5056820354186002,1.83673469,1.022727361395347,0.12113055,0.06594886,0.0551817,0.26231884057971017,1.3068182951162768,0.2775862068965517,0.74757282,87.39795208423772,102.42896901181645,104.63846129798947,3.8863639733023185,4.571964138894052,-0.6856001655917336,4.790037352647001,5.173385414295361,"Brett Anderson",8223,474463
"Iván Nova","CHW",5.4866310160427805,2.2620320855614975,2.42553191,1.4438502673796791,0.14143921,0.05831266,0.08312655,0.3,1.4545454545454546,0.3217821782178218,0.72803347,102.77137033429008,105.85635193664768,107.32934869609765,4.716577540106952,4.978715358060949,-0.26213781795399704,4.914272136516112,5.1632500727684,"Ivan Nova",1994,467100
"Julio Teheran","ATL",8.347328001202067,4.276717432714639,1.95180723,1.1335877532496634,0.21485411,0.11007958,0.10477454,0.2252663622526636,1.3225190454579405,0.266384778012685,0.76563959,85.0122789311452,106.25033977789961,118.70790117837804,3.8129769882034132,4.662482715971467,-0.8495057277680536,5.257240444050135,5.109263926894286,"Julio Teheran",6797,527054
"Dakota Hudson","STL",7.007633003502061,4.431297340449833,1.58139535,1.1335876917429806,0.17965654,0.11360634,0.0660502,0.24169184290030213,1.4083968291352182,0.27380952380952384,0.78055308,79.81795274008526,114.68356947334186,102.6717360844963,3.349236361967897,4.925841394047155,-1.5766050320792582,4.5525695906096555,5.081831138535173,"Dakota Hudson",19206,641712
"Marco Gonzales","SEA",6.517241379310345,2.4827586206896552,2.625,1.019704433497537,0.16974596,0.06466513,0.10508083,0.26119402985074625,1.3103448275862069,0.2949526813880126,0.69224354,90.4348303069751,93.05686038351838,111.6153794557336,3.9901477832512313,4.154896175215397,-0.16474839196416546,5.112152622133641,5.076993492508855,"Marco Gonzales",15467,594835
"Aníbal Sánchez","WSN",7.265060908771277,3.1445786023039854,2.31034483,1.1927711939773737,0.18820225,0.08146067,0.10674157,0.2353846153846154,1.2710844541880095,0.2651821862348178,0.74918567,86.39918236018808,99.02460737606864,115.23618445470939,3.849397944199706,4.44292525132106,-0.5935273071213536,5.104684170636327,5.074718527125168,"Anibal Sanchez",3284,434671
"Martín Pérez","MIN",7.3487893617582385,3.647176942502237,2.01492537,1.2520159653365888,0.18317503,0.09090909,0.09226594,0.27586206896551724,1.5181449627994386,0.3163064833005894,0.67628494,110.50530933154408,101.6399048074437,102.5133473690017,5.1169348148538845,4.6595738028357605,0.45736101201812396,4.6919235966233765,5.014228174655074,"Martin Perez",6902,527048
"Jeff Samardzija","SFG",6.948530191368798,2.4319855669790793,2.85714286,1.3897060382737596,0.18918919,0.06621622,0.12297297,0.22189781021897811,1.1084560067183558,0.23984526112185686,0.76877235,83.18497620282383,108.66029359034242,113.19827347480911,3.523897454194176,4.587171394478508,-1.0632739402843323,5.015133055326972,4.9184788067449645,"Jeff Samardzija",3254,502188
