Top 100,Org Rk,Name,Org,Pos,Current Level,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,PlayerId
1,1,"Vladimir Guerrero Jr.","TOR","3B","MLB",,"70",2019,"Med","19.8","6' 1""","215","R","R","2015 J2 (TOR)","Dominican Republic","0pq1nJRuxC4","19611"
2,1,"Fernando Tatis Jr.","SDP","SS","MLB",,"65",2019,"High","20.0","6' 3""","185","R","R","2015 J2 (CHW)","Dominican Republic","f-7iDniIWf0","19709"
3,1,"Eloy Jiménez","CHW","RF","AAA",,"65",2019,"High","22.1","6' 4""","225","R","R","2013 J2 (CHC)","Dominican Republic","qzcfGawJz30","17484"
4,1,"Victor Robles","WSN","CF","MLB",,"65",2018,"Low","21.6","6' 0""","185","R","R","2013 J2 (WAS)","Dominican Republic","3VwXSd7XgXo","18363"
5,1,"Royce Lewis","MIN","SS","MLB",1,"60",2020,"High","19.6","6' 2""","188","R","R","2017 Draft Rnd 1 (MIN)","JSerra HS (CA)","IRGoLxDpn0U","20437"
6,1,"Wander Franco","TBR","SS","MLB",1,"60",2021,"High","17.8","5' 10""","190","S","R","2017 J2 (TBR)","Dominican Republic","vMLD9QX-hPo","23667"
7,2,"Bo Bichette","TOR","SS","MLB",,"60",2019,"High","20.8","6' 0""","200","R","R","2016 Draft Rnd 2 (TOR)","Lakewood HS (FL)","lRUNUyhGHkM","19612"
8,1,"Kyle Tucker","HOU","RF","MLB",,"60",2019,"Med","22.0","6' 4""","200","L","R","2015 Draft Rnd 1 (HOU)","Plant HS (FL)","z84M9j2JoEc","18345"
9,1,"Nick Senzel","CIN","3B","MLB",,"60",2018,"Med","23.5","6' 1""","205","R","R","2016 Draft Rnd 1 (CIN)","Tennessee","1Jkza_J-9MU","19293"
10,2,"Carter Kieboom","WSN","SS","MLB",,"60",2020,"Med","21.3","6' 2""","190","R","R","2016 Draft Rnd 1 (WAS)","Walton HS (GA)","bIz5j-OJPrY","19958"
11,1,"Brendan Rodgers","COL","SS","AAA",,"60",2019,"Med","22.4","6' 0""","180","R","R","2015 Draft Rnd 1 (COL)","Lake Mary HS (FL)","8R3NqST3CPs","17907"
12,2,"Forrest Whitley","HOU","RHP","",,"60",2018,"High","21.3","6' 7""","230","R","R","2016 Draft Rnd 1 (HOU)","Alamo Heights HS (TX)","3dPGupFsWFY","19586"
13,2,"Taylor Trammell","CIN","CF","MLB",,"60",2021,"Med","21.3","6' 2""","195","L","L","2016 Draft Rnd 1 (CIN)","Mount Paran HS (GA)","q4xKSJPOmr4","19960"
14,2,"Brendan McKay","TBR","LHP/1B","",,"60",2019,"High","23.0","6' 2""","212","L","L","2017 Draft Rnd 1 (TBR)","Louisville","aCKSVKfZpv0","20186"
15,2,"Alex Kirilloff","MIN","RF","",1,"60",2020,"High","21.1","6' 2""","195","L","L","2016 Draft Rnd 1 (MIN)","Plum HS (PA)","l3xPPnRQA7o","20325"
16,1,"Sixto Sánchez","PHI","RHP","AAA",-1,"60",2020,"High","20.4","6' 0""","185","R","R","2014 J2 (PHI)","Dominican Republic","OFHkPmNCPOI","19680"
17,1,"Jo Adell","LAA","RF","MLB",1,"60",2021,"High","19.7","6' 2""","195","R","R","2017 Draft Rnd 1 (LAA)","Ballard HS (KY)","tpQIfgNoqIE","20220"
18,1,"Cristian Pache","ATL","CF","AAA",1,"60",2021,"Med","20.1","6' 2""","185","R","R","2015 J2 (ATL)","Dominican Republic","TTrN1fNVTzI","19948"
19,2,"Nick Madrigal","CHW","2B","MLB",1,"60",2020,"Low","21.8","5' 7""","160","R","R","2018 Draft Rnd 1 (CHW)","Oregon State","tQxQekapA8k","20521"
20,2,"MacKenzie Gore","SDP","LHP","MLB",-1,"55",2021,"High","19.9","6' 3""","180","L","L","2017 Draft Rnd 1 (SDP)","Whiteville HS (NC)","JLkZukR_QSI","22201"
21,3,"Luis Urías","SDP","2B","",,"55",2018,"Med","21.6","5' 9""","160","R","R","2013 J2 (SDP)","Mexico","euhgiB0OSV4","16622"
22,1,"Keston Hiura","MIL","2B","",,"55",2019,"Med","22.4","5' 11""","190","R","R","2017 Draft Rnd 1 (MIL)","UC Irvine","wgVOB9lK0Z8","20003"
23,3,"Brent Honeywell","TBR","RHP","",,"55",2019,"High","23.8","6' 2""","180","R","R","2014 Draft Rnd 2 (TBR)","Walters State JC (TN)","JC3Vetq_eAA","16466"
24,3,"Michael Kopech","CHW","RHP","",-1,"55",2019,"High","22.7","6' 3""","195","R","R","2014 Draft Rnd 1 (BOS)","Mt. Pleasant HS (TX)","JXUYoulUEo8","17282"
25,2,"Michael Soroka","ATL","RHP","MLB",,"55",2018,"Med","21.4","6' 4""","210","R","R","2015 Draft Rnd 1 (ATL)","Bishop Carroll HS (CAN)","LozVLyAQ3qs","18383"
26,4,"Francisco Mejía","SDP","C","",,"55",2019,"High","23.2","5' 10""","175","S","R","2012 J2 (CLE)","Dominican Republic","zjm3SlBQSVM","16403"
27,4,"Luis Robert Jr.","CHW","CF","MLB",-1,"55",2020,"High","21.4","6' 3""","185","R","R","2017 J2 (CHW)","Cuba","aWdIPdVRkok","20043"
28,3,"Austin Riley","ATL","3B","MLB",,"55",2019,"Med","21.7","6' 2""","220","R","R","2015 Draft Rnd 1 (ATL)","DeSoto Central HS (MS)","U7WhBMK_uYA","18360"
29,1,"Will Smith","LAD","C","MLB",,"55",2019,"Med","23.8","6' 0""","192","R","R","2016 Draft Rnd 1 (LAD)","Louisville","PAOgaHuSvPg","19197"
30,1,"Andrés Giménez","NYM","SS","MLB",1,"55",2020,"Med","20.3","5' 11""","165","L","R","2015 J2 (NYM)","Venezuela","","19950"
31,1,"Jesús Luzardo","OAK","LHP","MLB",,"55",2019,"Med","21.3","5' 11""","209","L","L","2016 Draft Rnd 3 (WAS)","Stoneman Douglas HS (FL)","XPMeIpPKW2k","19959"
32,4,"Kyle Wright","ATL","RHP","",,"55",2020,"Med","23.2","6' 4""","200","R","R","2017 Draft Rnd 1 (ATL)","Vanderbilt","yO8JA8nXzL4","19665"
33,1,"Casey Mize","DET","RHP","MLB",,"55",2019,"Med","21.7","6' 3""","208","R","R","2018 Draft Rnd 1 (DET)","Auburn","KTLpXoKizJU","20492"
34,1,"Ke'Bryan Hayes","PIT","3B","MLB",,"55",2020,"Med","21.9","6' 1""","210","R","R","2015 Draft Rnd 1 (PIT)","Concordia Lutheran (TX)","VAR1hcC2Clk","18577"
35,5,"Chris Paddack","SDP","RHP","",1,"55",2019,"High","23.0","6' 4""","195","R","R","2015 Draft Rnd 8 (MIA)","Cedar Park HS (TX)","","20099"
36,2,"Keibert Ruiz","LAD","C","MLB",1,"55",2020,"High","20.4","6' 0""","200","S","R","2014 J2 (LAD)","Venezuela","","19610"
37,1,"Alex Reyes","STL","RHP","",,"55",2019,"Med","24.3","6' 3""","175","R","R","2012 J2 (STL)","Dominican Republic","V8hwozT3Efs","15015"
38,2,"Mitch Keller","PIT","RHP","MLB",-1,"55",2019,"Med","22.7","6' 3""","195","R","R","2014 Draft Rnd 2 (PIT)","Xavier HS (IA)","BbF8a3acDUU","17594"
39,2,"A.J. Puk","OAK","LHP","MLB",,"55",2019,"High","23.7","6' 7""","230","L","L","2016 Draft Rnd 1 (OAK)","Florida","dF78XZniyhY","19343"
40,5,"Ian Anderson","ATL","RHP","",,"55",2020,"High","20.7","6' 3""","170","R","R","2016 Draft Rnd 1 (ATL)","Shenendowa HS (NY)","HxXHHVrAXyQ","19951"
41,2,"Adonis Medina","PHI","RHP","",,"55",2020,"Med","22.0","6' 1""","185","R","R","2013 J2 (PHI)","Dominican Republic","Ts8FVwBeFVY","19903"
42,2,"Daz Cameron","DET","CF","AAA",1,"55",2020,"Med","22.0","6' 2""","195","R","R","2015 Draft Rnd 1 (HOU)","Eagle's Landing Christian HS (GA)","","18353"
43,3,"Isaac Paredes","DET","3B","MLB",1,"55",2021,"Med","19.9","5' 11""","225","R","R","2015 J2 (CHC)","Mexico","","20036"
44,6,"Luiz Gohara","ATL","LHP","",-1,"55",2018,"High","22.4","6' 3""","240","L","L","2012 J2 (SEA)","Brazil","aIq9ta-DzXQ","15166"
45,1,"Leody Taveras","TEX","CF","MLB",,"55",2020,"Med","20.3","6' 1""","170","S","R","2015 J2 (TEX)","Dominican Republic","RpzjuTfUZqg","18900"
46,3,"Hunter Greene","CIN","RHP","MLB",-1,"50",2021,"High","19.4","6' 4""","197","R","R","2017 Draft Rnd 1 (CIN)","Notre Dame HS (CA)","tKAAzmpe180","22182"
47,4,"Jesús Sánchez","TBR","RF","MLB",,"50",2020,"High","21.2","6' 2""","185","L","R","2014 J2 (TBR)","Dominican Republic","Ybem0ytsehY","19913"
48,3,"Yordan Alvarez","HOU","LF","MLB",,"50",2020,"Med","21.5","6' 5""","225","L","L","2015 J2 (LAD)","Cuba","tkkmkG5q82o","19556"
49,3,"Alex Verdugo","LAD","RF","",,"50",2018,"Med","22.6","6' 0""","205","L","L","2014 Draft Rnd 2 (LAD)","Sahuaro HS (AZ)","mRH_od9cYyw","17027"
50,1,"Joey Bart","SFG","C","MLB",,"50",2020,"Med","22.0","6' 3""","225","R","R","2018 Draft Rnd 1 (SFG)","Georgia Tech","Cozg_YSvag0","21524"
51,5,"Vidal Bruján","TBR","2B","MLB",1,"50",2021,"Med","20.9","5' 9""","155","S","R","2014 J2 (TBR)","Dominican Republic","_I0xANEGwN8","20536"
52,3,"Sean Murphy","OAK","C","MLB",,"50",2019,"High","24.2","6' 3""","215","R","R","2016 Draft Rnd 3 (OAK)","Wright State","tVv3ORj53mQ","19352"
53,3,"Danny Jansen","TOR","C","MLB",,"50",2018,"Med","23.7","6' 2""","225","R","R","2013 Draft Rnd 16 (TOR)","West HS (WI)","4lbMDzv8Er4","16535"
54,1,"Justus Sheffield","NYY","LHP","AAA",,"50",2018,"Med","22.6","5' 10""","195","L","L","2014 Draft Rnd 1 (CLE)","Tullahoma HS (TN)","tW5B2GiJG4k","17285"
55,1,"Triston McKenzie","CLE","RHP","AAA",,"50",2020,"Med","21.4","6' 5""","160","R","R","2015 Draft Rnd 1 (CLE)","Royal Palm Beach HS (FL)","SaiUEE5AOzQ","18000"
56,7,"Drew Waters","ATL","CF","MLB",,"50",2021,"High","20.0","6' 2""","183","S","R","2017 Draft Rnd 2 (ATL)","Etowah HS (GA)","7y7v6EA8ZI4","20505"
57,8,"Touki Toussaint","ATL","RHP","",,"50",2018,"High","22.5","6' 3""","185","R","R","2014 Draft Rnd 1 (ARI)","Coral Springs Christian HS (FL)","qaR9D8rYrhY","16929"
59,2,"Brandon Marsh","LAA","CF","MLB",,"50",2020,"Med","21.0","6' 2""","200","L","R","2016 Draft Rnd 2 (LAA)","Buford HS (GA)","f6w57ie4WkA","20202"
60,6,"Luis Patiño","SDP","RHP","",1,"50",2023,"High","19.2","6' 0""","150","R","R","2016 J2 (SDP)","Colombia","","22815"
61,3,"Nick Gordon","MIN","SS","",,"50",2019,"Med","23.2","6' 2""","175","L","R","2014 Draft Rnd 1 (MIN)","Olympia HS (FL)","bXiuMCdQJP4","16337"
62,3,"Travis Swaggerty","PIT","CF","",,"50",2021,"High","21.4","5' 11""","180","L","L","2018 Draft Rnd 1 (PIT)","South Alabama","qTYA7IA0cCQ","24491"
63,7,"Michel Baez","SDP","RHP","AAA",,"50",2020,"High","22.9","6' 8""","220","R","R","2016 J2 (SDP)","Cuba","m34Pztbm-4k","20100"
64,1,"Monte Harrison","MIA","CF","AAA",,"50",2020,"High","23.4","6' 3""","220","R","R","2014 Draft Rnd 2 (MIL)","Lee's Summit West HS (MO)","RRzOrr9b4V8","17216"
65,2,"Estevan Florial","NYY","CF","",,"50",2020,"High","21.1","6' 1""","185","L","R","2014 J2 (NYY)","Haiti","mYK2ssfvC80","19151"
66,2,"Yu Chang","CLE","SS","",,"50",2019,"Med","23.4","6' 1""","175","R","R","2012 J2 (CLE)","Taiwan","VDPqWbix08","14773"
67,5,"Zack Collins","CHW","1B","",,"50",2019,"High","23.9","6' 3""","220","L","R","2016 Draft Rnd 1 (CHW)","Miami","fK2DsmC5BT0","19181"
68,2,"Pete Alonso","NYM","1B","MLB",,"50",2019,"Med","24.1","6' 2""","225","R","R","2016 Draft Rnd 2 (NYM)","Florida","","19251"
69,2,"Tristen Lutz","MIL","RF","",,"50",2021,"High","20.4","6' 3""","210","R","R","2017 Draft Rnd 1 (MIL)","Martin HS (TX)","HD5Gdv4-45Q","sa3004968"
70,3,"Alec Bohm","PHI","3B","MLB",,"50",2021,"High","22.4","6' 5""","240","R","R","2018 Draft Rnd 1 (PHI)","Wichita State","GOKNy9Trues","21618"
71,6,"Brandon Lowe","TBR","2B","MLB",,"50",2019,"Med","24.5","6' 0""","185","L","R","2015 Draft Rnd 3 (TBR)","Maryland","","18882"
72,4,"Shed Long Jr.","CIN","2B","",,"50",2019,"Med","23.4","5' 8""","180","L","R","2013 Draft Rnd 12 (CIN)","Jacksonville HS (AL)","btgH8dskG8o","16542"
73,2,"Isan Díaz","MIA","2B","",,"50",2019,"Med","22.6","5' 10""","185","L","R","2014 Draft Rnd 2 (ARI)","Springfield HS (MA)","EmFvDmq5VBs","17922"
74,2,"Andrew Knizner","STL","C","MLB",,"50",2019,"Med","23.9","6' 1""","200","R","R","2016 Draft Rnd 7 (STL)","North Carolina State","","19514"
75,8,"Anderson Espinoza","SDP","RHP","",,"50",2020,"High","20.8","6' 0""","170","R","R","2014 J2 (BOS)","Venezuela","LMN6OIaQsEA","18593"
76,3,"Jahmai Jones","LAA","2B","MLB",,"50",2021,"Med","21.4","5' 11""","210","R","R","2015 Draft Rnd 2 (LAA)","Wesleyan HS (GA)","p2KH9PAlrjM","18872"
77,4,"Cole Tucker","PIT","SS","",,"50",2020,"High","22.5","6' 3""","185","S","R","2014 Draft Rnd 1 (PIT)","Mountain Pointe HS (AZ)","Tx4MkFf8AcU","17326"
78,1,"Jon Duplantier","ARI","RHP","",,"50",2019,"High","24.5","6' 4""","225","R","R","2016 Draft Rnd 3 (ARI)","Rice","","19546"
79,5,"Oneil Cruz","PIT","3B","MLB",,"50",2021,"High","20.2","6' 7""","175","L","R","2015 J2 (LAD)","Dominican Republic","GzwLKufiG4A","21711"
80,9,"Bryse Wilson","ATL","RHP","MLB",1,"50",2020,"High","21.0","6' 1""","224","R","R","2016 Draft Rnd 4 (ATL)","Orange HS (NC)","-W1-8t94J3M","19990"
81,3,"Nolan Jones","CLE","3B","MLB",1,"50",2021,"Med","20.7","6' 4""","220","L","R","2016 Draft Rnd 2 (CLE)","Holy Ghost Prep HS (PA)","M8MOVqKoFgA","20529"
82,2,"Willie Calhoun","TEX","DH","",-1,"50",2018,"Low","24.2","5' 9""","210","S","R","2015 Draft Rnd 4 (LAD)","Yavapai JC (AZ)","OG7XMXYBi4g","17838"
83,1,"Seuly Matias","KCR","RF","AA",,"50",2022,"High","20.3","6' 3""","200","R","R","2015 J2 (KCR)","Dominican Republic","","sa917039"
84,6,"Luis Alexander Basabe","CHW","CF","",,"50",2019,"High","22.3","6' 0""","170","S","R","2012 J2 (BOS)","Venezuela","","17839"
85,3,"Nolan Gorman","STL","3B","MLB",,"50",2021,"Med","18.6","6' 1""","210","L","R","2018 Draft Rnd 1 (STL)","O'Connor HS (AZ)","_2qk0vq7IEA","22263"
86,3,"Jarred Kelenic","NYM","CF","MLB",,"50",2021,"Med","19.5","6' 1""","196","L","L","2018 Draft Rnd 1 (NYM)","Waukesha West HS (WI)","LFdX2RZaB64","22558"
87,4,"Brayan Rocchio","CLE","SS","MLB",1,"50",2022,"High","18.0","5' 10""","150","S","R","2017 J2 (CLE)","Venezuela","","23690"
88,7,"Micker Adolfo","CHW","RF","",,"50",2021,"High","22.3","6' 3""","200","R","R","2013 J2 (CHW)","Dominican Republic","","sa830303"
89,5,"Jonathan India","CIN","3B","MLB",,"50",2020,"Low","22.0","6' 0""","200","R","R","2018 Draft Rnd 1 (CIN)","Florida","KPK-GaBvm6U","21523"
90,3,"Corey Ray","MIL","CF","",,"50",2019,"Med","24.3","5' 11""","185","L","L","2016 Draft Rnd 1 (MIL)","Louisville","9NBoNbU7Zy8","19170"
91,4,"Griffin Canning","LAA","RHP","",,"50",2019,"Med","22.6","6' 1""","170","R","R","2017 Draft Rnd 2 (LAA)","UCLA","7sIxI6ZjQjQ","19867"
92,4,"Trevor Larnach","MIN","RF","MLB",,"50",2020,"Med","21.8","6' 4""","215","L","R","2018 Draft Rnd 1 (MIN)","Oregon State","U7sjFBR3DkI","21501"
93,4,"Ronny Mauricio","NYM","SS","MLB",,"50",2023,"High","17.7","6' 3""","166","S","R","2017 J2 (NYM)","Dominican Republic","","23698"
94,3,"Bubba Thompson","TEX","CF","",1,"50",2022,"High","20.6","6' 2""","180","R","R","2017 Draft Rnd 1 (TEX)","McGill-Toolen HS (AL)","KipPA56WeHo","22261"
95,2,"Kristian Robinson","ARI","CF","AAA",,"50",2023,"High","18.1","6' 3""","190","R","R","2017 J2 (ARI)","Bahamas","","sa3006884"
96,8,"Dylan Cease","CHW","RHP","MLB",,"50",2019,"High","23.0","6' 2""","190","R","R","2014 Draft Rnd 6 (CHC)","Milton HS (GA)","QMBKB06eigI","18525"
97,9,"Dane Dunning","CHW","RHP","AAA",,"50",2018,"Med","24.0","6' 4""","200","R","R","2016 Draft Rnd 1 (WAS)","Florida","","19409"
98,1,"Miguel Amaya","CHC","C","MLB",,"50",2022,"High","19.8","6' 1""","185","R","R","2015 J2 (CHC)","Panama","","21693"
99,5,"Brusdar Graterol","MIN","RHP","MLB",,"50",2021,"High","20.3","6' 1""","180","R","R","2014 J2 (MIN)","Venezuela","5VxhHnSA2hg","20367"
100,4,"Nate Pearson","TOR","RHP","MLB",,"50",2020,"High","22.4","6' 6""","245","R","R","2017 Draft Rnd 1 (TOR)","Central Florida JC","t_D8-uewjYw","20160"
101,7,"Matthew Liberatore","TBR","LHP","MLB",,"50",2022,"High","19.2","6' 5""","200","L","L","2018 Draft Rnd 1 (TBR)","Mountain Ridge HS (AZ)","IayXSFEwcVU","22294"
102,4,"Cole Winn","TEX","RHP",,,"50",2021,"Med","19.1","6' 2""","195","R","R","2018 Draft Rnd 1 (TEX)","Orange Lutheran HS (CA)","JTWvLDwruWs",
103,4,"Cionel Pérez","HOU","LHP","",,"50",2018,"High","22.7","5' 11""","170","L","L","2016 J2 (HOU)","Cuba","","19614"
104,10,"Kolby Allard","ATL","LHP","MLB",,"50",2019,"Med","21.4","6' 1""","175","L","L","2015 Draft Rnd 1 (ATL)","San Clemente HS (CA)","6j3g65GKpzk","18694"
105,4,"Dennis Santana","LAD","RHP","MLB",,"50",2018,"Med","22.7","6' 2""","160","R","R","2012 J2 (LAD)","Dominican Republic","","17878"
106,2,"Heliot Ramos","SFG","CF","MLB",,"50",2023,"High","19.3","6' 2""","185","R","R","2017 Draft Rnd 1 (SFG)","Leadership Christian HS (PR)","","22515"
107,5,"Dustin May","LAD","RHP","MLB",,"50",2020,"High","21.3","6' 6""","180","R","R","2016 Draft Rnd 3 (LAD)","Northwest HS (TX)","xvHfqB6Fl5w","19716"
108,2,"Aramis Ademan","CHC","SS","",,"50",2020,"Med","20.3","5' 11""","160","L","R","2015 J2 (CHC)","Dominican Republic","O6qGFx-xdpQ","sa917352"
109,9,"Adrian Morejon","SDP","LHP","MLB",,"50",2020,"High","19.8","5' 11""","165","R","R","2016 J2 (SDP)","Cuba","8Ckw8UO5yCg","20039"
110,8,"Shane Baz","TBR","RHP","MLB",,"50",2022,"High","19.5","6' 3""","190","R","R","2017 Draft Rnd 1 (PIT)","Concordia Lutheran HS (TX)","-fF5OHCnb30","22264"
111,4,"Matt Manning","DET","RHP","",,"50",2022,"High","20.9","6' 6""","190","R","R","2016 Draft Rnd 1 (DET)","Sheldon HS (CA)","k-sipbEctAU","20369"
112,10,"Josh Naylor","SDP","1B","MLB",,"50",2020,"High","21.5","5' 11""","250","L","L","2015 Draft Rnd 1 (MIA)","St. Joan of Arc HS (CAN)","N59Wtnb9Eyw","18839"
113,11,"Joey Wentz","ATL","LHP","MLB",,"50",2020,"High","21.2","6' 5""","209","L","L","2016 Draft Rnd 1 (ATL)","Shawnee Mission East HS (MO)","xmXHVoWqXHQ","19962"
114,5,"Franklin Perez","DET","RHP","",,"50",2021,"High","21.1","6' 3""","197","R","R","2014 J2 (HOU)","Venezuela","","sa873722"
115,12,"William Contreras","ATL","C","MLB",,"50",2021,"High","21.0","6' 0""","180","R","R","2014 J2 (ATL)","Venezuela","","20503"
116,3,"Albert Abreu","NYY","RHP","",-1,"50",2019,"High","23.3","6' 2""","175","R","R","2013 J2 (HOU)","Dominican Republic","8UBks6qnE-Q","17485"
117,10,"Zack Burdi","CHW","RHP","",,"50",2019,"High","23.8","6' 3""","210","R","R","2016 Draft Rnd 1 (CHW)","Louisville","qjlYWTBkyNQ","19159"
118,6,"Christin Stewart","DET","DH","",,"50",2019,"Med","25.1","6' 0""","205","L","R","2015 Draft Rnd 1 (DET)","Tennessee","vl86vfpaV3Y","17714"
119,6,"Jose Siri","CIN","CF","",,"50",2020,"High","23.4","6' 2""","175","R","R","2012 J2 (CIN)","Dominican Republic","O-dXckzAobc","17452"
120,3,"Braxton Garrett","MIA","LHP","MLB",,"50",2021,"High","21.4","6' 3""","190","L","L","2016 Draft Rnd 1 (MIA)","Florence HS (AL)","m1S8r6P_0gU","21844"
121,5,"Cole Ragans","TEX","LHP","MLB",,"50",2021,"High","21.1","6' 3""","190","L","L","2016 Draft Rnd 1 (TEX)","North Florida Christian HS (FL)","9643WDWjlw0","21846"
122,4,"Nick Neidert","MIA","RHP","",,"50",2019,"Low","22.1","6' 1""","180","R","R","2015 Draft Rnd 2 (SEA)","Peachtree Ridge HS (GA)","Hi4TiR7zIIw","18699"
123,11,"Logan Allen","SDP","LHP","",,"50",2020,"Med","21.6","6' 3""","200","R","L","2015 Draft Rnd 8 (BOS)","IMG Academy HS (FL)","vO-q9WIphiY","18555"
124,5,"Anthony Alford","TOR","CF","AA",-1,"50",2018,"High","24.4","6' 1""","215","R","R","2012 Draft Rnd 3 (TOR)","Petal HS (MS)","lU6bw7GGXcs","14329"
125,2,"Riley Pint","COL","RHP","AAA",,"50",2021,"High","21.2","6' 4""","210","R","R","2016 Draft Rnd 1 (COL)","St. Thomas Aquinas HS (KS)","SHwmwNMieek","21858"
