Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Jackson Holliday","BAL","SS","MLB",2024,"60","Med",,"19.825","6' 0""","185","L","R",2022,"Draft","BAL",8190000,"Stillwater HS (OK)","Holliday exited his pre-draft summer as a mid-to-late first round prospect. Among the high school prospects, he not only had perhaps the best chance to remain at shortstop, but he also had one of the better bat-to-ball track records in the class, accumulating a 3-to-1 ball in play-to-whiff ratio on the showcase circuit. He was also one of the better rotational athletes available, with one of the loosest, most beautiful swings in the class. It seemed plausible he might eventually grow into meaningful power, too. By his senior year of high school, Holliday already had. During his 2022 spring break, Holliday came to Arizona to work out and take BP with his high school team at some of the big league teams' complexes, and he (and his younger brother, Ethan) put balls out of backfields into the teeth of the wind with ease. As Jackson worked out on one field and minor leaguers played and took BP on the quad's other three diamonds, he stood apart from the rest in virtually every way. He left Arizona with top-five pick buzz and ultimately went first overall to Baltimore. 
He checks literally every scouting box, and for as much as analytical boxes matter for a high school hitter, he checks those, too. There aren't many lefty-hitting shortstops with this kind of offensive juice. Holliday's range, hands, actions and arm are all above average, while his baseball instincts and internal clock are both very good, and season his defensive skill set enough to project him as a long-term shortstop even if he keeps getting bigger. At the plate, he takes a big (but balanced) stride, and can adjust his barrel depth by getting deeper into his lower half through contact. He has retained foundational feel for the barrel while coming into all that power, and is one of the higher-ceilinged all-around players in the minors. After his first 50 pro games Holliday was slashing .358/.502/.598 ","kLSYztort4s","31781"
2,1,"James Wood","WSN","CF","MLB",2025,"60","High",,"21.0388888","6' 7""","240","L","L",2021,"Draft","SDP",2600000,"IMG Academy","Wood was a divisive amateur prospect, with some scouts seeing him as a center fielder with 70 raw power projection and others seeing him as an eventual first baseman with hit tool risk. So far in pro ball, Wood has been incredible. He hit .337/.453/.601 as a teenager in the Cal League before the Padres traded him to Washington as part of the Juan Soto blockbuster, after which he hit .293/.366/.463. He did this amid multiple wrist injuries, which is something to keep in the back of your mind in the event that it becomes a chronic issue, as Wood's wrists are an integral part of keeping his swing short enough to be manageable. 
After initially showing feel for opposite field-only contact on the complex, Wood began to turn on balls more frequently in 2022 and started hitting line drive lasers to all fields, with his peak exit velocity topping out at 114 mph off the bat. That's a plus metric for a big leaguer and is ridiculous for a then-19-year-old who hadn't totally grown into his body. Wood was assigned to Wilmington to start 2023 and quickly hit his way (.293/.392/.580 with eight homers and 36 Mr. Celeries) to Harrisburg, where he continued to hit for huge power amid lots of strikeouts. Because of how long Wood is, it's likely he'll always strike out a good bit, but he's shown good vertical barrel variability and is getting better at altering his stride direction and posture to compensate for his lever length. It's amazing how sentient his feel to hit is considering his age and size, and his all-around offensive potential has Sistine Chapel ceiling. His swing isn't geared for consistent lift at this point, but Wood has the raw strength to do damage anyway. Once his wrist and forearms get stronger, he might be able to be a little shorter to the ball without sacrificing power, and try to migrate closer to a Yordan Alvarez style swing and further away from a Cody Bellinger type, but it's super fun to watch Wood cut it loose and he's performing so well that it's hard to justify any sort of intervention.
It's tough to gauge where Wood's eventual defensive home will be. He takes a little while to get his legs churning, but once he's moving, he's a plus runner and has generated some home-to-first times in the neighborhood of 4.1-4.2 seconds. His huge strides enable him to cover a ton of ground in center field and he's not only a viable defender out there right now, but looks like a future plus glove. Still, this is a 6-foot-7 20-year-old who looks like Gumby even though he's listed at 240 pounds. He is going to add weight commensurate with his frame as he matures, and that might be 30 pounds or more. The way that shakes out will have a significant impact on his defensive future. That said, Wood is already defying convention by looking as good as he does out there at his current size. The broad strokes of this report read a lot like that of Adam Dunn at the same age: Wood has unusual top-end speed and athleticism considering his XXL frame, and while that comes with the possibility he fills out in a way that causes him to tumble down the defensive spectrum, there’s enough power here to support such a fall and then some. This is one of the more exciting prospects in all of baseball, a potentially singular talent who could hit 40 homers while playing center field in his prime.","b32UDJr1jmk","29518"
3,1,"Jackson Chourio","MIL","CF","MLB",2024,"60","High",,"19.5555555","5' 11""","185","R","R",2021,"J2","MIL",1900000,"Venezuela","Chourio made The Leap in 2022, going from being a well-regarded prospect who had a chance to blow up to one who seemingly has. He hit a whopping .324/.373/.600 at Low-A Carolina during the first half of the year, then slashed a more pedestrian .252/.317/.488 (as an 18-year-old!) at High-A Wisconsin for the last month of the season. His power combined with his speed and defensive fit in center field give him rare upside as a 30-plus home run center fielder hitting at or near the top of whatever lineup he's in. Initially considered a contact-first prospect, the effort level in Chourio's swing ratcheted up in 2022 and he now takes a monster hack, whipping the bat through the zone with all his might, often needing the dirt of the batter's box behind him to stop his rotation. The extreme shift in his strikeout and walk rates from 2021 to 2022 has as much to do with the change in Chourio's style of swinging as it does the quality of opposing pitchers' stuff. There were reasons to be skeptical or apprehensive about declaring Chourio one of the game's top prospects, especially at the onset of his breakout. Forty-two of the 57 games he played in the Carolina League came at ballparks with park factors of 116 or more, per research conducted annually by <em>Baseball America</em>'s Matt Eddy. That means Chourio's surface level stats may have been significantly inflated. During that stretch, he was also swinging and missing within the strike zone a ton. At one point, his in-zone contact rate was in the ninth percentile among minor leaguers, even while his triple slash line was out of this world. 
The good news is that Chourio made adjustments throughout the year, ditching his leg kick with two strikes. His in-zone contact numbers improved throughout 2022, even after promotion. When the season was over and the statistical dust settled, Chourio wrapped with a 67% Contact% and 76% Z-Contact%, both of which would be in the bottom five of big league center fielders with at least 300 PA in 2022. Still, Chourio has big-ceiling company in that part of the leaderboard — names like Byron Buxton and Adolis García are down there, and Julio Rodríguez isn't far away. It's comforting that there are contemporary examples of hitters making a huge impact who share Chourio's potential blemish, ones who make that impact despite all the ponchados by getting to big power. And Chourio has that kind of power. The ball explodes off his bat to all fields, and he can do extra-base damage even when he mis-hits a ball. According to a source, he was one of just three 18-year-old hitters to have an average exit velocity of 88 mph or higher in 2022, and Chourio played at least one level ahead of the other two (Red Sox outfielder Miguel Bleis and Astros prospect Luis Baez) for the entire season, and two and three levels ahead late in the year when he had a pot of High-A coffee and a shot of espresso at Double-A Biloxi. Even when he cuts his leg kick with two strikes, there is enough bat speed and power for Chourio to do huge damage. Only recently converted to center field full-time, Chourio easily has enough speed to stay there (he's routinely 4.15 home to first), and his routes and ball skills are okay. That Chourio has shown the aptitude to make mechanical adjustments, and that he tends to compete hard at all times, indicates that he is hungry and coachable in addition to very talented. He's graded with the optimism that these traits will help him manage the swing-and-miss enough to be a multi-time All-Star.","c5gspkixrs0","28806"
4,2,"Dylan Crews","WSN","CF","MLB",2025,"60","High",,"21.5972222","6' 0""","203","R","R",2023,"Draft","WSN",9000000,"LSU","Crews has gone wire-to-wire as the best 2023 draft prospect. He was the top unsigned high schooler from the 2020 class, a toolshed who swung and missed on the summer showcase circuit more than teams felt comfortable with and ended up at LSU rather than in pro ball. He was immediately dominant as a freshman at LSU, generating exit velos in excess of 100 mph on 17 of his first 30 balls in play and finishing with a .362/.453/.663 line that included 18 bombs. He followed that up by slashing .349/.463/.691 with 22 homers as a sophomore before hitting .420/.567/.710 with 15 bombs and more walks than strikeouts as a junior. 
Crews can punish you to all fields. He'll get extended on fastballs away from him and crush them the opposite way, or he can turn on pitches on the middle two-thirds of the plate and hit some titanic blasts to left. Breaking ball recognition is still a bit of a problem for him, and he tends to swing inside his fair share of sliders, enough that he projects more like an average contact hitter who gets to huge power. Crews will show you jailbreak-y, sub-4.1 run times. He has the speed to play center field, and his reads and routes (though still not great on balls hit in front of him) have improved during his time in college. He sprints into the gaps with huge effort and is great at getting balls hit over his head. He should be an average big league center fielder, and his speed gives him bigger ceiling than that if his feel for the position continues to level up. Crews also does all kinds of little things well, be it procedural awareness on defense or how crisply he runs the bases. He's tooled up and has performed at the highest level of amateur baseball for three years, a layup top two pick in basically any draft and the overwhelming favorite to go first overall in this one.","yuOejbqs8OA","33541"
5,1,"Jordan Lawlar","ARI","SS","MLB",2024,"60","Med",1,"21.2055555","6' 1""","190","R","R",2021,"Draft","ARI",6710000,"Jesuit Prep HS","A relatively complete prospect and a total baseball rat, Lawlar had been a touted amateur as an underclassman and held serve as a near top-of-the-class talent for two or three years, even amid the volatility of the 2020 draft process. He has continued on that path as a pro, reaching Double-A and the Arizona Fall League at age 20 after he had torn his labrum the year before. His OPS has only hovered around .750 during about half a season's worth of games combined between last year and this year at Amarillo, unspectacular on its face, but solid for a Double-A hitter who only turns 21 in July, and trending up significantly of late. 
Lawlar's hit tool projection is a bit of a conundrum. There are aspects of his swing that are very exciting and consistent with those of great big league hitters. His raw power and bat speed are uncommon for a shortstop, and his bent-at-the-waist hitting posture is akin to Mike Trout and Dylan Crews, but his bat path is fairly grooved, and Lawlar is struggling to recognize breaking balls.  When the cement dries on Lawlar's hit tool, it will probably be a little south of average, but he's so incredibly strong and has so much more power than a typical big league shortstop at such a young age that his overall offensive output should still comfortably clear the bar at short. 
Lawlar's throwing stroke to first base can sometimes be a little odd, but he finds all kinds of crazy ways to contort his body and send the baseball where it needs to go, which is especially true of his feeds to second base. There is some risk that his size moves him off of shortstop down the road, and if Geraldo Perdomo keeps performing the way he has, it might force an earlier situational shift to the hot corner. But in a vacuum, Lawlar is a capable shortstop, albeit one with an atypical style. Paul DeJong's peak years are a fair representation of the kind of output that's projected for Lawlar here. ","2OR5zWimpHc","29976"
6,1,"Paul Skenes","PIT","SP","MLB",2024,"60","Med",,"21.3388888","6' 6""","235","R","R",2023,"Draft","PIT",9200000,"LSU","Skenes was a two-way prospect who left Air Force for LSU after hitting .367/.453/.669 as a catcher/DH in two years there while also a posting a 2.72 ERA across 112 innings. He was a superior prospect as a pitcher and the gap between Skenes' arm talent and everything else he might be able to do is now so big that he's clearly a pitching-only prospect, and among the best players in the 2023 draft. Skenes mostly sat 92-95 mph at Air Force but his stuff has exploded at LSU, where he's sitting in the upper-90s and has kissed 102. 
Skenes is a much more powerful and explosive athlete than any other pitcher in the 2023 draft and should be able to maintain this velocity across a big league starter's workload. There is some mechanical violence here (he's throwing 100, after all) and the flat, tailing action on Skenes' fastball only enables it to truly dominate in the upper/arm-side portion of the zone, but he tends to live in that area reliably. His glove-side breaking ball feel is similarly sentient. Skenes looks like he has two benders, or at least like he knows how to intentionally manipulate the shape of one. His in-zone breaking balls tend to look more like low-to-mid-80s curveballs, while his glove-side chase breakers have more of a two-plane slider look a lot of the time. His backdoor curveballs play beautifully with his fastball, and hitters often give up on that pitch out of hand only to watch it bend into the zone. Even as his fastball and changeup have had a four- and five-tick bump since 2022, Skenes' breaking balls have hung around the 83-87 mph range, peaking around 90 mph. It's definitely his third pitch and doesn't always have bat-missing action, but Skenes' ability to reliably finish his changeup down and to his arm side makes that pitch a potential plus offering in pro ball. Remember this guy was a two-way player at Air Force a year ago. He's taken a sizeable leap in a short amount of time and went from being a merely very good prospect to an absolute monster. He had a 46% K% and 4% BB% walk rate as an SEC pitcher in 2023. Skenes could probably pitch in the big leagues tomorrow. He projects as a quick-moving star-level starter.",,"33677"
7,1,"Jackson Merrill","SDP","SS","MLB",2025,"60","Low",,"20.45","6' 3""","195","L","R",2021,"Draft","SDP",1800000,"Severna HS (MD)","What if Michael Brantley played shortstop? That outcome seems in play for Merrill after his first full season in pro ball, even though a fractured wrist and strained hamstring both limited his reps and probably impacted his power output in A-ball. Merrill ""only"" hit .325/.387/.482 in 45 Cal League games, a line good for a 125 wRC+ in the hitter-friendly league and aided by a .393 BABIP. It was Merrill's Arizona Fall League look, which came against more advanced arms, and his underlying hit data that really drove him up the prospect continuum. He got off to a slow start in 2023 and was hitting .222/.273/.389 in mid-May, then was shut down for a week without being put on the IL. He has since slashed .297/.326/.477 and looks perfectly fine.
Merrill's feel to hit is sublime. He swings bent at the waist, his torso hanging over the zone, enabling him to cover the plate with gentle lift that helps him pepper the opposite field gap with doubles contact. Merrill's breaking ball recognition is fantastic and he's adept at making adjustments in the middle of at-bats once he's seen the shape of his opponent's pitches. He has one of the more picturesque swings in the minors and is extremely difficult to make whiff inside the strike zone. His injuries reduced the sample size, but Merrill's contact metrics from the last two seasons are incredible. He had a paltry 7% swinging strike rate to go along with an amazing 90% z-contact% and 85% overall contact rate, and his numbers are similar so far in 2023 even with the slow start. Merrill's style of hitting generates a lot of liners and groundballs — his swing only occasionally has homer-producing lift — but he is striking the baseball with precision and authority in a way that's pretty amazing for a 20-year-old shortstop. Not all of this is coming from raw power, it's more from the quality of the contact Merrill makes. By virtue of this precision, he might have peak years with 20 or so homers, very similar to Brantley. 
Hamstring issues aside, Merrill is a pretty good bet to stay at shortstop. His range isn't great, but he has a polished first step and actions, and a good internal clock, with enough arm strength for the left side of the infield. He doesn't have a huge frame, but his lack of room for mass arguably makes it more likely that he stays at short since he's unlikely to outgrow it. The tools Merrill has in place already make him feel like a high-probability impact player, and if he develops feel for lift without compromising contact as he enters his 20s, then he's going to be one of the top couple of prospects in the minors before he debuts.","-JmCUHgebC4","29490"
8,1,"Adael Amador","COL","2B","MLB",2025,"60","Med",,"20.4722222","6' 0""","200","S","R",2019,"J2","COL",1500000,"Dominican Republic","Amador has special hand-eye coordination and bat-to-ball skills as well as a tremendous idea of the strike zone, and those attributes, combined with the mechanical simplicity of his swing, give him one of the most exciting and stable hit tools in the minors. Amador is one of those short-levered switch-hitters who is so short to the ball that he gets an extra beat to diagnose pitches before he has to commit to swinging, and he takes advantage of this. He's walked more than he's struck out every year of his pro career, and he's running a microscopic, sub-5% swinging strike rate thus far in 2023. 
Over the last year or so, Amador has thickened like a roux and become stronger, and he's capable of doing more damage than my previous, tepid projection expected. Increasingly, Amador's choppers and grounders are peppered with feel for pull-side loft when appropriate. On paper, Amador is still generating flat, groundball and line drive contact a lot of the time, but his feel for the barrel and for the zone together will enable him to hit for average power at maturity, more so as a left-handed hitter. He isn't physically projectable so much as his feel for doing extra-base damage is because his feel for contact is so good. 
As he's gotten stronger, he's also gotten bigger and slower, and Amador's defensive projections have shifted to second base. Some scouts are concerned about how thick he is for a 20-year-old and worry the sun may set on his athleticism sooner than the average big leaguer. I also have some long-term concerns about that, but Amador is such a precocious hitter that he'll likely be in the big leagues relatively soon and start his career long before that's an issue. A plus-plus hit tool on a middle infielder is a big deal, and Amador gets a boost into the 60 FV tier, projecting as an All-Star second baseman.","WXd_Jl3PBO0","27962"
9,1,"Andrew Painter","PHI","SP","AAA",2025,"60","High",,"20.475","6' 7""","215","R","R",2021,"Draft","PHI",3900000,"Calvary Christian HS","Painter overpowered low-level hitters with sheer velocity and breaking ball quality during the majority of his first full pro season. The Phillies pushed him aggressively, going all the way to Double-A Reading late in 2022. There Painter showed more refinement, incorporating a handful of changeups into his outings and displaying an ability to vary his breaking ball shape in different situations. Painter has a prototypical pitcher's frame and then some, standing in at a broad-shouldered 6-foot-7 (which Painter has sculpted since his days as a high school prospect), a stature you'd more often associate with NBA wing players than pro pitchers. Doug Fister is a fair baseball body comp. Painter's size creates suboptimal shape and angle on his fastball, but there will still be big league hitters who he can just overpower with his upper-90s velocity. He'll work six or more innings and never throw a fastball below 95 mph, sitting 96-98 for the bulk of the outing. 
Both of Painter's breaking balls have huge movement. His slider has two-plane sweep, while his curveball (more commonly used as an in-zone pitch and against lefties) is north/south and sometimes also has arm-side direction. If he can consistently create that arm-side finish on the curveball, it will give him a weapon against lefties, though now that he's had to whip out his changeup against upper-level hitters, some of those have been quite good. Hitters seem to take more comfortable swings against his breaking stuff later in outings, so perhaps there's something about Painter's fastball angle that makes it easier to see his breaking balls pop out of the hand once they've had a look at them. In a vacuum, though, he has a shot to have four plus pitches and an inning-eater's frame. 
He entered the spring of 2023 with a legitimate shot to break camp in the Phillies rotation, like a pitching version of Fernando Tatis Jr. a few years ago. Instead, Painter's elbow barked at him and he was shut down with a partial UCL tear after his first Grapefruit League outing. A plasma-rich platelet injection along with rest and rehab can be a short-term band-aid for small tears, but even if successful maintenance is performed in this fashion, it's typical for the pitcher in question to need Tommy John surgery in the near future. The Phillies' line of play with Painter's elbow might enable him to return in the middle of the 2023 season and pitch in their big league rotation as part of a playoff push, and it's plausible that a mostly-healthy Painter could still be one of their best four or five starters. In the event that the Phillies don't make the postseason or that Painter's elbow doesn't heal from the PRP and rest, the team will have kicked the rehab can down the road at the cost of a future season.","sGWkF1MWSl4","sa3017880"
10,1,"Brooks Lee","MIN","SS","MLB",2024,"55","Med",,"22.6305555","5' 11""","205","S","R",2022,"Draft","MIN",5675000,"Cal Poly","Our 36th-ranked draft prospect as a high schooler in 2019, Lee was a coveted prospect as a prep player, but his strong commitment to Cal Poly (where his dad coaches) and some general concerns about his physical longevity due to a back issue pushed the industry's assessment of him down, so he went to school. Knee and hamstring surgery effectively knocked him out for the 2020 season, then Lee hit .341/.384/.626 in 2021 and had a huge summer on Cape Cod, with six homers in just 21 games. He continued to play well as a junior, when he showed better barrel feel from the left side than he did as a sophomore and walked nearly twice as much as he struck out. Before the 2022 draft there was again buzz that some teams were off Lee because of his medical, and also that Lee and his family preferred that he stay as close to home as possible by joining a team that trains in Arizona. He fell deep enough in the draft's top 10 that the Twins, who were otherwise on Cam Collier, felt compelled to pop him even though they weren't a fit in this regard. Minnesota sent Lee to High-A almost immediately and he raked there, blowing scouts away and solidifying his place among the game's top 20 prospects. He's performing at an above-average level at Double-A so far in 2023. 
Lee has fantastic breaking ball recognition, and he can let pitches travel deep before deciding whether to swing. Even when he has to shorten up to protect, the strength in his hands enables him to do extra-base damage. He is much more adept at doing this from the left side; his righty swing is relatively grooved. When Lee does take a comfortable hack, he shows you plus raw power, but his style of hitting is very balanced, and he doesn't sell out for huge pop all the time. 
This sort of offensive player would be a good everyday third baseman and a star shortstop. Lee played short at Poly, but based on his size (Brad Miller is a fair body comp), straight line speed (he's heavy-footed from home to first, in the 4.5s) and his medical, clubs tend to have him projected to third base. This projection is a little more bullish about him staying at short, at least for a while, largely based on Lee's feel for the position. He has quick actions and his lateral agility is better than his long speed on the bases. He's also adept at positioning his body to be ready to throw as he fields the baseball, his transfer is quick, and his internal clock is well-calibrated. He finds creative ways to make timely, accurate throws, and even though it sometimes looks awkward and like Lee is making the play harder than it needs to be, he makes a lot of flashy plays for a bigger dude. It's tough to account for what sort of long-term impact Lee's injury history might have on his defense, and Carlos Correa's presence is also a factor, but in a vacuum he projects as an above-average everyday shortstop who does everything well except run.",,"31595"
