"last_name","first_name","player_id","year","n_called_pitches","runs_extra_strikes","strike_rate","strike_rate_11","strike_rate_12","strike_rate_13","strike_rate_14","strike_rate_16","strike_rate_17","strike_rate_18","strike_rate_19"
"League Average","","","2017","148502",0,"47","16.2","35","16","65.4","66.7","33.9","48.9","28.1"
"Maldonado","Martín","455117","2017","3716","21","52","16","38.2","16.2","64.3","74.4","38.3","57","37.5"
"Flowers","Tyler","452095","2017","2398","16","54.3","14.8","31.4","15.1","65","82.2","38","62.3","46.2"
"Hedges","Austin","595978","2017","3120","10","51.9","17","37.2","12.7","70.2","64.7","40.4","60.5","33.8"
"Grandal","Yasmani","518735","2017","3166","8","50.5","13.2","29","12.4","62.6","76.2","34.9","63.9","37.3"
"Molina","Yadier","425877","2017","3779","8","49.2","22.1","40.4","22","66.3","67.5","39.3","50.3","26.6"
"Pérez","Roberto","547379","2017","2078","8","49.9","13.3","37.5","20.5","65.1","70.8","41.5","55.3","33.3"
"Zunino","Mike","572287","2017","3320","7","47.4","15.2","35.9","17.6","62.7","67","31.8","54.5","26.8"
"Gomes","Yan","543228","2017","2737","7","49.5","23.2","29.3","12.6","72.8","58.6","46.5","60.8","23.9"
"d'Arnaud","Travis","518595","2017","2769","7","49.9","21.4","46.7","20.1","67.8","67.1","39.3","48.6","30.3"
"Joseph","Caleb","543376","2017","2054","6","51.8","15.6","28","9","73.9","69.1","38.9","54.7","37.2"
"Vogt","Stephen","519390","2017","1985","6","50.6","16.3","32.6","19.7","58.4","71.8","38.7","53","39.3"
"Mathis","Jeff","425772","2017","1552","5","54.3","8.6","11.6","3.8","60.4","70.1","50.9","69.9","52.4"
"Romine","Austin","519222","2017","1744","5","50.3","20.5","40.1","11.8","67.4","68.5","42.2","53.3","29.5"
"Vázquez","Christian","543877","2017","2710","5","49.9","14.1","38.8","23.8","68.7","72.6","37.6","49.2","34.1"
"Phegley","Josh","572033","2017","1338","4","50.4","11.1","16.3","10.9","66.8","69.5","43.9","59.6","34.3"
"Realmuto","J.T.","592663","2017","3811","4","46.8","14.6","33","10.6","68.9","60.8","39.9","48.8","24.4"
"Sucre","Jesús","491696","2017","1570","4","49.3","8","32.1","15.5","72.8","66.7","43.2","54.3","29"
"Posey","Buster","457763","2017","2631","3","49.1","26.1","38.9","12.7","72.4","62.8","33.9","51.5","26.2"
"Rivera","René","425784","2017","2009","3","47.9","12.5","34.1","14.7","62.4","69.9","30.5","51.9","37.9"
"Martin","Russell","431145","2017","2272","3","49.5","23.8","38","26.6","63.4","70.7","28","49.7","32.5"
"Garneau","Dustin","572863","2017","1029","3","48.4","7.9","30.5","18.2","61","70.9","40","50.4","37.6"
"Barnes","Austin","605131","2017","1732","3","49.6","14.6","24.4","8.7","57.1","71.3","42.2","63.8","45.7"
"Montero","Miguel","471083","2017","1467","3","48.2","10.3","42.5","14.5","60.2","69.3","27.6","54.2","32"
"Castro","Jason","488771","2017","2907","1","47.3","10.7","38.6","22.2","63.3","74.1","27.6","44.2","25.9"
"Gimenez","Chris","460269","2017","1656","1","46.7","17.8","35.4","19.6","62.8","71.4","28","44.1","22.7"
"Iannetta","Chris","455104","2017","2184","1","48.1","6.7","27.3","11.2","62.4","69.8","33.9","53.2","39.5"
"Stewart","Chris","455755","2017","1150","1","48.3","17.2","33.1","11.4","63.2","66.8","42.1","54.9","30.9"
"Lobaton","Jose","446653","2017","1330","1","47","16.9","34","7.9","66.7","62.4","34.1","48.4","33"
"Norris","Derek","519083","2017","1569","1","47.6","7.6","32.2","16.1","63.9","72.1","43.3","55.2","27.9"
"Gattis","Evan","594828","2017","1421","1","49.2","2.1","36.5","27.9","65.6","70.2","37.5","58.7","23.6"
"Bandy","Jett","542908","2017","1373","0","49.8","12.7","34.2","17.6","69.1","66.4","50","50.2","28.7"
"Smith","Kevan","607345","2017","2176","0","46.5","21.7","45.8","19.4","69.8","67.6","25.6","36.8","22.7"
