"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Lynn, Lance","458681","2020","344","224",0.206,0.208,-0.0020000000000000018,0.386,0.349,0.03700000000000003,0.287,0.279,0.007999999999999952,"3.32","3.25","0.071"
"Márquez, Germán","608566","2020","344","246",0.247,0.259,-0.01200000000000001,0.373,0.391,-0.018000000000000016,0.292,0.315,-0.02300000000000002,"3.75","4.21","-0.463"
"Hendricks, Kyle","543294","2020","315","242",0.24,0.236,0.0040000000000000036,0.372,0.382,-0.010000000000000009,0.269,0.274,-0.0050000000000000044,"2.88","3.13","-0.253"
"Civale, Aaron","650644","2020","312","224",0.282,0.265,0.01699999999999996,0.474,0.436,0.03799999999999998,0.339,0.322,0.017000000000000015,"4.74","4.42","0.323"
"Freeland, Kyle","607536","2020","304","232",0.278,0.284,-0.00599999999999995,0.433,0.436,-0.0030000000000000027,0.335,0.343,-0.008000000000000007,"4.33","5.10","-0.77"
"Senzatela, Antonio","622608","2020","303","240",0.254,0.273,-0.019000000000000017,0.409,0.429,-0.020000000000000018,0.309,0.329,-0.020000000000000018,"3.44","4.64","-1.204"
"Gibson, Kyle","502043","2020","301","207",0.275,0.283,-0.007999999999999952,0.46,0.452,0.008000000000000007,0.356,0.36,-0.0040000000000000036,"5.35","5.70","-0.353"
"Bieber, Shane","669456","2020","297","153",0.167,0.185,-0.017999999999999988,0.265,0.319,-0.05399999999999999,0.222,0.251,-0.028999999999999998,"1.63","2.62","-0.991"
"Darvish, Yu","506433","2020","297","187",0.211,0.228,-0.017000000000000015,0.321,0.346,-0.024999999999999967,0.25,0.269,-0.019000000000000017,"2.01","3.02","-1.007"
"Corbin, Patrick","571578","2020","295","217",0.308,0.289,0.019000000000000017,0.489,0.469,0.020000000000000018,0.357,0.343,0.013999999999999957,"4.66","5.10","-0.44"
"Scherzer, Max","453286","2020","295","179",0.26,0.252,0.008000000000000007,0.424,0.431,-0.007000000000000006,0.319,0.321,-0.0020000000000000018,"3.74","4.39","-0.647"
"Woodruff, Brandon","605540","2020","293","180",0.204,0.198,0.005999999999999978,0.341,0.339,0.0020000000000000018,0.264,0.264,0,"3.05","2.90","0.154"
"Castillo, Luis","622491","2020","292","178",0.233,0.209,0.02400000000000002,0.365,0.313,0.05199999999999999,0.29,0.266,0.023999999999999966,"3.21","2.95","0.264"
"Gallen, Zac","668678","2020","291","181",0.21,0.225,-0.015000000000000013,0.336,0.369,-0.032999999999999974,0.275,0.296,-0.020999999999999963,"2.75","3.68","-0.93"
"Nola, Aaron","605400","2020","289","168",0.205,0.222,-0.017000000000000015,0.354,0.354,0,0.272,0.283,-0.010999999999999954,"3.28","3.35","-0.07"
"Valdez, Framber","664285","2020","288","191",0.24,0.239,0.0010000000000000009,0.342,0.378,-0.035999999999999976,0.279,0.301,-0.021999999999999964,"3.57","3.82","-0.254"
"Cole, Gerrit","543037","2020","288","175",0.197,0.198,-0.0010000000000000009,0.405,0.381,0.02400000000000002,0.279,0.274,0.0050000000000000044,"2.84","3.13","-0.294"
"Wheeler, Zack","554430","2020","288","212",0.254,0.249,0.0050000000000000044,0.348,0.348,0,0.291,0.292,-0.0010000000000000009,"2.92","3.58","-0.665"
"Giolito, Lucas","608337","2020","288","161",0.184,0.196,-0.01200000000000001,0.31,0.322,-0.01200000000000001,0.257,0.27,-0.013000000000000012,"3.48","3.04","0.444"
"Carrasco, Carlos","471911","2020","280","169",0.221,0.221,0,0.361,0.367,-0.006000000000000005,0.292,0.3,-0.008000000000000007,"2.91","3.79","-0.878"
"Heaney, Andrew","571760","2020","279","188",0.246,0.249,-0.0030000000000000027,0.414,0.445,-0.031000000000000028,0.306,0.321,-0.015000000000000013,"4.46","4.39","0.065"
"Bauer, Trevor","545333","2020","278","158",0.159,0.162,-0.0030000000000000027,0.302,0.286,0.016000000000000014,0.227,0.225,0.0020000000000000018,"1.73","2.11","-0.384"
"Cueto, Johnny","456501","2020","277","192",0.248,0.26,-0.01200000000000001,0.423,0.417,0.006000000000000005,0.324,0.336,-0.01200000000000001,"5.40","4.86","0.54"
"Gonzales, Marco","594835","2020","277","202",0.222,0.243,-0.02099999999999999,0.361,0.43,-0.069,0.265,0.301,-0.035999999999999976,"3.10","3.82","-0.72"
"Davies, Zach","605200","2020","276","194",0.216,0.268,-0.05200000000000002,0.361,0.475,-0.11399999999999999,0.273,0.344,-0.07099999999999995,"2.73","5.13","-2.404"
"Ryu, Hyun Jin","547943","2020","275","185",0.234,0.233,0.0010000000000000009,0.352,0.334,0.01799999999999996,0.279,0.274,0.0050000000000000044,"2.69","3.13","-0.443"
"Greinke, Zack","425844","2020","273","196",0.256,0.248,0.008000000000000007,0.405,0.42,-0.014999999999999958,0.293,0.299,-0.006000000000000005,"4.03","3.76","0.27"
"Boyd, Matthew","571510","2020","271","184",0.278,0.258,0.020000000000000018,0.552,0.478,0.07400000000000007,0.378,0.349,0.029000000000000026,"6.71","5.30","1.413"
"Berríos, José","621244","2020","271","174",0.237,0.248,-0.01100000000000001,0.383,0.4,-0.017000000000000015,0.307,0.322,-0.015000000000000013,"4.00","4.42","-0.42"
"deGrom, Jacob","594798","2020","268","146",0.19,0.194,-0.0040000000000000036,0.323,0.333,-0.010000000000000009,0.246,0.256,-0.010000000000000009,"2.38","2.73","-0.348"
"Lamet, Dinelson","659275","2020","267","150",0.161,0.186,-0.024999999999999994,0.26,0.317,-0.056999999999999995,0.225,0.259,-0.034,"2.09","2.79","-0.703"
"Bundy, Dylan","605164","2020","267","173",0.208,0.215,-0.007000000000000006,0.343,0.333,0.010000000000000009,0.268,0.27,-0.0020000000000000018,"3.29","3.04","0.249"
"Lyles, Jordan","543475","2020","266","205",0.285,0.271,0.013999999999999957,0.494,0.466,0.02799999999999997,0.356,0.351,0.0050000000000000044,"7.02","5.37","1.653"
"Lester, Jon","452657","2020","265","203",0.262,0.279,-0.017000000000000015,0.459,0.517,-0.057999999999999996,0.333,0.363,-0.02999999999999997,"5.16","5.81","-0.646"
