"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Grisham, Trent",663757,"7","3","7","42.9","4","7","57.1","3","4","75.0","11","11","100.0","14","14","100.0"
"Bellinger, Cody",641355,"7","0","13","0.0","2","2","100.0","7","7","100.0","10","10","100.0","15","15","100.0"
"Bradley Jr., Jackie",598265,"6","1","8","12.5","4","5","80.0","5","6","83.3","13","14","92.9","9","9","100.0"
"Mullins, Cedric",656775,"5","2","4","50.0","1","2","50.0","1","2","50.0","13","13","100.0","9","9","100.0"
"Tucker, Kyle",663656,"5","1","7","14.3","3","4","75.0","6","9","66.7","6","6","100.0","15","15","100.0"
"Robert Jr., Luis",673357,"5","2","8","25.0","2","2","100.0","5","5","100.0","15","18","83.3","21","22","95.5"
"Kiermaier, Kevin",595281,"5","4","15","26.7","2","3","66.7","3","5","60.0","7","9","77.8","15","15","100.0"
"Betts, Mookie",605141,"5","0","7","0.0","1","2","50.0","5","6","83.3","15","15","100.0","7","7","100.0"
"Lewis, Kyle",641786,"4","2","9","22.2","1","1","100.0","5","6","83.3","8","9","88.9","10","11","90.9"
"Buxton, Byron",621439,"4","1","4","25.0","2","4","50.0","4","4","100.0","7","8","87.5","6","6","100.0"
"O'Neill, Tyler",641933,"4","1","8","12.5","0","0",,"5","6","83.3","6","6","100.0","10","10","100.0"
"Gallo, Joey",608336,"3","0","11","0.0","2","5","40.0","2","2","100.0","10","11","90.9","17","17","100.0"
"Grossman, Robbie",543257,"3","0","12","0.0","2","3","66.7","4","5","80.0","11","12","91.7","6","6","100.0"
"Bader, Harrison",664056,"3","0","3","0.0","3","4","75.0","6","8","75.0","3","3","100.0","6","7","85.7"
"Cave, Jake",595909,"3","0","4","0.0","2","3","66.7","1","1","100.0","7","7","100.0","5","5","100.0"
"Dubón, Mauricio",643289,"3","1","6","16.7","0","0",,"4","4","100.0","8","10","80.0","10","10","100.0"
"Springer, George",543807,"2","0","11","0.0","1","3","33.3","4","5","80.0","9","10","90.0","5","5","100.0"
"Polanco, Gregory",570256,"2","0","3","0.0","0","0",,"2","3","66.7","5","5","100.0","8","8","100.0"
"Margot, Manuel",622534,"2","2","6","33.3","0","0",,"7","10","70.0","5","7","71.4","6","6","100.0"
"Marte, Starling",516782,"2","1","10","10.0","1","1","100.0","4","8","50.0","8","9","88.9","13","13","100.0"
"Verdugo, Alex",657077,"2","1","5","20.0","1","1","100.0","6","7","85.7","3","3","100.0","4","4","100.0"
"Laureano, Ramón",657656,"2","1","6","16.7","0","6","0.0","1","3","33.3","12","12","100.0","21","21","100.0"
"Robles, Victor",645302,"1","0","13","0.0","1","1","100.0","3","4","75.0","9","10","90.0","10","10","100.0"
"Peralta, David",444482,"1","0","9","0.0","2","3","66.7","4","5","80.0","6","7","85.7","12","12","100.0"
"Markakis, Nick",455976,"1","0","10","0.0","0","1","0.0","2","2","100.0","4","4","100.0","8","8","100.0"
"Acuña Jr., Ronald",660670,"1","0","6","0.0","0","2","0.0","3","3","100.0","5","5","100.0","11","13","84.6"
"Happ, Ian",664023,"1","0","9","0.0","3","6","50.0","0","2","0.0","6","7","85.7","14","14","100.0"
"Grichuk, Randal",545341,"1","0","7","0.0","2","6","33.3","3","3","100.0","11","13","84.6","8","8","100.0"
"Myers, Wil",571976,"1","0","9","0.0","0","0",,"2","4","50.0","7","7","100.0","10","11","90.9"
"Akiyama, Shogo",673451,"1","0","5","0.0","1","1","100.0","2","4","50.0","11","11","100.0","8","8","100.0"
"Taylor, Michael A.",572191,"1","0","6","0.0","1","1","100.0","2","3","66.7","2","2","100.0","4","5","80.0"
"Canha, Mark",592192,"1","0","10","0.0","1","1","100.0","2","3","66.7","3","3","100.0","11","11","100.0"
"Hays, Austin",669720,"1","1","7","14.3","1","4","25.0","2","2","100.0","7","7","100.0","4","6","66.7"
"Jones, JaCoby",592444,"1","0","7","0.0","0","0",,"1","2","50.0","6","6","100.0","5","5","100.0"
"Merrifield, Whit",593160,"1","0","7","0.0","0","2","0.0","2","2","100.0","5","5","100.0","8","9","88.9"
"Heyward, Jason",518792,"1","0","10","0.0","0","0",,"2","3","66.7","6","6","100.0","8","9","88.9"
"Duvall, Adam",594807,"1","0","12","0.0","2","3","66.7","2","4","50.0","3","3","100.0","6","6","100.0"
"García, Avisaíl",541645,"1","0","9","0.0","0","1","0.0","1","1","100.0","9","10","90.0","8","8","100.0"
"Kepler, Max",596146,"1","1","12","8.3","1","7","14.3","4","4","100.0","8","9","88.9","7","7","100.0"
"Mazara, Nomar",608577,"1","0","6","0.0","1","2","50.0","1","2","50.0","6","6","100.0","10","10","100.0"
"Reyes, Victor",622682,"1","0","5","0.0","1","3","33.3","0","1","0.0","7","7","100.0","11","12","91.7"
"Santander, Anthony",623993,"1","1","6","16.7","1","1","100.0","3","6","50.0","4","5","80.0","8","8","100.0"
"Reynolds, Bryan",668804,"1","0","5","0.0","1","2","50.0","2","2","100.0","7","9","77.8","10","11","90.9"
"Frazier, Clint",640449,"1","0","6","0.0","1","1","100.0","0","0",,"5","7","71.4","5","5","100.0"
"Mercado, Óscar",640458,"1","0","4","0.0","0","0",,"1","1","100.0","5","6","83.3","6","6","100.0"
"Tauchman, Mike",643565,"1","1","10","10.0","0","0",,"0","0",,"0","0",,"3","3","100.0"
"Rosario, Eddie",592696,"0","1","9","11.1","1","4","25.0","3","5","60.0","2","4","50.0","10","10","100.0"
"Profar, Jurickson",595777,"0","0","6","0.0","1","2","50.0","2","3","66.7","3","4","75.0","6","6","100.0"
"Renfroe, Hunter",592669,"0","1","11","9.1","0","0",,"3","6","50.0","3","4","75.0","7","7","100.0"
"Hilliard, Sam",656541,"0","1","8","12.5","0","1","0.0","3","4","75.0","6","8","75.0","8","8","100.0"
"Quinn, Roman",596451,"0","0","5","0.0","0","1","0.0","4","5","80.0","6","6","100.0","0","0",
"Carlson, Dylan",666185,"0","0","4","0.0","0","3","0.0","0","1","0.0","4","4","100.0","9","9","100.0"
"DeShields, Delino",592261,"0","0","7","0.0","0","0",,"4","5","80.0","8","9","88.9","6","6","100.0"
"Tapia, Raimel",606132,"0","0","8","0.0","0","1","0.0","4","7","57.1","7","8","87.5","7","7","100.0"
"Gardner, Brett",458731,"0","0","8","0.0","3","5","60.0","0","3","0.0","6","7","85.7","7","7","100.0"
"Harper, Bryce",547180,"0","0","6","0.0","1","1","100.0","2","2","100.0","3","3","100.0","7","8","87.5"
"Stewart, DJ",621466,"0","1","6","16.7","1","2","50.0","0","1","0.0","5","6","83.3","5","6","83.3"
"Taveras, Leody",665750,"0","1","4","25.0","1","2","50.0","2","4","50.0","3","5","60.0","7","7","100.0"
"Trout, Mike",545361,"-1","0","11","0.0","1","2","50.0","4","6","66.7","9","14","64.3","13","13","100.0"
"Brinson, Lewis",621446,"-1","0","6","0.0","0","1","0.0","3","5","60.0","7","7","100.0","7","7","100.0"
"Dickerson, Corey",572816,"-1","1","9","11.1","1","1","100.0","4","6","66.7","4","5","80.0","6","7","85.7"
"Gordon, Alex",460086,"-1","0","4","0.0","0","3","0.0","3","4","75.0","4","5","80.0","6","7","85.7"
"Gurriel Jr., Lourdes",666971,"-1","0","8","0.0","1","2","50.0","1","3","33.3","9","11","81.8","11","11","100.0"
"Dahl, David",621311,"-1","0","7","0.0","1","2","50.0","2","3","66.7","0","1","0.0","5","5","100.0"
"Blackmon, Charlie",453568,"-1","0","6","0.0","1","2","50.0","0","5","0.0","9","9","100.0","12","13","92.3"
"Inciarte, Ender",542255,"-1","1","9","11.1","2","3","66.7","2","4","50.0","5","7","71.4","8","9","88.9"
"Tucker, Cole",657061,"-2","0","6","0.0","0","2","0.0","0","1","0.0","2","3","66.7","6","6","100.0"
"Upton, Justin",457708,"-2","0","4","0.0","1","1","100.0","0","2","0.0","2","3","66.7","6","6","100.0"
"Goodwin, Brian",571718,"-2","1","8","12.5","1","3","33.3","3","5","60.0","3","7","42.9","7","8","87.5"
"Piscotty, Stephen",572039,"-2","0","4","0.0","0","0",,"0","0",,"4","7","57.1","9","10","90.0"
"Pollock, AJ",572041,"-2","0","9","0.0","0","2","0.0","1","3","33.3","8","8","100.0","4","5","80.0"
"Pederson, Joc",592626,"-2","0","4","0.0","0","1","0.0","1","5","20.0","5","6","83.3","6","6","100.0"
"Yelich, Christian",592885,"-2","1","4","25.0","0","0",,"1","2","50.0","5","8","62.5","9","9","100.0"
"Calhoun, Kole",594777,"-2","0","5","0.0","1","2","50.0","3","3","100.0","4","5","80.0","12","14","85.7"
"Eaton, Adam",594809,"-2","0","14","0.0","1","2","50.0","2","3","66.7","7","7","100.0","6","8","75.0"
"Hernández, Teoscar",606192,"-2","1","12","8.3","1","7","14.3","0","1","0.0","3","4","75.0","6","7","85.7"
"Nimmo, Brandon",607043,"-2","2","13","15.4","0","3","0.0","0","2","0.0","5","5","100.0","8","9","88.9"
"Pillar, Kevin",607680,"-2","1","15","6.7","1","2","50.0","3","6","50.0","7","8","87.5","8","9","88.9"
"Olivares, Edward",658668,"-2","0","5","0.0","2","5","40.0","0","3","0.0","3","4","75.0","3","3","100.0"
"Soto, Juan",665742,"-2","1","8","12.5","0","3","0.0","2","5","40.0","0","0",,"4","5","80.0"
"Solak, Nick",669256,"-2","1","10","10.0","1","4","25.0","2","5","40.0","2","4","50.0","2","2","100.0"
"Schwarber, Kyle",656941,"-2","0","13","0.0","0","3","0.0","1","4","25.0","5","5","100.0","6","6","100.0"
"Jiménez, Eloy",650391,"-3","1","7","14.3","0","2","0.0","0","1","0.0","3","3","100.0","6","7","85.7"
"Joyce, Matt",459964,"-3","0","8","0.0","0","1","0.0","2","3","66.7","2","4","50.0","7","8","87.5"
"Dickerson, Alex",543105,"-3","0","9","0.0","0","0",,"0","2","0.0","8","9","88.9","5","6","83.3"
"Conforto, Michael",624424,"-3","2","12","16.7","0","4","0.0","3","6","50.0","6","8","75.0","10","12","83.3"
"Adell, Jo",666176,"-4","1","6","16.7","2","3","66.7","1","5","20.0","4","6","66.7","9","12","75.0"
"Hicks, Aaron",543305,"-4","0","12","0.0","0","3","0.0","1","2","50.0","4","5","80.0","14","15","93.3"
"Castellanos, Nick",592206,"-4","0","10","0.0","0","0",,"1","2","50.0","10","11","90.9","7","7","100.0"
"Naquin, Tyler",571980,"-5","0","8","0.0","1","3","33.3","0","0",,"1","6","16.7","7","8","87.5"
"Reddick, Josh",502210,"-5","0","9","0.0","0","4","0.0","1","3","33.3","7","10","70.0","8","9","88.9"
"Yastrzemski, Mike",573262,"-5","0","8","0.0","1","2","50.0","2","7","28.6","10","14","71.4","12","14","85.7"
