"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
111885,682626,"Francisco Alvarez",21,2023,"NYM",121,423,382,51,25,63,2,8,26,0.228,0.209,0.284,0.437,0.721,97,,12.1,2.2
117798,682829,"Elly De La Cruz",21,2023,"CIN",98,427,388,67,13,44,35,8.2,33.7,0.175,0.235,0.3,0.41,0.71,84,,-3,0.9
139025,678662,"Ezequiel Tovar",21,2023,"COL",152,615,581,79,15,73,11,4.1,27,0.155,0.253,0.287,0.408,0.695,79,,-3.3,0.7
147867,691023,"Jordan Walker",21,2023,"STL",117,465,420,51,16,51,7,8,22.4,0.169,0.276,0.342,0.445,0.787,97,,-3.8,0.5
111317,677551,"Wander Franco",22,2023,"TB",112,491,442,65,17,58,30,8.6,14.1,0.195,0.281,0.344,0.475,0.819,120,,8.1,4
111352,682928,"CJ Abrams",22,2023,"WSH",151,614,563,83,18,64,47,5.2,19.2,0.167,0.245,0.3,0.412,0.712,89,,0.4,1.8
122787,682998,"Corbin Carroll",22,2023,"AZ",153,645,565,116,25,76,54,8.8,19.4,0.221,0.285,0.362,0.506,0.868,116,,10.7,4.6
122795,682985,"Riley Greene",22,2023,"DET",99,416,378,51,11,37,7,8.4,27.4,0.159,0.288,0.349,0.447,0.796,108,,-0.2,1.9
122896,671739,"Michael Harris II",22,2023,"ATL",138,539,505,76,18,57,20,4.6,18.7,0.184,0.293,0.331,0.477,0.808,112,,0.9,3.1
123218,683002,"Gunnar Henderson",22,2023,"BAL",150,622,560,100,28,82,10,9,25.6,0.234,0.255,0.325,0.489,0.814,116,,2.2,4.2
134822,677594,"Julio Rodríguez",22,2023,"SEA",155,714,654,102,32,103,37,6.6,24.5,0.209,0.275,0.333,0.485,0.818,113,,1.7,4.6
140156,683011,"Anthony Volpe",22,2023,"NYY",157,601,541,62,21,60,24,8.7,27.8,0.174,0.209,0.283,0.383,0.666,77,,2.2,0.9
109139,671277,"Luis García Jr.",23,2023,"WSH",122,482,447,61,9,50,9,5.6,12.4,0.119,0.266,0.304,0.385,0.689,97,,-1.5,1.4
109864,672580,"Maikel Garcia",23,2023,"KC",123,515,464,59,4,50,23,7.4,22.3,0.086,0.272,0.323,0.358,0.681,85,,0.7,1.1
110402,672515,"Gabriel Moreno",23,2023,"AZ",107,380,341,33,7,50,6,7.6,19.7,0.123,0.284,0.339,0.408,0.747,98,,-7.6,0.6
110536,672695,"Geraldo Perdomo",23,2023,"AZ",138,495,407,71,6,47,16,12.9,17.4,0.113,0.246,0.353,0.359,0.712,94,,-3.4,1.5
115660,671213,"Triston Casas",23,2023,"BOS",131,502,429,66,24,65,0,13.9,25.1,0.226,0.263,0.367,0.49,0.857,131,,-1.8,3.2
121931,669357,"Nolan Gorman",23,2023,"STL",118,464,406,59,27,76,7,11.4,31.9,0.241,0.236,0.328,0.478,0.806,119,,0.7,2.7
125372,672284,"Jarred Kelenic",23,2023,"SEA",105,416,372,44,11,49,13,9.9,31.7,0.167,0.253,0.327,0.419,0.746,80,,0.9,0.5
128758,680574,"Matt McLain",23,2023,"CIN",89,403,365,65,16,50,14,7.7,28.5,0.216,0.29,0.357,0.507,0.864,93,,2.8,1.4
138635,677950,"Alek Thomas",23,2023,"AZ",116,402,374,51,9,39,9,4.7,21.4,0.144,0.23,0.273,0.374,0.647,79,,4.2,1.1
138910,679529,"Spencer Torkelson",23,2023,"DET",159,684,606,88,31,94,3,9.8,25,0.213,0.233,0.313,0.446,0.759,114,,-2.2,2.3
139196,668930,"Brice Turang",23,2023,"MIL",130,448,404,46,6,34,26,8.5,21,0.082,0.218,0.285,0.3,0.585,79,,-1.6,0.8
141166,677951,"Bobby Witt Jr.",23,2023,"KC",158,694,641,97,30,96,49,5.8,17.4,0.218,0.276,0.319,0.495,0.814,131,,-6.8,5
141688,683146,"Brett Baty",23,2023,"NYM",107,389,353,41,9,34,2,7.5,28,0.11,0.212,0.275,0.323,0.598,84,,-4.5,0.5
106820,660688,"Keibert Ruiz",24,2023,"WSH",136,562,523,55,18,67,1,5.5,10.3,0.149,0.26,0.308,0.409,0.717,102,,-11.1,1
107182,665742,"Juan Soto",24,2023,"SD",162,708,568,97,35,109,12,18.6,18.2,0.245,0.275,0.41,0.519,0.929,155,,-2.3,6.8
107184,665489,"Vladimir Guerrero Jr.",24,2023,"TOR",156,682,602,78,26,94,5,9.8,14.7,0.179,0.264,0.345,0.444,0.789,129,,-0.9,3.7
107293,665750,"Leody Taveras",24,2023,"TEX",143,554,511,67,14,67,14,6.3,21.1,0.155,0.266,0.312,0.421,0.733,93,,2.3,2
107858,665926,"Andrés Giménez",24,2023,"CLE",153,616,557,76,15,62,30,5.2,18.2,0.147,0.251,0.314,0.399,0.713,89,,2.4,2.1
108350,670623,"Isaac Paredes",24,2023,"TB",141,571,492,71,31,98,1,10.2,18.2,0.238,0.25,0.352,0.488,0.84,100,,0.1,1.9
108525,665923,"Esteury Ruiz",24,2023,"OAK",129,497,449,47,5,47,67,4,19.9,0.091,0.254,0.309,0.345,0.654,84,,-1,0.8
108651,665487,"Fernando Tatis Jr.",24,2023,"SD",141,635,575,91,25,78,29,8.3,22.2,0.191,0.257,0.322,0.449,0.771,123,,5,4.1
109083,669261,"Jack Suwinski",24,2023,"PIT",141,534,447,63,26,74,13,14,32.2,0.23,0.224,0.339,0.454,0.793,122,,0.8,3.6
109738,673237,"Yainer Diaz",24,2023,"HOU",104,377,355,51,23,60,0,2.9,19.6,0.256,0.282,0.308,0.538,0.846,114,,-1.8,1.6
110333,669004,"MJ Melendez",24,2023,"KC",148,602,533,65,16,56,6,10.3,28.2,0.163,0.235,0.316,0.398,0.714,93,,4,1.6
110401,666624,"Christopher Morel",24,2023,"CHC",107,429,388,62,26,70,6,8.4,31,0.26,0.247,0.313,0.508,0.821,112,,-0.7,1.5
111187,677649,"Ezequiel Duran",24,2023,"TEX",122,439,406,55,14,46,8,5.2,27.3,0.167,0.276,0.324,0.443,0.767,93,,0.4,1.2
111216,672386,"Alejandro Kirk",24,2023,"TOR",121,422,372,34,8,43,0,10,10.7,0.108,0.25,0.334,0.358,0.692,106,,8.7,2.7
125175,666397,"Edouard Julien",24,2023,"MIN",107,408,338,60,16,37,3,15.7,31.4,0.195,0.263,0.381,0.459,0.84,106,,0.2,1.7
148608,686894,"Joey Wiemer",24,2023,"MIL",124,410,367,48,13,42,11,8.8,28.3,0.158,0.204,0.283,0.362,0.645,90,,0.5,1.1
105454,660670,"Ronald Acuña Jr.",25,2023,"ATL",159,735,643,149,41,106,73,10.9,11.4,0.258,0.337,0.416,0.596,1.012,174,,2.1,8.7
105764,661388,"William Contreras",25,2023,"MIL",141,611,540,86,17,78,6,10.3,20.6,0.169,0.289,0.367,0.457,0.824,112,,9.2,3.9
106844,660821,"Jesús Sánchez",25,2023,"MIA",117,403,361,43,14,52,3,9.4,26.8,0.197,0.252,0.326,0.449,0.775,115,,-2.3,1.8
107491,666182,"Bo Bichette",25,2023,"TOR",135,601,571,69,20,73,5,4.5,19.1,0.168,0.306,0.339,0.475,0.814,112,,1.5,3.4
107632,665862,"Jazz Chisholm Jr.",25,2023,"MIA",96,383,352,50,19,51,22,6.8,30.8,0.207,0.25,0.304,0.457,0.761,95,,2.7,1.8
108118,666139,"Josh Lowe",25,2023,"TB",131,501,466,71,20,83,32,6.2,24.8,0.208,0.292,0.335,0.5,0.835,109,,4.4,2.5
