"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
150534,694192,"Jackson Chourio",20,2024,"MIL",145,573,528,145,91,29,4,21,245,80,79,39,121,3,22,7,1,2,9,45
151206,701538,"Jackson Merrill",21,2024,"SD",155,593,554,162,101,31,6,24,277,77,90,29,101,1,16,3,4,5,4,48.1
117798,682829,"Elly De La Cruz",22,2024,"CIN",160,696,618,160,89,36,10,25,291,105,76,69,218,6,67,16,2,1,14,30.5
139025,678662,"Ezequiel Tovar",22,2024,"COL",157,695,655,176,101,45,4,26,307,83,78,23,200,4,6,5,5,7,17,38.6
147813,690993,"Colt Keith",22,2024,"DET",148,556,516,134,102,15,4,13,196,54,61,36,110,2,7,1,0,2,6,46.3
147872,691026,"Masyn Winn",22,2024,"STL",148,637,587,157,105,32,5,15,244,85,57,41,109,1,11,5,3,5,2,34.1
148154,691718,"Pete Crow-Armstrong",22,2024,"CHC",120,410,372,88,59,13,6,10,143,46,47,21,98,6,27,3,8,3,4,37
160132,694384,"Nolan Schanuel",22,2024,"LAA",146,607,519,130,98,19,0,13,188,62,54,68,103,9,10,1,3,7,17,40.3
160384,694671,"Wyatt Langford",22,2024,"TEX",134,557,499,126,81,25,4,16,207,74,74,51,115,4,19,3,0,3,7,36.5
111352,682928,"CJ Abrams",23,2024,"WSH",138,602,541,133,78,29,6,20,234,79,65,40,128,16,31,12,1,4,5,34.2
114935,671732,"Lawrence Butler",23,2024,"OAK",120,451,412,108,60,24,2,22,202,63,57,35,108,0,18,0,0,4,8,50.8
122787,682998,"Corbin Carroll",23,2024,"AZ",157,684,589,136,78,22,14,22,252,121,74,73,130,10,35,8,3,9,4,35.5
122795,682985,"Riley Greene",23,2024,"DET",137,584,512,134,77,27,6,24,245,82,74,64,156,5,4,2,0,2,4,36.6
122896,671739,"Michael Harris II",23,2024,"ATL",110,470,440,116,83,14,3,16,184,58,48,23,94,4,10,6,0,3,6,43.1
123218,683002,"Gunnar Henderson",23,2024,"BAL",159,719,630,177,102,31,7,37,333,118,92,78,159,7,21,4,0,4,2,44.9
131720,681624,"Andy Pages",23,2024,"LAD",115,443,403,100,63,23,1,13,164,65,46,29,108,6,1,2,0,4,10,35.4
133479,678882,"Ceddanne Rafaela",23,2024,"BOS",151,571,544,134,91,23,5,15,212,70,75,15,151,7,19,10,2,3,8,27.1
134616,677587,"Brayan Rocchio",23,2024,"CLE",131,442,383,79,53,18,0,8,121,50,36,44,90,8,10,6,2,5,13,22
134822,677594,"Julio Rodríguez",23,2024,"SEA",142,613,567,155,118,17,0,20,232,76,68,38,156,6,24,5,0,2,11,48.7
140156,683011,"Anthony Volpe",23,2024,"NYY",160,689,637,155,109,27,7,12,232,90,60,42,156,4,28,7,2,3,9,27.8
144429,687263,"Zach Neto",23,2024,"LAA",155,602,542,135,77,34,1,23,240,70,77,39,140,16,30,10,4,1,15,44.3
109139,671277,"Luis García Jr.",24,2024,"WSH",140,528,500,141,97,25,1,18,222,58,70,27,86,0,22,5,0,1,12,41.4
109864,672580,"Maikel Garcia",24,2024,"KC",156,626,575,133,94,27,5,7,191,84,58,42,103,0,37,2,4,5,8,22.6
110536,672695,"Geraldo Perdomo",24,2024,"AZ",97,388,337,92,66,21,2,3,126,61,37,36,58,3,9,1,7,5,5,31.1
110551,672761,"Wenceel Pérez",24,2024,"DET",111,425,389,94,63,16,6,9,149,51,37,32,92,1,9,5,2,1,6,33.3
110621,671218,"Heliot Ramos",24,2024,"SF",121,518,475,128,80,23,3,22,223,54,72,37,135,2,6,1,0,4,12,50
110868,672820,"Lenyn Sosa",24,2024,"CWS",98,369,351,89,68,13,0,8,126,28,35,12,77,3,3,1,2,1,5,42.9
111017,668901,"Mark Vientos",24,2024,"NYM",110,454,413,110,61,22,0,27,213,58,71,33,135,3,0,0,0,5,6,60.3
117074,681297,"Colton Cowser",24,2024,"BAL",150,561,499,121,70,24,3,24,223,77,69,52,172,7,9,4,0,3,10,42.9
121206,680869,"Zack Gelof",24,2024,"OAK",138,547,497,105,66,20,2,17,180,60,49,38,188,4,25,3,3,5,7,40
121931,669357,"Nolan Gorman",24,2024,"STL",105,402,365,74,40,15,0,19,146,42,50,34,151,1,6,1,0,2,4,45.2
125372,672284,"Jarred Kelenic",24,2024,"ATL",128,449,412,95,60,18,2,15,162,49,45,32,133,1,7,2,1,3,5,40.8
130661,666310,"Bo Naylor",24,2024,"CLE",118,389,354,71,46,10,2,13,124,39,39,29,122,2,6,3,2,2,4,38.5
131149,681351,"Logan O'Hoppe",24,2024,"LAA",136,522,479,117,79,17,1,20,196,64,56,33,155,8,2,3,1,1,7,46.9
138910,679529,"Spencer Torkelson",24,2024,"DET",92,381,342,75,43,21,1,10,128,45,37,33,105,4,0,0,0,1,6,35.6
139196,668930,"Brice Turang",24,2024,"MIL",155,619,559,142,107,24,4,7,195,72,57,50,105,2,50,6,5,3,8,31.9
140577,669224,"Austin Wells",24,2024,"NYY",111,414,354,81,49,18,1,13,140,42,55,47,87,5,1,2,1,7,10,45.2
141166,677951,"Bobby Witt Jr.",24,2024,"KC",161,709,636,211,123,45,11,32,374,125,109,57,106,8,31,12,0,8,5,38.4
151281,686217,"Sal Frelick",24,2024,"MIL",144,524,475,123,95,22,4,2,159,66,32,39,78,4,18,3,2,1,11,18.2
151463,696285,"Jacob Young",24,2024,"WSH",148,521,468,120,92,24,1,3,155,75,36,30,102,12,33,10,9,2,11,16
106820,660688,"Keibert Ruiz",25,2024,"WSH",126,485,459,105,71,21,0,13,165,46,57,16,54,5,3,1,0,5,13,45.7
107182,665742,"Juan Soto",25,2024,"NYY",157,713,576,166,90,31,4,41,328,128,109,129,119,4,7,4,0,4,12,63.3
107184,665489,"Vladimir Guerrero Jr.",25,2024,"TOR",159,697,616,199,124,44,1,30,335,98,103,72,96,5,2,2,0,4,16,45.9
107293,665750,"Leody Taveras",25,2024,"TEX",149,529,480,110,78,17,3,12,169,59,44,42,112,0,23,6,3,4,10,35.6
107675,665833,"Oneil Cruz",25,2024,"PIT",146,599,541,140,82,34,3,21,243,72,76,51,181,3,22,1,0,4,8,43.1
107858,665926,"Andrés Giménez",25,2024,"CLE",151,633,583,147,115,22,1,9,198,64,63,26,97,15,30,5,3,6,15,34.4
108350,670623,"Isaac Paredes",25,2024,,153,641,542,129,84,25,1,19,213,64,80,76,105,17,1,1,0,6,17,42.2
108651,665487,"Fernando Tatis Jr.",25,2024,"SD",101,438,398,110,67,21,1,21,196,64,49,32,96,7,11,3,0,1,10,50
109295,666176,"Jo Adell",25,2024,"LAA",129,451,405,84,47,15,2,20,163,54,62,35,126,7,15,10,0,3,11,44.4
109738,673237,"Yainer Diaz",25,2024,"HOU",148,619,585,175,127,29,3,16,258,70,84,24,107,2,2,0,0,8,23,38.6
109838,671289,"Tyler Freeman",25,2024,"CLE",115,383,330,69,47,14,1,7,106,48,32,28,53,19,11,6,3,3,15,45.8
110207,672640,"Otto Lopez",25,2024,"MIA",116,434,403,109,79,23,1,6,152,49,39,25,75,1,20,4,2,2,14,20.4
110333,669004,"MJ Melendez",25,2024,"KC",134,451,412,85,42,23,3,17,165,44,44,35,113,3,4,4,0,0,3,43.2
110401,666624,"Christopher Morel",25,2024,,152,611,535,105,70,11,3,21,185,56,60,61,159,10,8,7,0,5,17,55.4
110800,676914,"Davis Schneider",25,2024,"TOR",130,454,397,76,43,19,1,13,136,48,46,47,144,5,6,0,0,5,3,37.5
111086,677800,"Wilyer Abreu",25,2024,"BOS",132,447,399,101,51,33,2,15,183,59,58,40,125,3,8,3,0,5,8,45.8
111216,672386,"Alejandro Kirk",25,2024,"TOR",101,386,340,86,61,19,1,5,122,23,54,35,51,2,0,0,0,9,11,39.1
112687,672275,"Patrick Bailey",25,2024,"SF",120,448,401,94,69,16,1,8,136,46,46,39,100,0,4,0,1,7,10,43.5
114833,676475,"Alec Burleson",25,2024,"STL",152,595,547,147,106,20,0,21,230,71,78,35,76,4,9,4,1,6,11,45.1
138833,669911,"Michael Toglia",25,2024,"COL",115,458,399,87,45,14,3,25,182,62,55,54,147,1,10,1,0,3,8,53.2
140632,676059,"Jordan Westburg",25,2024,"BAL",107,447,416,110,61,26,5,18,200,57,63,22,97,7,6,3,1,1,5,50.9
143882,686676,"Korey Lee",25,2024,"CWS",118,394,377,79,52,14,1,12,131,36,37,17,122,0,6,3,0,0,12,44.4
144443,687401,"Joey Ortiz",25,2024,"MIL",138,511,440,105,63,25,6,11,175,58,60,56,103,6,11,6,3,6,11,39.7
148620,693304,"Nick Gonzales",25,2024,"PIT",94,387,359,97,68,19,3,7,143,42,49,18,74,5,5,3,1,4,9,40.5
105764,661388,"William Contreras",26,2024,"MIL",155,679,595,167,105,37,2,23,277,99,92,78,139,3,9,2,0,3,20,46.5
106844,660821,"Jesús Sánchez",26,2024,"MIA",149,537,489,123,79,25,1,18,204,60,64,41,140,4,16,2,1,2,13,45
107480,666181,"Will Benson",26,2024,"CIN",125,388,343,64,29,19,2,14,129,41,43,40,154,2,16,7,1,2,3,53.7
107632,665862,"Jazz Chisholm Jr.",26,2024,,147,621,562,144,95,21,4,24,245,74,73,53,152,4,40,10,0,2,7,43.2
108118,666139,"Josh Lowe",26,2024,"TB",106,387,353,85,54,19,2,10,138,37,34,32,123,0,25,1,0,2,3,27
108127,666158,"Gavin Lux",26,2024,"LAD",138,487,439,110,74,24,2,10,168,59,50,44,110,2,5,2,0,2,10,30.5
108236,669304,"Jose Miranda",26,2024,"MIN",121,429,401,114,73,28,4,9,177,44,49,18,66,6,2,2,0,4,14,36.4
108243,666160,"Mickey Moniak",26,2024,"LAA",124,418,392,86,53,17,2,14,149,48,49,21,114,4,8,4,0,1,5,45.8
109122,669016,"Brandon Marsh",26,2024,"PHI",134,476,418,104,68,17,3,16,175,55,60,50,154,2,19,3,1,5,2,32.7
110664,673357,"Luis Robert Jr.",26,2024,"CWS",100,425,393,88,55,19,0,14,149,47,35,28,141,2,23,6,0,1,8,38.3
113823,668709,"JJ Bleday",26,2024,"OAK",158,642,572,139,72,43,4,20,250,74,60,67,125,2,2,3,1,0,11,52.7
