"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
128054,679885,"Justin Martinez",22,2024,"AZ",64,0,0,72.7,5,6,8,2,9,2.48,26,20,46,10,1,2,77,36,91,2,308,1177
141711,683155,"Joey Estes",22,2024,"OAK",25,24,1,127.7,7,9,0,0,1,5.01,73,71,71,34,2,23,237,27,92,10,543,2027
147803,690986,"Kyle Harrison",22,2024,"SF",24,24,0,124.3,7,7,0,0,0,4.56,65,63,81,25,1,18,206,42,118,7,532,2078
147812,683003,"Jared Jones",22,2024,"PIT",22,22,0,121.7,6,8,0,0,0,4.14,60,56,55,29,4,18,197,39,132,5,504,1912
161332,694973,"Paul Skenes",22,2024,"PIT",23,23,0,133,11,3,0,0,0,1.96,31,29,69,14,1,10,140,32,170,6,514,2125
163878,806185,"Hayden Birdsong",22,2024,"SF",16,16,0,72,5,6,0,0,0,4.75,39,38,34,11,1,11,103,43,88,4,315,1388
110387,672456,"Keider Montero",23,2024,"DET",19,16,1,98.3,6,6,0,0,0,4.76,54,52,65,14,2,19,175,31,77,3,412,1539
114206,671737,"Taj Bradley",23,2024,"TB",25,25,0,138,8,11,0,0,0,4.11,68,63,77,22,1,22,212,47,154,3,578,2294
141257,680573,"Simeon Woods Richardson",23,2024,"MIN",28,28,0,133.7,5,5,0,0,0,4.17,63,62,87,21,1,16,196,48,117,3,569,2296
143786,686563,"Jonathan Cannon",23,2024,"CWS",23,21,0,124.3,5,10,1,0,0,4.49,65,62,80,24,3,18,209,40,91,4,522,2028
144267,686799,"Jack Kochanowicz",23,2024,"LAA",11,11,0,65.3,2,6,0,0,0,3.99,30,29,47,14,0,7,103,10,25,8,266,859
144845,687792,"DJ Herz",23,2024,"WSH",19,19,0,88.7,4,9,0,0,0,4.16,45,41,53,11,1,11,122,36,106,3,382,1586
146369,689147,"Orion Kerkering",23,2024,"PHI",64,2,0,63,5,3,0,2,14,2.29,20,16,37,12,0,2,69,17,74,8,257,1087
109622,672710,"Roansy Contreras",24,2024,,49,3,0,68.3,2,4,2,2,1,4.35,36,33,38,14,0,11,110,31,56,4,298,1074
111200,668881,"Hunter Greene",24,2024,"CIN",26,26,0,150.3,9,5,0,0,0,2.75,47,46,62,19,3,12,157,57,169,19,611,2563
112382,681293,"Spencer Arrighetti",24,2024,"HOU",29,28,0,145,7,13,0,0,0,4.53,80,73,85,32,1,21,236,65,171,7,632,2505
113344,678368,"Valente Bellozo",24,2024,"MIA",13,13,0,68.7,3,4,0,0,0,3.67,31,28,39,14,1,15,130,21,44,2,295,1094
118309,672282,"Reid Detmers",24,2024,"LAA",17,17,0,87.3,4,9,0,0,0,6.7,67,65,57,20,3,18,178,38,109,2,391,1559
