"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Robles, Victor",645302,"22","3","28","10.7","11","13","84.6","20","20","100.0","25","26","96.2","33","33","100.0"
"Kiermaier, Kevin",595281,"19","6","21","28.6","5","5","100.0","18","19","94.7","22","23","95.7","16","16","100.0"
"Cain, Lorenzo",456715,"14","7","27","25.9","6","11","54.5","15","18","83.3","21","23","91.3","26","28","92.9"
"Bader, Harrison",664056,"12","7","19","36.8","2","3","66.7","14","17","82.4","13","14","92.9","23","23","100.0"
"Margot, Manuel",622534,"11","3","16","18.8","7","9","77.8","10","12","83.3","21","24","87.5","32","32","100.0"
"DeShields, Delino",592261,"11","2","20","10.0","6","7","85.7","11","13","84.6","22","23","95.7","25","26","96.2"
"Buxton, Byron",621439,"11","4","17","23.5","2","3","66.7","8","9","88.9","17","18","94.4","17","17","100.0"
"Smith, Mallex",605480,"11","3","20","15.0","8","11","72.7","15","16","93.8","19","21","90.5","22","23","95.7"
"Heyward, Jason",518792,"9","3","27","11.1","8","10","80.0","4","5","80.0","22","23","95.7","27","30","90.0"
"Judge, Aaron",592450,"8","5","14","35.7","4","7","57.1","9","10","90.0","20","23","87.0","19","19","100.0"
"Broxton, Keon",542979,"8","1","8","12.5","5","5","100.0","14","17","82.4","7","8","87.5","10","11","90.9"
"Renfroe, Hunter",592669,"7","4","27","14.8","1","5","20.0","11","13","84.6","19","21","90.5","25","25","100.0"
"Cordell, Ryan",641477,"7","5","17","29.4","1","4","25.0","9","12","75.0","8","8","100.0","11","12","91.7"
"Springer, George",543807,"7","3","20","15.0","1","2","50.0","8","10","80.0","13","15","86.7","17","17","100.0"
"Marisnick, Jake",545350,"7","1","10","10.0","6","8","75.0","8","10","80.0","10","11","90.9","11","12","91.7"
"Dyson, Jarrod",502481,"6","3","19","15.8","3","4","75.0","5","11","45.5","20","21","95.2","14","14","100.0"
