"last_name","first_name","player_id","year","n_called_pitches","runs_extra_strikes","strike_rate","strike_rate_11","strike_rate_12","strike_rate_13","strike_rate_14","strike_rate_16","strike_rate_17","strike_rate_18","strike_rate_19"
"League Average","","","2016","147860",0,"45.9","19.3","37.3","13.4","74.6","58.5","34.7","43.5","20.4"
"Posey","Buster","457763","2016","3481","31","53.2","26.8","43.7","13.9","79.9","68.6","38.9","50.5","24.7"
"Grandal","Yasmani","518735","2016","3302","28","52.7","28.6","48.8","23.2","74.6","71.8","31.1","47.2","29.8"
"Cervelli","Francisco","465041","2016","2734","14","49.7","15.4","21.2","2.9","71.9","56.3","51.6","57.7","27.4"
"Martin","Russell","431145","2016","3716","14","47.9","18.3","37.8","14.9","79.8","59.5","42.7","46.7","18.3"
"Castro","Jason","488771","2016","3118","12","49","22.8","41.6","18.5","72.8","68.4","35.3","43.5","23.4"
"Molina","Yadier","425877","2016","4087","11","47","19.5","46.3","11.8","71.6","61.8","33.4","43.9","22"
"Pérez","Roberto","547379","2016","1820","9","50.5","23.3","54.8","20.2","77.4","66.7","30.5","40.9","19.4"
"Flowers","Tyler","452095","2016","2242","9","50.5","9.8","29.8","7.8","76.8","58.7","49.4","62.7","29.3"
"Montero","Miguel","471083","2016","1913","9","50.6","17.3","39.8","18","75.5","60.8","36.9","55.2","32.9"
"d'Arnaud","Travis","518595","2016","2096","8","51.4","28.7","39.2","16.3","77","65.7","38","51.9","26.4"
"Wolters","Tony","547172","2016","1585","7","49.5","14.6","26.2","11","79.2","59","44.9","58.5","29.5"
"Norris","Derek","519083","2016","3431","7","46.6","17.6","37.8","14.8","80.2","56.3","42.5","43.6","18.4"
"Rivera","René","425784","2016","1569","6","50","22.4","40.8","14.3","72.4","70.9","40.9","42.8","25.9"
"Mathis","Jeff","425772","2016","1050","5","53.1","14","29.8","8.3","70.1","66.5","44.2","58.3","45.5"
"Maldonado","Martín","455117","2016","1938","4","48.8","19.3","33.8","7.3","78.8","57.1","49.4","51.7","23.4"
"Vázquez","Christian","543877","2016","1461","4","48.1","21.7","32.3","23.5","71","67","31.3","51.5","25"
"Casali","Curt","592200","2016","1942","4","45.2","30","36.3","16.3","87.1","54.6","30.6","36.6","12"
"Lobaton","Jose","446653","2016","1008","4","51.4","20.9","31.8","1.8","77.4","58.4","53.4","59.2","31.4"
"Ross","David","424325","2016","1533","3","50","15.3","37.7","5.3","68.8","72.1","36.8","44.1","33.7"
"Zunino","Mike","572287","2016","1407","3","48.3","10.7","36.4","20","67.6","59.4","39.3","52.8","28.1"
"Plawecki","Kevin","608700","2016","1136","2","48.9","17.1","44.4","6.5","76.7","63.4","36.4","55.9","16.5"
"Joseph","Caleb","543376","2016","1244","2","47.1","36.8","47.6","10.6","80.5","47.8","33.6","45.8","15.4"
"Suzuki","Kurt","435559","2016","2821","1","46.9","19.8","44.6","17.5","73.8","61.7","32","36.7","17.8"
"Ramos","Wilson","467092","2016","3543","1","45.6","33.2","52.8","10.3","82.1","52","34","33.6","11.4"
"Contreras","Willson","575929","2016","1671","1","48.2","12.2","32","8.2","72.1","59.5","44.8","53.3","30.2"
"Bethancourt","Christian","542194","2016","1107","1","46.8","27.1","37.4","17.4","78.9","59.9","35.6","37.6","22.4"
"Castillo","Welington","456078","2016","3231","1","47.1","13.3","27.1","6.5","70.1","57.5","37.1","48.5","24.6"
"Pérez","Carlos","542208","2016","2283","1","47.4","27","43.4","14.6","72.9","61.6","30.8","40.8","19.6"
"Thole","Josh","489365","2016","1125","1","41.7","18.7","46.3","17.4","77.4","53.7","23.9","34.2","6.1"
"Gattis","Evan","594828","2016","1474","1","49.8","20.8","50.3","16.7","76.5","68.1","31.8","46.9","17.2"
"Ellis","A.J.","454560","2016","1528","1","44.8","21.2","40.2","10.6","78.5","58.7","31.9","35.6","16"
"Gomes","Yan","543228","2016","1935","0","44.3","26.8","33.9","13","81.8","46.4","39.4","38.9","20.6"
"McCann","Brian","435263","2016","2512","0","47.8","11.6","25","6.5","76","53.8","48.6","52.1","23.3"
"Butera","Drew","460077","2016","1085","0","46.3","17.3","20.8","12.5","75.5","60.6","39.2","51.3","17.5"
