Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Nick Ahmed","ARI","SS",1239.2,,,,2,,3,23,,28,,0.23076200485229492,1.387410044670105,2.9916819036006927,4.609851837158203,5.453579269704364,,34,28,30.772280733358468,"Nick Ahmed",12147,605113
"Yasmani Grandal","LAD","C",1037.1,10,-1,0,,,0,,,12,,,,,,,10.420000076293945,,18,22.996071294471278,"Yasmani Grandal",11368,518735
"Martín Maldonado","- - -","C",967.2,4,-2,3,,,-1,,,2,,,,,,,9.920000076293945,,6,21.686121388761162,"Martin Maldonado",6887,455117
"Francisco Lindor","CLE","SS",1386.1,,,,0,,1,5,,6,,0.3522520065307617,11.881400108337402,1.8567180335521698,14.090352058410645,13.401940872243626,,21,16,20.846657063719626,"Francisco Lindor",12916,596019
"Carlos Correa","HOU","SS",959,,,,0,,-1,12,,11,,-1.0277199745178223,-4.884230136871338,1.4396719932556152,-4.472280025482178,-8.636751698284614,,20,16,18.640132177896938,"Carlos Correa",14162,621043
"Addison Russell","CHC","SS",1003.2,,,,0,,-2,18,,16,,1.8139599561691284,0.3428879976272583,-0.16582107543945312,1.9910229593515396,2.0106966263718076,,17,17,16.902787026123633,"Addison Russell",14106,608365
"Lorenzo Cain","MIL","CF",1180,,,,,5,2,13,,20,-0.6191189885139465,,9.61001968383789,-0.2857849597930908,8.705120742321014,11.863277545690229,,17,19,16.808750307711076,"Lorenzo Cain",9077,456715
"Mike Zunino","SEA","C",921.2,4,5,3,,,-1,,,11,,,,,,,6.909999847412109,,8,15.230855373170371,"Mike Zunino",13265,572287
"Andrelton Simmons","LAA","SS",1254.2,,,,6,,1,10,,17,,2.992039918899536,11.753399848937988,5.001484215259552,19.74693989753723,19.522815025516856,,14,13,15.127108552775578,"Andrelton Simmons",10847,592743
"Ender Inciarte","ATL","CF",1341,,,,,3,-1,14,,16,-1.2757899761199951,,8.01237964630127,0.4985180199146271,7.235109567642212,7.364808637268689,,19,17,14.658706848336015,"Ender Inciarte",4922,542255
"Trea Turner","WSN","SS",1401,,,,-3,,1,10,,8,,-2.654670000076294,3.9996700286865234,1.8143450021743774,3.1593501567840576,3.4792516331122023,,12,7,13.772205529871638,"Trea Turner",16252,607208
"Billy Hamilton","CIN","CF",1238.1,,,,,3,3,1,,7,3.0524399280548096,,2.230299949645996,0.6600230038166046,5.942770004272461,5.977795343985532,,16,15,13.581765856876501,"Billy Hamilton",10199,571740
"DJ LeMahieu","COL","2B",1115,,,,2,,0,16,,18,,1.6648199558258057,4.526450157165527,4.820929057896137,11.012199640274048,12.461268668388254,,14,12,12.163340518168123,"DJ LeMahieu",9874,518934
"Albert Almora Jr.","CHC","CF",918.1,,,,,0,2,10,,12,0.7782959938049316,,0.2604529857635498,0.8351489901542664,1.8738960027694702,2.9401916458278974,,12,13,12.035594250408078,"Albert Almora Jr.",14109,546991
"Brandon Crawford","SFG","SS",1259,,,,0,,4,-8,,-4,,-0.11938799917697906,-1.8509000539779663,1.0422509610652924,-0.9280330091714859,-0.8145455866704834,,10,9,12.02769908780543,"Brandon Crawford",5343,543063
"Yan Gomes","CLE","C",948.2,3,3,0,,,-1,,,4,,,,,,,1.5399999618530273,,6,11.761397465083995,"Yan Gomes",9627,543228
"Freddy Galvis","SDP","SS",1401,,,,-3,,1,4,,2,,-1.4353300333023071,-9.606499671936035,6.652823895215988,-4.389010071754456,-3.79226513861858,,9,6,11.521370130720758,"Freddy Galvis",6609,520471
"Jordy Mercer","PIT","SS",995.2,,,,-2,,0,-3,,-5,,-0.42384999990463257,-0.5055490136146545,0.5995260179042816,-0.32987330108880997,-0.5883869243048077,,11,7,11.45334002931585,"Jordy Mercer",6547,474568
"Yadier Molina","STL","C",1017.2,1,-3,-1,,,3,,,-3,,,,,,,1.590000033378601,,-2,11.403682936620053,"Yadier Molina",7007,425877
"Nolan Arenado","COL","3B",1328.1,,,,1,,1,10,,12,,1.470579981803894,1.429129958152771,2.9189472422003746,5.818660140037537,5.174635850975523,,11,9,11.3926155583689,"Nolan Arenado",9777,571448
"Ozzie Albies","ATL","2B",1361.2,,,,0,,-1,14,,13,,-1.2987899780273438,6.687560081481934,1.2724970579147339,6.66126012802124,6.6087651909523375,,11,9,10.71692674375581,"Ozzie Albies",16556,645277
"Adam Engel","CHW","CF",1118,,,,,1,3,3,,7,-2.622450113296509,,3.1009199619293213,-1.1250510290265083,-0.6465801000595093,-0.09105029683675836,,16,12,10.690632807198076,"Adam Engel",15082,641553
"Tim Anderson","CHW","SS",1329.1,,,,-1,,-1,14,,12,,1.1542400121688843,3.2467598915100098,-3.887200117111206,0.5138000249862671,0.6587179807516244,,8,6,10.540169349613159,"Tim Anderson",15172,641313
"Jackie Bradley Jr.","BOS","CF",1137.1,,,,,2,-2,1,,1,7.646190166473389,,0.34507399797439575,-0.5924649983644485,7.398800164461136,8.793369838524432,,10,12,10.461242693298173,"Jackie Bradley Jr.",12984,598265
"José Peraza","CIN","SS",1329,,,,0,,-1,-2,,-3,,-0.5875999927520752,0.439083993434906,-3.4701462350785732,-3.6186599731445312,-3.3191374590495215,,7,5,10.37295937076379,"Jose Peraza",13593,606299
"Jed Lowrie","OAK","2B",1177.1,,,,0,,0,-9,,-9,,-0.5294250249862671,1.3965599536895752,5.19942781329155,6.066565155982971,5.559717255381637,,11,7,10.155479036106478,"Jed Lowrie",4418,476704
"Dansby Swanson","ATL","SS",1165.2,,,,0,,1,8,,9,,-1.5382299423217773,4.284389972686768,2.5356849431991577,5.281839847564697,5.928999754634217,,7,6,9.778636408448737,"Dansby Swanson",18314,621020
"Yolmer Sánchez","CHW","3B",1234.2,,,,1,,1,4,,6,,0.6367290019989014,4.01924991607666,-1.058294951915741,3.597688913345337,4.831813267058967,,9,7,9.694215156359899,"Yolmer Sanchez",11602,570560
"Rougned Odor","TEX","2B",1084.2,,,,2,,-1,6,,7,,1.3566900491714478,1.9052499532699585,3.6303067952394485,6.892250180244446,6.129706894258354,,10,11,9.319579551660905,"Rougned Odor",12282,596059
"J.T. Realmuto","MIA","C",951,-2,-5,0,,,-1,,,-3,,,,,,,0.9700000286102295,,1,9.297834878483314,"J.T. Realmuto",11739,592663
"Starling Marte","PIT","CF",1196.1,,,,,4,-2,2,,4,4.816880226135254,,-2.6160099506378174,0.9899170100688934,3.190780282020569,4.420703357050195,,8,11,8.944372752702137,"Starling Marte",9241,516782
"Mookie Betts","BOS","RF",1001,,,,,2,5,10,,17,5.789989948272705,,8.226810455322266,1.2354060113430023,15.252210140228271,21.114738380170778,,10,12,8.357280206277961,"Mookie Betts",13611,605141
"Matt Chapman","OAK","3B",1273.2,,,,1,,0,19,,23,,0.18305300176143646,10.018899917602539,0.676768958568573,10.878752693533897,9.36648369570668,,7,6,8.091418276629057,"Matt Chapman",16505,656305
"Jose Altuve","HOU","2B",1136.2,,,,3,,1,-2,,2,,0.7278100252151489,-3.145020008087158,-0.8025779947638512,-3.2197800874710083,-5.896026632365058,,6,7,7.618525904723246,"Jose Altuve",5417,514888
"Jean Segura","SEA","SS",1260.2,,,,3,,-2,-3,,-2,,1.9290800094604492,-0.3746820092201233,-0.7841410078108311,0.7702599763870239,1.1324265898490438,,3,4,6.503782177013363,"Jean Segura",5933,516416
"Starlin Castro","MIA","2B",1314,,,,-2,,1,-9,,-10,,0.27141499519348145,1.2785899639129639,-1.0131099820137024,0.5368929803371429,0.6788066886444173,,6,3,6.451643776352556,"Starlin Castro",4579,516770
"Manuel Margot","SDP","CF",1111,,,,,-2,-3,12,,7,-2.5843100547790527,,2.54079008102417,1.0568169951438904,1.0132899284362793,1.4641450173773376,,11,8,6.345450810010766,"Manuel Margot",14712,622534
"James McCann","DET","C",987.1,1,-4,3,,,-1,,,-2,,,,,,,-4.940000057220459,,0,6.334792577156708,"James McCann",12859,543510
"Manny Machado","- - -","SS",1261.1,,,,-2,,0,-8,,-10,,0.409415066242218,-10.372729077935219,3.4812228977680206,-6.482054769992828,-6.910616275521179,,2,0,6.069150781001918,"Manny Machado",11493,592518
"José Ramírez","CLE","3B",1210.1,,,,-1,,1,1,,2,,-0.8248839974403381,1.5907599925994873,2.5144285708665848,3.280305802822113,3.9714288596841834,,4,1,5.988330758164866,"Jose Ramirez",13510,608070
"Whit Merrifield","KCR","2B",933.2,,,,1,,-1,0,,0,,-1.997730016708374,-0.04683699831366539,3.117062354082009,1.0724999904632568,1.1871134877204894,,6,5,5.927639396965678,"Whit Merrifield",11281,593160
"Marcus Semien","OAK","SS",1423.2,,,,1,,-1,11,,11,,0.1256999969482422,8.172820091247559,-0.001690983772277832,8.296830177307129,6.404820194262957,,1,0,5.724771159153567,"Marcus Semien",12533,543760
"Todd Frazier","NYM","3B",954,,,,1,,-1,8,,9,,1.350160002708435,1.1253900527954102,-0.07332900166511536,2.4022200107574463,3.0741345407669236,,5,5,5.5919554183722235,"Todd Frazier",785,453943
"Jonathan Lucroy","OAK","C",1066.1,1,-9,2,,,-5,,,-11,,,,,,,-0.5699999928474426,,-6,5.411949858873433,"Jonathan Lucroy",7870,518960
"Johan Camargo","ATL","3B",937,,,,0,,-1,3,,3,,0.007897879928350449,5.714940071105957,-0.19301700592041016,5.529818084090948,8.927106804487964,,4,3,5.338341854709039,"Johan Camargo",14950,622666
"Anthony Rendon","WSN","3B",1186,,,,0,,1,-2,,2,,-0.12790299952030182,-0.3557850122451782,6.3340395130217075,5.850347027182579,6.474054448958613,,4,2,5.320357469287236,"Anthony Rendon",12861,543685
"Jonathan Schoop","- - -","2B",941.1,,,,1,,0,14,,15,,2.8443000316619873,-0.3157999515533447,-2.1712283566594124,0.35725805163383484,0.2827900901287608,,4,4,4.82764919341237,"Jonathan Schoop",11265,570731
"Mike Trout","LAA","CF",1076.2,,,,,1,0,5,,6,1.3558299541473389,,1.361549973487854,1.2812599539756775,3.9986400604248047,5.5720282628304005,,5,6,4.308059936654469,"Mike Trout",10155,545361
"Jose Iglesias","DET","SS",1055.1,,,,1,,-1,0,,0,,0.5047490000724792,3.36899995803833,4.299547076225281,8.173299014568329,9.666545849337217,,0,1,4.012158980984835,"Jose Iglesias",10231,578428
"Ian Kinsler","- - -","2B",1091.1,,,,3,,0,7,,10,,2.2622309625148773,4.892099857330322,2.580344021320343,9.734680742025375,9.420658782605202,,3,4,3.820320957206776,"Ian Kinsler",6195,435079
"Jeimer Candelario","DET","3B",1212,,,,1,,-2,-9,,-11,,-0.9570090174674988,-0.3818280100822449,4.503659024834633,3.164820969104767,3.516818088625276,,1,0,3.615570445470151,"Jeimer Candelario",13621,600869
"Eugenio Suárez","CIN","3B",1218,,,,-1,,1,3,,0,,-1.0425200462341309,-0.36640501022338867,-3.389118015766144,-4.798050165176392,-4.99128306811863,,0,1,3.188694496127556,"Eugenio Suarez",12552,553993
"Alex Bregman","HOU","3B",1173.2,,,,1,,1,4,,5,,1.1507099866867065,-3.3925600051879883,-0.8092879951000214,-3.0511399507522583,-5.064464457657026,,0,0,2.6242873277734455,"Alex Bregman",17678,608324
"AJ Pollock","ARI","CF",936,,,,,-6,0,8,,2,-5.2483601570129395,,3.4159998893737793,1.1158150136470795,-0.7165403366088867,-1.5797422742389857,,6,4,2.467822029639784,"AJ Pollock",9256,572041
"Eduardo Escobar","- - -","3B",1102.1,,,,-1,,-1,6,,4,,-0.7283610105514526,-2.2708399295806885,4.500392161309719,1.5011879801750183,2.2656595589823545,,0,-1,2.464512471840937,"Eduardo Escobar",6153,500871
"Ketel Marte","ARI","2B",989.2,,,,2,,2,9,,13,,-0.4457319974899292,-0.8484690189361572,1.8756960481405258,0.5814880132675171,0.9541229945689055,,1,4,2.3116572507577104,"Ketel Marte",13613,606466
"Xander Bogaerts","BOS","SS",1183.1,,,,-2,,2,-8,,-8,,0.9218810200691223,-6.077250003814697,6.277286142110825,1.1219120174646378,1.2959295545704301,,-4,-4,1.4890818452891175,"Xander Bogaerts",12161,593428
"Kevin Pillar","TOR","CF",1172.1,,,,,0,0,-3,,-3,2.7094500064849854,,0.4205560088157654,-0.8060690835118294,2.3239369988441467,2.5330336537555502,,0,3,1.092127800189254,"Kevin Pillar",12434,607680
"Alex Gordon","KCR","LF",1085,,,,,6,2,6,,14,3.8643600940704346,,8.45559024810791,0.7360119968652725,13.055959939956665,15.78586355221173,,1,4,1.0242776385465344,"Alex Gordon",5209,460086
