Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"David Peralta","ARI","LF",137,123,1074.2,277,2,3,2,1,0,0,0,0,,,,,,0.9893617,,"David Peralta",2136,444482
"Carlos Santana","KCR","1B",136,136,1167,1001,50,7,6,1,112,7,2,111,5,,,,,0.99338374,,"Carlos Santana",2396,467793
"Anthony Rizzo","- - -","1B",139,137,1190,968,118,6,5,0,90,7,2,92,5,,,,,0.99450549,,"Anthony Rizzo",3473,519203
"Eric Hosmer","SDP","1B",131,129,1113.1,909,92,7,7,0,93,8,0,92,3,,,,,0.99305556,,"Eric Hosmer",3516,543333
"Joey Votto","CIN","1B",123,122,1042.2,853,99,7,5,2,83,6,1,88,6,,,,,0.99270073,,"Joey Votto",4314,458015
"Justin Turner","LAD","3B",143,135,1173.2,82,211,12,4,8,17,17,0,2,,,,,,0.96065574,,"Justin Turner",5235,457759
"Brandon Crawford","SFG","SS",135,130,1165.2,168,340,9,6,3,65,35,30,3,,,,,,0.98259188,,"Brandon Crawford",5343,543063
"Freddie Freeman","ATL","1B",159,158,1358,1252,101,3,1,1,91,9,0,93,5,,,,,0.99778761,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",144,143,1263,199,344,8,5,3,71,24,47,5,,,,,,0.98548094,,"Jose Altuve",5417,514888
"Avisaíl García","MIL","RF",121,117,1007,201,4,6,4,2,0,0,0,0,,,,,,0.97156398,,"Avisail Garcia",5760,541645
"Jean Segura","PHI","2B",128,127,1080.1,224,335,11,9,2,79,28,56,3,,,,,,0.98070175,,"Jean Segura",5933,516416
"Martín Maldonado","HOU","C",123,118,1010.2,1049,44,8,1,7,0,8,0,2,,29,19,7,48,0.99273388,,"Martin Maldonado",6887,455117
"Yadier Molina","STL","C",118,118,1001.1,869,49,3,0,1,1,6,3,3,,26,18,6,44,0.99674267,,"Yadier Molina",7007,425877
"Salvador Perez","KCR","C",124,120,1002.2,975,61,2,0,2,2,8,2,4,,23,18,1,69,0.99807322,,"Salvador Perez",7304,521692
"Miguel Rojas","MIA","SS",128,124,1073,191,283,11,8,3,76,29,47,4,,,,,,0.97731959,,"Miguel Rojas",7802,500743
"Charlie Blackmon","COL","RF",137,134,1144.1,211,14,2,1,1,0,3,0,0,,,,,,0.99118943,,"Charlie Blackmon",7859,453568
"Elvis Andrus","OAK","SS",143,141,1246.1,161,337,15,9,6,56,34,23,4,,,,,,0.97076023,,"Elvis Andrus",8709,462101
"Paul Goldschmidt","STL","1B",153,153,1313,1144,106,2,0,1,101,13,0,105,3,,,,,0.99840256,,"Paul Goldschmidt",9218,502671
"Starling Marte","- - -","CF",120,117,1022.2,280,8,3,3,0,0,3,0,0,,,,,,0.98969072,,"Starling Marte",9241,516782
"Christian Vázquez","BOS","C",132,119,1051.1,1136,58,7,2,5,1,3,0,3,,55,18,10,38,0.99417152,,"Christian Vazquez",9774,543877
"Nolan Arenado","STL","3B",155,155,1312,125,287,11,8,3,30,26,8,5,,,,,,0.97399527,,"Nolan Arenado",9777,571448
"Kyle Seager","SEA","3B",149,148,1302.2,99,291,14,10,4,41,30,12,1,,,,,,0.96534653,,"Kyle Seager",9785,572122
"Andrew McCutchen","PHI","LF",135,131,1099,189,4,4,3,1,0,0,0,0,,,,,,0.97969543,,"Andrew McCutchen",9847,457705
"Wil Myers","SDP","RF",118,107,934.1,181,1,0,0,0,0,1,0,0,,,,,,1,,"Wil Myers",10047,571976
"Jose Iglesias","- - -","SS",119,114,992.2,122,259,16,6,10,41,27,14,4,,,,,,0.95969773,,"Jose Iglesias",10231,578428
"César Hernández","- - -","2B",142,142,1227,175,303,12,6,6,68,24,45,4,,,,,,0.9755102,,"Cesar Hernandez",10556,514917
"Andrelton Simmons","MIN","SS",131,126,1091.2,167,322,12,6,6,62,41,25,2,,,,,,0.9760479,,"Andrelton Simmons",10847,592743
"Jonathan Schoop","DET","1B",114,103,905.2,826,58,7,6,1,76,6,0,76,4,,,,,0.99214366,,"Jonathan Schoop",11265,570731
"Whit Merrifield","KCR","2B",149,147,1255.2,283,382,8,5,3,98,37,63,3,,,,,,0.98811293,,"Whit Merrifield",11281,593160
"Jesús Aguilar","MIA","1B",113,112,962.1,824,83,8,6,1,87,13,2,90,0,,,,,0.99125683,,"Jesus Aguilar",11342,542583
"Michael A. Taylor","KCR","CF",139,135,1186,351,11,3,1,2,0,3,0,0,,,,,,0.99178082,,"Michael A. Taylor",11489,572191
"Manny Machado","SDP","3B",144,144,1238.1,94,261,13,4,9,28,26,5,3,,,,,,0.96467391,,"Manny Machado",11493,592518
"Bryce Harper","PHI","RF",139,138,1174,214,10,1,1,0,0,1,0,0,,,,,,0.99555556,,"Bryce Harper",11579,547180
"Willson Contreras","CHC","C",116,112,935.2,885,57,7,2,4,2,3,2,1,,46,12,3,39,0.99262381,,"Willson Contreras",11609,575929
"Nick Castellanos","CIN","RF",135,134,1123,226,7,2,1,1,0,0,0,0,,,,,,0.99148936,,"Nick Castellanos",11737,592206
"J.T. Realmuto","PHI","C",118,112,973,1057,30,1,0,1,2,2,2,1,,28,10,6,25,0.99908088,,"J.T. Realmuto",11739,592663
"Nick Ahmed","ARI","SS",127,118,1028,170,302,9,4,5,53,32,23,5,,,,,,0.98128898,,"Nick Ahmed",12147,605113
"Xander Bogaerts","BOS","SS",138,137,1169,152,362,9,3,6,70,41,30,5,,,,,,0.98279159,,"Xander Bogaerts",12161,593428
"Miguel Sanó","MIN","1B",118,114,996,878,43,13,9,4,85,5,2,90,6,,,,,0.98608137,,"Miguel Sano",12164,593934
"Kolten Wong","MIL","2B",113,108,937,164,229,2,1,1,51,20,31,0,,,,,,0.99493671,,"Kolten Wong",12532,543939
"Marcus Semien","TOR","2B",147,146,1246.1,202,317,8,1,7,81,26,55,5,,,,,,0.98481973,,"Marcus Semien",12533,543760
"C.J. Cron","COL","1B",130,129,1095,1040,90,10,8,2,97,10,0,100,4,,,,,0.99122807,,"C.J. Cron",12546,543068
"Trevor Story","COL","SS",138,138,1175,190,348,14,3,11,85,40,46,5,,,,,,0.97463768,,"Trevor Story",12564,596115
"Francisco Lindor","NYM","SS",124,122,1029.1,160,275,10,6,4,53,32,22,5,,,,,,0.97752809,,"Francisco Lindor",12916,596019
"Josh Bell","WSN","1B",119,116,983,819,73,5,3,2,66,3,2,70,7,,,,,0.99442586,,"Josh Bell",13145,605137
"Jorge Polanco","MIN","2B",120,112,971.1,164,294,12,9,3,66,25,43,2,,,,,,0.97446809,,"Jorge Polanco",13152,593871
"Max Muncy","LAD","1B",122,101,901,771,47,2,2,0,46,3,0,47,5,,,,,0.99756098,,"Max Muncy",13301,571970
"José Ramírez","CLE","3B",133,132,1141,105,213,15,11,4,34,26,7,1,,,,,,0.95495495,,"Jose Ramirez",13510,608070
"Jeimer Candelario","DET","3B",142,142,1237.2,91,273,9,5,4,27,24,3,3,,,,,,0.97587131,,"Jeimer Candelario",13621,600869
"Carlos Correa","HOU","SS",148,147,1304.2,183,384,11,6,5,61,30,32,8,,,,,,0.98096886,,"Carlos Correa",14162,621043
"Mitch Haniger","SEA","RF",123,122,1080.2,270,3,3,2,1,0,0,0,0,,,,,,0.98913043,,"Mitch Haniger",14274,571745
"Matt Olson","OAK","1B",152,152,1338.2,1156,73,6,3,3,91,13,1,93,3,,,,,0.9951417,,"Matt Olson",14344,621566
"Raimel Tapia","COL","LF",118,110,952,173,7,3,3,0,0,0,0,0,,,,,,0.98360656,,"Raimel Tapia",14350,606132
"Kyle Farmer","CIN","SS",121,115,1008.2,128,270,5,1,4,51,27,24,2,,,,,,0.98759305,,"Kyle Farmer",14813,571657
