Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.430184422851145,0.45026038000891516,173.81664358316738,-1.1617327388375998,60.58711408034639,4.3469719886779785,8.694053748524757,"Aaron Judge",15640,592450
"Jose Altuve","HOU",153,662,24,112,81,32,0.087613293,0.126888217,0.201694916,0.37037037,0.345762711,0.409984871,0.547457627,0.4050184821647714,0.36023612235470437,159.64068041446606,5.442769607994705,54.15583307897618,1.3292661309242249,7.700971006479557,"Jose Altuve",5417,514888
"José Ramírez","CLE",152,645,29,107,83,17,0.080620155,0.106976744,0.264957265,0.319105691,0.317948717,0.37364341,0.582905982,0.3964889530092478,0.36106716119904625,146.3522184493424,3.5378533848561347,40.42500346398609,8.509978771209717,6.9931114799593015,"Jose Ramirez",13510,608070
"Kris Bryant","CHC",151,665,29,111,73,7,0.142857142,0.192481203,0.242258652,0.334170854,0.295081967,0.409022556,0.537340619,0.3991411538738193,0.37600265085516005,146.5762830238972,4.364691996946931,44.17389318808896,3.2404972314834595,6.992909392513777,"Kris Bryant",15429,592178
"Mike Trout","LAA",114,507,33,92,72,22,0.185404339,0.177514792,0.323383084,0.318021201,0.305970149,0.441814595,0.629353233,0.4369006416177362,0.42412394661524633,180.49388600567576,3.686021761968732,54.03790484387648,-2.7457788586616516,6.773532625222403,"Mike Trout",10155,545361
"Giancarlo Stanton","MIA",159,692,59,123,132,2,0.122832369,0.235549132,0.350083752,0.288359788,0.281407035,0.375722543,0.631490787,0.4104566109724705,0.402967354395541,158.09080000886834,-3.647055232897401,48.019611340566534,-7.12056103721261,6.4367850660794685,"Giancarlo Stanton",4949,519317
"Joey Votto","CIN",162,707,36,106,100,5,0.189533239,0.117397454,0.257602862,0.320627802,0.320214669,0.454031117,0.577817531,0.42821576085153107,0.41560624394103557,163.10797553052072,-7.429356918670237,49.91631595827418,-11.944844623096287,6.196704857475808,"Joey Votto",4314,458015
"Brian Dozier","MIN",152,705,34,106,93,16,0.110638297,0.2,0.226904376,0.299549549,0.270664505,0.358865248,0.497568881,0.3618832151265615,0.3419475088874213,125.89454018503977,0.3221503789536655,22.845977432461503,14.60441255569458,6.047558594305596,"Brian Dozier",9810,572821
"Anthony Rendon","WSN",147,605,25,81,100,7,0.138842975,0.13553719,0.232283464,0.314496314,0.301181102,0.403305785,0.533464566,0.39411276399790746,0.369842941001133,140.90132229658974,1.1201775628142059,32.92476115698571,5.557438611984253,5.898753940832019,"Anthony Rendon",12861,543685
"Tommy Pham","STL",128,530,23,95,73,25,0.133962264,0.220754716,0.213963964,0.368078175,0.306306306,0.410984848,0.52027027,0.39810908980893367,0.3766471935453869,148.8850885101247,4.9366554552689195,38.23704134216412,1.8769659996032715,5.804704727191469,"Tommy Pham",2967,502054
"Francisco Lindor","CLE",159,723,33,99,89,15,0.082987551,0.128630705,0.231950845,0.274621212,0.273425499,0.337047353,0.505376344,0.3526813645711106,0.35749664957798055,116.38912299518462,3.9938876214437187,18.613601569964263,15.799354553222656,5.804493945375353,"Francisco Lindor",12916,596019
"Nolan Arenado","COL",159,680,37,100,130,3,0.09117647,0.155882352,0.277227722,0.319829424,0.308580858,0.373156342,0.58580858,0.3952016020569566,0.36639454625714485,129.58259833156023,-1.4288860927335918,24.425975676570722,10.006387710571289,5.752145226539143,"Nolan Arenado",9777,571448
"Justin Turner","LAD",130,543,21,72,71,7,0.108655616,0.103130755,0.207877462,0.325581395,0.321663019,0.415129151,0.529540481,0.39956292659876735,0.40020458293410965,150.73835433872154,-0.9257631436921656,34.48482966981921,3.493392586708069,5.6365901258239015,"Justin Turner",5235,457759
"Marcell Ozuna","MIA",159,679,37,93,124,1,0.094256259,0.212076583,0.236541599,0.354838709,0.311582381,0.375552282,0.54812398,0.38793820769698534,0.36500244595432424,143.30575003826942,-4.1012971783056855,33.69178656480156,-1.2224302291870117,5.5533545878276245,"Marcell Ozuna",10324,542303
"Charlie Blackmon","COL",159,725,37,137,104,14,0.089655172,0.186206896,0.270186336,0.370526315,0.330745341,0.398891966,0.600931677,0.414420904484571,0.37256677194441995,142.20153686445715,0.6389342867769301,39.963439263329754,-9.977172613143921,5.463515189081384,"Charlie Blackmon",7859,453568
"Paul Goldschmidt","ARI",155,665,36,117,120,18,0.141353383,0.221052631,0.265232975,0.343007915,0.297491039,0.403614457,0.562724014,0.4004370406706271,0.39751385979158615,142.17934056802204,1.5875060874968767,37.63859788287624,-6.900275230407715,5.333198846501867,"Paul Goldschmidt",9218,502671
"Corey Seager","LAD",145,613,22,85,77,4,0.109298531,0.213703099,0.183673469,0.352185089,0.294990723,0.375203915,0.478664192,0.36389588995983724,0.37939392793708815,127.32022328571493,0.6783029222860932,22.20323103540124,7.165933012962341,5.019120897952218,"Corey Seager",13624,608369
"Buster Posey","SFG",140,568,12,62,67,6,0.107394366,0.116197183,0.141700405,0.346793349,0.319838056,0.399647887,0.461538461,0.3655566185444325,0.3448433157752949,128.29811277961264,-1.978580828756094,18.680110159088237,11.469603300094604,4.942931864208053,"Buster Posey",9166,457763
"Travis Shaw","MIL",144,606,31,84,101,10,0.0990099,0.227722772,0.239776952,0.311827956,0.2732342,0.34876033,0.513011152,0.3608424414776402,0.3284526691213872,120.13586842805995,0.3003877657465637,15.983779117903072,12.328354835510254,4.889982384770348,"Travis Shaw",11982,543768
"Lorenzo Cain","KCR",155,645,15,86,49,26,0.08372093,0.155038759,0.140410959,0.33970276,0.299657534,0.362790697,0.440068493,0.34671243136713964,0.34751286959017785,114.53246544854939,7.283835337497294,18.848788471429046,7.949327349662781,4.789906794282618,"Lorenzo Cain",9077,456715
"Andrelton Simmons","LAA",158,647,14,77,69,19,0.072642967,0.103554868,0.142614601,0.290697674,0.27843803,0.330757341,0.421052631,0.322746795885714,0.3067990155287192,102.41603013470268,2.247809648513794,4.176451074877279,22.295761585235596,4.764053072434473,"Andrelton Simmons",10847,592743
"Alex Bregman","HOU",155,626,19,88,71,17,0.087859424,0.154952076,0.190647482,0.310961968,0.284172661,0.352,0.474820143,0.35072798579692077,0.33835220953181794,122.50758583153389,3.183489430230111,20.567425318436047,5.869358777999878,4.691413084257221,"Alex Bregman",17678,608324
