Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",704,0.188920454,0.242897727,0.777777777,0.322003577,0.458036984,0.701252236,1.15928922,0.379248659,3.920110021496349,0.367469879,2.299999952316284,-1,-0.8520598411560059,0.3662685975432396,176.15959543642595,93.8070330089052,0.4757340011100992,219.79886140937825,"Aaron Judge",15640,592450
"Juan Soto","NYY",713,0.180925666,0.16690042,1.084033613,0.288194444,0.419354838,0.569444444,0.988799282,0.28125,4.300614076383838,0.297619047,-4.300000190734863,1,-1.902435064315796,-1.964250959455967,146.7634593501984,63.35809427800763,0.4205848819428188,181.0058447502526,"Juan Soto",20123,665742
"Shohei Ohtani","LAD",731,0.110807113,0.221614227,0.5,0.309748427,0.39010989,0.646226415,1.036336305,0.336477988,8.105655160534827,0.336470588,1.8999998569488525,2.200000047683716,0.9350389242172241,8.798800624907017,156.33115792539346,70.82018756386266,0.43054929176412915,179.68991951126623,"Shohei Ohtani",19755,660271
"Bobby Witt Jr.","KCR",709,0.080394922,0.149506346,0.537735849,0.331761006,0.389280677,0.588050314,0.977330991,0.256289308,7.2023241576855455,0.35375494,3,2.4000000953674316,4.558211326599121,-0.07282041758298874,139.75057346715485,56.81312068148408,0.40973835374627793,169.12444444445453,"Bobby Witt Jr.",25764,677951
"Yordan Alvarez","HOU",635,0.108661417,0.149606299,0.726315789,0.307971014,0.392125984,0.567028985,0.959154969,0.259057971,3.845090797636476,0.316901408,-3.099999785423279,-0.6000000238418579,-2.8197038173675537,-0.07857240736484528,120.99862006165301,46.717544576602336,0.40158736975397163,167.07068408499794,"Yordan Alvarez",19556,670541
"Vladimir Guerrero Jr.","TOR",697,0.103299856,0.137733142,0.75,0.323051948,0.395982783,0.543831168,0.939813951,0.22077922,2.159302274889306,0.342105263,-5.300000309944153,-0.8999999761581421,-3.6985690593719482,-1.9016806408762932,130.73860448194316,49.20488855583241,0.39789022276871394,164.35300978204202,"Vladimir Guerrero Jr.",19611,665489
"Brent Rooker","OAK",614,0.096091205,0.288273615,0.333333333,0.293040293,0.364820846,0.562271062,0.927091908,0.269230769,4.276088545836224,0.362275449,0.6999999284744263,1.899999976158142,0.9793129563331604,-0.22255981713533401,112.35029903558612,40.52576305476546,0.39218441668103954,163.63141597278016,"Brent Rooker",19627,667670
"Marcell Ozuna","ATL",688,0.107558139,0.247093023,0.435294117,0.301980198,0.378457059,0.54620462,0.924661679,0.244224422,1.7297226310352216,0.359102244,-1.6000001430511475,-3.200000047683716,-3.3239994049072266,-1.2837754040956497,127.17431047463819,46.693397193197455,0.39450213334856243,154.36143982133862,"Marcell Ozuna",10324,542303
"Gunnar Henderson","BAL",719,0.108484005,0.221140472,0.490566037,0.28095238,0.364394993,0.528571428,0.892966421,0.247619048,6.711413310786194,0.319634703,2.9000000953674316,2.5,2.869885206222534,1.1119838654994965,125.35989116745752,41.252657665486744,0.38146476194387025,153.7138782514112,"Gunnar Henderson",26289,683002
"Ketel Marte","ARI",583,0.111492281,0.181818181,0.613207547,0.291666666,0.372212692,0.559523809,0.931736501,0.267857143,4.320483194670562,0.299191374,2.0000000447034836,0.20000000298023224,1.1142367124557495,-0.18097732216119766,106.12190957899442,37.9236938187038,0.3909995480337077,151.5016936584436,"Ketel Marte",13613,606466
"Bryce Harper","PHI",631,0.12044374,0.218700475,0.550724637,0.285454545,0.373015873,0.525454545,0.898470418,0.24,2.767145354128121,0.330729166,-0.6000000238418579,-1.2999999523162842,0.9213276505470276,-1.419673815369606,109.38315203397026,35.56998883543959,0.38021706340771305,143.48706463222692,"Bryce Harper",11579,547180
"Corey Seager","TEX",533,0.099437148,0.18011257,0.552083333,0.277894736,0.35272045,0.511578947,0.864299397,0.233684211,1.573348342249205,0.29059829,-4.099999845027924,0.699999988079071,-4.037429332733154,-1.1994516253471375,85.72261842286782,23.37330624407726,0.364663478286787,141.70737394636365,"Corey Seager",13624,608369
"José Ramírez","CLE",682,0.079178885,0.120234604,0.658536585,0.279032258,0.334801762,0.537096774,0.871898536,0.258064516,6.627416628901248,0.265346534,0.5,2.799999952316284,1.9885700941085815,4.291585817933083,109.47380956544085,29.69476471378013,0.3642762730118049,141.56230017761496,"Jose Ramirez",13510,608070
