Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.331761006,"Bobby Witt Jr.",25764,677951
"Vladimir Guerrero Jr.","TOR",159,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,16,2,2,0.323051948,"Vladimir Guerrero Jr.",19611,665489
"Aaron Judge","NYY",158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322003577,"Aaron Judge",15640,592450
"Luis Arraez","- - -",150,637,672,200,161,32,3,4,83,46,24,3,29,8,1,2,18,9,3,0.313971742,"Luis Arraez",18568,650333
"Shohei Ohtani","LAD",159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.309748427,"Shohei Ohtani",19755,660271
"Yordan Alvarez","HOU",147,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,14,6,0,0.307971014,"Yordan Alvarez",19556,670541
"Marcell Ozuna","ATL",162,606,688,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.301980198,"Marcell Ozuna",10324,542303
"Yainer Diaz","HOU",148,585,619,175,127,29,3,16,70,84,24,1,107,2,8,0,22,2,0,0.299145299,"Yainer Diaz",23003,673237
"Trea Turner","PHI",121,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,10,19,4,0.295049504,"Trea Turner",16252,607208
"Jose Altuve","HOU",153,628,682,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.294585987,"Jose Altuve",5417,514888
"Brent Rooker","OAK",145,546,614,160,93,26,2,39,82,112,59,4,177,5,4,0,5,11,3,0.293040293,"Brent Rooker",19627,667670
"Jackson Merrill","SDP",156,554,593,162,101,31,6,24,77,90,29,1,101,1,5,4,2,16,3,0.292418772,"Jackson Merrill",29490,701538
"Ketel Marte","ARI",136,504,583,147,86,23,2,36,93,95,65,7,106,5,9,0,9,7,1,0.291666666,"Ketel Marte",13613,606466
"Steven Kwan","CLE",122,480,540,140,107,16,3,14,83,44,53,0,51,5,0,2,5,12,5,0.291666666,"Steven Kwan",24610,680757
"Mookie Betts","LAD",116,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,10,16,2,0.288888888,"Mookie Betts",13611,605141
"Juan Soto","NYY",157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288194444,"Juan Soto",20123,665742
"Bryce Harper","PHI",145,550,631,157,85,42,0,30,85,87,76,11,138,2,2,1,18,7,4,0.285454545,"Bryce Harper",11579,547180
"Jarren Duran","BOS",160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.284649776,"Jarren Duran",24617,680776
"Seiya Suzuki","CHC",132,512,585,145,91,27,6,21,74,73,63,3,160,6,4,0,6,16,6,0.283203125,"Seiya Suzuki",30116,673548
"Freddie Freeman","LAD",147,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,13,9,2,0.282287822,"Freddie Freeman",5361,518692
"Luis García Jr.","WSN",140,500,528,141,97,25,1,18,58,70,27,2,86,0,1,0,12,22,5,0.282,"Luis Garcia Jr.",20391,671277
"Gunnar Henderson","BAL",159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.28095238,"Gunnar Henderson",26289,683002
"William Contreras","MIL",155,595,679,167,105,37,2,23,99,92,78,5,139,3,3,0,19,9,2,0.280672268,"William Contreras",20503,661388
"Yandy Díaz","TBR",145,563,621,158,112,31,1,14,55,65,50,0,95,4,4,0,12,0,0,0.280639431,"Yandy Diaz",16578,650490
"Jurickson Profar","SDP",158,564,668,158,105,29,0,24,94,85,76,4,101,18,5,5,14,10,3,0.280141843,"Jurickson Profar",10815,595777
"Alec Bohm","PHI",143,554,606,155,94,44,2,15,62,97,40,2,86,6,6,0,18,5,2,0.279783393,"Alec Bohm",21618,664761
"José Ramírez","CLE",158,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,9,41,7,0.279032258,"Jose Ramirez",13510,608070
"Lourdes Gurriel Jr.","ARI",133,513,553,143,101,22,2,18,72,75,29,1,101,6,5,0,16,7,1,0.278752436,"Lourdes Gurriel Jr.",19238,666971
"Corey Seager","TEX",123,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,8,1,1,0.277894736,"Corey Seager",13624,608369
"Brendan Donovan","STL",153,587,652,163,112,34,3,14,65,73,47,0,81,13,5,0,4,5,5,0.277683134,"Brendan Donovan",24679,680977
"Bryan Reynolds","PIT",156,622,692,171,115,29,3,24,73,88,57,3,156,10,3,0,7,10,2,0.274919614,"Bryan Reynolds",19326,668804
"Manny Machado","SDP",152,593,643,163,104,30,0,29,77,105,45,6,124,1,4,0,25,11,2,0.274873524,"Manny Machado",11493,592518
"Jackson Chourio","MIL",148,528,573,145,91,29,4,21,80,79,39,4,121,3,2,1,7,22,7,0.274621212,"Jackson Chourio",28806,694192
"Francisco Lindor","NYM",152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273462783,"Francisco Lindor",12916,596019
"Julio Rodríguez","SEA",143,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,10,24,5,0.273368606,"Julio Rodriguez",23697,677594
"Nico Hoerner","CHC",151,582,641,159,116,35,1,7,86,48,44,1,66,12,3,0,8,31,6,0.273195876,"Nico Hoerner",21479,663538
"Rafael Devers","BOS",138,525,601,143,76,34,5,28,87,83,67,14,147,3,6,0,13,3,0,0.272380952,"Rafael Devers",17350,646240
"Teoscar Hernández","LAD",154,589,652,160,93,32,2,33,84,99,53,3,188,8,1,0,7,12,3,0.271646859,"Teoscar Hernandez",13066,606192
"Nolan Arenado","STL",152,578,635,157,118,23,0,16,70,71,44,2,92,5,7,0,15,2,2,0.271626297,"Nolan Arenado",9777,571448
"Salvador Perez","KCR",158,590,652,160,105,28,0,27,58,104,44,9,129,11,6,0,17,0,0,0.27118644,"Salvador Perez",7304,521692
"Ryan Mountcastle","BAL",124,473,507,128,83,30,2,13,54,63,27,0,114,1,6,0,13,3,0,0.270613107,"Ryan Mountcastle",18373,663624
"Heliot Ramos","SFG",121,475,518,128,80,23,3,22,54,72,37,2,135,2,4,0,12,6,1,0.269473684,"Heliot Ramos",22515,671218
"Alec Burleson","STL",152,547,595,147,106,20,0,21,71,78,35,0,76,4,6,1,8,9,4,0.268738574,"Alec Burleson",27615,676475
"Ezequiel Tovar","COL",157,655,695,176,101,45,4,26,83,78,23,1,200,4,7,5,16,6,5,0.26870229,"Ezequiel Tovar",24064,678662
"Brendan Rodgers","COL",135,501,539,134,91,29,1,13,67,54,31,1,132,4,2,1,12,1,0,0.267465069,"Brendan Rodgers",17907,663898
"Masyn Winn","STL",150,587,637,157,105,32,5,15,85,57,41,1,109,1,5,3,1,11,5,0.267461669,"Masyn Winn",27479,691026
"Jeremy Peña","HOU",157,602,650,160,115,28,2,15,78,70,25,1,111,14,6,3,15,20,6,0.26578073,"Jeremy Pena",21636,665161
"Cody Bellinger","CHC",130,516,569,137,93,23,3,18,72,78,45,7,89,3,5,0,10,9,2,0.265503875,"Cody Bellinger",15998,641355
"Nathaniel Lowe","TEX",140,486,565,129,96,16,1,16,62,69,71,1,125,4,4,0,9,2,0,0.265432098,"Nathaniel Lowe",19566,663993
"Vinnie Pasquantino","KCR",131,496,554,130,79,30,2,19,64,97,40,1,71,4,13,1,12,1,0,0.262096774,"Vinnie Pasquantino",27676,686469
"Riley Greene","DET",137,512,584,134,77,27,6,24,82,74,64,3,156,5,2,0,2,4,2,0.26171875,"Riley Greene",25976,682985
"Brenton Doyle","COL",149,542,603,141,90,24,4,23,82,72,46,1,153,3,8,4,13,30,5,0.260147601,"Brenton Doyle",25479,686668
"Alex Bregman","HOU",145,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,13,3,1,0.259896729,"Alex Bregman",17678,608324
"Colt Keith","DET",148,516,556,134,102,15,4,13,54,61,36,2,110,2,2,0,4,7,1,0.259689922,"Colt Keith",27899,690993
"Sal Frelick","MIL",145,475,524,123,95,22,4,2,66,32,39,0,78,4,1,2,8,18,3,0.258947368,"Sal Frelick",29622,686217
"Elly De La Cruz","CIN",160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.258899676,"Elly De La Cruz",26668,682829
"Oneil Cruz","PIT",146,541,599,140,82,34,3,21,72,76,51,5,181,3,4,0,8,22,1,0.258780036,"Oneil Cruz",21711,665833
"Justin Turner","- - -",139,460,539,119,84,24,0,11,59,55,59,2,95,13,7,0,16,0,2,0.258695652,"Justin Turner",5235,457759
"Tyler Stephenson","CIN",138,457,515,118,72,26,1,19,69,66,48,2,117,8,2,0,9,1,0,0.258205689,"Tyler Stephenson",17988,663886
"Josh Smith","TEX",149,523,592,135,91,30,1,13,67,62,46,1,121,18,3,2,6,11,2,0.258126195,"Josh Smith",26396,669701
"Gleyber Torres","NYY",154,587,665,151,110,26,0,15,80,63,65,0,136,3,8,2,6,4,3,0.257240204,"Gleyber Torres",16997,650402
"Matt Vierling","DET",144,518,567,133,84,28,5,16,80,57,41,1,121,3,5,0,9,6,1,0.256756756,"Matt Vierling",21558,663837
"Jacob Young","WSN",150,468,521,120,92,24,1,3,75,36,30,0,102,12,2,9,11,33,10,0.256410256,"Jacob Young",29931,696285
"Jazz Chisholm Jr.","- - -",147,562,621,144,95,21,4,24,74,73,53,5,152,4,2,0,6,40,10,0.256227758,"Jazz Chisholm Jr.",20454,665862
"Eugenio Suárez","ARI",158,571,640,146,86,28,2,30,90,101,49,0,176,9,11,0,10,2,1,0.255691768,"Eugenio Suarez",12552,553993
"Nick Castellanos","PHI",162,606,659,154,97,30,4,23,80,86,41,2,139,10,2,0,14,6,2,0.254125412,"Nick Castellanos",11737,592206
"Brice Turang","MIL",155,559,619,142,107,24,4,7,72,57,50,1,105,2,3,5,8,50,6,0.254025044,"Brice Turang",22186,668930
"Jesse Winker","- - -",145,430,508,109,72,23,0,14,63,58,63,2,106,10,3,2,12,14,4,0.253488372,"Jesse Winker",13590,608385
"Wyatt Langford","TEX",134,499,557,126,81,25,4,16,74,74,51,3,115,4,3,0,6,19,3,0.25250501,"Wyatt Langford",33333,694671
"Andrés Giménez","CLE",152,583,633,147,115,22,1,9,64,63,26,1,97,15,6,3,11,30,5,0.252144082,"Andres Gimenez",19950,665926
"Jesús Sánchez","MIA",149,489,537,123,79,25,1,18,60,64,41,2,140,4,2,1,12,16,2,0.251533742,"Jesus Sanchez",19913,660821
"Willy Adames","MIL",161,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.250819672,"Willy Adames",15986,642715
"Christian Walker","ARI",130,479,552,120,68,26,0,26,72,84,55,4,133,10,8,0,12,2,2,0.25052192,"Christian Walker",13419,572233
"Nolan Schanuel","LAA",147,519,607,130,98,19,0,13,62,54,68,0,103,9,7,3,14,10,1,0.250481695,"Nolan Schanuel",33189,694384
"Jake Burger","MIA",137,535,579,134,81,23,1,29,68,76,31,2,150,9,4,0,11,1,1,0.250467289,"Jake Burger",22275,669394
"Adley Rutschman","BAL",148,571,638,143,102,21,1,19,68,79,58,3,103,2,7,0,9,1,0,0.250437828,"Adley Rutschman",26288,668939
"Zach Neto","LAA",155,542,602,135,77,34,1,23,70,77,39,1,140,16,1,4,14,30,10,0.24907749,"Zach Neto",31347,687263
"Josh Bell","- - -",145,538,603,134,90,23,2,19,62,71,51,1,120,6,3,0,22,0,1,0.249070631,"Josh Bell",13145,605137
"Michael Busch","CHC",152,496,567,123,72,28,2,21,73,65,63,1,162,4,4,0,9,2,1,0.24798387,"Michael Busch",26319,683737
"Will Smith","LAD",128,476,544,118,72,24,2,20,77,75,51,6,105,9,8,0,8,1,1,0.247899159,"Will Smith",19197,669257
"Kyle Schwarber","PHI",150,573,692,142,82,22,0,38,110,104,106,4,197,5,8,0,6,5,3,0.247818499,"Kyle Schwarber",16478,656941
"Jonathan India","CIN",151,533,637,132,87,28,2,15,84,58,80,0,125,15,7,2,16,13,2,0.247654784,"Jonathan India",21523,663697
"Willi Castro","MIN",158,558,635,138,90,31,5,12,89,60,51,0,150,21,4,1,8,14,9,0.247311827,"Willi Castro",17338,650489
"Matt Chapman","SFG",154,575,647,142,74,39,2,27,98,78,64,3,158,6,2,0,13,15,2,0.246956521,"Matt Chapman",16505,656305
