Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.9622281615497,3.609375,3.19139027889074,3.1508736928304044,3.536170850632092,5.906601428985596,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",20,5,0,32,32,186.2,13.54821502403341,2.796428723821843,1.0607143435186301,0.3155216284987277,0.7025247,0.34057971,0.121546961,97.3760989010989,3.857143067340473,3.0831599663594456,2.853254623315771,2.9242724886054283,5.477696895599365,"Spencer Strider",27498,675911
"Sonny Gray","MIN",8,8,0,32,32,184,8.951086956521738,2.6902173913043477,0.391304347826087,0.2948207171314741,0.76773567,0.473267326,0.051948051,92.84131493506493,2.7880434782608696,3.6519225231439156,2.825692533410114,3.6442586753031483,5.378657817840576,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",15,4,0,33,33,209,9.559808612440191,2.0669856459330145,0.861244019138756,0.26145038167938933,0.80434783,0.396296296,0.094339622,96.83374783737024,2.626794258373206,3.461855194781456,3.1641312685879797,3.597196205609153,5.293069362640381,"Gerrit Cole",13125,543037
"Kevin Gausman","TOR",12,9,0,31,31,185,11.52972972972973,2.675675675675676,0.9243243243243243,0.3207126948775056,0.76646091,0.426406926,0.107344632,94.64582331730769,3.1621621621621623,3.8425374800646077,2.968553873010584,3.21527419976286,5.272685527801514,"Kevin Gausman",14107,592332
"Zac Gallen","ARI",17,9,0,34,34,210,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.73135755,0.417832167,0.109452736,93.51585605360444,3.4714285714285715,4.172619642702811,3.26456416902088,3.485153228754089,5.155202388763428,"Zac Gallen",19291,668678
"Logan Webb","SFG",11,13,0,33,33,216,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.73684211,0.621138211,0.153846153,92.66995644358407,3.25,3.634298507592667,3.162447766904478,2.9538168780781606,4.927341461181641,"Logan Webb",17995,657277
"Zach Eflin","TBR",16,8,0,31,31,177.2,9.42213856703485,1.215759815101271,0.9624765202885062,0.2951167728237792,0.73232323,0.497925311,0.11728395,93.10002156047078,3.495309468416154,3.0212413518690595,3.0073855823468114,3.124700686717677,4.887874126434326,"Zach Eflin",13774,621107
"Justin Steele","CHC",16,5,0,30,30,173.1,9.138461806618963,1.8692308240811517,0.7269230982537812,0.3167701863354037,0.73004202,0.493877551,0.098591549,,3.063461628355221,3.5131047734504146,3.0185018910176655,3.3229785291497724,4.815993785858154,"Justin Steele",17312,657006
"Pablo López","MIN",11,8,0,32,32,194,10.855670103092784,2.2268041237113403,1.1134020618556701,0.31275720164609055,0.76228686,0.452380952,0.13114754,94.87546964456106,3.6649484536082473,3.013036978730174,3.3323599471259366,3.283717529460327,4.578686237335205,"Pablo Lopez",17085,641154
"Framber Valdez","HOU",12,11,0,31,31,198,9.090909090909092,2.590909090909091,0.8636363636363636,0.28160919540229884,0.7122093,0.542056074,0.139705882,95.66151646205357,3.4545454545454546,4.316862580053041,3.4974646019213127,3.3856254026143238,4.42958927154541,"Framber Valdez",17295,664285
"George Kirby","SEA",13,10,0,31,31,190.2,8.11888155204301,0.8968531947024256,1.0384615938659665,0.29182156133828996,0.75057737,0.441651705,0.106796116,96.18561662946429,3.3513987802038008,3.9016317061325267,3.3442012034148556,3.630514826979142,4.23313570022583,"George Kirby",25436,669923
"Jordan Montgomery","- - -",10,11,0,32,32,188.2,7.918728021934806,2.2897526810413895,0.8586572553905212,0.29390018484288355,0.75564279,0.432432432,0.093264248,93.38051377333603,3.1961131172869397,3.9778810431132117,3.5624608583405903,4.013504443107919,4.215566635131836,"Jordan Montgomery",16511,656756
"Blake Snell","SDP",14,9,0,32,32,180,11.7,4.95,0.75,0.2557544757033248,0.86734694,0.444444444,0.108695652,95.6859080953926,2.25,3.7737488933158665,3.4383736928304036,3.622610037525495,4.129377365112305,"Blake Snell",13543,605483
"Kyle Bradish","BAL",12,7,0,30,30,168.2,8.964427418127697,2.3478262285572535,0.747035618177308,0.2700228832951945,0.79075426,0.492204899,0.102189781,,2.8280634116712373,3.764591524611788,3.2668980677221073,3.5307865636247486,3.8830127716064453,"Kyle Bradish",24586,680694
"Jesús Luzardo","MIA",10,10,0,32,32,178.2,10.47761253684955,2.770522545801564,1.1082090183206255,0.3111111111111111,0.74921956,0.401709401,0.115183246,96.79169394641418,3.576492740943837,3.9568782261391062,3.5516821674313794,3.7184182870242912,3.8654637336730957,"Jesus Luzardo",19959,666200
"Aaron Nola","PHI",12,9,0,32,32,193.2,9.387263832145537,2.091222140824501,1.4870913001418673,0.28460038986354774,0.6640625,0.426199261,0.15609756,92.87470083424508,4.461273900425602,3.746476381929914,4.02956707832096,3.631651960482608,3.8360636234283447,"Aaron Nola",16149,605400
"Dylan Cease","CHW",7,9,0,33,33,177,10.88135593220339,4.016949152542373,0.9661016949152542,0.3304535637149028,0.6940874,0.359832635,0.101604278,95.77544611150569,4.576271186440678,4.110044089319553,3.723966913169386,4.075248144743806,3.591486692428589,"Dylan Cease",18525,656302
"Kodai Senga","NYM",12,7,0,29,29,166.1,10.929860053660178,4.1663327927318505,0.9198397074862527,0.27735368956743,0.80347448,0.44691358,0.115646258,95.87375968054211,2.9759519948084643,3.872110312307771,3.6337978861090567,3.7663191797245217,3.4528145790100098,"Kodai Senga",31838,673540
