Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Andrew Cashner","TEX",4.643999858276372,3.4559998945312533,1.34375,0.8099999752807625,0.12215909,0.09090909,0.03125,0.24722662440570523,1.3199999597167982,0.2660377358490566,0.74038462,71.22480333590097,100.80738265237463,120.65290002980625,3.4019998961792024,4.609639649902345,-1.2076397537231425,5.296713405060426,5.517079123499248,"Andrew Cashner",8782,488768
"Jeremy Hellickson","- - -",5.26829280546916,2.5792683526776092,2.04255319,1.9207317519939644,0.1381295,0.0676259,0.0705036,0.25,1.2621951513103196,0.2455795677799607,0.6626506,123.69584767095556,128.6634880719909,126.73608695859413,5.43292695564007,5.767395852478682,-0.3344688968386116,5.50936573282628,5.365464665681973,"Jeremy Hellickson",4371,476451
"Ty Blach","SFG",4.014256611347672,2.3645621135335597,1.69767442,0.9348268820946631,0.10549133,0.06213873,0.0433526,0.2762345679012346,1.3564154759804916,0.2903225806451613,0.6626506,115.26297692718997,108.38335582836386,115.74105454409927,4.7841140436609235,4.4224054758713525,0.36170856778957106,5.00668768176421,5.357883416995675,"Ty Blach",14361,621389
"José Ureña","MIA",5.99410638237143,3.3948921103696597,1.765625,1.3791749198376742,0.15607735,0.08839779,0.06767956,0.23529411764705882,1.2730845413886223,0.2485207100591716,0.79028926,92.3348814698077,123.61053509935932,122.29424523437466,3.8192536241658672,5.1969325244011975,-1.3776789002353302,5.291131665504361,5.194175411074324,"Jose Urena",11589,570632
"Martín Pérez","TEX",5.594594594594595,3.0648648648648646,1.82539683,1.1189189189189188,0.14180025,0.07768187,0.06411837,0.29784366576819404,1.5351351351351352,0.32781456953642385,0.70597362,100.83305799287058,101.68302024491693,106.94194267072427,4.816216216216216,4.649531586105759,0.1666846301104572,4.696739638657183,5.040310627001191,"Martin Perez",6902,527048
"R.A. Dickey","ATL",6.442105263157894,3.1736842105263157,2.02985075,1.231578947368421,0.16687117,0.08220859,0.08466258,0.26151761517615174,1.368421052631579,0.2899305555555556,0.73202055,96.22562380954803,110.27264663257435,110.66113131096088,4.2631578947368425,4.72079758895071,-0.4576396942138672,4.786191488410298,4.9040436509280605,"R.A. Dickey",1245,285079
"Julio Teheran","ATL",7.21592998305383,3.440708336290568,2.09722222,1.4814160892362167,0.18596059,0.08866995,0.09729064,0.25375170532060026,1.3699116524119854,0.2813067150635209,0.73104693,101.3917302001375,115.6614718760344,114.58525440493922,4.4920358834904635,4.952330153575305,-0.4602942700848418,4.956519693141819,4.892251102588703,"Julio Teheran",6797,527054
"Jason Vargas","KCR",6.712429666615597,2.9053800049530194,2.31034483,1.3525044850643366,0.17724868,0.07671958,0.1005291,0.2611832611832612,1.3302410367505204,0.2894736842105263,0.77594568,93.21417760235553,108.44494149803845,112.40209551667695,4.157698972605183,4.671554179553372,-0.5138552069481888,4.935668867472387,4.858913226071929,"Jason Vargas",8044,450306
"Matt Moore","SFG",7.640536264514961,3.4588914170439353,2.20895522,1.3938816158236753,0.18734177,0.08481013,0.10253165,0.27932960893854747,1.531548935905026,0.3197781885397412,0.66892464,133.08656375207198,116.29681901154714,117.89942343409056,5.523901218264195,4.746550013486123,0.7773512047780713,5.100372586487183,4.856302122681243,"Matt Moore",1890,519043
"Lance Lynn","STL",7.389982312633598,3.767441963303403,1.96153846,1.3041145257588702,0.19716495,0.10051546,0.09664949,0.2194767441860465,1.2289803555505403,0.2440944881889764,0.79025845,81.91229688628333,113.87509573477112,109.73625571164555,3.429338197365918,4.815958165240579,-1.386619967874661,4.746046876057768,4.847130981115774,"Lance Lynn",2520,458681
