Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Spencer Strider","ATL",20,5,3.857143067340473,32,32,18,0,0,0,0,0,186.2,763,146,85,80,22,58,1,9,6,2,281,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",12,9,3.1621621621621623,31,31,20,0,0,0,0,0,185,763,163,72,65,19,55,0,3,3,2,237,"Kevin Gausman",14107,592332
"Blake Snell","SDP",14,9,2.25,32,32,20,0,0,0,0,0,180,742,115,47,45,15,99,0,3,13,2,234,"Blake Snell",13543,605483
"Pablo López","MIN",11,8,3.6649484536082473,32,32,20,1,1,0,0,0,194,801,176,81,79,24,48,1,9,7,0,234,"Pablo Lopez",17085,641154
"Gerrit Cole","NYY",15,4,2.626794258373206,33,33,24,2,2,0,0,0,209,821,157,64,61,20,48,0,7,4,1,222,"Gerrit Cole",13125,543037
"Zac Gallen","ARI",17,9,3.4714285714285715,34,34,20,1,1,0,0,0,210,846,188,87,81,22,47,0,5,8,1,220,"Zac Gallen",19291,668678
"Luis Castillo","SEA",14,9,3.33502538071066,33,33,18,0,0,0,0,0,197,802,160,81,73,28,56,0,5,3,0,219,"Luis Castillo",15689,622491
"Dylan Cease","CHW",7,9,4.576271186440678,33,33,12,0,0,0,0,0,177,784,172,98,90,19,79,3,9,14,0,214,"Dylan Cease",18525,656302
"Zack Wheeler","PHI",13,6,3.609375,32,32,21,0,0,0,0,0,192,787,168,82,77,20,39,0,9,1,0,212,"Zack Wheeler",10310,554430
"Mitch Keller","PIT",13,9,4.214408343579362,32,32,18,1,1,0,0,0,194.1,825,187,97,91,25,55,0,12,5,1,210,"Mitch Keller",17594,656605
"Freddy Peralta","MIL",12,10,3.857143093985243,30,30,16,0,0,0,0,0,165.2,680,131,77,71,26,54,0,6,6,1,210,"Freddy Peralta",18679,642547
"Jesús Luzardo","MIA",10,10,3.576492740943837,32,32,17,0,0,0,0,0,178.2,741,162,79,71,22,55,1,6,7,1,208,"Jesus Luzardo",19959,666200
"Lucas Giolito","- - -",8,15,4.8824593970393515,33,33,15,0,0,0,0,0,184.1,794,169,110,100,41,73,2,9,5,0,204,"Lucas Giolito",15474,608337
"Aaron Nola","PHI",12,9,4.461273900425602,32,32,15,0,0,0,0,0,193.2,793,178,105,96,32,45,0,1,2,0,202,"Aaron Nola",16149,605400
"Kodai Senga","NYM",12,7,2.9759519948084643,29,29,16,0,0,0,0,0,166.1,694,126,60,55,17,77,0,5,14,1,202,"Kodai Senga",31838,673540
"Framber Valdez","HOU",12,11,3.4545454545454546,31,31,20,2,2,0,0,0,198,808,166,86,76,19,57,0,10,6,0,200,"Framber Valdez",17295,664285
"Corbin Burnes","MIL",10,8,3.392427028448635,32,32,19,0,0,0,0,0,193.2,784,141,77,73,22,66,0,8,10,1,200,"Corbin Burnes",19361,669203
"Logan Webb","SFG",11,13,3.25,33,33,24,2,1,0,0,0,216,850,201,83,78,20,31,0,5,1,0,194,"Logan Webb",17995,657277
"Lance Lynn","- - -",13,11,5.7332124205824675,32,32,13,0,0,0,0,0,183.2,808,189,127,117,44,67,1,9,3,0,191,"Lance Lynn",2520,458681
"Logan Gilbert","SEA",13,7,3.729021177973243,32,32,18,1,1,0,0,0,190.2,770,169,82,79,29,36,1,2,6,0,189,"Logan Gilbert",22250,669302
"Merrill Kelly","ARI",12,8,3.2926831153559366,30,30,18,0,0,0,0,0,177.2,722,143,71,65,20,69,0,4,3,4,187,"Merrill Kelly",11156,518876
"Chris Bassitt","TOR",16,8,3.6,33,33,21,1,1,0,0,0,200,826,176,88,80,28,59,2,12,4,3,186,"Chris Bassitt",12304,605135
"Zach Eflin","TBR",16,8,3.495309468416154,31,31,17,0,0,0,0,0,177.2,703,158,69,69,19,24,1,3,0,0,186,"Zach Eflin",13774,621107
"José Berríos","TOR",11,12,3.6537787548409115,32,32,15,0,0,0,0,0,189.2,782,173,82,77,25,52,3,9,4,1,184,"Jose Berrios",14168,621244
"Charlie Morton","ATL",14,12,3.636734807126876,30,30,12,0,0,0,0,0,163.1,716,150,70,66,14,83,2,12,4,2,183,"Charlie Morton",4676,450203
"Sonny Gray","MIN",8,8,2.7880434782608696,32,32,17,0,0,0,0,0,184,754,156,59,57,8,55,0,6,6,1,183,"Sonny Gray",12768,543243
"Yusei Kikuchi","TOR",11,6,3.864811367683266,32,32,9,0,0,0,0,0,167.2,700,165,78,72,27,48,0,4,7,0,181,"Yusei Kikuchi",20633,579328
"Justin Steele","CHC",16,5,3.063461628355221,30,30,20,0,0,0,0,0,173.1,716,167,71,59,14,36,0,7,9,1,176,"Justin Steele",17312,657006
"George Kirby","SEA",13,10,3.3513987802038008,31,31,20,1,0,0,0,0,190.2,757,179,74,71,22,19,1,6,1,0,172,"George Kirby",25436,669923
"Kyle Bradish","BAL",12,7,2.8280634116712373,30,30,18,0,0,0,0,0,168.2,671,132,54,53,14,44,0,8,9,0,168,"Kyle Bradish",24586,680694
"Jordan Montgomery","- - -",10,11,3.1961131172869397,32,32,20,0,0,0,0,0,188.2,777,177,75,67,18,48,0,4,6,0,166,"Jordan Montgomery",16511,656756
"JP Sears","OAK",5,14,4.543520443575668,32,32,9,0,0,0,0,0,172.1,735,165,90,87,34,53,2,16,2,0,161,"JP Sears",23429,676664
"Cristian Javier","HOU",10,5,4.555555555555555,31,31,11,0,0,0,0,0,162,687,143,85,82,25,62,0,7,4,0,159,"Cristian Javier",17606,664299
"Johan Oviedo","PIT",9,14,4.305816381619302,32,32,14,1,1,0,0,0,177.2,781,161,91,85,19,83,1,13,7,3,158,"Johan Oviedo",22487,670912
"Kyle Gibson","BAL",15,9,4.734375,33,33,17,0,0,0,0,0,192,807,198,101,101,23,55,0,6,8,0,157,"Kyle Gibson",10123,502043
"Dean Kremer","BAL",13,5,4.117760860355384,32,32,14,0,0,0,0,0,172.2,735,171,85,79,27,55,0,5,5,0,157,"Dean Kremer",19350,665152
"Sandy Alcantara","MIA",7,12,4.142599506177083,28,28,13,3,1,0,0,0,184.2,762,176,91,85,22,48,0,5,4,1,151,"Sandy Alcantara",18684,645261
"Justin Verlander","- - -",13,8,3.215605699110627,27,27,14,0,0,0,0,0,162.1,669,139,63,58,18,45,0,5,5,0,144,"Justin Verlander",8700,434378
"Dane Dunning","TEX",12,7,3.7007722552792504,35,26,12,0,0,0,2,0,172.2,722,163,73,71,20,55,0,10,6,0,140,"Dane Dunning",19409,641540
"Taijuan Walker","PHI",15,6,4.378378636327243,31,31,11,0,0,0,0,0,172.2,733,155,87,84,20,71,1,8,3,1,138,"Taijuan Walker",11836,592836
"Miles Mikolas","STL",9,13,4.783112703616735,35,35,14,0,0,0,0,0,201.1,860,226,110,107,26,39,0,8,4,0,137,"Miles Mikolas",9803,571945
"Bryce Elder","ATL",12,4,3.812977321303117,31,31,16,0,0,0,0,0,174.2,732,160,79,74,19,63,0,8,11,1,128,"Bryce Elder",27779,693821
"Patrick Corbin","WSN",10,15,5.2,32,32,15,0,0,0,0,0,180,790,210,113,104,33,57,0,4,6,0,124,"Patrick Corbin",9323,571578
"Jordan Lyles","KCR",6,17,6.2814262508328635,31,31,4,3,0,0,0,0,177.2,748,176,130,124,39,45,0,6,10,0,120,"Jordan Lyles",7593,543475
