"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2024","6","61.1","0","0.6","0.2","0.8","34.9","54","33"
"Adell, Jo","666176","2024","0","56","-0.2","-1.3","-0.1","-1.6","31.7","50","28"
"Andujar, Miguel","609280","2024","-6","28.6","-1.8","1.3","-1.3","-1.8","32.5","35","10"
"Arozarena, Randy","668227","2024","-7","32.1","-1.6","-0.6","0.1","-2.2","31.2","78","25"
"Bader, Harrison","664056","2024","7","71.7","0.9","-0.5","0.4","0.8","35.7","53","38"
"Bellinger, Cody","641355","2024","-1","38.5","1","0.5","0.2","1.7","35.3","39","15"
"Benintendi, Andrew","643217","2024","-8","24.6","-1.4","-0.3","-0.2","-2","31.1","57","14"
"Benson, Will","666181","2024","-3","33.9","-1","0.1","-0.5","-1.4","32.3","56","19"
"Bleday, JJ","668709","2024","-3","41.6","0","-0.3","0.2","-0.1","34.4","77","32"
"Brennan, Will","686823","2024","-2","40","0.7","-0.4","0.2","0.5","34.3","45","18"
"Brown, Seth","664913","2024","-3","37.1","-1.4","-0.5","-0.1","-1.9","31.6","35","13"
"Butler, Lawrence","671732","2024","-4","42.1","0.1","-0.2","0.2","0.1","33.5","57","24"
"Buxton, Byron","621439","2024","2","46.7","0.8","-0.5","0.5","0.8","35.8","45","21"
"Carlson, Dylan","666185","2024","-6","41.5","-0.9","-0.5","0.1","-1.3","33","41","17"
"Carroll, Corbin","682998","2024","6","50","0.5","1.8","-2","0.3","34","96","48"
"Castellanos, Nick","592206","2024","-9","36.7","-1.9","-0.7","-0.1","-2.8","29.8","60","22"
"Cave, Jake","595909","2024","-2","34","-0.3","-0.3","0","-0.6","33.1","50","17"
"Chisholm Jr., Jazz","665862","2024","1","53.8","0.1","0.3","0.2","0.6","35","52","28"
"Chourio, Jackson","694192","2024","4","56.8","-0.8","1.2","-0.3","0.1","33.4","74","42"
"Conforto, Michael","624424","2024","-3","35.1","-2.3","-0.7","0.1","-2.9","29.9","37","13"
"Cowser, Colton","681297","2024","6","57.9","0.5","-0.7","0.3","0.1","33.5","57","33"
"Crow-Armstrong, Pete","691718","2024","12","73","2.5","-0.2","0.5","2.8","37.3","63","46"
"De La Cruz, Bryan","650559","2024","-9","22","-1.6","-0.5","0","-2.2","31.2","41","9"
"DeLuca, Jonny","676356","2024","4","65.8","1.6","-0.4","0.3","1.6","35.9","38","25"
"Donovan, Brendan","680977","2024","-1","50","-0.5","0.4","-0.1","-0.2","33.8","44","22"
"Doyle, Brenton","686668","2024","9","64.9","0.9","-1.4","0.9","0.4","34.8","97","63"
"Dubón, Mauricio","643289","2024","2","64.9","0.8","0.4","0.2","1.4","35.7","37","24"
"Duran, Jarren","680776","2024","7","63.2","0.7","1.2","-0.5","1.4","35.4","68","43"
"Duvall, Adam","594807","2024","1","58.3","-0.1","1.2","-0.4","0.6","34.8","36","21"
"Fairchild, Stuart","656413","2024","4","66.7","0.4","0.3","-0.1","0.7","34.9","39","26"
"Fletcher, Dominic","666150","2024","4","59.5","0.9","2.2","-1","2.1","36.3","37","22"
"Fraley, Jake","641584","2024","0","48.9","1.2","-0.2","0.2","1.2","34.4","45","22"
"Frelick, Sal","686217","2024","4","60.9","-0.2","0","-0.4","-0.6","33.4","64","39"
"Friedl, TJ","670770","2024","-8","35.4","-0.9","0.4","-0.9","-1.5","32.9","48","17"
"García, Adolis","666969","2024","-8","29.6","-0.6","-0.1","0.3","-0.4","33.4","54","16"
"Gordon, Nick","624503","2024","-2","36.4","-0.4","-0.3","-0.1","-0.8","32.7","33","12"
"Greene, Riley","682985","2024","1","52.1","0.5","1.8","-1.3","1","34.4","48","25"
"Gurriel Jr., Lourdes","666971","2024","1","52.9","0.3","0.8","-0.1","1.1","34.7","70","37"
"Haniger, Mitch","571745","2024","-5","37","-0.9","0","0.3","-0.6","31.6","54","20"
"Happ, Ian","664023","2024","0","50.7","-0.8","0.3","-0.2","-0.7","32.6","71","36"
"Harris II, Michael","671739","2024","7","70.4","0.8","0.1","0.3","1.2","35.6","54","38"
"Hays, Austin","669720","2024","-3","27.3","-1.4","-0.6","-0.1","-2.1","30.9","33","9"
"Hernández, Teoscar","606192","2024","-7","36.4","-1.1","-1.3","0.7","-1.7","31.8","77","28"
"Isbel, Kyle","664728","2024","8","57.4","1.5","1.9","-1.1","2.2","37","68","39"
"Judge, Aaron","592450","2024","-4","37.3","-2.1","-1.3","0.2","-3.3","31","59","22"
"Kelenic, Jarred","672284","2024","-1","50","0.3","0.9","-1","0.3","33.8","42","21"
"Kepler, Max","596146","2024","2","48.6","0.2","-0.2","0.5","0.4","32.7","35","17"
"Kiermaier, Kevin","595281","2024","10","75.9","1.8","0.4","0.6","2.8","37.4","54","41"
"Kwan, Steven","680757","2024","5","45.8","1.2","-0.1","0.4","1.6","34.8","59","27"
"Langford, Wyatt","694671","2024","5","46.2","1.3","0.6","-0.2","1.7","34.9","52","24"
"Laureano, Ramón","657656","2024","-5","28.9","-0.1","0.4","0.2","0.5","34.4","45","13"
"Lowe, Josh","666139","2024","-2","38.9","-0.3","-0.5","0.6","-0.2","33.6","36","14"
"Margot, Manuel","622534","2024","-4","40","-1.6","0.5","-0.1","-1.1","32.5","35","14"
"Marsh, Brandon","669016","2024","-2","42.2","0.4","-0.6","0.3","0.1","33.8","64","27"
"Marte, Starling","516782","2024","-8","29.7","-0.6","-0.2","0.3","-0.6","32.3","37","11"
"McCarthy, Jake","664983","2024","2","48.6","0.5","-0.8","0.2","0","33.6","70","34"
"McCormick, Chas","676801","2024","4","63.4","0.4","0.2","0.1","0.7","34.9","41","26"
"Meadows, Parker","678009","2024","7","74.3","0.9","1.8","-0.7","2","37","35","26"
"Melendez, MJ","669004","2024","-3","42.2","-0.9","-1.8","0.3","-2.5","31.6","45","19"
"Merrill, Jackson","701538","2024","9","62.5","1.1","1.7","-1.2","1.6","35.8","64","40"
